,music,singer,music_id,release_date,category,music_like,comment_count,within 7days,ost,rank_count
0,dancing queen,소녀시대,3994911,2013-01-01,댄스,21566,36,1,0,11
1,사랑은 이렇게,케이윌,3995922,2012-12-22,발라드,9927,11,0,1,8
2,숲,이승기,3968836,2012-11-22,발라드,155630,361,0,0,3
3,카페인,양요섭,3971021,2012-11-26,발라드,80677,205,0,0,14
4,매력있어,akmu,3987723,2012-12-12,포크/블루스,38280,36,0,0,17
5,크리스마스니까,"성시경,박효신,이석훈,서인국,빅스",3973781,2012-12-06,발라드,162004,661,0,0,51
6,goodbye to romance,써니힐,3986978,2012-12-14,발라드,72387,278,0,0,14
7,don t go,디셈버,3994075,2012-12-20,발라드,6583,10,0,0,6
8,thank u for,xia,3996293,2012-12-24,발라드,20535,78,1,0,3
9,"officially missing you, too","긱스,소유",3946867,2012-11-01,발라드,108329,76,0,0,21
10,하지 못한 말,노을,3953192,2012-11-06,발라드,91764,124,0,0,15
11,반창꼬,노을,3986186,2012-12-11,발라드,31506,30,0,0,12
12,talk that,시크릿,3976699,2012-12-04,댄스,11959,23,0,0,9
13,나쁜 사람,주니엘,3983239,2012-12-10,발라드,14129,15,0,0,10
14,키다리 아저씨,백아연,3989869,2012-12-15,발라드,13039,9,0,1,7
15,혼자라고 생각말기,김보경,4021259,2013-01-28,발라드,41759,89,0,0,17
16,다리꼬지마,akmu,3970899,2012-11-25,포크/블루스,41645,49,0,0,10
17,눈물나게 아름다운,"조권,니엘,지오,양요섭,우현",3995040,2012-12-21,랩/힙합,7297,4,0,0,4
18,하얀 겨울,"김범수,박정현",3976916,2012-11-30,발라드,21461,34,0,0,4
19,하얀 설레임,"케이윌,소유,정민",3975504,2012-11-29,댄스,18668,28,0,0,4
20,"1,2,3,4",이하이,3946768,2012-10-29,R&B/Soul,74601,77,0,0,12
21,보여줄게,에일리,3929469,2012-10-16,댄스,98344,123,0,0,12
22,안아보자,제아,4000530,2013-01-04,R&B/Soul,12506,11,1,0,8
23,서랍정리,빅마마,3995016,2012-12-27,발라드,2692,7,1,0,4
24,다 잊었니,투빅,3999236,2012-12-27,발라드,7065,5,1,0,5
25,회상,김종국,3995096,2012-12-21,발라드,2923,1,0,0,2
26,yesterday,"정진운,엘조,이준,호야,이기광",3999213,2012-12-27,댄스,15518,33,1,0,4
27,썸데이,더원,3996324,2012-12-23,발라드,21467,21,0,0,3
28,힐링이 필요해,로이킴,3964483,2012-11-19,록/메탈,37761,49,0,0,8
29,다 예뻐,"한선화,영재",3999217,2012-12-27,발라드,14769,33,1,0,6
30,먼지가 되어,"로이킴,정준영",3928293,2012-10-15,록/메탈,60110,168,0,0,10
31,인어공주,"강지영,보라,한선화,허가윤,리지",3997737,2012-12-26,댄스,20467,147,1,0,5
32,이러지마 제발,케이윌,3922071,2012-10-11,발라드,80786,142,0,0,8
33,휘파람,로이킴,3936237,2012-10-22,발라드,53094,62,0,0,8
34,사랑이 다른 사랑으로 잊혀지네,하림,1589050,2004-04-09,발라드,69767,137,0,0,6
35,귀여워,"별,권정열",3940533,2012-10-24,발라드,49757,38,0,0,11
36,백야,넬,3978258,2012-12-03,록/메탈,23536,27,0,0,3
37,one day more,lesmiserablescast,3996819,2012-01-01,국외영화,14887,26,0,0,3
38,바람기억,나얼,3910821,2012-09-20,R&B/Soul,213193,221,0,0,42
39,all for you,"정은지,서인국",3890826,2012-08-28,발라드,176256,195,0,0,12
40,스쳐간다,로이킴,3972199,2012-11-27,발라드,23408,40,0,0,3
41,beautiful day,"지나,산체스",3987981,2012-12-13,댄스,7485,5,0,0,2
42,있기 없기,dalshabet,3991037,2012-12-18,발라드,4253,6,0,0,6
43,허수아비,이하이,3968900,2012-11-22,발라드,39951,43,0,0,3
44,인연,소향,3990669,2012-12-16,발라드,10396,17,0,0,2
45,남자 없이 잘 살아,missa,3953475,2012-11-12,댄스,11331,32,0,0,3
46,if you love me,nsyoong,3988048,2012-12-13,댄스,11860,23,0,0,8
47,ice cream,현아,3935594,2012-10-21,댄스,19425,33,0,0,3
48,똑같은 사랑 똑같은 이별,어반자카파,3940755,2012-10-30,발라드,47318,20,0,0,9
49,young girls,brunomars,3986045,2012-12-07,R&B/Soul,15606,11,0,0,8
50,피어나,가인,3911750,2012-10-05,댄스,65583,119,0,0,3
51,그 자리에 있어,스탠딩에그,3994704,2012-12-21,"발라드, 인디음악",13069,15,0,0,1
52,오늘 뭐해,헬로비너스,3987108,2012-12-12,댄스,9255,33,0,0,3
53,from mark,하동균,3990947,2012-12-17,발라드,19349,37,0,0,1
54,슬픈 인연,이은미,3996321,2012-12-23,발라드,1357,2,0,0,1
55,사랑한다는 말,이승기,33129716,2020-12-10,발라드,3997,29,0,0,1
56,닐리리맘보,블락비,3928713,2012-10-17,댄스,57598,113,0,0,4
57,말리꽃,이정,3928194,2012-10-14,발라드,24631,18,0,0,3
58,눈물 같은 사람,최강창민,3992531,2012-12-18,발라드,4423,19,0,1,2
59,독약,더씨야,3982256,2012-12-06,발라드,9399,18,0,0,2
60,노스텔지아,가인,3976806,2012-11-30,발라드,25666,50,0,0,1
61,쩔어,뚱스,3971070,2012-11-26,랩/힙합,8373,23,0,0,1
62,니 얼굴 떠올라,별,3980980,2012-12-05,발라드,11344,14,0,0,4
63,i dreamed a dream,annehathaway,3996810,2012-01-01,국외영화,15568,23,0,0,2
64,천국이니까,엠블랙,3997781,2012-12-26,발라드,1425,2,1,1,1
65,tears always win,aliciakeys,3971177,2012-11-26,R&B/Soul,20976,14,0,0,2
66,멀어질까봐,cclown,3962253,2012-11-15,댄스,3617,24,0,0,1
67,사랑하면 안돼요,이석훈,3987106,2012-12-12,발라드,3970,4,0,1,1
68,i need you,"허각,지아",3884575,2012-08-21,발라드,114118,86,0,0,6
69,happy brand new year,"버벌진트,팬텀,애즈원,미스에스,스윙스,앤썬,범키",3053259,2010-12-09,댄스,170810,1082,0,0,1
70,춥다,에픽하이,3922586,2012-10-19,랩/힙합,68372,125,0,0,1
71,저녁 하늘,에일리,3929471,2012-10-16,발라드,176993,328,0,0,10
72,눈물이 툭,지아,3963395,2012-11-16,발라드,10512,6,0,0,1
73,응급실,정준영,3957743,2012-11-12,발라드,18793,31,0,0,2
74,나를 잊지마요,걸스데이,3939070,2012-10-26,댄스,22560,92,0,0,2
75,사랑은 눈꽃처럼,xia,3914860,2012-09-26,발라드,65740,203,0,1,3
76,립스틱,오렌지캬라멜,3903316,2012-09-12,댄스,32985,54,0,0,2
77,call me maybe,carlyraejepsen,3906383,2012-09-15,랩/힙합,117891,332,0,0,21
78,아프지마,이루,4000627,2012-12-28,댄스,1504,3,1,0,3
79,크레용,gdragon,3906377,2012-09-15,랩/힙합,59952,161,0,0,3
80,officially missing you,긱스,3170749,2011-03-09,랩/힙합,177624,489,0,0,7
81,강남스타일,싸이,3853978,2012-07-15,랩/힙합,127523,250,0,0,1
82,on my own,samanthabarks,3996818,2012-01-01,국외영화,13495,24,0,0,2
83,사랑해 봤니,이정,3966937,2012-11-21,발라드,8271,7,0,0,1
84,난리good,개코,3987009,2012-12-12,랩/힙합,11787,9,0,0,1
85,독,프라이머리,3940613,2012-10-31,랩/힙합,106558,657,0,0,1
86,사랑아,더원,1631371,2007-05-07,국내드라마,34744,52,0,0,2
87,함께라면,클래지콰이,4022598,2013-02-05,일렉트로니카,3345,2,0,0,1
88,i got a boy,소녀시대,4001331,2013-01-01,댄스,57621,230,1,0,15
89,싫다,백지영,4000640,2013-01-03,발라드,18558,16,1,0,12
90,일년전에,"장현승,정은지,김남주",4047075,2013-03-04,발라드,3320,4,0,0,6
91,express 999,소녀시대,4001335,2013-01-01,댄스,22626,185,1,0,5
92,baby maybe,소녀시대,4001332,2013-01-01,댄스,7928,27,1,0,3
93,말해봐,소녀시대,2203097,2009-06-25,댄스,39342,185,0,0,2
94,유리아이,소녀시대,4001336,2013-01-01,발라드,14450,51,1,0,3
95,promise,소녀시대,4001334,2013-01-01,발라드,6675,15,1,0,2
96,낭만길,소녀시대,4001339,2013-01-01,발라드,7779,23,1,0,1
97,300원짜리 커피,소울스타,4001753,2013-01-02,발라드,9507,7,1,0,2
98,look at me,소녀시대,4001337,2013-01-01,댄스,4161,5,1,0,1
99,xyz,소녀시대,4001338,2013-01-01,댄스,4385,7,1,0,1
100,spectrum,smtheperformance,3920056,2012-10-08,일렉트로니카,4657,1,0,0,1
101,그대가 잠든 사이,제아,4003254,2013-01-04,R&B/Soul,6324,18,1,0,4
102,you raise me up,더원,4001550,2012-12-30,발라드,1901,3,0,0,1
103,i like that,glam,4295575,2013-10-28,록/메탈,4,0,0,0,2
104,나만 몰랐던 이야기,이은미,4001552,2012-12-30,발라드,3492,5,0,0,1
105,open arms,"한동근,소울슈프림",4001330,2012-12-28,발라드,1243,0,0,0,1
106,강북멋쟁이,정형돈,4004021,2013-01-05,댄스,39681,93,1,0,13
107,떨어진다 눈물이,왁스,3947816,2012-10-30,발라드,12430,8,0,1,1
108,gangsta boy,유키스,3999599,2012-12-28,댄스,513,1,0,0,1
109,메뚜기월드,유재석,4004026,2013-01-05,댄스,14621,108,0,0,6
110,시작이 좋아,버벌진트,4004361,2013-01-07,랩/힙합,38971,71,1,0,13
111,섹시 보이,하하,4004024,2013-01-05,댄스,9459,28,0,0,6
112,엄마를 닮았네,길,4004023,2013-01-05,댄스,5935,20,0,0,4
113,사랑해요,정준하,4004025,2013-01-05,댄스,5843,24,0,0,3
114,fly high,인피니트h,4009751,2013-01-11,랩/힙합,46923,128,1,0,2
115,one kiss,김재중,4005910,2013-01-08,록/메탈,6779,63,1,0,2
116,노가르시아,노홍철,4004022,2013-01-05,댄스,4453,27,0,0,2
117,슬픈약속,스피드,4004322,2013-01-07,발라드,4401,9,1,0,2
118,니가 없을 때,인피니트h,4009752,2013-01-11,랩/힙합,23132,29,1,0,6
119,못해,인피니트h,4009753,2013-01-11,랩/힙합,19008,23,1,0,4
120,친구 아닌 남자로,이석훈,4015175,2013-01-18,발라드,9204,37,1,0,5
121,돈 들어오면,양요섭,4006345,2013-01-08,댄스,9594,30,1,0,1
122,victorious way,인피니트h,4009750,2013-01-11,랩/힙합,11999,13,1,0,1
123,믿어선 안될 말,넬,1656985,2007-06-25,록/메탈,6472,25,0,0,1
124,이기적이야,알리,4009777,2013-01-11,댄스,1835,1,1,0,3
125,그만 아파하자,멜로디데이,4002699,2013-01-04,발라드,1443,1,0,1,1
126,아이야,보이프렌드,4008965,2013-01-10,댄스,4093,15,1,0,3
127,예쁘다,에어플레인,4001853,2013-01-04,발라드,3140,8,0,0,1
128,사랑의 역사,윤종신,4008991,2013-01-10,발라드,5715,16,1,0,1
129,눈물샤워,배치기,4011596,2013-01-14,랩/힙합,84226,78,1,0,20
130,i m sorry,씨엔블루,4011608,2013-01-14,록/메탈,31789,45,1,0,14
131,mine,김재중,4013575,2013-01-17,록/메탈,5695,17,1,0,2
132,빗소리,bap,4012610,2013-01-15,랩/힙합,13002,37,1,0,4
133,행복하니,배치기,4011597,2013-01-14,랩/힙합,15644,11,1,0,9
134,다칠 준비가 돼 있어,빅스,4014340,2013-01-17,댄스,27329,119,1,0,4
135,24 7,포미닛투윤,4014268,2013-01-17,댄스,12176,46,1,0,9
136,소풍,소지섭,4013159,2013-01-23,랩/힙합,6346,13,1,0,4
137,you ＆ i,먼데이키즈,4014352,2013-01-17,발라드,11379,12,1,0,6
138,걱정마쇼,배치기,4011598,2013-01-14,랩/힙합,6607,15,1,0,5
139,나 그대보다,씨엔블루,4011610,2013-01-14,록/메탈,3462,7,1,0,2
140,it s over,스피드,4012509,2013-01-15,댄스,3034,17,1,0,3
141,청개구리,김보경,4012539,2013-01-15,발라드,8669,26,1,0,3
142,태양 아래서,배치기,4011594,2013-01-14,랩/힙합,3917,10,1,0,3
143,coffee shop,씨엔블루,4011609,2013-01-14,록/메탈,3773,18,1,0,2
144,아홉수,배치기,4011595,2013-01-14,랩/힙합,6544,15,1,0,4
145,나란 남자,씨엔블루,4011611,2013-01-14,록/메탈,2722,4,1,0,2
146,이별재회,프리스타일,4012921,2013-01-16,랩/힙합,3946,5,1,0,3
147,라라라,씨엔블루,4011612,2013-01-14,록/메탈,3046,7,1,0,1
148,지혈,옥주현,4046306,2013-02-28,발라드,387,1,0,0,2
149,suit & tie,justintimberlake,4014292,2013-01-17,발라드,8825,18,1,0,3
150,밤하늘의 별을 4,"양정승,푸름,진영",4009437,2013-01-11,발라드,10766,29,0,0,2
151,이별이 싫다,김동희,4009609,2013-01-11,발라드,1138,0,0,0,1
152,봄이 찾아 오겠죠,별,4012095,2013-01-15,발라드,1484,5,1,0,1
153,사랑은 언제나 목마르다,유미,111615,2002-02-05,발라드,43320,132,0,0,1
154,sorry,이승환,4009616,2013-01-11,발라드,2249,9,0,1,1
155,너는 모른다,김남길,4011520,2013-01-14,발라드,2124,8,1,1,1
156,talkin  bout love,제이레빗,4012611,2013-01-15,발라드,4642,6,1,1,1
157,나만의 위로,김재중,4013577,2013-01-17,발라드,4356,9,1,0,1
158,모노드라마,"허각,유승우",4019298,2013-02-05,발라드,87518,73,0,0,21
159,눈물,리쌍,4020215,2013-01-25,랩/힙합,100701,104,1,0,21
160,놀아도,"케이윌,차쿤",4017089,2013-01-22,랩/힙합,6046,4,1,0,4
161,sweet dream,mfbty,4016338,2013-01-21,랩/힙합,5560,6,1,0,4
162,돌스,나인뮤지스,4019328,2013-01-24,댄스,46057,351,1,0,11
163,다시 사랑 할 수 있을까,포맨,2544957,2010-01-18,발라드,64540,63,0,0,1
164,돈암동 멜로디,"스컬,하하",4016242,2013-01-21,랩/힙합,3596,14,1,0,3
165,예술이야,싸이,2979494,2010-10-20,랩/힙합,59847,145,0,0,1
166,신촌을 못가,포스트맨,4016085,2013-01-21,발라드,109402,76,1,0,35
167,지우개,소지섭,4013160,2013-01-23,랩/힙합,2214,7,1,0,2
168,미니마니모,타이니지,4016294,2013-01-21,댄스,4510,31,1,0,2
169,내가 이렇지,지아,3561276,2011-09-30,발라드,17416,34,0,0,1
170,i m not ok,문희준,4015105,2013-01-18,댄스,2318,13,0,0,1
171,연애해볼까,박혜경,4018465,2013-01-23,록/메탈,1945,5,1,0,2
172,너에게 가는 길,준호,4017891,2013-01-23,발라드,4106,27,1,1,2
173,맘이 너무 아프다,신재,4017070,2013-01-22,발라드,1068,4,1,0,1
174,천국의 문,에릭남,4018305,2013-01-23,발라드,31845,92,1,0,2
175,y,프리스타일,531840,2004-07-13,랩/힙합,78013,320,0,0,2
176,bizzytigeryoonmirae,mfbty,5632941,2015-03-19,랩/힙합,424,0,0,0,1
177,지하철에서,모세,4014264,2013-01-17,발라드,588,1,0,0,1
178,you and me,앤디,4016298,2013-01-21,발라드,1478,2,1,0,1
179,있다 없으니까,씨스타19,4024692,2013-01-31,댄스,56160,61,1,0,21
180,안녕 나야,포맨,4021445,2013-01-28,발라드,45732,30,1,0,15
181,그런 너,보아,4021392,2013-01-28,발라드,26919,49,1,0,10
182,얼음꽃,에일리,4021279,2013-01-28,발라드,38800,32,1,1,12
183,지우개,알리,4023744,2013-01-30,발라드,63068,44,1,0,16
184,나도 여자인데,씨스타19,4024693,2013-01-31,댄스,11140,24,1,0,10
185,너였으면 좋겠어,이정,4052121,2013-03-08,발라드,2986,4,0,0,4
186,기억을 걷다보면,디셈버,4025363,2013-02-01,발라드,11534,11,1,0,6
187,내 세상,포맨,4021446,2013-01-28,발라드,2155,1,1,0,1
188,sweetest name,클래지콰이,4022595,2013-02-05,일렉트로니카,3631,4,1,0,3
189,그 때 그 시절,포맨,4021449,2013-01-28,발라드,2429,6,1,0,1
190,nothing like us,justinbieber,4021975,2013-01-01,POP,23408,17,0,0,4
191,but i,포맨,4021447,2013-01-28,발라드,1743,2,1,0,1
192,울고 불러,나몰라패밀리n,4022487,2013-01-29,랩/힙합,667,1,1,0,2
193,내사랑 내곁에,한동근,4021187,2013-01-26,발라드,3430,6,0,0,1
194,매일 love you love you,란,4110709,2013-05-10,발라드,53,0,0,0,1
195,baby,justinbieber,4022558,2013-01-29,발라드,1906,1,1,0,3
196,영화처럼,어쿠스틱콜라보,4021176,2013-01-28,"인디음악, 포크/블루스",19115,10,1,0,1
197,그까짓거,마이네임,4020193,2013-01-25,댄스,1260,5,0,0,1
198,눈물이 흘러 버렸어,"알리,강준",4023745,2013-01-30,발라드,2015,12,1,0,1
199,"그 때의 나, 그 때의 너",포맨,4021448,2013-01-28,발라드,642,0,1,0,1
200,nothing gets by here,rachaelyamagata,4021276,2012-11-20,POP,2746,1,0,0,1
201,너 땜에 못살아,서인국,4026975,2013-02-04,발라드,20859,40,1,0,11
202,1440,허각,4027904,2013-02-05,발라드,48387,33,1,0,13
203,오랜만이죠,라디,4027796,2013-02-05,R&B/Soul,34770,29,1,0,9
204,오예,10cm,4026620,2013-02-04,"인디음악, 포크/블루스",7391,12,1,0,4
205,사랑하고 싶어서,허각,4027922,2013-02-05,발라드,10092,6,1,0,5
206,러브 레시피,클래지콰이,4022596,2013-02-05,일렉트로니카,18524,32,1,0,6
207,nothing without you,10cm,4026622,2013-02-04,"인디음악, 포크/블루스",53336,80,1,0,2
208,헤어질걸 알기에,"허각,정은지",4027919,2013-02-05,발라드,13361,11,1,0,4
209,모닝콜,10cm,4026624,2013-02-04,"인디음악, 포크/블루스",7548,11,1,0,2
210,내일 할 일,"윤종신,성시경",4027954,2013-02-05,발라드,65993,81,1,0,11
211,술 한잔하면,허각,4027920,2013-02-05,발라드,8798,13,1,0,3
212,근데 나 졸려,10cm,4026621,2013-02-04,"인디음악, 포크/블루스",6210,14,1,0,1
213,간단한 이야기,허각,4027921,2013-02-05,발라드,2889,3,1,0,2
214,don t let me go,10cm,4026623,2013-02-04,"인디음악, 포크/블루스",3598,8,1,0,1
215,그대 위한 날에,장재인,4093810,2013-04-20,발라드,258,1,0,1,1
216,아버지,알리,4026530,2013-02-02,발라드,1763,1,0,0,1
217,내가 뭘 어쨌는데,메이다니,4025381,2013-02-01,발라드,1408,0,0,0,1
218,눈물이 되어줄게,허각,4027924,2013-02-05,발라드,3262,6,1,0,1
219,나 좀 만나줘,형돈이와대준이,4031058,2013-02-08,랩/힙합,2085,4,1,0,2
220,노래하고 싶다,허각,4027905,2013-02-05,발라드,1594,3,1,0,1
221,멍청아,간종욱,4025355,2013-02-01,발라드,1465,2,0,0,1
222,새까맣게,박신혜,4026872,2013-02-04,발라드,2020,7,1,1,1
223,너 정말 못됐구나,장희영,4029810,2013-02-07,발라드,1964,2,1,0,2
224,i ll be there for you,레드애플,4029807,2013-02-07,발라드,3249,5,1,0,2
225,꽃이 핀다,박지헌,4028347,2013-02-06,발라드,1309,1,1,1,2
226,백수가,허각,4027923,2013-02-05,발라드,1778,2,1,0,1
227,없다,솔비,4025382,2013-02-01,발라드,548,0,0,0,1
228,먹지,예성,4092790,2013-04-18,발라드,35631,45,0,1,8
229,one shot,bap,4030174,2013-02-12,댄스,17724,100,1,0,5
230,tell me tell me,레인보우,4033065,2013-02-13,댄스,28699,96,1,0,12
231,사랑해 미워해,먼데이키즈,4031877,2013-02-12,발라드,2467,6,1,1,3
232,사랑하고 싶어,틴탑,4035276,2013-02-15,댄스,5265,100,1,0,3
233,서쪽 하늘,울랄라세션,3593455,2011-10-31,발라드,59610,258,0,0,2
234,알고있니,김진호,4033435,2013-02-14,발라드,6009,26,1,0,2
235,up & down,exid,4032981,2013-02-13,발라드,119689,1821,1,0,1
236,링마벨,투엑스,4032057,2013-02-12,댄스,6475,70,1,0,3
237,i ll be there for you,한별,4031875,2013-02-12,발라드,2269,7,1,1,2
238,너를 향한 마음,주비스,4033958,2013-02-14,댄스,2314,4,1,0,2
239,너 없는 하루가,혜령,4030348,2013-02-12,발라드,508,0,1,0,1
240,good bye,다소니,4035321,2013-02-15,댄스,6577,16,1,0,2
241,0,bap,4030177,2013-02-12,댄스,5046,24,1,0,1
242,coma,bap,4030176,2013-02-12,발라드,7003,54,1,0,1
243,mirrors,justintimberlake,4033433,2013-02-14,발라드,4380,14,1,0,1
244,again,베이지,4028139,2013-02-07,발라드,2338,1,0,0,1
245,punch,bap,4030173,2013-02-12,댄스,3947,14,1,0,1
246,dream girl,샤이니,4037314,2013-02-19,댄스,57021,181,1,0,11
247,라면인건가,akmu,4036019,2013-02-17,포크/블루스,36735,62,0,0,11
248,겨울사랑,더원,4038857,2013-02-20,발라드,57391,46,1,1,15
249,어이없네,"용준형,필독,le",4035640,2013-02-19,랩/힙합,40581,56,1,0,4
250,이게 사랑이 아니면,버벌진트,4038121,2013-02-21,랩/힙합,41354,48,1,0,13
251,어떤가요,노을,4038859,2013-02-20,발라드,22501,36,1,1,9
252,cosmic girl,김태우,4038811,2013-02-20,댄스,5712,6,1,0,6
253,방백,샤이니,4037318,2013-02-19,댄스,69954,422,1,0,4
254,봄은 온다,김혜리,4036207,2013-02-18,발라드,1282,2,1,0,1
255,punch drunk love,샤이니,4037316,2013-02-19,댄스,16724,52,1,0,2
256,"girls, girls, girls",샤이니,4037317,2013-02-19,댄스,15314,72,1,0,2
257,아름다워,샤이니,4037319,2013-02-19,댄스,22384,88,1,0,4
258,눈물비,살찐고양이,4036216,2013-02-18,발라드,2230,3,1,1,2
259,히치하이킹,샤이니,4037315,2013-02-19,댄스,17277,108,1,0,2
260,spoiler,샤이니,4037313,2013-02-19,댄스,13592,84,1,0,2
261,귀요미송,하리,4036082,2013-02-18,댄스,13450,38,1,0,6
262,white day,걸스데이,5413552,2014-10-15,발라드,1567,2,0,0,2
263,다이너마이트,샤이니,4037320,2013-02-19,댄스,11597,35,1,0,1
264,runaway,샤이니,4037321,2013-02-19,댄스,13249,79,1,0,1
265,헤어진 두사람 sad winter,나몰라패밀리jw,4036055,2013-02-18,발라드,1039,1,1,0,1
266,ugly,유유,4036017,2013-02-17,댄스,1517,1,0,0,1
267,그xx,앤드류최,4036020,2013-02-17,발라드,3329,3,0,0,1
268,시간이 달라서,스탠딩에그,4038239,2013-02-20,"인디음악, 포크/블루스",40333,39,1,0,1
269,love in memory,별,4040024,2013-02-21,발라드,1310,1,1,1,2
270,통증,스피드,4038841,2013-02-20,댄스,1872,5,1,0,1
271,희맨사항,형돈이와대준이,4041407,2013-02-22,랩/힙합,2930,9,1,0,2
272,없는 번호,소울스타,4041459,2013-02-22,"발라드, R&B/Soul",4818,4,1,0,2
273,so sick,성수진,4036018,2013-02-17,발라드,1891,3,0,0,1
274,꺼져,형돈이와대준이,4041405,2013-02-22,랩/힙합,5331,19,1,0,2
275,슬픔 활용법,김범수,2286836,2009-09-11,발라드,67,1,0,0,1
276,하늘 아래서,유미,4036009,2013-02-16,발라드,880,2,0,0,1
277,자니,프라이머리,3726617,2012-03-07,랩/힙합,179350,172,0,0,54
278,눈꽃,거미,4044859,2013-02-27,발라드,52487,30,1,1,13
279,긴 생머리 그녀,틴탑,4042480,2013-02-25,댄스,31550,120,1,0,13
280,선인장,"우현,심규선",4044829,2013-02-27,"발라드, 랩/힙합, 국내드라마",17928,49,1,0,3
281,사랑도 이별도 아닌 기억,버블시스터즈,4379917,2013-12-30,발라드,599,1,0,0,3
282,사랑해 사랑해,한승희,4043793,2013-02-26,발라드,3699,4,1,0,2
283,사랑오후,어반자카파,4042547,2013-02-25,발라드,2618,1,1,1,2
284,가수가 된 이유,신용재,3864961,2012-07-27,발라드,86364,64,0,0,21
285,you are not alone,신지훈,4042278,2013-02-24,발라드,2577,5,0,0,1
286,만에하나,엠씨더맥스,4042365,2013-02-25,발라드,3351,12,1,1,1
287,고해,김태우,4042269,2013-02-23,발라드,812,0,0,0,1
288,니가 아니라서,틴탑,4042481,2013-02-25,발라드,7949,42,1,0,1
289,비상,정동하,4042267,2013-02-23,발라드,2004,2,0,0,1
290,너를 위해,신용재,4042265,2013-02-23,발라드,1510,0,0,0,1
291,떠나지마,나몰라패밀리n,4044844,2013-02-28,랩/힙합,1295,1,1,0,2
292,only love,김재중,4043240,2013-02-26,댄스,2882,1,1,0,1
293,그림자 놀이,옥주현,4046308,2013-02-28,발라드,84,0,1,0,2
294,사랑노트,더넛츠,4046285,2013-02-28,록/메탈,3741,5,1,0,3
295,섹시한 남자,스페이스a,4043826,2013-02-26,발라드,666,0,1,0,1
296,아는 오빠,미,4038548,2013-02-21,발라드,834,0,0,0,1
297,거북이,다비치,4047160,2013-03-04,발라드,92392,111,1,0,19
298,어느 봄날,2am,4048381,2013-03-05,발라드,29274,25,1,0,10
299,it s over,이하이,4050612,2013-03-28,R&B/Soul,20670,20,0,0,9
300,my angel,포맨,2544954,2010-01-18,발라드,29331,41,0,0,6
301,뻔한 멜로디,자이언티,4047415,2013-03-06,R&B/Soul,53739,33,1,0,10
302,좋을거야,"애즈원,미스에스",4048369,2013-03-05,발라드,3099,2,1,0,3
303,special,이하이,4050611,2013-03-28,R&B/Soul,13288,32,0,0,4
304,just go,라니아,4052080,2013-03-08,댄스,2744,7,1,0,5
305,짝사랑,이하이,4050613,2013-03-28,R&B/Soul,10709,27,0,0,2
306,너를 읽어보다,2am,4048379,2013-03-05,발라드,4071,8,1,0,2
307,잊지말아요,소향,4049449,2013-03-06,발라드,4448,6,1,1,2
308,sir duke,방예담,4047032,2013-03-03,R&B/Soul,3486,3,0,0,2
309,dream,이하이,4050614,2013-03-28,R&B/Soul,4555,9,0,0,2
310,tears fallin,김보아,4049384,2013-03-06,발라드,2471,5,1,1,2
311,no schedule,"윤종신,김연우",4047169,2013-03-04,발라드,4415,8,1,0,1
312,위로,2am,4048380,2013-03-05,발라드,1919,4,1,0,1
313,얼굴보고 얘기해,디유닛,4047163,2013-03-04,댄스,3041,13,1,0,1
314,벚꽃 엔딩,버스커버스커,3753304,2012-03-29,록/메탈,334858,2271,0,0,93
315,오랜만이다,"임정희,헤르쯔아날로그",4052098,2013-03-08,발라드,5354,3,1,0,2
316,그대를 잊고,2am,4048384,2013-03-05,발라드,1281,1,1,0,1
317,그때,2am,4048383,2013-03-05,발라드,1825,5,1,0,1
318,turn it up,이하이,4050610,2013-03-28,R&B/Soul,3453,7,0,0,2
319,sunshine,2am,4048382,2013-03-05,발라드,1362,2,1,0,1
320,나혼자,이천원,4047035,2013-03-03,댄스,1484,0,0,0,1
321,나쁜여자,레이디스코드,4050616,2013-03-07,댄스,24735,50,1,0,10
322,내게로 온다,2am,4048385,2013-03-05,발라드,1222,3,1,0,1
323,hard to say i m sorry,영지,4050607,2013-03-07,발라드,2211,2,1,0,2
324,추억은 이별보다 더 아름답다,테이,4050771,2013-03-08,발라드,1600,2,1,0,2
325,피우든 마시든,김범수,2950926,2010-09-29,발라드,10376,16,0,0,1
326,crescendo,akmu,4053240,2013-03-10,댄스,73196,102,0,0,16
327,그리고 하나,태연,4056159,2013-03-13,발라드,45426,62,1,1,11
328,기대해,걸스데이,4054983,2013-03-14,댄스,41555,60,1,0,19
329,마담,자이언티,4054905,2013-03-12,R&B/Soul,10778,15,0,0,1
330,해도 해도 너무했어,나비,4418413,2014-01-27,댄스,12767,38,0,0,2
331,너에게 주고 싶은 세 가지,크루셜스타,4498637,2014-03-10,랩/힙합,12053,5,1,0,1
332,you re my lady,투하트,4498830,2014-03-10,R&B/Soul,10432,19,1,0,1
333,뷰티풀,이천원,4511737,2014-03-14,랩/힙합,3062,2,1,0,2
334,미로,투하트,4498816,2014-03-10,댄스,7019,2,1,0,1
335,안돼,스웨덴세탁소,4495930,2014-03-07,"발라드, 인디음악",10379,5,0,0,1
336,한 사람을 위한 마음,신재,4496413,2014-03-07,국내드라마,2759,0,0,0,1
337,그린라이트,주석,4501266,2014-03-11,랩/힙합,2653,3,1,0,1
338,눈물 자국,김종국,4499149,2014-03-10,발라드,1155,2,1,1,1
339,거짓말,이지영,4587185,2014-04-08,발라드,101,0,0,1,1
