,music,singer,music_id,release_date,category,music_like,comment_count,within 7days,ost,rank_count
3664,내일이 오면,릴보이,33115807,2020-12-05,랩/힙합,132894,1639,1,0,26
3665,achoo,미란이,33115804,2020-12-05,랩/힙합,68243,1038,1,0,14
3666,뿌리,khundipanda,33115806,2020-12-05,랩/힙합,66273,1120,1,0,13
3667,적외선 카메라,원슈타인,33115809,2020-12-05,랩/힙합,65700,1132,1,0,7
3668,panorama,izone,33120545,2020-12-07,댄스,97132,2399,1,0,22
3669,부어라 비워라,머쉬베놈,33115808,2020-12-05,랩/힙합,26832,406,1,0,5
3670,어김없이 이 거리에,정승환,33122449,2020-12-08,발라드,23774,197,1,0,2
3671,한 번에 알아본 사랑,양요섭,33107653,2020-12-03,발라드,28095,241,1,0,1
3672,hate you,백예린,33129885,2020-12-10,R&B/Soul,57191,235,1,0,2
3673,악역,스윙스,33133804,2020-12-12,랩/힙합,41960,505,1,0,10
3674,what do i call you,태연,33139117,2020-12-15,R&B/Soul,99518,1089,1,0,15
3675,고독하구만,머쉬베놈,33133799,2020-12-12,랩/힙합,36889,298,1,0,10
3676,잘할게,이승기,33129712,2020-12-10,발라드,31841,231,1,0,12
3677,for you,이하이,33142705,2020-12-16,R&B/Soul,56872,220,1,0,6
3678,bad news cypher vol 2,릴보이,33133803,2020-12-12,랩/힙합,26267,464,1,0,2
3679,hero,khundipanda,33133805,2020-12-12,랩/힙합,29420,647,1,0,1
3680,iii,래원,33133800,2020-12-12,랩/힙합,28346,437,1,0,1
3681,한잔이면 지워질까,황인욱,33137384,2020-12-15,발라드,27912,121,1,0,13
3682,credit,릴보이,33150997,2020-12-19,랩/힙합,84091,975,1,0,14
3683,on air,릴보이,33150993,2020-12-19,랩/힙합,53534,592,1,0,11
3684,여백의 미,머쉬베놈,33150994,2020-12-19,랩/힙합,36602,388,1,0,7
3685,서로를 위한 것,나얼,33152647,2020-12-21,발라드,21204,237,1,0,2
3686,가다,머쉬베놈,33150990,2020-12-19,랩/힙합,23395,278,1,0,4
3687,놀이공원,백현,33153163,2020-12-21,R&B/Soul,75751,1375,1,0,1
3688,text me merry christmas,straightnochaser,5493429,2014-11-17,POP,68472,111,0,0,4
3689,yay  & 팔로알토,래원,4365842,2013-01-01,POP,59687,84,0,0,1
3690,입김,10cm,33157877,2020-12-23,"인디음악, 포크/블루스",27721,89,1,0,1
3691,oh santa,mariahcarey,33116142,2020-12-04,POP,17833,86,0,0,1
3692,on,방탄소년단,33077234,2020-11-20,랩/힙합,243718,5447,0,0,51
3693,우린 어쩌다 헤어진 걸까,허각,33164083,2020-12-28,발라드,50295,103,1,0,27
3694,그날에 나는 맘이 편했을까,이예준,33107649,2020-12-03,발라드,91465,161,0,0,64
3695,너의 번호를 누르고,안녕,32224166,2019-11-30,"발라드, 인디음악",127003,271,0,0,45
3696,나로 바꾸자,비,33169122,2020-12-31,댄스,27875,384,1,0,9
3697,요즘,양다일,33167083,2020-12-29,발라드,26849,85,1,0,3
3698,내 방을 여행하는 법,방탄소년단,33077235,2020-11-20,R&B/Soul,115148,1151,1,0,8
3699,12월의 어느 겨울,윤도,33160574,2020-12-26,발라드,25905,68,0,0,5
3700,밝게 빛나는 별이 되어 비춰줄게,송이한,33167063,2020-12-29,R&B/Soul,129131,420,1,0,66
3701,화,아이들,33193809,2021-01-11,댄스,91259,1591,1,0,12
3702,옜다,"머쉬베놈,저스디스",33197422,2021-01-12,랩/힙합,24584,322,1,0,1
3703,what i said,victon,33193796,2021-01-11,댄스,10132,257,1,0,1
3704,your lights,이수,33180518,2021-01-07,"록/메탈, 국내영화",23288,187,1,0,5
3705,겨울잠,장덕철,33186725,2021-01-07,발라드,10691,39,1,0,1
3706,rosario,에픽하이,33214327,2021-01-18,랩/힙합,21922,373,1,0,3
3707,내 얘기 같아,에픽하이,33214328,2021-01-18,랩/힙합,16580,160,1,0,2
3708,불시착,ab6ix,33214073,2021-01-18,댄스,13668,455,1,0,1
3709,정당방위,에픽하이,33214331,2021-01-18,랩/힙합,10863,266,1,0,1
3710,그대 없이 그대와,hynn,33223396,2021-01-21,발라드,21298,151,1,0,5
3711,수상소감,에픽하이,33214329,2021-01-18,랩/힙합,11032,809,1,0,1
3712,x,청하,33216036,2021-01-19,발라드,12805,141,1,0,1
3713,celebrity,아이유,33239419,2021-03-25,댄스,331660,4019,0,0,96
3714,이 밤을 빌려 말해요,10cm,33229299,2021-01-24,발라드,99165,194,1,0,30
3715,마지막 날에,규현,33235754,2021-01-26,발라드,16562,159,1,0,2
3716,d d dance,izone,33235654,2021-01-26,댄스,26003,495,1,0,1
3717,i m not cool,현아,33244575,2021-01-28,댄스,43521,476,1,0,15
3718,내 손을 잡아,아이유,3414749,2011-05-25,발라드,207641,1116,0,1,100
3719,안아줄게,골든차일드,33232416,2021-01-25,댄스,7412,102,1,0,1
