,music,singer,music_id,release_date,category,music_like,comment_count
1593,로코 드라마,신혜성,8011874,2016.01.12,R&B/Soul,7844,9
1594,Better Man,범키,8015549,2016.01.14,R&B/Soul,13815,5
1595,그 사람이 너니까,VOS,8008910,2016.01.13,랩/힙합,6193,10
1596,기억날 그날이 와도,앤씨아,8019089,2016.01.16,"발라드, 국내드라마",13907,18
1597,PLASTIC,정준일,8015533,2016.01.14,"발라드, 인디음악",27814,44
1598,I am Love,티어라이너,8017039,2016.01.15,발라드,11780,31
1599,우연이라도,어쿠루브,8013893,2016.01.13,"인디음악, 포크/블루스",20473,12
1600,사랑보다 깊은 상처,"KCM,다나더그레이스",8013905,2016.01.13,"발라드, 게임",1578,4
1601,날,지코,7911686,2015.11.03,랩/힙합,46263,120
1602,잊어버리지마,크러쉬,8026677,2016.01.22,R&B/Soul,196071,224
1603,나 군대 간다,이승기,8024756,2016.01.21,발라드,20177,213
1604,당신의 지갑에는 얼마의 사랑이 있나요.,박유천,8019119,2016.01.18,발라드,3508,0
1605,사랑인걸,"BOBBY,준회,동혁",8020880,2016.02.02,"R&B/Soul, 인디음악",51462,59
1606,사각지대,틴탑,8019113,2016.01.18,댄스,7198,34
1607,눈물바다,나비,8021940,2016.01.20,발라드,23,0
1608,세상 한가운데,신용재,8020940,2016.01.19,"발라드, 국내드라마",3711,6
1609,Such,강현민,8022444,2016.01.20,"록/메탈, 국내드라마",10580,25
1610,나만의 슬픔,창민＆이현,8022127,2016.01.20,발라드,2022,1
1611,찔려,스텔라,8018795,2016.01.18,댄스,11078,114
1612,사랑합니다,쿨,606307,2004.04.01,발라드,17893,33
1613,너는 나 나는 너,지코,8028724,2016.01.25,R&B/Soul,145192,113
1614,시간을 달려서,여자친구,8028701,2016.01.25,댄스,168826,1311
1615,어디에도,엠씨더맥스,8033528,2016.01.28,발라드,239436,705
1616,사랑이었다 ),지코,8028725,2016.01.25,발라드,118979,271
1617,I Miss You,마마무,8036303,2016.01.29,R&B/Soul,74127,119
1618,어린왕자,려욱,8034012,2016.01.28,발라드,60330,144
1619,너와 나의 시간은,바닐라어쿠스틱,8030385,2016.01.26,"발라드, 국내드라마",20746,24
1620,괜찮다가도,엠씨더맥스,8033530,2016.01.28,발라드,16702,51
1621,어김없이,엠씨더맥스,8033532,2016.01.28,발라드,45065,141
1622,아스라이,엠씨더맥스,8033529,2016.01.28,발라드,26840,66
1623,UUU,정인,8030716,2016.01.26,발라드,16200,20
1624,서프라이즈,범키,8032418,2016.01.27,R&B/Soul,12154,6
1625,what2do,DEAN,8109410,2016.03.25,R&B/Soul,60714,122
1626,pale blue note,엠씨더맥스,8033531,2016.01.28,발라드,11751,55
1627,사이다,예지,8034017,2016.01.28,랩/힙합,9632,18
1628,사랑별,여자친구,8028703,2016.01.25,댄스,21980,114
1629,TRUST,여자친구,8028705,2016.01.25,발라드,21927,114
1630,회상,장범준,8038458,2016.01.30,"발라드, 국내드라마",58615,72
1631,유복하게 살았는데,정진우,8028717,2016.01.24,랩/힙합,5148,6
1632,이 밤이 지나기 전에,엠씨더맥스,8033534,2016.01.28,발라드,15537,69
1633,"1991年, 찬바람이 불던 밤....",박효신,1560056,2007.01.29,발라드,40445,116
1634,그 집 앞,베이식,8030764,2016.01.26,랩/힙합,12342,46
1635,Always,엠씨더맥스,8033533,2016.01.28,발라드,6481,31
1636,내 이름을 불러줘,여자친구,8028702,2016.01.25,댄스,13950,55
