year,week_num,start_date,end_date,rank,music,singer,album
2013,02,2013.01.06,2013.01.12,94,귀여워,"별, 권정열 (10cm)",귀여워
2013,10,2013.03.03,2013.03.09,69,반창꼬,노을,반창꼬
2013,09,2013.02.24,2013.03.02,71,보여줄게,에일리 (Ailee),Invitation
2013,07,2013.02.10,2013.02.16,70,Punch Drunk Love,샤이니 (SHINee),SHINee The 3rd Album Chapter 1. `Dream Girl-The Misconceptions Of You`
2013,08,2013.02.17,2013.02.23,73,Dancing Queen,소녀시대,4집 I Got A Boy
2013,05,2013.01.27,2013.02.02,75,사랑하고 싶어,틴 탑 (Teen Top),No.1
2013,06,2013.02.03,2013.02.09,78,너를 위해,신용재,불후의 명곡2 - 전설을 노래하다 (임재범편)
2013,04,2013.01.20,2013.01.26,83,그림자 놀이,옥주현,Reflection
2013,03,2013.01.13,2013.01.19,88,비 내리는 고모령,알리 (ALi),비 내리는 고모령
2013,02,2013.01.06,2013.01.12,95,오예,10cm,The 2nd EP
2013,10,2013.03.03,2013.03.09,70,Punch Drunk Love,샤이니 (SHINee),SHINee The 3rd Album Chapter 1. `Dream Girl-The Misconceptions Of You`
2013,09,2013.02.24,2013.03.02,72,"Girls, Girls, Girls",샤이니 (SHINee),SHINee The 3rd Album Chapter 1. `Dream Girl-The Misconceptions Of You`
2013,07,2013.02.10,2013.02.16,71,보여줄게,에일리 (Ailee),Invitation
2013,08,2013.02.17,2013.02.23,74,사랑하고 싶어서,허각,1집 Little Giant
2013,05,2013.01.27,2013.02.02,76,헤어질걸 알기에,"허각, 정은지",1집 Little Giant
2013,06,2013.02.03,2013.02.09,79,떠나지마,나몰라패밀리N,떠나지마
2013,04,2013.01.20,2013.01.26,84,자니 (Feat. DYNAMICDUO),프라이머리 (Primary),자니
2013,03,2013.01.13,2013.01.19,89,"1,2,3,4 (원,투,쓰리,포)",이하이,"1,2,3,4 (원,투,쓰리,포)"
2013,02,2013.01.06,2013.01.12,96,섹시한 남자,스페이스 A,Re-Turn
2013,10,2013.03.03,2013.03.09,71,보여줄게,에일리 (Ailee),Invitation
2013,09,2013.02.24,2013.03.02,73,Dancing Queen,소녀시대,4집 I Got A Boy
2013,07,2013.02.10,2013.02.16,72,"Girls, Girls, Girls",샤이니 (SHINee),SHINee The 3rd Album Chapter 1. `Dream Girl-The Misconceptions Of You`
2013,08,2013.02.17,2013.02.23,75,사랑하고 싶어,틴 탑 (Teen Top),No.1
2013,05,2013.01.27,2013.02.02,77,비상,정동하,불후의 명곡2 - 전설을 노래하다 (임재범편)
2013,06,2013.02.03,2013.02.09,80,여보세요,뉴이스트 (NU`EST),여보세요
2013,04,2013.01.20,2013.01.26,85,Love In Memory,별,Love In Memory OST Part 1
2013,03,2013.01.13,2013.01.19,90,All For You,"정은지, 서인국",응답하라 1997 Love Story Part 1 OST
2013,02,2013.01.06,2013.01.12,97,아는 오빠,미 (美),여심
2013,10,2013.03.03,2013.03.09,72,"Girls, Girls, Girls",샤이니 (SHINee),SHINee The 3rd Album Chapter 1. `Dream Girl-The Misconceptions Of You`
2013,09,2013.02.24,2013.03.02,74,사랑하고 싶어서,허각,1집 Little Giant
2013,07,2013.02.10,2013.02.16,73,Dancing Queen,소녀시대,4집 I Got A Boy
2013,08,2013.02.17,2013.02.23,76,헤어질걸 알기에,"허각, 정은지",1집 Little Giant
2013,05,2013.01.27,2013.02.02,78,너를 위해,신용재,불후의 명곡2 - 전설을 노래하다 (임재범편)
2013,06,2013.02.03,2013.02.09,81,사랑해 미워해,먼데이 키즈 (Monday Kiz),야왕 OST Part 3
2013,04,2013.01.20,2013.01.26,86,히치하이킹 (Hitchhiking),샤이니 (SHINee),SHINee The 3rd Album Chapter 1. `Dream Girl-The Misconceptions Of You`
2013,03,2013.01.13,2013.01.19,91,가수가 된 이유,이예준,보이스코리아 2 Part 1
2013,02,2013.01.06,2013.01.12,98,다리꼬지마,AKMU (악뮤),SBS K팝 스타 시즌2 `다리꼬지마`
2013,10,2013.03.03,2013.03.09,73,Dancing Queen,소녀시대,4집 I Got A Boy
2013,09,2013.02.24,2013.03.02,75,사랑하고 싶어,틴 탑 (Teen Top),No.1
