music,singer,release_date,category,music_like,movie_like,movie_views
시간의 바깥,아이유,2019.11.18,록/메탈,148614,9300,434722
그 사람,아이유,2019.11.18,록/메탈,95673,7870,154889
unlucky,아이유,2019.11.18,록/메탈,126858,,
Blueming,아이유,2019.11.18,록/메탈,353474,11149,958075
시든 꽃에 물을 주듯,HYNN(박혜원),2019.03.31,발라드,218389,1102,120713
안녕,폴킴,2019.08.12,"발라드, 국내드라마",214328,,
있어줘요,장덕철,2019.10.09,"발라드, 인디음악",87019,101,54214
사랑이란 멜로는 없어,전상근,2019.09.08,발라드,137972,310,69259
이 번호로 전화해줘,바이브,2019.11.13,발라드,67761,213,54317
늦은 밤 너의 집 앞 골목길에서,노을,2019.11.07,발라드,207597,423,151316
조금 취했어,임재현,2019.09.24,"발라드, 인디음악",127664,239,89976
새 사랑,송하예,2019.10.12,발라드,98841,347,96474
흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,2019.08.23,"록/메탈, 국내드라마",312279,1259,353841
불티,태연,2019.10.28,댄스,121373,3177,320989
인기,MC몽,2019.10.25,랩/힙합,81783,3040,420715
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU,2019.09.25,발라드,403741,2042,250853
Love poem,아이유,2019.11.01,록/메탈,341055,,
Beautiful,Wanna One,2017.11.13,발라드,238034,21417,634605
아주 NICE,세븐틴,2016.07.04,댄스,185242,8309,809947
어쩌나,세븐틴,2018.07.16,댄스,143686,11101,377377
사랑 이딴 거,임한별,2019.01.22,발라드,36557,339,25950
Forever Young,BLACKPINK,2018.06.15,댄스,207027,5266,672446
전하지 못한 진심,방탄소년단,2018.05.18,랩/힙합,271099,,
Make it count,첸,2019.02.07,"발라드, 국내드라마",50977,5342,47214
Answer : Love Myself,방탄소년단,2018.08.24,랩/힙합,231669,,
그놈의 별,수란,2019.03.03,R&B/Soul,13913,,
목소리,김필,2019.03.07,발라드,25824,,
그리워하다,비투비,2017.10.16,발라드,286033,10762,498288
"시작됐나, 봄",장덕철,2019.03.05,발라드,26926,,
봄이 오는 날에,김민석,2019.03.06,"발라드, 인디음악",24374,357,23013
BIRD,하성운,2019.02.28,댄스,47439,6302,111657
너라는 세상,스탠딩 에그(Standing Egg),2019.03.03,"발라드, 인디음악",12978,,
Euphoria,방탄소년단,2018.08.24,랩/힙합,243787,,
오늘 뭐 했는지 말해봐,권진아,2019.02.28,발라드,57957,435,41568
어느날 머리에서 뿔이 자랐다,투모로우바이투게더,2019.03.04,댄스,108938,7209,182645
I`m Fine,방탄소년단,2018.08.24,랩/힙합,228752,,
가을 안부,먼데이 키즈,2017.10.14,발라드,180586,524,116064
사랑해서 그래,강민경,2019.02.27,발라드,34710,383,73393
미운 날,닐로,2019.02.25,발라드,43261,310,31727
행복,오반,2018.12.06,"랩/힙합, 인디음악",130581,639,71616
오롯이,헤이즈,2019.02.14,발라드,36197,,
HandClap,Fitz & The Tantrums,2017.07.24,POP,196603,217,89673
사랑하지 말아요,이석훈,2019.01.24,발라드,40916,408,23211
WANT,태민,2019.02.11,댄스,44748,3341,154165
Wind flower,마마무,2018.11.29,R&B/Soul,73534,3969,291684
해야,여자친구,2019.01.14,댄스,73070,3554,434311
Heu !,수퍼비,2019.01.23,랩/힙합,56334,,
오랜만이야,로꼬,2019.02.07,랩/힙합,48719,1030,90336
남은 기억,윤딴딴,2019.01.28,"발라드, 인디음악",22130,306,20264
알았다면,장덕철,2018.12.20,발라드,52203,149,38201
잊지마요,하성운,2019.01.28,발라드,64353,,
이별을 걷다,황치열,2019.01.21,발라드,21332,1186,73735
행성,GroovyRoom,2019.01.29,랩/힙합,47248,,
Candle,"박우진, 이대휘",2019.01.29,R&B/Soul,54271,4040,56858
잘 지내요,정승환,2018.09.11,"발라드, 국내드라마",78821,1188,186883
Good To Me,세븐틴,2019.01.21,댄스,64282,,
DNA,방탄소년단,2017.09.18,랩/힙합,373004,38946,2527312
Home,세븐틴,2019.01.21,댄스,135647,9390,219040
IndiGO,"저스디스, Kid Milli, NO:EL, 영비",2018.06.24,랩/힙합,131547,5079,272959
My Way,이수,2017.11.11,"발라드, 국내드라마",163230,730,160024
봄바람,Wanna One,2018.11.19,댄스,144715,17674,609557
그 남자를 떠나,god,2019.01.10,댄스,22699,,
너나 해,마마무,2018.07.16,댄스,127276,5011,856782
사랑 알 수 없나봐,폴킴,2018.12.16,"발라드, 국내드라마",42403,913,40543
꿈처럼 내린,다비치,2018.10.16,"발라드, 국내드라마",57185,659,94645
Good Day,"pH-1, Kid Milli, 루피",2018.10.06,랩/힙합,195326,,
flex,"기리보이, Kid Milli, NO:EL, 스윙스",2018.07.31,랩/힙합,171801,7288,440551
그대가 내 안에 박혔다,황치열,2018.11.20,발라드,45713,1319,51750
수퍼비와,SUPERBEE,2018.11.03,랩/힙합,84910,,
We all lie,하진,2018.12.12,"록/메탈, 국내드라마",83562,648,132438
시간이 들겠지,로꼬,2018.10.08,랩/힙합,158082,1129,153738
우리 그만하자,로이킴,2018.09.18,발라드,138578,1339,155672
라비앙로즈,IZ*ONE,2018.10.29,댄스,137416,11813,1203875
흔한 이별,허각,2018.11.28,발라드,85271,353,93163
Wait,EXO,2018.12.13,발라드,81578,,
그날처럼,장덕철,2017.11.28,발라드,251337,545,300090
사랑을 했다,iKON,2018.01.25,랩/힙합,329729,3878,72047
Dance The Night Away,TWICE,2018.07.09,댄스,188037,7920,2379409
Roller Coaster,청하,2018.01.17,댄스,187911,2954,1104319
RBB,레드벨벳(Red Velvet),2018.11.30,댄스,74121,5524,610422
Snowman,Sia,2022.12.30,POP,245678,437,36413
아름답고도 아프구나,비투비,2018.11.12,발라드,174977,9070,199639
%%(응응),에이핑크,2019.01.07,댄스,49706,2623,490370
I`m Here,양다일,2019.01.06,"발라드, 국내드라마",12542,301,37016
에너제틱,Wanna One,2017.08.07,댄스,288648,23855,517052
첫눈처럼 너에게 가겠다,에일리,2017.01.07,"발라드, 국내드라마",349533,,
이별길,iKON,2018.10.01,발라드,104109,2339,14850
미안해,양다일,2017.12.29,R&B/Soul,213129,567,127689
사이렌,선미,2018.09.04,댄스,135684,2209,1110803
뚜두뚜두,BLACKPINK,2018.06.15,랩/힙합,257151,5009,271107
Tempo,EXO,2018.11.02,댄스,201333,21512,626629
습관,숀,2019.01.01,"인디음악, 일렉트로니카",47387,215,81411
그때 헤어지면 돼,로이킴,2018.02.12,발라드,233070,1547,243770
주지마,"로꼬, 화사",2018.04.21,발라드,204537,,
알러뷰,EXID,2018.11.21,댄스,42494,1173,424639
너 없인 안 된다,비투비,2018.06.18,발라드,202354,10630,400345
헤어지는 중,펀치,2018.09.12,R&B/Soul,129134,,
동화,김동률,2018.12.07,발라드,66185,1514,133347
하루도 그대를 사랑하지 않은 적이 없었다,임창정,2018.09.19,발라드,176580,888,215038
FAKE LOVE,방탄소년단,2018.05.18,랩/힙합,336628,32613,1737553
첫눈에,헤이즈,2018.12.14,R&B/Soul,76438,1270,2921932
