,music,singer,release_date,category,music_like,movie_like,movie_views
353,빌려줄게,신용재,2016.10.13,발라드,78644,372.0,87718.0
354,Be With You,AKMU,2016.10.11,"발라드, 국내드라마",38405,,
355,길어야 5분,10cm,2016.10.11,"인디음악, 포크/블루스",20512,425.0,43642.0
356,Stigma,방탄소년단,2016.10.10,R&B/Soul,96830,,
357,어떻게 지내,크러쉬,2016.10.14,R&B/Soul,157584,1960.0,231340.0
358,내 사람,박보검,2016.10.11,"발라드, 국내드라마",54118,3152.0,1223119.0
359,피 땀 눈물,방탄소년단,2016.10.10,랩/힙합,274967,29809.0,2399372.0
360,그렇게 있어 줘,산들,2016.10.04,발라드,35846,2400.0,190406.0
361,Beautiful Tomorrow,박효신,2016.10.03,발라드,58143,8677.0,330032.0
362,1 of 1,샤이니,2013.02.19,댄스,56969,3024.0,247168.0
363,세 단어,젝스키스,2016.10.07,발라드,71846,8022.0,588581.0
364,Love Is Over,백지영,2016.09.28,"발라드, 국내드라마",10741,391.0,87343.0
365,그리워 그리워서,베이지,2016.09.27,"발라드, 국내드라마",28222,511.0,93099.0
366,그대라는 사치,한동근,2016.08.24,발라드,199741,889.0,287911.0
367,그게 뭐라고,"케이윌, 매드클라운",2016.09.23,발라드,40300,,
368,내가 설렐 수 있게,에이핑크,2016.09.26,댄스,62385,3164.0,622507.0
369,하드캐리,GOT7,2016.09.27,랩/힙합,39662,2825.0,155868.0
370,숨,박효신,2016.10.03,발라드,218027,9290.0,557025.0
371,If You,에일리,2016.08.23,발라드,77044,947.0,289357.0
372,녹는다,케이윌,2016.09.20,"발라드, 국내드라마",17125,671.0,67102.0
373,NEW YORK,마마무,2016.09.21,댄스,27998,4130.0,386211.0
374,이 소설의 끝을 다시 써보려 해,한동근,2014.09.30,발라드,235030,1371.0,440455.0
375,Dancing King,"유재석, EXO",2016.09.17,댄스,118641,14365.0,915706.0
376,내 곁에 서 있어줘,비투비-블루,2016.09.19,발라드,51091,5447.0,103545.0
377,내 마음 들리나요,에픽하이,2016.09.20,"랩/힙합, 국내드라마",42401,,
378,태풍,인피니트,2016.09.19,댄스,59117,8666.0,363882.0
379,All With You,태연,2016.09.13,"발라드, 국내드라마",39646,3404.0,179549.0
380,puzzle,"씨잼, 비와이(BewhY)",2016.08.11,랩/힙합,110410,,
381,휘파람,BLACKPINK,2016.08.08,랩/힙합,159612,4379.0,257148.0
382,"다정하게, 안녕히",성시경,2016.09.14,"발라드, 국내드라마",54961,1542.0,199776.0
383,러시안 룰렛,레드벨벳(Red Velvet),2016.09.07,댄스,176295,8728.0,2131513.0
384,그대를 잊는다는 건,다비치,2016.09.06,"발라드, 국내드라마",54519,,
385,너를 위해,"첸, 백현, 시우민",2016.08.25,"발라드, R&B/Soul, 국내드라마",155748,10649.0,425019.0
386,안갯길),벤,2016.09.13,"발라드, 국내드라마",73938,863.0,118895.0
387,구르미 그린 달빛,거미,2016.09.06,"발라드, 국내드라마",77474,1235.0,308162.0
388,내가 저지른 사랑,임창정,2016.09.06,발라드,237608,2935.0,659803.0
389,붐붐,세븐틴,2016.12.05,댄스,82518,7789.0,320573.0
390,어디선가 언젠가,성시경,2016.12.08,"발라드, 국내드라마",28923,667.0,73205.0
391,커플,젝스키스,1998.10.03,댄스,66423,3020.0,196295.0
392,Stay With Me,"찬열, 펀치",2016.12.03,"발라드, 랩/힙합, 국내드라마",214455,8555.0,746190.0
393,저 별,헤이즈,2016.12.05,R&B/Soul,159676,1897.0,323687.0
394,그 겨울,정승환,2016.11.29,발라드,32939,,
395,BERMUDA TRIANGLE,지코,2016.11.28,랩/힙합,113266,3617.0,562961.0
396,그냥 한번,백아연,2016.11.30,발라드,17670,,
397,거짓말이야,비원에이포,2016.11.28,댄스,49916,4016.0,258010.0
398,이 바보야,정승환,2016.11.29,발라드,134961,2032.0,1329012.0
399,All I Wanna Do,박재범,2016.10.20,R&B/Soul,231217,3869.0,1136306.0
400,그대라는 세상,윤미래,2016.11.24,"발라드, 국내드라마",23176,378.0,119053.0
401,너무너무너무,아이오아이,2016.10.17,댄스,110100,7539.0,2505807.0
402,꽃길,세정,2016.11.23,발라드,170116,3531.0,565758.0
403,나쁜X,산이,2016.11.24,랩/힙합,36000,,
404,나비잠,"희철, 민경훈",2016.11.20,록/메탈,120563,3867.0,842491.0
405,우주를 줄게,볼빨간사춘기,2016.08.29,"인디음악, 포크/블루스",288211,4088.0,1027382.0
406,가끔,긱스,2016.11.14,랩/힙합,54973,207.0,74669.0
407,불장난,BLACKPINK,2016.11.01,댄스,199312,7591.0,2326930.0
408,11:11,태연,2016.11.01,발라드,204082,4321.0,463303.0
409,Decalcomanie,마마무,2016.11.07,댄스,152366,5841.0,1296949.0
410,TT,TWICE,2016.10.24,댄스,185820,15519.0,5758429.0
411,노력,박원,2016.11.17,발라드,199211,640.0,165305.0
412,WE LIKE 2 PARTY,BIGBANG,2015.06.01,랩/힙합,103241,9178.0,1182362.0
413,느린 편지,딘딘,2016.11.30,랩/힙합,6854,,
414,ROAD FIGHTER,젝스키스,1998.07.15,댄스,13448,2616.0,84044.0
415,Home,박효신,2016.10.03,발라드,79595,7022.0,245375.0
416,걱정 말아요 그대,"조정석, D.O.",2016.11.24,국내영화,32838,9570.0,179171.0
417,받는 사랑이 주는 사랑에게,다비치,2016.10.13,발라드,35140,1201.0,116321.0
418,Juliet,EXO-CBX,2016.10.31,댄스,47576,,
419,The One,EXO-CBX,2016.10.31,댄스,54800,,
420,심술,볼빨간사춘기,2016.04.22,"인디음악, 포크/블루스",150656,2002.0,335362.0
421,잠은 다 잤나봐요,"소유, 유승우",2016.08.23,"발라드, 국내드라마",43706,621.0,127634.0
422,내가 예뻐진 이유,"벤, 정은지(에이핑크), 지효(TWICE)",2016.11.06,발라드,8917,,
423,떠나지마,양다일,2016.11.03,R&B/Soul,27167,415.0,46424.0
424,붐바야,BLACKPINK,2016.08.08,랩/힙합,115779,4327.0,191385.0
425,탈진,김영근,2016.09.23,록/메탈,41943,,
426,Say Yes,"로꼬, 펀치(Punch)",2016.08.29,"발라드, 국내드라마",100319,1639.0,226083.0
427,투명 우산,샤이니,2016.10.05,R&B/Soul,49169,,
428,불타오르네,방탄소년단,2016.05.02,댄스,242988,26658.0,2626303.0
429,Lotto,EXO,2016.08.18,댄스,122795,15735.0,682206.0
430,너만이,유승우,2016.09.27,"발라드, 인디음악",44291,400.0,58904.0
431,Lie,방탄소년단,2016.10.10,랩/힙합,103561,,
432,Don’t Stop,샤이니,2016.10.05,R&B/Soul,14211,,
433,결정,형돈이와 대준이,2016.09.22,댄스,20561,504.0,102895.0
434,꽐라,바비,2016.09.07,랩/힙합,40663,1632.0,47326.0
435,So Amazing,샤이니,2016.10.05,댄스,17228,,
436,SHIFT,샤이니,2016.10.05,댄스,17446,,
437,Sticky,나다,2016.08.27,랩/힙합,9141,,
438,걱정말아요 그대,이적,2015.11.07,"발라드, 국내드라마",175230,,
439,붐벼,MOBB,2016.09.09,랩/힙합,17852,909.0,19751.0
440,Lucky Girl,레드벨벳(Red Velvet),2016.09.07,댄스,32111,,
441,이별 후,임창정,2016.09.06,발라드,11665,,
442,Sunny Afternoon,레드벨벳(Red Velvet),2016.09.07,댄스,23629,,
443,너에게 달려간다,임창정,2016.09.06,발라드,2573,,
444,또 설레이는 이 길,임창정,2016.09.06,발라드,3452,,
445,세상에 하나뿐인 나,임창정,2016.09.06,발라드,3939,,
446,Angel,마마무,2016.08.31,발라드,14832,3246.0,121810.0
447,International Wave,"비와이(BewhY), Talib Kweli",2016.09.03,랩/힙합,9434,396.0,44180.0
448,나만 안되는 연애,볼빨간사춘기,2016.08.29,"인디음악, 포크/블루스",207353,2835.0,446662.0
449,DAB DAB,마마무,2016.08.31,댄스,11038,3286.0,119992.0
450,내 얘길 들어봐,오마이걸,2016.08.01,댄스,70211,3381.0,472815.0
451,딜레마,Homme,2016.08.30,발라드,7113,178.0,34639.0
452,무서워,"나다, 전소연",2016.08.20,랩/힙합,11923,,
453,스토커,10cm,2014.11.19,"인디음악, 포크/블루스",264859,929.0,285654.0
454,이 사랑,다비치,2016.03.03,"발라드, 국내드라마",168944,2740.0,760465.0
455,Summer Night,GRAY,2016.08.17,R&B/Soul,25446,,
456,Falling,조현아,2016.08.19,"발라드, 국내드라마",6311,270.0,80012.0
457,You Are My Everything,거미,2016.03.10,"발라드, 국내드라마",136608,2144.0,661149.0
458,한숨,이하이,2016.03.09,R&B/Soul,275454,2137.0,539695.0
459,Monster,EXO,2016.06.09,댄스,154597,16844.0,1342575.0
460,오늘부터 우리는,여자친구,2015.07.23,댄스,138612,5180.0,2264269.0
461,비밀이야,우주소녀,2016.08.17,댄스,52202,1811.0,420564.0
462,"여름, 아이스크림",한해,2016.08.18,랩/힙합,8262,323.0,43479.0
463,그 여름,소녀시대,2016.08.05,발라드,36381,1889.0,177864.0
464,OOH-AHH하게,TWICE,2015.10.20,댄스,142865,10974.0,4936221.0
465,너였다면,정승환,2016.05.31,"발라드, 국내드라마",234073,,
466,입술에 입술(Lip 2 Lip),나인뮤지스A,2016.08.04,댄스,10739,547.0,249545.0
467,밤과 별의 노래,"온유, 이진아",2016.08.12,"재즈, 애시드/퓨전/팝",44182,1990.0,75916.0
468,사랑이 아프다,환희,2016.08.05,"발라드, 국내드라마",40125,,
469,안아줘,정준일,2011.11.23,"인디음악, 록/메탈",229309,606.0,103052.0
470,시간을 달려서,여자친구,2016.01.25,댄스,168700,3218.0,397331.0
471,어디에도,엠씨더맥스,2016.01.28,발라드,238960,3153.0,567067.0
472,신사,"자이언티(Zion.T), 씨잼(Cjamm), 레디(Reddy), 서출구",2016.06.18,랩/힙합,32443,1114.0,143408.0
473,Starlight,태연,2016.06.28,발라드,84450,3828.0,324560.0
474,꿈처럼,벤,2016.05.10,"발라드, 국내드라마",131551,,
475,공중도덕,"The Quiett, Superbee, myunDo, Flowsik, 도끼",2016.06.18,랩/힙합,38955,1286.0,177816.0
476,그 애,정엽,2016.07.04,"발라드, 국내드라마",21212,,
477,밀지마,"웬디, 슬기",2016.07.22,"발라드, 국내드라마",26666,,
478,자격지심,박경,2016.05.25,랩/힙합,120221,3631.0,717030.0
479,No Way,"박용인, 권순일",2016.06.20,"발라드, 국내드라마",27743,,
480,하늘바라기,정은지,2016.04.18,발라드,164022,4113.0,778746.0
481,All Mine,f(x),2016.07.22,일렉트로니카,70217,1814.0,294155.0
482,Beverly 1lls,도끼,2016.07.19,랩/힙합,38715,342.0,101359.0
483,쌈박자,"비와이(BewhY), 사이먼 도미닉",2016.07.16,랩/힙합,14143,924.0,83820.0
484,못참겠어,에릭남,2016.07.15,댄스,28978,1033.0,164437.0
485,여기까지,"샘김, 권진아",2016.07.18,발라드,76014,1376.0,433315.0
486,도깨비,"플로우식, 해쉬스완, 보이비, 우태운, G2",2016.07.16,랩/힙합,15055,880.0,66830.0
487,쏘쏘,백아연,2016.05.24,R&B/Soul,95991,1356.0,416150.0
488,Ring My Bell,수지,2016.07.01,"발라드, 국내드라마",36294,1531.0,255691.0
489,냉탕에 상어,슈퍼비,2015.10.26,랩/힙합,67371,,
490,Bye bye my blue,백예린,2016.06.20,R&B/Soul,234128,2473.0,285500.0
491,The Time Goes On,비와이(BewhY),2015.03.10,랩/힙합,107403,1197.0,264395.0
492,니가 알던 내가 아냐,"사이먼 도미닉, 원(ONE), 지투(G2), BewhY",2016.06.18,랩/힙합,65395,1787.0,309930.0
493,미친놈,샵건,2016.07.09,랩/힙합,38078,358.0,132588.0
494,Day Day,비와이(BewhY),2016.07.09,랩/힙합,119963,1364.0,401808.0
495,CHEER UP,TWICE,2016.04.25,댄스,209577,14330.0,6035009.0
496,Why,태연,2016.06.28,댄스,121218,5088.0,714813.0
497,맘 편히,"사이먼 도미닉, GRAY, 원",2016.06.25,랩/힙합,82499,1815.0,216064.0
498,I Like That,씨스타,2016.06.21,댄스,47729,2444.0,1420457.0
499,호랑나비,보이비,2016.07.02,랩/힙합,58012,338.0,223176.0
500,리본,비스트,2016.07.04,발라드,73589,5433.0,310800.0
