,music,singer,music_id,release_date,category,music_like,comment_count
0,또 하루,Gary,30700709,2017.10.30,발라드,31788,272
1,어땠을까,김나영,7998349,2015.12.30,발라드,72711,33
2,소녀,오혁,7942948,2015.11.21,"발라드, 국내드라마",199349,165
3,걱정말아요 그대,이적,7921208,2015.11.07,"발라드, 국내드라마",175393,170
4,함께,노을,7985298,2015.12.19,"발라드, 국내드라마",73914,96
5,DADDY,싸이,7956304,2015.12.01,댄스,60011,46
6,사랑이 맞을거야,윤미래,7975242,2015.12.14,발라드,42378,12
7,매일 그대와,소진,7993256,2015.12.26,"발라드, 국내드라마",20222,13
8,나팔바지,싸이,7956303,2015.12.01,댄스,65219,73
9,청춘,김필,7909196,2015.10.31,"포크/블루스, 국내드라마",89380,80
10,유레카,지코,7965449,2015.12.07,랩/힙합,92148,105
11,혜화동,박보람,7953577,2015.11.28,"발라드, 국내드라마",80656,97
12,다시,터보,7985328,2015.12.21,댄스,22282,12
13,OOH-AHH하게,TWICE,7891119,2015.10.20,댄스,142955,394
14,네게 줄 수 있는건 오직 사랑뿐,디셈버,7964823,2015.12.05,"발라드, 국내드라마",33330,32
15,덤앤더머,iKON,7991610,2015.12.24,랩/힙합,39279,78
16,불공평해,EXO,7971051,2015.12.10,발라드,111740,232
17,화이트,다비치,7979764,2015.12.16,댄스,38987,59
18,또 다시 사랑,임창정,7861392,2015.09.22,발라드,197191,115
19,Boys And Girls,지코,7911687,2015.11.03,랩/힙합,157991,208
20,HOT PINK,EXID,7935396,2015.11.18,댄스,43208,48
21,우주를 건너,백예린,7953958,2015.11.30,R&B/Soul,165200,158
22,Hello,Adele,7933703,2015.11.19,랩/힙합,63810,57
23,오늘부터 우리는,여자친구,5791706,2015.07.23,댄스,138717,908
24,스물셋,아이유,7896508,2015.10.23,댄스,189306,847
25,Ah-Choo,러블리즈,7870472,2015.10.01,댄스,87072,900
26,호구,기리보이,7995991,2015.12.29,랩/힙합,104322,250
27,I,태연,7877917,2015.10.07,록/메탈,221525,850
28,취향저격,iKON,7854179,2015.11.16,랩/힙합,144139,309
29,열두 시가 되면,가인,7987620,2015.12.22,댄스,30280,76
30,사랑했지만,첸,7993438,2015.12.28,발라드,21923,28
31,아니라고,iKON,7991612,2015.12.24,랩/힙합,26134,72
32,No Make Up,자이언티,7881505,2015.10.12,R&B/Soul,157977,119
33,친구라도 될 걸 그랬어,거미,418598,2003.02.01,R&B/Soul,87334,80
34,Dream,싸이,7956305,2015.12.01,발라드,40716,101
35,Dear Santa,소녀시대태티서,7963662,2015.12.04,댄스,51281,127
36,밤의 멜로디,브라운아이드소울,7967337,2015.12.08,R&B/Soul,27887,60
37,비처럼 음악처럼,백현,7993439,2015.12.28,발라드,35691,96
38,비가 내리면,멜로디데이,7993812,2015.12.28,발라드,8337,12
39,왜 또,iKON,7991611,2015.12.24,랩/힙합,25116,48
40,이별밖에,노을,7946059,2015.11.26,발라드,29586,20
41,Love Line,"효린,범키,주영",7977442,2015.12.18,R&B/Soul,12565,23
42,바람이나 좀 쐐,Gary,7956302,2015.12.01,댄스,34556,82
43,불꽃,초아,7981508,2015.12.17,발라드,15917,28
44,RUN,방탄소년단,7953785,2015.11.30,댄스,178105,745
45,크리스마스니까,"성시경,박효신,이석훈,서인국,빅스",3973781,2012.12.06,발라드,162004,661
46,안아보자,포맨,7924015,2015.11.10,발라드,49192,41
47,보라빛향기,WABLE,7971283,2015.12.12,"댄스, 국내드라마",17328,16
48,겁,MINO,5826447,2015.08.22,랩/힙합,158711,366
49,지못미,iKON,7931712,2015.11.16,R&B/Soul,56354,121
50,아마도 그건,"크러쉬,로꼬",7991734,2015.12.24,랩/힙합,8064,21
51,심쿵해,AOA,5748406,2015.06.22,댄스,82073,382
