,music,singer,music_id,release_date,category,music_like,comment_count
0,METEOR,창모,32224272,2019.11.29,랩/힙합,297386,4649
1,Psycho,레드벨벳,32273582,2019.12.23,댄스,239255,5695
2,아마두,"염따,딥플로우,팔로알토,TheQuiett,사이먼도미닉",32228058,2019.12.03,랩/힙합,165187,3289
3,Blueming,아이유,32183386,2019.11.18,록/메탈,353752,2732
4,늦은 밤 너의 집 앞 골목길에서,노을,32156286,2019.11.07,발라드,207834,1467
5,Square,백예린,32243273,2019.12.10,R&B/Soul,275229,2774
6,HIP,마마무,32175937,2019.11.14,댄스,140491,1512
7,"다시는 사랑하지 않고, 이별에 아파하기 싫어",백지영,32271720,2019.12.22,발라드,75313,480
8,Love poem,아이유,32143487,2019.11.01,록/메탈,341427,3059
9,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU,32061975,2019.09.25,발라드,404157,2457
10,Into the Unknown,"IdinaMenzel,AURORA",32180585,2019.11.15,"POP, 애니메이션/웹툰, 키즈, 만화",170488,700
11,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,32003395,2019.08.23,"록/메탈, 국내드라마",312452,1468
12,나의 오랜 연인에게,다비치,32226962,2019.12.03,발라드,89756,751
13,조금 취했어,임재현,32059630,2019.09.24,"발라드, 인디음악",127892,1942
14,안녕,폴킴,31984204,2019.08.12,"발라드, 국내드라마",214557,516
15,오늘도 빛나는 너에게,마크툽,31853557,2019.06.09,"R&B/Soul, 인디음악",277901,1105
16,사랑이란 멜로는 없어,전상근,32034629,2019.09.08,발라드,138116,600
17,헤어진 우리가 지켜야 할 것들,"김나영,양다일",32224383,2019.12.01,발라드,78417,2451
18,십이월 이십오일의 고백,정승환,32235310,2019.12.05,발라드,77309,908
19,이 번호로 전화해줘,바이브,32171791,2019.11.13,발라드,67839,1136
20,빌었어,창모,32224271,2019.11.29,랩/힙합,142573,961
21,2002,AnneMarie,32091557,2019.10.12,발라드,98917,1339
22,작은 것들을 위한 시,방탄소년단,31737197,2019.04.12,댄스,441846,8710
23,"모든 날, 모든 순간",폴킴,30962526,2018.03.20,"발라드, 국내드라마",420741,1074
24,시든 꽃에 물을 주듯,HYNN,31703498,2019.03.31,발라드,218667,1000
25,Show Yourself,"IdinaMenzel,EvanRachelWood",32180594,2019.11.15,"POP, 애니메이션/웹툰, 키즈, 만화",101461,688
26,있어줘요,장덕철,32085144,2019.10.09,"발라드, 인디음악",87121,546
27,인기,MC몽,32128104,2019.10.25,랩/힙합,81836,2120
28,시간의 바깥,아이유,32182535,2019.11.18,록/메탈,148678,1101
29,첫 겨울이니까,"성시경,아이유",32240554,2019.12.09,발라드,60030,513
30,포장마차,황인욱,31873020,2019.06.20,발라드,160022,563
31,니 소식,송하예,31788850,2019.05.11,발라드,202917,1481
32,불티,태연,32130396,2019.10.28,댄스,121409,1128
33,사랑에 연습이 있었다면,임재현,31324607,2018.09.25,발라드,226320,3171
34,다시 만날까 봐,VOS,32021744,2019.09.01,발라드,96177,221
35,bad guy,BillieEilish,31701428,2019.03.29,POP,263866,1005
36,Obsession,EXO,32217921,2019.11.27,댄스,122054,5727
37,이별주,황인욱,32142272,2019.11.01,발라드,63116,310
38,기억해줘요 내 모든 날과 그때를,거미,31967064,2019.08.04,"발라드, 국내드라마",160391,417
39,사랑이 식었다고 말해도 돼,먼데이키즈,31829536,2019.05.27,발라드,128190,449
40,BAND,"창모,HashSwan,ASHISLAND,김효은",31854689,2019.06.08,랩/힙합,138817,869
41,너를 만나,폴킴,31388145,2018.10.29,발라드,318474,967
42,워커홀릭,볼빨간사춘기,32038651,2019.09.10,"인디음악, 록/메탈",150575,693
43,Santa Tell Me,ArianaGrande,5475060,2014.11.24,POP,231749,819
