,music,singer,music_id,release_date,category,music_like,comment_count
0,Dancing Queen,소녀시대,3994911,2013.01.01,댄스,21566,36
1,사랑은 이렇게,케이윌,3995922,2012.12.22,"발라드, 국내드라마",9927,11
2,숲,이승기,3968836,2012.11.22,발라드,155630,361
3,카페인,양요섭,3971021,2012.11.26,발라드,80677,205
4,매력있어,AKMU,3987723,2012.12.12,포크/블루스,38280,36
5,크리스마스니까,"성시경,박효신,이석훈,서인국,빅스",3973781,2012.12.06,발라드,162004,661
6,Goodbye To Romance,써니힐,3986978,2012.12.14,발라드,72387,278
7,Don`t Go,디셈버,3994075,2012.12.20,발라드,6583,10
8,Thank U For,XIA,3996293,2012.12.24,발라드,20535,78
9,"Officially Missing You, Too","긱스,소유",3946867,2012.11.01,발라드,108329,76
10,하지 못한 말,노을,3953192,2012.11.06,발라드,91764,124
11,반창꼬,노을,3986186,2012.12.11,발라드,31506,30
12,Talk That,시크릿,3976699,2012.12.04,댄스,11959,23
13,나쁜 사람,주니엘,3983239,2012.12.10,발라드,14129,15
14,키다리 아저씨,백아연,3989869,2012.12.15,"발라드, 국내드라마",13039,9
15,혼자라고 생각말기,김보경,4021259,2013.01.28,발라드,41759,89
16,다리꼬지마,AKMU,3970899,2012.11.25,포크/블루스,41645,49
17,눈물나게 아름다운,"조권,니엘,지오,양요섭,우현",3995040,2012.12.21,랩/힙합,7297,4
18,하얀 겨울,"김범수,박정현",3976916,2012.11.30,발라드,21461,34
19,하얀 설레임,"케이윌,소유,정민",3975504,2012.11.29,댄스,18668,28
20,"1,2,3,4",이하이,3946768,2012.10.29,R&B/Soul,74601,77
21,보여줄게,에일리,3929469,2012.10.16,댄스,98344,123
22,안아보자,제아,4000530,2013.01.04,R&B/Soul,12506,11
23,서랍정리,빅마마,3995016,2012.12.27,발라드,2692,7
24,다 잊었니,투빅,3999236,2012.12.27,발라드,7065,5
25,회상,김종국,3995096,2012.12.21,발라드,2923,1
26,Yesterday,"정진운,엘조,이준,호야,이기광",3999213,2012.12.27,댄스,15518,33
27,썸데이,더원,3996324,2012.12.23,발라드,21467,21
28,힐링이 필요해,로이킴,3964483,2012.11.19,록/메탈,37761,49
29,다 예뻐,"한선화,영재",3999217,2012.12.27,발라드,14769,33
30,먼지가 되어,"로이킴,정준영",3928293,2012.10.15,록/메탈,60110,168
31,인어공주,"강지영,보라,한선화,허가윤,리지",3997737,2012.12.26,댄스,20467,147
32,이러지마 제발,케이윌,3922071,2012.10.11,발라드,80786,142
33,휘파람,로이킴,3936237,2012.10.22,발라드,53094,62
34,사랑이 다른 사랑으로 잊혀지네,하림,1589050,2004.04.09,발라드,69767,137
35,귀여워,"별,권정열",3940533,2012.10.24,발라드,49757,38
36,백야,넬,3978258,2012.12.03,록/메탈,23536,27
37,One Day More,LesMiserablesCast,3996819,2012.01.01,국외영화,14887,26
38,바람기억,나얼,3910821,2012.09.20,R&B/Soul,213193,221
39,All For You,"정은지,서인국",3890826,2012.08.28,발라드,176256,195
40,스쳐간다,로이킴,3972199,2012.11.27,발라드,23408,40
41,Beautiful Day,"지나,산체스",3987981,2012.12.13,댄스,7485,5
42,있기 없기,Dal★Shabet,3991037,2012.12.18,발라드,4253,6
43,허수아비,이하이,3968900,2012.11.22,발라드,39951,43
44,인연,소향,3990669,2012.12.16,발라드,10396,17
45,남자 없이 잘 살아,MissA,3953475,2012.11.12,댄스,11331,32
46,If You Love Me,NSYoonG,3988048,2012.12.13,댄스,11860,23
47,Ice Cream,현아,3935594,2012.10.21,댄스,19425,33
48,똑같은 사랑 똑같은 이별,어반자카파,3940755,2012.10.30,발라드,47318,20
49,Young Girls,BrunoMars,3986045,2012.12.07,R&B/Soul,15606,11
50,피어나,가인,3911750,2012.10.05,댄스,65583,119
51,그 자리에 있어,스탠딩에그,3994704,2012.12.21,"발라드, 인디음악",13069,15
52,오늘 뭐해?,헬로비너스,3987108,2012.12.12,댄스,9255,33
53,From Mark,하동균,3990947,2012.12.17,발라드,19349,37
54,슬픈 인연,이은미,3996321,2012.12.23,발라드,1357,2
55,사랑한다는 말,이승기,33129716,2020.12.10,발라드,3997,29
56,닐리리맘보,블락비,3928713,2012.10.17,댄스,57598,113
57,말리꽃,이정,3928194,2012.10.14,발라드,24631,18
58,눈물 같은 사람,최강창민,3992531,2012.12.18,"발라드, 국내드라마",4423,19
59,독약,더씨야,3982256,2012.12.06,발라드,9399,18
60,노스텔지아,가인,3976806,2012.11.30,발라드,25666,50
61,쩔어,뚱스,3971070,2012.11.26,랩/힙합,8373,23
62,니 얼굴 떠올라,별,3980980,2012.12.05,발라드,11344,14
63,I Dreamed A Dream,AnneHathaway,3996810,2012.01.01,국외영화,15568,23
64,천국이니까,엠블랙,3997781,2012.12.26,"발라드, 국내드라마",1425,2
65,Tears Always Win,AliciaKeys,3971177,2012.11.26,R&B/Soul,20976,14
66,멀어질까봐,CClown,3962253,2012.11.15,댄스,3617,24
67,사랑하면 안돼요,이석훈,3987106,2012.12.12,"발라드, 국내드라마",3970,4
68,I Need You,"허각,지아",3884575,2012.08.21,발라드,114118,86
69,Happy Brand New Year,"버벌진트,팬텀,애즈원,미스에스,스윙스,앤썬,범키",3053259,2010.12.09,댄스,170810,1082
70,춥다,에픽하이,3922586,2012.10.19,랩/힙합,68372,125
71,저녁 하늘,에일리,3929471,2012.10.16,발라드,176993,328
72,눈물이 툭,지아,3963395,2012.11.16,발라드,10512,6
73,응급실,정준영,3957743,2012.11.12,발라드,18793,31
74,나를 잊지마요,걸스데이,3939070,2012.10.26,댄스,22560,92
75,사랑은 눈꽃처럼,XIA,3914860,2012.09.26,"발라드, 국내드라마",65740,203
76,립스틱,오렌지캬라멜,3903316,2012.09.12,댄스,32985,54
