,music,singer,release_date,category,music_like,movie_like,movie_views,Unnamed: 0
872,별일 아니야,김경록,2014.01.07,발라드,3903,119.0,18126.0,
873,행복하지마,"마마무, 범키",2014.01.09,R&B/Soul,32017,2570.0,201975.0,
874,30 SEXY,비,2014.02.07,댄스,3045,,,
875,백야,엠씨더맥스,2014.01.02,발라드,64245,985.0,57824.0,
876,노래가 늘었어,에일리,2014.01.06,발라드,82713,558.0,392210.0,
877,이별식탁,산이,2013.11.21,랩/힙합,42548,371.0,281635.0,
878,어떻게 널 잊어,나몰라패밀리N,2013.12.31,랩/힙합,2594,,,
879,You are a miracle,2013 SBS 가요대전 FRIENDSHIP PROJECT,2013.12.30,발라드,6617,196.0,80128.0,
880,LA SONG,비,2014.01.02,댄스,21448,486.0,750302.0,
881,내 이야기,엠씨더맥스,2014.01.02,발라드,6384,,,
882,입술의 말,엠씨더맥스,2014.01.02,발라드,66186,,,
883,퇴근길,엠씨더맥스,2014.01.02,발라드,12110,892.0,20043.0,
884,Something,걸스데이,2014.01.03,댄스,56647,1528.0,2101226.0,
885,그때 우리,엠씨더맥스,2014.01.02,발라드,43552,967.0,50509.0,
886,가질 수 없는 너,하이니,2013.11.22,"발라드, 국내드라마",31707,79.0,98608.0,
887,너 밖에 몰라,효린,2013.11.26,댄스,22281,264.0,395033.0,
888,미슬토우,"긱스, 팬텀, 에스나",2013.12.20,랩/힙합,8016,,,
889,이별남녀,"서인국, 지아",2013.12.02,발라드,37104,,,
890,꾸리스마스,크레용팝,2013.11.26,댄스,13290,446.0,887083.0,
891,시작,고아라,2013.12.20,"발라드, 국내드라마",25413,139.0,103819.0,
892,I Love You,"알리,임재범",2013.12.23,발라드,8471,129.0,43815.0,
893,천국,바이브,2013.12.24,발라드,12798,160.0,52684.0,
894,My Destiny,린,2013.12.26,"발라드, 국내드라마",64023,305.0,197457.0,
895,너를,브라운 아이드 소울,2015.12.08,R&B/Soul,30464,,,
896,미리 메리 크리스마스,아이유,2010.12.09,댄스,170812,,,
897,첫 눈,EXO,2013.12.09,발라드,206892,,,
898,향기만 남아,허각,2013.11.11,발라드,41980,164.0,117566.0,
899,운명,"김성균, 도희",2013.12.27,"발라드, 국내드라마",18589,151.0,118846.0,
900,Red Candle,손담비,2013.12.23,댄스,2932,37.0,41041.0,
901,그리워해요,2NE1,2013.11.21,발라드,75730,660.0,468876.0,
902,너만을 느끼며,"정우, 유연석, 손호준",2013.12.13,"댄스, 국내드라마",31214,432.0,243009.0,
903,행복한 나를,김예림,2013.11.29,"발라드, 국내드라마",42239,,,
904,Special Love,"휘성, 거미",2013.11.29,R&B/Soul,38089,,,
905,12월의 기적,EXO,2013.12.09,발라드,206892,,,
906,향수,"케이윌, 전우성",2013.12.17,발라드,12531,457.0,44048.0,
907,가슴 시린 이야기,휘성,2011.03.15,발라드,61827,720.0,193459.0,
908,너에게만,"범키, 버벌진트",2013.12.16,발라드,36087,,,
909,"Dali, Van, Picasso",빈지노,2013.12.18,"랩/힙합, 인디음악",101638,,,
910,겨울 고백,"성시경, 박효신, 서인국, 빅스, 여동생",2013.12.10,발라드,69684,6235.0,282600.0,
911,그런 줄 알았어,지아,2013.12.24,발라드,12502,,,
912,오늘부터 1일,케이윌,2014.06.26,발라드,72991,994.0,1490488.0,
913,My Darling,Apink BnN,2014.06.27,발라드,10385,,,
914,반도의흔한랩퍼,버벌진트,2014.06.27,랩/힙합,8883,75.0,224870.0,
915,A,GOT7,2014.06.23,댄스,30413,2342.0,1102301.0,
916,Dance With U,비스트,2014.06.16,댄스,17396,,,
917,니가 빈 자리,"신용재, 이해리",2014.06.18,발라드,26996,,,
918,집이 돼줄게,범키,2014.06.16,R&B/Soul,22230,,,
919,한 번쯤 니가 먼저,바닐라 어쿠스틱,2014.06.13,"인디음악, 포크/블루스",19544,,,
920,바라만 보네요,손승연 & 더 원,2014.06.19,발라드,12560,129.0,122039.0,
921,History,비스트,2014.06.16,댄스,17564,,,
922,단발머리,AOA,2014.06.19,댄스,47466,1758.0,3388257.0,
923,팔베개,다비치,2014.06.19,발라드,8078,489.0,153692.0,
924,Summer Time,다이나믹 듀오(Dynamic Duo),2014.06.17,랩/힙합,13302,72.0,180840.0,
925,Good Luck,비스트,2014.06.16,댄스,50254,7188.0,1205464.0,
926,금요일에 만나요,아이유,2013.12.20,발라드,254282,6456.0,1399900.0,
927,사랑하나 봐,이승철,2014.06.05,"발라드, 국내드라마",5569,99.0,98000.0,
928,사랑하는 그대여,신용재,2014.01.01,발라드,68606,631.0,275058.0,
929,사랑했으니..됐어,거미,2014.06.10,발라드,14950,139.0,88515.0,
930,놀러가자,거미,2014.06.10,발라드,6827,,,
931,한여름밤의 꿀,"산이, 레이나",2014.06.12,랩/힙합,161667,1046.0,1974451.0,
932,이젠 아니야,비스트,2014.06.10,발라드,34388,6683.0,456104.0,
933,아름다워,태양,2014.06.03,R&B/Soul,9826,,,
934,Hug Me,크러쉬,2014.06.05,R&B/Soul,67438,1035.0,235024.0,
935,새벽한시,태양,2014.06.03,R&B/Soul,31714,1304.0,472821.0,
936,Stay With Me,태양,2014.06.03,R&B/Soul,31610,,,
937,헤어졌다 만났다,다비치,2014.06.05,댄스,21607,474.0,334392.0,
938,"눈, 코, 입",태양,2014.06.03,R&B/Soul,177478,2177.0,1856826.0,
939,Move,김연우,2014.05.28,발라드,6548,226.0,37062.0,
940,여름밤의 꿈,아이유,2014.05.16,발라드,66026,,,
941,니목소리,플라이 투 더 스카이,2014.05.20,R&B/Soul,14501,,,
942,내가 할 수 없는 말,정키,2014.05.29,발라드,52050,162.0,87647.0,
943,나 왜이래,산이,2014.05.29,"랩/힙합, 국내드라마",48535,,,
944,달리 함께,"정준영, 윤하",2014.05.29,록/메탈,10698,810.0,78702.0,
945,전화하지 말아요,플라이 투 더 스카이,2014.05.20,R&B/Soul,16905,,,
946,이젠 너 없이도,유나킴,2014.05.23,랩/힙합,20859,180.0,142767.0,
947,사랑 그 한마디,태연,2014.05.30,"발라드, 국내드라마",23097,,,
948,기적,빅스,2014.05.27,댄스,28069,2418.0,269575.0,
949,여전히 뜨겁게,백지영,2014.05.26,발라드,9467,83.0,93650.0,
950,사람냄새,"Gary, 정인",2014.05.27,랩/힙합,104367,,,
951,내 맘에 들어와,박서준,2014.05.19,"발라드, 국내드라마",13552,671.0,68773.0,
952,1분 1초,지연,2014.05.20,발라드,14677,556.0,638688.0,
953,Good-night Kiss,전효성,2014.05.12,댄스,29403,711.0,1708402.0,
954,지우고 싶다,포맨,2014.05.13,R&B/Soul,13919,135.0,56167.0,
955,Last Romeo,인피니트,2014.05.21,댄스,37623,6187.0,340215.0,
956,사랑이 지나가면,아이유,2014.05.16,발라드,87729,,,
957,너를 너를 너를,플라이 투 더 스카이,2014.05.20,R&B/Soul,78857,584.0,351087.0,
958,사랑하게 해줘요,"가비엔제이, 6 to 8",2017.06.15,발라드,511,,,
959,Best Man,휘성,2014.05.12,R&B/Soul,26689,539.0,205939.0,
960,하루하루,에일리,2014.05.13,"발라드, R&B/Soul, 국내드라마",13893,,,
961,봄 타나봐,서인국,2014.05.14,발라드,28597,700.0,164237.0,
962,삐에로는 우릴보고 웃지,아이유,2014.05.16,댄스,49350,4873.0,723676.0,
963,Night and Day,휘성,2014.05.12,R&B/Soul,26689,539.0,205939.0,
964,내게 남은 세가지,백아연,2014.05.02,"발라드, 국내드라마",12670,,,
965,꽃,아이유,2014.05.16,발라드,29506,,,
966,너의 의미,아이유,2014.05.16,발라드,223988,6239.0,1283295.0,
967,너를 원해,정기고,2014.05.09,R&B/Soul,47782,150.0,228478.0,
968,안녕,AKMU,2014.04.07,포크/블루스,19682,,,
969,꿈의 대화,울랄라세션,2014.04.23,발라드,2904,,,
970,사랑해도 너무나,윤건,2014.04.21,"발라드, 국내드라마",5576,71.0,34852.0,
971,중독,EXO-K,2014.05.07,댄스,122563,7502.0,2479594.0,
972,月光,EXO-M,2014.05.07,"월드뮤직, 중국음악",13690,,,
973,"Love, Love, Love",EXO-K,2012.01.30,발라드,23827,5426.0,151672.0,
974,불꽃,백지영,2014.05.07,발라드,11477,91.0,131063.0,
975,미운오리새끼,god,2014.05.08,발라드,65094,,,
976,우리 사랑했던 날,"장희영, 김민진",2014.04.22,발라드,7312,,,
977,DAMAGE,마리오,2014.04.29,랩/힙합,3433,,,
978,매일 다른 눈물이,손승연,2014.07.30,발라드,670,,,
979,뭘해도 예쁜걸,길구봉구,2014.04.25,발라드,31480,,,
980,그 다음해,박정현,2014.04.30,"발라드, R&B/Soul",7049,47.0,21677.0,
981,천개의 바람이 되어,임형주,2014.05.01,"클래식, 크로스오버",28562,,,
982,메트로놈(METRONOME),박재범,2014.04.11,R&B/Soul,10856,496.0,126843.0,
983,어이,크레용팝,2014.04.01,댄스,15937,524.0,1063959.0,
984,인공잔디,AKMU,2014.04.07,포크/블루스,38489,,,
985,Galaxy,AKMU,2014.04.07,포크/블루스,23701,,,
986,작은별,AKMU,2014.04.07,포크/블루스,44643,,,
987,요즘 바쁜가봐,투빅,2014.04.10,R&B/Soul,57655,120.0,148284.0,
988,뜨래요,배치기,2014.03.24,랩/힙합,31039,169.0,167507.0,
989,너 사용법,에디킴,2014.04.11,포크/블루스,121108,548.0,313104.0,
990,인연,"윤민수, 신용재",2014.04.05,발라드,59262,,,
991,다만 그대를,박시환,2014.04.14,록/메탈,6014,319.0,1033677.0,
992,밀당의 고수,에디킴,2014.04.11,포크/블루스,19045,182.0,66388.0,
993,지하철에서,AKMU,2014.04.07,포크/블루스,19835,,,
994,얼음들,AKMU,2014.04.07,포크/블루스,59408,1249.0,295966.0,
995,봄 사랑 벚꽃 말고,"HIGH4, 아이유",2014.04.08,발라드,221187,6720.0,1611221.0,
996,가르마,AKMU,2014.04.07,포크/블루스,15511,,,
997,Give Love,AKMU,2014.04.07,포크/블루스,127897,1922.0,842326.0,
998,200%,AKMU,2014.04.07,포크/블루스,147463,2097.0,1224010.0,
999,그 중에 그대를 만나,이선희,2014.03.25,발라드,124197,1334.0,639117.0,
1000,살만해졌어,손승연,2014.04.01,발라드,7418,45.0,27108.0,
1001,Mr. Chu,에이핑크,2014.03.31,댄스,97016,4679.0,3214344.0,
1002,야시시,NS Yoon-G,2014.04.01,댄스,7199,169.0,315154.0,
1003,감아,로꼬,2014.03.19,랩/힙합,134339,,,
1004,A Tempo,가인,2014.03.21,발라드,4832,147.0,60634.0,
1005,흔한 노래,임창정,2014.03.20,발라드,63484,557.0,170144.0,
1006,24시간이 모자라,권진아,2014.03.16,포크/블루스,6382,,,
1007,나 때문에,알리,2014.03.19,발라드,4835,,,
1008,하루만 빌려줘,엠씨더맥스,2014.01.02,록/메탈,20632,,,
1009,벚꽃 엔딩,버스커 버스커,2012.03.29,록/메탈,334708,2275.0,690950.0,
1010,"널 사랑한다, 지운다, 또 운다",신용재,2014.03.12,"발라드, 국내드라마",18328,,,
1011,약속,김수현,2014.03.13,"발라드, 국내드라마",9894,,,
1012,빈자리,엠씨더맥스,2014.01.02,발라드,7283,,,
1013,Delicious,투하트,2014.03.10,댄스,20351,1704.0,115582.0,
1014,보고 싶어...운다,린,2014.03.06,발라드,21672,107.0,57497.0,
1015,까탈레나,오렌지 캬라멜,2014.03.12,댄스,45401,854.0,1856688.0,
1016,Christmas Day,EXO,2013.12.09,발라드,86481,,,
1017,내일은 없어,트러블메이커,2013.10.28,댄스,36767,807.0,1236522.0,
1018,팔베개,"소유, 기리보이",2015.01.15,랩/힙합,49679,,,
1019,표적,신화,2015.02.26,댄스,21363,3796.0,413254.0,
1020,목소리,노을,2015.01.08,발라드,57220,488.0,213821.0,
1021,위아래,EXID,2014.08.27,댄스,76205,3486.0,5814486.0,
1022,이별공식,빅스(VIXX),2015.02.24,댄스,35291,3601.0,323028.0,
1023,냠냠냠,이진아,2015.02.15,발라드,15175,,,
1024,또 운다 또,다비치,2015.01.21,발라드,46217,1248.0,433156.0,
1025,환청),장재인,2015.01.14,"발라드, 랩/힙합, 국내드라마",61613,,,
1026,못된 여자,니엘,2015.02.16,댄스,13074,1211.0,251380.0,
1027,그냥,"자이언티(Zion.T), 크러쉬",2015.02.02,R&B/Soul,142441,2365.0,467698.0,
1028,미쳐,포미닛,2015.02.09,랩/힙합,44269,2671.0,1929659.0,
1029,My Type,"제시(Jessi), 치타, 강남",2015.02.13,랩/힙합,46436,,,
1030,같은 시간 속의 너,나얼,2015.02.05,R&B/Soul,152945,3092.0,822780.0,
1031,어쩌라고,빈지노,2015.03.11,랩/힙합,32977,1247.0,287327.0,
1032,비밀,비투비,2012.03.21,댄스,27332,4032.0,76733.0,
1033,To Be With You,김연우,2015.05.23,"발라드, 국내드라마",15049,,,
1034,꽃보다 그녀,비투비,2015.06.29,댄스,25722,,,
1035,보고파,비투비,2015.06.29,발라드,33245,,,
1036,Summer Romance,비투비,2015.06.29,발라드,24690,,,
1037,굿나잇,윤종신,2015.06.30,포크/블루스,6256,269.0,58820.0,
1038,너나 잘 살아,비투비,2015.06.29,발라드,25672,,,
1039,한여름밤의 꿀,"산이, 레이나",2014.06.12,랩/힙합,161637,1046.0,1974444.0,
1040,내가,도끼,2015.06.23,랩/힙합,37228,,,
1041,꿀썸머,NS Yoon-G,2015.06.29,댄스,12734,292.0,222102.0,
1042,공드리,혁오,2015.05.28,"인디음악, 록/메탈",64412,1689.0,141065.0,
1043,꺼내지 못한 말,"더 원(The One), 김연지",2015.07.03,발라드,7564,,,
1044,우리가 사랑한 시간,규현,2015.06.27,"발라드, 국내드라마",32782,1326.0,102198.0,
1045,잊지말아요,린,2015.07.05,발라드,4980,,,
1046,Johnny,에일리,2015.06.30,댄스,5582,,,
1047,Check,소녀시대,2015.07.07,댄스,9339,,,
1048,사랑.. 그 놈,화생방실 클레오파트라,2015.06.21,발라드,15852,,,
1049,괜찮아요,비투비,2015.06.29,발라드,119786,5525.0,157309.0,
1050,10월의 날씨,10cm,2015.10.10,"인디음악, 포크/블루스",47261,502.0,66751.0,
1051,미안해요,박보람,2015.10.08,발라드,12918,333.0,113651.0,
1052,내가 그댈,"린(LYn), 하동균, 이정",2015.09.27,발라드,24638,,,
1053,신발 한 짝,별,2015.10.05,발라드,2289,,,
1054,먼저 말해줘,태연,2015.10.07,발라드,31822,,,
1055,쌍둥이자리,태연,2015.10.07,R&B/Soul,44876,,,
1056,오늘따라,iKON,2015.11.16,랩/힙합,29750,,,
1057,울지 말자,창민 & 이현(Homme),2015.10.02,발라드,4876,200.0,111898.0,
1058,연락해,"릴보이, 베이식(Basick)",2015.10.05,랩/힙합,11884,614.0,79668.0,
1059,Solo,예지,2015.10.03,랩/힙합,19940,,,
1060,가슴에 내린다,이수,2015.10.06,발라드,15679,462.0,65696.0,
1061,스트레스,태연,2015.10.07,록/메탈,65226,,,
1062,리듬 타,iKON,2015.11.16,랩/힙합,65677,6898.0,1152128.0,
1063,U R,태연,2015.10.07,발라드,134730,,,
1064,Ah-Choo,러블리즈,2015.10.01,댄스,87016,2175.0,150978.0,
1065,솔직하게,iKON,2015.11.16,랩/힙합,24466,,,
1066,AIRPLANE,iKON,2015.11.16,랩/힙합,62319,6073.0,522370.0,
1067,니가 하면,GOT7,2015.09.29,댄스,39921,2837.0,447762.0,
1068,너나 잘해,에일리,2015.09.30,댄스,29959,1040.0,482537.0,
1069,하루의 끝,종현,2015.09.17,발라드,144452,3787.0,121441.0,
1070,커피,"유재환, 김예림",2015.09.23,댄스,42682,,,
1071,보통연애,박경,2015.09.21,랩/힙합,116277,3316.0,622249.0,
1072,U & I,종현,2015.09.17,R&B/Soul,24714,,,
1073,쎈언니,제시(Jessi),2015.09.15,랩/힙합,24963,894.0,539210.0,
1074,그렇게 됐어,플라이 투 더 스카이,2015.09.14,R&B/Soul,31759,806.0,189315.0,
1075,내게 와줘서,케이윌,2015.09.16,"발라드, 국내드라마",12163,533.0,46002.0,
1076,이렇게 우리,백아연,2015.09.09,"발라드, 국내드라마",21235,,,
1077,Girl Crush,마마무,2015.09.16,"댄스, 게임",33485,3894.0,517433.0,
1078,미워해야 한다면,플라이 투 더 스카이,2015.09.14,R&B/Soul,13658,689.0,130741.0,
1079,신데렐라,씨엔블루,2015.09.14,록/메탈,11608,752.0,138751.0,
1080,여전히,라디,2015.09.04,R&B/Soul,12308,73.0,55250.0,
1081,Huff n Puff,레드벨벳(Red Velvet),2015.09.09,댄스,31053,,,
1082,잘나가서 그래,현아,2015.08.21,댄스,36255,1013.0,725717.0,
1083,Dumb Dumb,레드벨벳(Red Velvet),2015.09.09,댄스,98264,8690.0,2236327.0,
1084,사랑보다 깊은 상처,임재범,1997.07,발라드,15259,,,
1085,사랑은 그렇게 또 다른 누구에게,린,2015.09.09,R&B/Soul,3899,136.0,52646.0,
1086,Oh Boy,레드벨벳(Red Velvet),2015.09.09,댄스,61482,,,
1087,아파도 웃을래,레이디스 코드,2015.09.07,발라드,20760,1386.0,133186.0,
1088,공항 가는 길,"박진영, 이진아",2015.09.01,록/메탈,7440,817.0,219451.0,
1089,ON IT   BO$$,"릴보이(Lil Boi), 로꼬, 박재범",2006.01.01,랩/힙합,0,,,
1090,Okey Dokey,"MINO, 지코",2015.08.29,랩/힙합,88576,4966.0,638086.0,
1091,My Life,"상주나(정준하, 윤상)",2015.08.22,일렉트로니카,22640,,,
1092,I`m So Sexy,"댄싱게놈(유재석, JYP)",2015.08.22,댄스,39253,,,
1093,가슴 뛰도록,SG 워너비,2015.08.19,발라드,48182,1281.0,335195.0,
1094,M.I.L.E.,"블랙넛(Black Nut), 버벌진트(Verbal Jint), 산이",2015.08.15,랩/힙합,15149,671.0,103308.0,
1095,스폰서,"으뜨거따시(하하, 자이언티)",2015.08.22,R&B/Soul,50489,,,
1096,멋진헛간,"오대천왕(정형돈, 밴드 혁오)",2015.08.22,록/메탈,66554,,,
1097,맙소사,"황태지(황광희, 태양, 지드래곤)",2015.08.22,댄스,80437,,,
1098,레옹,"이유 갓지(GOD G)않은이유(박명수, 아이유)",2015.08.22,댄스,147468,,,
1099,좋은 기억,SG 워너비,2015.08.19,발라드,21315,816.0,190507.0,
1100,Lion Heart,소녀시대,2015.08.18,댄스,92996,4512.0,1904180.0,
1101,오빠차,"인크레더블, 타블로, 지누션",2015.08.15,랩/힙합,59610,751.0,494194.0,
1102,Married To The Music,샤이니,2015.08.03,댄스,30341,5036.0,374573.0,
1103,사랑했다치자,서인영,2015.08.11,발라드,8799,,,
1104,네일 했어,프라이머리,2015.08.12,R&B/Soul,6408,234.0,113741.0,
1105,러버,프라이머리,2015.08.12,R&B/Soul,23654,,,
1106,거북선,"자메즈, 앤덥(Andup), MINO",2015.08.01,랩/힙합,78806,3038.0,661408.0,
1107,moneyflow,"MINO, 지코, 팔로알토(Paloalto)",2015.08.08,랩/힙합,39545,,,
1108,쩔어,BIGBANG,2015.08.05,랩/힙합,72306,6105.0,1236127.0,
1109,My ZONE,"베이식(Basick), 마이크로닷(Microdot), 블랙넛(Black Nut)",2015.08.01,랩/힙합,15181,659.0,145725.0,
1110,RESPECT,"Sik-K, 릴보이(Lil Boi), 지구인",2015.07.25,랩/힙합,36854,1249.0,201510.0,
1111,I Feel You,원더걸스,2015.08.03,댄스,54221,4267.0,2239630.0,
1112,우리 사랑하지 말아요,BIGBANG,2015.08.05,댄스,120159,9516.0,1777248.0,
1113,마일리지,프라이머리,2015.08.12,R&B/Soul,8239,,,
1114,스위트 룸,비스트,2015.07.27,댄스,16670,,,
1115,예뻐서,유승우,2015.07.29,"발라드, 인디음악",52015,988.0,227251.0,
1116,일하러 가야 돼,비스트,2015.07.27,댄스,49586,8943.0,676157.0,
1117,가져가,비스트,2015.07.27,댄스,15065,,,
1118,큰새,혁오,2015.05.28,"인디음악, 록/메탈",31890,,,
1119,나를 슬프게 하는 사람들,노래왕 퉁키,2015.07.19,록/메탈,21232,,,
1120,AWESOME,로꼬,2015.07.28,랩/힙합,30189,,,
1121,예이,비스트,2015.07.27,댄스,37625,8227.0,601195.0,
1122,딱 좋아,GOT7,2015.07.13,랩/힙합,49254,3145.0,602005.0,
1123,이 밤이 지나면,화생방실 클레오파트라,2015.07.05,발라드,19099,,,
1124,아끼지마 & 아이언),프라이머리,2015.07.24,R&B/Soul,66504,844.0,512496.0,
1125,가질 수 없는 너,화생방실 클레오파트라,2015.07.05,발라드,29467,,,
1126,사랑할수록,화생방실 클레오파트라,2015.07.05,발라드,28389,,,
1127,Oasis,크러쉬,2015.07.09,R&B/Soul,149891,3047.0,767719.0,
1128,링마벨,걸스데이,2015.07.07,댄스,42687,2853.0,2414136.0,
1129,My Last,박재범,2015.07.17,랩/힙합,57530,1814.0,464337.0,
1130,Hooka,혁오,2015.05.28,"인디음악, 록/메탈",46091,1189.0,195665.0,
1131,맨정신,BIGBANG,2015.07.01,록/메탈,115650,7941.0,1561798.0,
1132,주마등,리쌍,2015.07.15,랩/힙합,36711,,,
1133,PARTY,소녀시대,2015.07.07,댄스,88500,5560.0,2177897.0,
1134,Remember,에이핑크,2015.07.16,댄스,82360,7049.0,1858163.0,
1135,Ohio,혁오,2014.09.18,"인디음악, 록/메탈",54133,,,
1136,IF YOU,BIGBANG,2015.07.01,포크/블루스,170782,,,
1137,위잉위잉,혁오,2014.09.18,"인디음악, 록/메탈",218337,1599.0,458432.0,
1138,Bad,인피니트,2015.07.13,댄스,46632,8837.0,581694.0,
1139,와리가리,혁오,2015.05.28,"인디음악, 록/메탈",135936,2055.0,498914.0,
1140,매일 그대와,소진,2015.12.26,"발라드, 국내드라마",20213,548.0,164752.0,
1141,댄싱퀸,터보,2015.12.21,댄스,2567,,,
1142,숨바꼭질,터보,2015.12.21,발라드,4246,386.0,76917.0,
1143,Sing For You,EXO,2015.12.10,발라드,111684,,,
1144,어느 째즈바 2015,터보,2015.12.21,발라드,2195,,,
1145,Must Have Love,가인,2015.12.22,댄스,9571,,,
1146,아니라고,iKON,2015.12.24,랩/힙합,26118,,,
1147,덤앤더머,iKON,2015.12.24,랩/힙합,39248,5255.0,572696.0,
1148,Girl x Friend,EXO,2015.12.10,랩/힙합,73807,,,
1149,보라빛향기,와블(WABLE),2015.12.12,"댄스, 국내드라마",17304,324.0,121034.0,
1150,사랑난로,"서인국, 빅스(VIXX), 박정아, 박윤하",2015.12.15,발라드,16558,2817.0,113587.0,
1151,네게 줄 수 있는건 오직 사랑뿐,디셈버,2015.12.05,"발라드, 국내드라마",33301,,,
1152,화이트,다비치,2015.12.16,댄스,38978,,,
1153,꿀,40,2015.12.15,R&B/Soul,12861,99.0,26654.0,
1154,HOT PINK,EXID,2015.11.18,댄스,43185,2439.0,1795752.0,
1155,넌 나의 크리스마스,"바이브, 신용재, 벤, 임세준, 미(MIIII)",2015.12.14,R&B/Soul,8064,,,
1156,불공평해,EXO,2015.12.10,발라드,111684,,,
1157,혜화동,박보람,2015.11.28,"발라드, 국내드라마",80460,887.0,369582.0,
1158,사랑이 맞을거야,윤미래,2015.12.14,발라드,42379,624.0,218061.0,
1159,Hello Bitches,CL,2015.12.05,랩/힙합,30285,1739.0,786047.0,
1160,우주를 건너,백예린,2015.11.30,R&B/Soul,164875,2377.0,414174.0,
1161,HOME,브라운 아이드 소울,2015.12.08,R&B/Soul,21588,1802.0,221734.0,
1162,유레카,지코,2015.12.07,랩/힙합,92103,3704.0,1119870.0,
1163,고백송,GOT7,2015.11.23,R&B/Soul,26064,1705.0,182462.0,
1164,오늘부터 우리는,여자친구,2015.07.23,댄스,138604,5180.0,2264265.0,
1165,댄스쟈키,싸이,2015.12.01,댄스,6704,,,
1166,Butterfly,방탄소년단,2015.11.30,랩/힙합,165626,,,
1167,Dear Santa,소녀시대-태티서,2015.12.04,댄스,51285,2133.0,609582.0,
1168,나팔바지,싸이,2015.12.01,댄스,65117,3659.0,2380662.0,
1169,그날을 내 등 뒤로,허각,2015.11.23,발라드,11528,232.0,76754.0,
1170,3인칭의 필요성,넬,2015.12.02,록/메탈,22687,991.0,64974.0,
1171,이별밖에,노을,2015.11.26,발라드,29583,590.0,170868.0,
1172,RUN,방탄소년단,2022.06.10,댄스,13381,,,
1173,Dream,싸이,2015.12.01,발라드,40693,,,
1174,DADDY,싸이,2015.12.01,댄스,59969,4204.0,2797377.0,
1175,Break,빈지노,2015.10.09,랩/힙합,81852,1855.0,409359.0,
1176,걱정말아요 그대,이적,2015.11.07,"발라드, 국내드라마",175218,,,
1177,겁,MINO,2015.08.22,랩/힙합,158608,3909.0,736318.0,
1178,함부로 해줘,예지,2015.11.14,랩/힙합,11032,,,
1179,널 생각해,윤하,2015.11.11,발라드,33445,775.0,64196.0,
1180,꿀잼,다이나믹 듀오,2015.11.17,랩/힙합,18758,572.0,311370.0,
1181,청춘,김필,2015.10.31,"포크/블루스, 국내드라마",89256,1160.0,487829.0,
1182,안아보자,포맨,2015.11.10,발라드,49177,,,
1183,못먹는 감,"산이, 매드 클라운(Mad Clown)",2015.11.19,랩/힙합,63792,884.0,504425.0,
1184,그리워 말아요,나비,2015.11.18,발라드,11559,141.0,62371.0,
1185,소녀,오혁,2015.11.21,"발라드, 국내드라마",199121,1294.0,744347.0,
1186,지못미,iKON,2015.11.16,R&B/Soul,56313,5236.0,418700.0,
1187,어깨,"소유, 권정열",2015.09.22,R&B/Soul,82776,930.0,371397.0,
1188,취향저격,iKON,2015.11.16,랩/힙합,143951,8451.0,1567336.0,
1189,멀어지던 날,규현,2015.11.03,발라드,19436,1364.0,179404.0,
1190,날,지코,2015.11.03,랩/힙합,46251,,,
1191,Boys And Girls,지코,2015.11.03,랩/힙합,156369,4413.0,1420946.0,
1192,가끔,지아,2015.09.24,"발라드, 국내드라마",39336,471.0,144936.0,
1193,OOH-AHH하게,TWICE,2015.10.20,댄스,142862,10974.0,4936210.0,
1194,4 Walls,f(x),2015.10.27,일렉트로니카,100637,3255.0,903386.0,
1195,Forever Love,버즈,2015.10.20,록/메탈,18975,1566.0,90532.0,
1196,안경,아이유,2015.10.23,발라드,59873,,,
1197,무릎,아이유,2015.10.23,발라드,192006,,,
1198,꼭 어제,XIA(준수),2015.10.19,발라드,45787,4195.0,224449.0,
1199,새 신발,아이유,2015.10.23,발라드,68088,7729.0,1224712.0,
1200,Red Queen,아이유,2015.10.23,댄스,55009,,,
1201,말해 Yes Or No,지코,2015.10.19,랩/힙합,53950,2085.0,417168.0,
1202,푸르던,아이유,2015.10.23,발라드,150361,8462.0,928053.0,
1203,Zeze,아이유,2015.10.23,댄스,79976,6422.0,1359411.0,
1204,스물셋,아이유,2015.10.23,댄스,189200,14127.0,3415650.0,
1205,밤을 새,허각,2015.10.14,R&B/Soul,14631,271.0,57910.0,
1206,밀리언조각,규현,2015.10.15,발라드,65869,1942.0,298553.0,
1207,집으로 가는 길,비투비,2015.10.12,발라드,76390,7389.0,377173.0,
1208,모르나봐,"소유, 브라더수",2015.10.14,"발라드, 국내드라마",49417,782.0,232644.0,
1209,또 다시 사랑,임창정,2015.09.22,발라드,197160,2299.0,502108.0,
1210,I,태연,2015.10.07,록/메탈,221303,7902.0,1608038.0,
1211,HER,블락비,2014.07.24,댄스,119897,5911.0,3208722.0,
1212,Crazy,종현,2015.01.12,댄스,19782,3412.0,153840.0,
1213,화장 지웠어,개코,2014.10.16,랩/힙합,62994,474.0,441894.0,
1214,미장원에서,박정현,2002.06.15,R&B/Soul,5797,,,
1215,"묘해, 너와",어쿠스틱 콜라보,2014.09.02,"발라드, 국내드라마",150909,,,
1216,Piano Man,마마무,2014.11.21,댄스,56171,3665.0,814589.0,
1217,겨울 끝에서,"장희영, 이현",2015.02.03,발라드,2669,,,
1218,좋아,길구봉구,2015.01.28,발라드,32427,137.0,33766.0,
1219,0,"기리보이, 매드 클라운, 주영",2015.02.05,랩/힙합,11687,3335.0,132824.0,
