,music,singer,release_date,category,music_like,movie_like,movie_views,Unnamed: 0
83,"스물다섯, 스물하나",자우림,2013.10.14,록/메탈,216436,557.0,137139.0,
84,살다가,김진호,2013.10.12,발라드,15255,4165.0,1044260.0,
85,Everybody,샤이니,2013.10.14,댄스,35203,3565.0,405243.0,
86,넘버나인,티아라,2013.10.10,댄스,26164,384.0,268584.0,
87,(Bonus Track) Voice Mail,아이유,2013.10.08,록/메탈,60169,,,
88,Havana,아이유,2013.12.20,록/메탈,29784,,,
89,싫은 날,아이유,2013.12.20,발라드,47979,,,
90,이별 10분 전,정준영,2013.10.10,록/메탈,51189,576.0,259240.0,
91,누구나 비밀은 있다,아이유,2013.12.20,댄스,30040,,,
92,예뻐 예뻐,레이디스 코드,2013.09.05,댄스,43433,828.0,1133638.0,
93,기다려,아이유,2013.12.20,댄스,16879,,,
94,아이야 나랑 걷자,아이유,2013.12.20,발라드,18288,,,
95,Obliviate,아이유,2013.10.08,록/메탈,29225,,,
96,한낮의 꿈,아이유,2013.12.20,록/메탈,22254,,,
97,우울시계,아이유,2013.12.20,록/메탈,57141,,,
98,Modern Times,아이유,2013.12.20,발라드,254314,6456.0,1399909.0,
99,을의 연애,아이유,2013.12.20,록/메탈,35263,,,
100,입술 사이,아이유,2013.12.20,록/메탈,32208,,,
101,분홍신,아이유,2013.10.08,댄스,118637,5876.0,1182848.0,
102,내가 만일,주원,2013.10.01,"발라드, 국내드라마",6317,,,
103,불치병,나비,2013.10.02,국내드라마,26881,81.0,65967.0,
104,소독약,주원,2013.10.01,"발라드, 국내드라마",7092,130.0,57884.0,
105,시원한 여자,버스커 버스커,2013.09.25,록/메탈,22218,,,
106,나란놈이란,임창정,2013.09.24,발라드,76435,626.0,201777.0,
107,Very Good,블락비,2013.10.02,댄스,57206,2835.0,994338.0,
108,병이에요,정준영,2013.10.10,록/메탈,22169,476.0,122156.0,
109,You Do,G-Dragon,2013.09.05,랩/힙합,9777,,,
110,늴리리야,G-Dragon,2013.09.05,랩/힙합,13950,,,
111,사랑이 제일 낫더라,박진영,2013.09.09,R&B/Soul,18153,84.0,109101.0,
112,I Am Sorry,이정,2013.09.26,발라드,5670,31.0,13516.0,
113,빛이 되어줘,블락비,2013.10.02,댄스,56437,2498.0,271289.0,
114,줄리엣,버스커 버스커,2013.09.25,록/메탈,18290,,,
115,가을밤,버스커 버스커,2013.09.25,록/메탈,22364,,,
116,아름다운 나이,버스커 버스커,2013.09.25,록/메탈,21003,,,
117,사랑은 타이밍,버스커 버스커,2013.09.25,록/메탈,53866,,,
118,그대 입술이,버스커 버스커,2013.09.25,록/메탈,23837,,,
119,처음엔 사랑이란게,버스커 버스커,2013.09.25,록/메탈,114223,997.0,463230.0,
120,쿠데타,G-Dragon,2013.09.05,랩/힙합,145850,4149.0,1562370.0,
121,집에 안갈래,나비,2013.09.05,발라드,14840,72.0,101256.0,
122,모르나요,김종국,2013.09.16,"발라드, 국내드라마",6805,172.0,63144.0,
123,겁도 없이,서인국,2013.09.17,"발라드, 국내드라마",24840,554.0,137891.0,
124,살자,"드렁큰 타이거, 윤미래, Bizzy",2013.09.13,랩/힙합,17341,179.0,95187.0,
125,Street Life,"김나영, 장원기",2013.09.16,R&B/Soul,6941,,,
126,Voice,김예림,2013.09.09,포크/블루스,29867,121.0,83162.0,
127,Beautiful Life,"드렁큰 타이거, 윤미래, Bizzy",2013.09.13,랩/힙합,4897,83.0,22925.0,
128,삐딱하게,G-Dragon,2013.09.05,랩/힙합,145850,4149.0,1562370.0,
129,Higher,에일리,2013.09.16,발라드,47113,,,
130,"단, 하루",투빅,2013.09.03,발라드,3244,,,
131,R.O.D.,G-Dragon,2013.09.05,랩/힙합,45038,,,
132,숙녀가 못 돼,카라,2013.09.02,댄스,21833,554.0,493471.0,
133,사랑했었다면,"지아, 이해리",2013.09.06,발라드,18720,779.0,135005.0,
134,니가 뭔데,G-Dragon,2013.09.05,랩/힙합,111811,3190.0,443651.0,
135,Black,G-Dragon,2013.09.05,랩/힙합,115806,,,
136,착해 빠졌어,"소유, 매드 클라운",2013.09.10,랩/힙합,116722,455.0,379439.0,
137,만약에 말야,노을,2012.11.06,발라드,81848,,,
138,첫 사랑니,f(x),2013.07.29,댄스,72320,1426.0,1426779.0,
139,내 삶의 반,한경일,2003.02.19,발라드,32940,81.0,27387.0,
140,비처럼 음악처럼,정동하,2013.08.24,록/메탈,4333,3223.0,2699920.0,
141,으르렁,EXO,2013.08.05,댄스,179410,12751.0,3711597.0,
142,1-4-3),헨리,2013.08.23,댄스,6215,619.0,748909.0,
143,둘 중에 하나,카라,2013.08.21,발라드,10829,364.0,161848.0,
144,Tonight,스피카,2013.08.28,댄스,38367,343.0,278962.0,
145,Rain,김예림,2013.09.09,포크/블루스,29867,121.0,83162.0,
146,24시간이 모자라,선미,2013.08.26,댄스,35807,1001.0,989329.0,
147,울고만있어,백지영,2013.08.27,"발라드, 국내드라마",10231,75.0,71504.0,
148,Touch Love,윤미래,2013.10.02,"발라드, R&B/Soul, 국내드라마",46149,,,
149,사랑이 내려,"이종현, 주니엘",2013.12.09,발라드,7296,370.0,57480.0,
150,I Do I Do,시크릿,2013.12.09,댄스,9327,344.0,294083.0,
151,My Turn To Cry,EXO,2013.12.09,발라드,63779,,,
152,Special Love,"휘성, 거미",2013.11.29,R&B/Soul,38090,,,
153,미치게 만들어,효린,2013.08.21,"발라드, 국내드라마",45354,289.0,178586.0,
154,잘 지내니,메이비,2013.08.20,발라드,2426,23.0,15654.0,
155,U & I,에일리,2013.07.12,댄스,71165,730.0,794225.0,
156,낮과 밤,거미,2013.08.07,"발라드, 국내드라마",22529,,,
157,사랑해 사랑해 사랑해,포맨,2011.06.07,발라드,3915,108.0,3966.0,
158,아는사람 얘기,산이,2013.08.02,랩/힙합,116830,559.0,484355.0,
