music,singer,release_date,category,music_like,movie_like,movie_views
TOMBOY,(여자)아이들,2022.03.14,록/메탈,235193,3023,357005
LOVE DIVE,IVE,2022.04.05,댄스,233744,4629,584281
봄여름가을겨울,BIGBANG,2022.04.05,록/메탈,295913,5101,239452
우리들의 블루스,임영웅,2022.05.02,발라드,91244,17647,144766
듣고 싶을까,MSG워너비(M.O.M),2022.02.26,발라드,88394,794,48289
사랑은 늘 도망가,임영웅,2021.10.11,"발라드, 국내드라마",193706,18528,252131
INVU,태연,2022.02.14,댄스,137574,1868,213568
LOVE me,BE`O,2022.04.12,랩/힙합,140609,1019,84755
취중고백,김민석,2021.12.19,발라드,164308,,
GANADARA,박재범,2022.03.11,R&B/Soul,131863,1572,129565
Feel My Rhythm,레드벨벳(Red Velvet),2022.03.21,댄스,150045,1058,147696
ZOOM,제시(Jessi),2022.04.13,랩/힙합,51779,411,95050
정이라고 하자,BIG Naughty,2022.04.20,R&B/Soul,207887,,
That That,싸이,2022.04.29,댄스,133838,2917,361949
사랑해 진짜,임영웅,2022.05.02,포크/블루스,47878,,
Dangerously,Charlie Puth,2016.11.11,POP,155525,1054,23932
약속 [約束],김호중,2022.07.27,"클래식, 크로스오버",17398,6770,176309
주마등,김호중,2022.07.27,발라드,17669,5163,156870
Bad Decisions,"benny blanco, 방탄소년단, Snoop Dogg",2022.08.05,POP,46025,,
Somebody!,"로꼬, 화사(Hwa Sa)",2022.07.25,댄스,24027,52,6389
I Ain`t Worried,OneRepublic,2022.05.13,"록/메탈, 국외영화",47566,,
사랑이야,케이시,2022.07.22,발라드,24498,,
Sparkling,청하,2022.07.11,댄스,26879,283,47916
BEAUTIFUL MONSTER,STAYC(스테이씨),2022.07.19,댄스,48675,662,49874
눈을 감으면,WSG워너비,2022.08.06,발라드,19442,344,18420
바보에게 바보가,이석훈,2022.07.11,발라드,36582,,
CASE 143,Stray Kids,2022.10.07,랩/힙합,41372,756,18165
질주,NCT 127,2022.09.16,댄스,59789,1711,34562
LAW,"윤미래, 비비(BIBI)",2022.09.06,랩/힙합,44034,,
NOT SORRY,이영지,2022.12.17,랩/힙합,94122,,
Ditto,NewJeans,2022.12.19,댄스,253123,2692,177951
Candy,NCT DREAM,2022.12.16,댄스,148022,596,22303
마이웨이,"저스디스, 던말릭, 허성현, KHAN, 맥대디, Los",2022.12.03,랩/힙합,81680,,
Unholy,"Sam Smith, Kim Petras",2022.09.22,POP,50515,,
Made You Look,Meghan Trainor,2022.10.21,POP,32906,,
BINGO,잠비노,2022.12.17,랩/힙합,13660,,
고백연습,경서,2022.10.30,발라드,32621,234,16982
"Holiday, 기리보이)",Blase,2022.12.17,랩/힙합,10100,,
입김,NCT DREAM,2022.12.16,R&B/Soul,38081,,
문,NCT DREAM,2022.12.16,발라드,41497,,
Christmas Without You,Ava Max,2020.10.15,POP,30174,,
발자국,NCT DREAM,2022.12.16,댄스,43522,,
Text Me Merry Christmas,Straight No Chaser,2014.11.17,POP,68487,333,87342
"Flick, 김하온)",노윤하,2022.12.10,랩/힙합,19428,,
흩어지지 않게,엠씨더맥스,2022.12.05,발라드,22362,166,5316
Tangerine Love,NCT DREAM,2022.12.16,댄스,41265,,
Must Have Love,"SG워너비, 브라운 아이드 걸스",2006.11.16,R&B/Soul,71749,624,70621
새벽에 걸려온 너의 전화는,한동근,2022.07.31,발라드,55680,45,11122
WE,"이영지, 토이고, 제이켠, 잠비노, XINSAYNE",2022.12.03,랩/힙합,20993,,
Underneath The Tree,Kelly Clarkson,2013.10.29,POP,49463,157,75242
주저하는 연인들을 위해,잔나비,2019.03.13,"인디음악, 록/메탈",373691,3658,322752
으리으리,NSW yoon,2022.12.17,랩/힙합,13945,,
떠나보낼 준비해 둘걸 그랬어,임한별,2022.10.18,발라드,39959,,
스티커 사진,21학번,2022.07.12,"발라드, 인디음악",54261,215,38456
I Don`t Think That I Like Her,Charlie Puth,2022.10.07,POP,157881,,
오르트구름,윤하,2021.11.16,록/메탈,94182,,
London Boy,임영웅,2022.11.15,록/메탈,49090,8154,53660
Polaroid,임영웅,2022.11.15,록/메탈,44259,12823,56466
없었던 일로,헤이즈,2022.06.30,R&B/Soul,20648,205,24479
참고사항,이무진,2022.06.23,록/메탈,21014,1202,52885
신사답게,영탁,2022.07.04,댄스,13303,5136,187210
사랑역,임영웅,2022.05.02,성인가요/트로트,42136,,
미친 것처럼,V.O.S,2022.05.15,발라드,32659,340,44770
그 하루,주호,2022.06.08,발라드,27739,,
Life`s Too Short,aespa,2022.06.24,댄스,61139,677,15573
낭만교향곡,BIG Naughty,2022.06.09,R&B/Soul,80578,594,18896
너의 번호를 누르고,김나영,2022.04.12,발라드,22903,43,3154
벚꽃 엔딩,버스커 버스커,2012.03.29,록/메탈,334658,2275,690902
꽃,박봄,2022.03.11,발라드,20361,121,7670
"아주, 천천히",비비(BIBI),2022.02.20,"발라드, 국내드라마",41340,,
사랑인걸,한동근,2022.03.13,발라드,39702,,
그런 밤,태연,2022.02.14,발라드,31094,553,7492
너 아니면 안돼,먼데이 키즈,2022.02.03,발라드,21699,,
고백하는 취한밤에,임재현,2022.06.11,"발라드, 인디음악",38808,,
Left and Right,"Charlie Puth, 정국, 방탄소년단",2022.06.24,POP,114965,799,26413
Stay This Way,프로미스나인,2022.06.27,댄스,37217,936,30546
아무래도 난,주시크,2022.03.30,"R&B/Soul, 인디음악",83726,211,28280
팡파레,다비치,2022.05.16,발라드,45219,171,20108
통화연결음,"보라미유, MJ",2022.08.14,발라드,40526,,
내 기쁨은 너가 벤틀리를 끄는 거야,김승민,2021.10.19,랩/힙합,100119,,
Talk that Talk,TWICE,2022.08.26,댄스,45991,819,94026
사랑한다고 말해줘,탑현,2022.08.07,발라드,61590,,
WHISPER,더보이즈(THE BOYZ),2022.08.16,댄스,30516,667,14316
FOREVER 1,소녀시대,2022.08.05,댄스,107586,1367,133786
SNEAKERS,ITZY,2022.07.15,댄스,78298,841,119286
열이올라요,선미,2022.06.29,댄스,41511,353,78637
도깨비불,aespa,2022.06.01,댄스,87773,854,64328
POP!,나연,2022.06.24,댄스,91775,1270,173107
_WORLD,세븐틴,2022.07.18,R&B/Soul,83530,3739,41888
Love story,볼빨간사춘기,2022.04.20,"인디음악, 포크/블루스",113947,396,26634
Clink Clink,WSG워너비,2022.07.09,댄스,26918,,
Girls,aespa,2022.07.08,댄스,71445,1381,138113
보고싶었어,WSG워너비,2022.07.09,R&B/Soul,128173,,
우린 그렇게 사랑해서,"강민경, 잔나비",2022.09.26,발라드,64527,383,18225
자격지심,BE`O,2022.09.29,랩/힙합,84253,766,71160
사건의 지평선,윤하,2022.03.30,록/메탈,298372,1203,103207
ANTIFRAGILE,LE SSERAFIM,2022.10.17,댄스,158948,2256,187314
그라데이션,10cm,2022.07.03,"인디음악, 포크/블루스",143810,198,10860
Cookie,NewJeans,2022.08.01,댄스,133715,3171,152814
Nxde,(여자)아이들,2022.10.17,댄스,157640,2383,268965
그때 그 순간 그대로,WSG워너비,2022.07.09,발라드,128485,737,119862
Monologue,테이,2022.09.18,발라드,82842,,
Rush Hour,크러쉬,2022.09.22,R&B/Soul,111489,1089,85505
딱 10CM만,"10cm, BIG Naughty",2022.09.25,R&B/Soul,108263,857,38399
Shut Down,BLACKPINK,2022.09.16,랩/힙합,117667,1689,173211
새삥,지코,2022.09.06,랩/힙합,145613,,
Hype boy,NewJeans,2022.08.01,댄스,259243,2660,151046
Pink Venom,BLACKPINK,2022.09.16,랩/힙합,155210,3121,262598
Attention,NewJeans,2022.08.01,댄스,221367,2854,85081
After LIKE,IVE,2022.08.22,댄스,226156,4813,528783
HERO,임영웅,2022.05.02,발라드,91246,17647,144767
너와 나의 Memories,"염따, TOIL, 쿤타, 베이식, 365LIT, 황지상, 송민영",2021.11.06,랩/힙합,41628,,
Life Goes On,방탄소년단,2020.11.20,랩/힙합,243616,6446,60600
그대 손 놓아요,이선희,2022.01.01,"발라드, 국내드라마",16522,,
별빛 같은 나의 사랑아,임영웅,2021.03.09,성인가요/트로트,76696,27717,423996
Santa Tell Me,Ariana Grande,2014.11.24,POP,231778,1225,300496
아직도 좋아해,양요섭,2022.01.11,"발라드, 국내드라마",16013,213,5466
밤새 서로 미루다,"존 박, 전미도",2021.12.09,발라드,22041,48,3816
Savage Love,"Jawsh 685, Jason Derulo, BTS",2020.10.02,POP,202954,,
잊었니,임영웅,2021.06.22,성인가요/트로트,42459,,
깐부,쿤타,2021.11.20,랩/힙합,35657,,
탕!♡,MINO,2021.12.07,랩/힙합,45823,514,30456
작은 것들을 위한 시,방탄소년단,2019.04.12,댄스,441614,13728,398384
봄날,방탄소년단,2017.02.13,랩/힙합,542343,30811,1669221
멜로디,ASH ISLAND,2021.02.25,랩/힙합,145797,,
죽을 만큼 아파서,MC몽,2010.06.24,랩/힙합,94988,953,215178
비와 당신,이무진,2021.06.18,"록/메탈, 국내드라마",112132,1960,106287
그대라는 사치,임영웅,2021.07.06,발라드,44301,,
호우주의,조광일,2021.11.27,랩/힙합,41349,,
다시 사랑한다면,임영웅,2021.05.25,성인가요/트로트,51576,,
Peaches,Justin Bieber,2021.10.08,POP,220855,777,80008
ASAP,STAYC(스테이씨),2021.04.08,댄스,150417,1853,164391
좋아좋아,조정석,2021.07.16,"발라드, 국내드라마",89395,471,37339
오늘도 빛나는 너에게,마크툽,2019.06.09,"R&B/Soul, 인디음악",277513,1111,207161
나 그댈위해 시 한편을 쓰겠어,케이시,2021.10.28,발라드,46458,160,10009
그날에 나는 맘이 편했을까,이예준,2020.12.03,발라드,91317,156,18903
DUMB DUMB,전소미,2021.08.02,댄스,98103,1291,192555
취기를 빌려,산들,2020.07.20,발라드,231335,,
Off My Face,Justin Bieber,2021.10.08,POP,165055,269,22247
비가 오는 날엔,헤이즈,2021.08.04,"발라드, 국내드라마",81035,473,25850
Queendom,레드벨벳(Red Velvet),2021.08.16,댄스,120763,1247,102536
밝게 빛나는 별이 되어 비춰줄게,송이한,2020.12.29,R&B/Soul,128830,156,18385
사이렌 Remix,호미들,2021.03.20,랩/힙합,161900,,
여름비,샘김,2022.01.10,"포크/블루스, 국내드라마",42813,121,6622
Blueming,아이유,2019.11.18,록/메탈,353450,11149,958040
시간을 거슬러,케이윌,2021.08.31,발라드,73036,,
Dun Dun Dance,오마이걸,2021.05.10,댄스,164610,3077,264193
추억은 만남보다 이별에 남아,정동하,2021.01.31,발라드,101766,288,15563
Still I Love You,토요태,2021.12.18,R&B/Soul,33161,,
너의 모든 순간,성시경,2014.02.12,"발라드, 국내드라마",260610,,
MBTI,BE`O,2021.11.27,랩/힙합,53089,,
밤하늘의 별을(2020),경서,2020.11.14,발라드,219199,787,111442
롤린,브레이브걸스,2017.03.07,댄스,298304,2605,124299
사랑이 아니었다고 말하지 마요,이예준,2022.01.09,발라드,31560,,
Child,마크,2022.02.04,랩/힙합,73339,1310,10160
내 손을 잡아,아이유,2011.05.25,"발라드, 국내드라마",207432,4957,293104
헤픈 우연,헤이즈,2021.05.20,R&B/Soul,191139,1773,136697
찰나가 영원이 될 때,마크툽,2021.09.19,"R&B/Soul, 인디음악",85651,,
My Universe,"Coldplay, 방탄소년단",2021.09.24,POP,174733,2961,183623
DM,프로미스나인,2022.01.17,댄스,61148,1073,45183
이별후회,김나영,2021.12.21,"발라드, 국내드라마",41622,108,7507
이제 나만 믿어요,임영웅,2020.04.03,성인가요/트로트,166536,,
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU,2019.09.25,발라드,403712,2042,250847
언덕나무,이승윤,2022.01.04,"발라드, 국내드라마",65799,13116,136650
문득,BE`O,2021.05.02,랩/힙합,131127,,
"모든 날, 모든 순간",폴킴,2018.03.20,"발라드, 국내드라마",420143,,
Wake Up,"개코 , Ourealgoat , SINCE , 안병웅 , Tabber , 조광일",2021.11.06,랩/힙합,96657,,
러브레터,아이유,2021.12.29,발라드,46357,,
쉬어,"아넌딜라이트(Anandelight) , unofficialboyy , BE′O , 지구인 , Mudd the student",2021.11.06,랩/힙합,105843,,
불협화음,Mudd the student,2021.11.27,랩/힙합,82781,,
안녕 우린 헤어져야만 해,"전상근, 신예영",2021.12.26,발라드,30231,,
Snowman,Sia,2022.12.30,POP,245660,437,36399
너,아이유,2021.12.29,포크/블루스,40791,,
매일 크리스마스,다비치,2021.12.06,댄스,29511,176,29292
네가 없는 밤,BE`O,2021.12.04,랩/힙합,82278,,
흰눈,먼데이 키즈,2021.12.12,발라드,41598,,
정거장,아이유,2021.12.29,포크/블루스,55448,,
Bad Habits,Ed Sheeran,2021.10.29,POP,129931,404,54732
"스물다섯, 스물하나",자우림,2013.10.14,록/메탈,216319,557,137117
Real Love,오마이걸,2022.03.28,댄스,45458,701,56973
봄 사랑 벚꽃 말고,"HIGH4, 아이유",2014.04.08,발라드,221114,6720,1611172
버퍼링,NCT DREAM,2022.03.28,댄스,96432,2270,58369
DAYDREAM,하이라이트(Highlight),2022.03.21,댄스,38300,1691,20743
라일락,아이유,2021.03.25,댄스,253131,8290,379491
Starlight,태일,2022.02.13,"록/메탈, 국내드라마",82298,427,18957
MANIAC,Stray Kids,2022.03.18,일렉트로니카,40779,836,22295
With,"김태리, 남주혁, 보나(우주소녀), 최현욱, 이주명",2022.03.13,"록/메탈, 국내드라마",43029,677,29766
존재만으로,원슈타인,2022.02.26,"랩/힙합, 국내드라마",83971,407,24244
Thank You,브레이브걸스,2022.03.14,댄스,12840,803,39548
Permission to Dance,방탄소년단,2021.07.09,댄스,222187,8723,392197
OHAYO MY NIGHT,"디핵, PATEKO(파테코)",2020.06.20,랩/힙합,207394,,
내 생에 아름다운,이예준,2022.03.06,발라드,31681,,
잊을 수 있을까,노을,2022.02.10,발라드,22695,,
"너, 너",휘인,2022.02.13,발라드,44301,,
어제처럼,폴킴,2022.02.27,발라드,45141,,
RUN2U,STAYC(스테이씨),2022.02.21,댄스,85343,885,93982
그래서 그래,에픽하이,2022.02.14,랩/힙합,24431,83,9041
Savage,aespa,2021.10.05,댄스,156125,2697,327290
Dynamite,방탄소년단,2020.08.24,댄스,450680,13477,1089700
너를 생각해,주시크,2021.09.22,"R&B/Soul, 인디음악",148297,251,36598
abcdefu,GAYLE,2021.08.13,POP,104800,112,24075
노래,비투비,2022.02.21,발라드,41050,701,14367
언제나 사랑해,케이시,2022.02.07,발라드,69214,,
Celebrity,아이유,2021.03.25,댄스,331464,9882,362397
Christmas Tree,V,2021.12.24,"발라드, 국내드라마",115161,1385,32385
strawberry moon,아이유,2021.10.19,록/메탈,221926,4960,225012
낙하,AKMU,2021.07.26,록/메탈,181143,916,104185
바라만 본다,MSG워너비(M.O.M),2021.06.26,발라드,184003,880,72922
서랍,10cm,2021.12.07,"발라드, 국내드라마",83460,363,24707
만남은 쉽고 이별은 어려워,베이식(Basick),2021.11.20,랩/힙합,131687,,
Counting Stars,BE`O,2021.12.12,랩/힙합,169534,733,34895
Can`t Control Myself,태연,2022.01.17,발라드,77443,1175,124656
Step Back,GOT the beat,2022.01.03,댄스,98072,1273,135122
Butter,방탄소년단,2021.05.21,댄스,286402,11376,457178
우리가 헤어져야 했던 이유,비비(BIBI),2021.12.13,"발라드, 국내드라마",72811,59,2988
드라마,아이유,2021.12.29,발라드,177951,,
겨울잠,아이유,2021.12.29,발라드,123832,,
눈이 오잖아,이무진,2021.12.03,발라드,114684,1345,70487
Dreams Come True,aespa,2021.12.20,댄스,103055,2190,256910
리무진,BE`O,2021.11.20,랩/힙합,190745,,
호랑수월가,탑현,2022.01.15,발라드,87382,,
늦은 밤 헤어지긴 너무 아쉬워,케이시,2022.05.19,발라드,60230,134,11615
내가 아니라도,주호,2022.03.25,발라드,98149,,
빛이 나는 사람,김호중,2022.06.18,발라드,20280,,
Yet To Come,방탄소년단,2022.06.10,랩/힙합,127438,4034,129303
Weekend,태연,2021.07.06,댄스,191084,2155,253377
Beatbox,NCT DREAM,2022.05.30,댄스,93934,1642,28875
Next Level,aespa,2021.05.17,댄스,256815,4862,544497
Seoul,볼빨간사춘기,2022.04.20,"인디음악, 포크/블루스",113947,396,26634
Candy Sugar Pop,아스트로(ASTRO),2022.05.16,댄스,13829,831,26569
회전목마,sokodomo,2021.11.13,랩/힙합,221290,,
That`s Hilarious,Charlie Puth,2022.10.07,POP,159555,,
FEARLESS,LE SSERAFIM,2022.05.02,댄스,108414,2126,182622
Upside Down,강다니엘,2022.05.24,댄스,9519,1864,10663
HOT,세븐틴,2022.05.27,랩/힙합,119218,5667,65877
SMILEY,YENA(최예나),2022.01.17,댄스,143039,1974,111827
신호등,이무진,2021.05.14,록/메탈,295314,3440,300607
Celeb,싸이,2022.04.29,댄스,21544,729,137748
MY BAG,(여자)아이들,2022.03.14,랩/힙합,88050,946,131524
Stay,"The Kid LAROI, Justin Bieber",2021.07.09,POP,258979,605,74681
나의 X에게,경서,2022.04.24,발라드,142106,624,60957
다정히 내 이름을 부르면,"경서예지, 전건호",2021.05.19,발라드,169100,248,36248
손이 참 곱던 그대,임영웅,2022.05.02,재즈,46839,,
무지개,임영웅,2022.05.02,록/메탈,61806,,
아버지,임영웅,2022.05.02,발라드,50978,,
다시 만날 수 있을까,임영웅,2022.05.02,발라드,73738,15009,126307
ELEVEN,IVE,2021.12.01,댄스,182075,4219,423970
With you,"지민, 하성운",2022.04.24,"발라드, 국내드라마",72068,2299,22204
