music,singer,release_date,category,music_like,movie_like,movie_views
"Goodbye sun, Goodbye moon",토이,2014.11.18,발라드,19345,,
너의 바다에 머무네,토이,2014.11.18,발라드,21225,,
인생은 아름다워,토이,2014.11.18,발라드,26131,,
GOOD BOY,GD X TAEYANG,2014.11.21,랩/힙합,87396,1604,331585
U & I,토이,2014.11.18,발라드,62111,,
세 사람,토이,2014.11.18,발라드,105171,4083,1053049
매일 매일 매일,어반 자카파,2020.12.02,뮤직테라피,29,,
이제 보니까,팬텀,2014.11.11,랩/힙합,82,,
너의 말투로 살아,DK,2014.11.07,발라드,5456,,
깊은 밤을 날아서,규현,2014.11.13,발라드,56223,,
사랑이 숨긴 말들,규현,2014.11.13,발라드,11184,,
"나의 생각, 너의 기억",규현,2014.11.13,발라드,12657,,
이별을 말할 때,규현,2014.11.13,발라드,12185,,
Eternal Sunshine,규현,2014.11.13,발라드,19064,,
뒷모습이 참 예뻤구나,규현,2014.11.13,발라드,15343,,
어제처럼 굿나잇,러블리즈,2014.11.17,발라드,30926,3603,460980
지금 우는 사람들,울랄라세션,2014.11.19,발라드,4498,,
펑펑,알리,2014.11.12,발라드,54674,184,84494
첫눈예보,나비,2014.11.12,R&B/Soul,4373,,
쓰담쓰담,10cm,2014.11.19,"인디음악, 포크/블루스",57551,498,360565
사뿐사뿐,AOA,2014.11.11,댄스,50614,2409,2472931
광화문에서,규현,2014.11.13,발라드,232422,2207,809172
나는 달라,HI SUHYUN,2014.11.11,R&B/Soul,51268,2981,1445217
하루,메이트,2014.11.05,"인디음악, 록/메탈",9002,,
내일,한희정,2014.10.31,"록/메탈, 국내드라마",31042,,
끈적끈적,헬로비너스(HELLOVENUS),2014.11.06,댄스,3782,386,473812
눈물이 나,포스트맨,2014.11.06,발라드,8959,50,23214
She,종현,2016.05.24,댄스,32242,3959,133711
고스트,스피카,2014.11.05,발라드,5061,304,150999
죽을 만큼 아파서,MC몽,2010.06.24,랩/힙합,95038,953,215196
널 사랑한 시간에,XIA(준수),2014.12.17,"발라드, 국내드라마",7917,,
산다는 건,홍진영,2014.11.06,성인가요/트로트,50644,1330,715025
외침,디오,2014.11.03,"발라드, 국내영화",50376,6990,407301
위로,어반 자카파,2021.02.23,뮤직테라피,0,,
Tough Cookie,지코,2014.11.07,랩/힙합,51311,3152,811048
E.R,MC몽,2014.11.03,랩/힙합,9129,,
0904,MC몽,2014.11.03,랩/힙합,7142,,
My Love,MC몽,2014.11.03,랩/힙합,10152,,
격정적인 열애설,MC몽,2014.11.03,랩/힙합,8128,,
What could I do,MC몽,2014.11.03,랩/힙합,12061,,
Whatever,MC몽,2014.11.03,랩/힙합,18461,,
고장난 선풍기,MC몽,2014.11.03,랩/힙합,24311,,
New York,MC몽,2014.11.03,랩/힙합,16536,,
도망가자,MC몽,2014.11.03,랩/힙합,48001,,
마음 단단히 먹어,MC몽,2014.11.03,랩/힙합,29238,,
죽을만큼 아파서 Part 2,MC몽,2010.06.24,랩/힙합,95038,953,215196
내 생애 가장 행복한 시간,MC몽,2014.11.03,랩/힙합,89547,,
내가 그리웠니,MC몽,2014.11.03,랩/힙합,50472,2172,903307
달아요,박정현,2007.12.11,"발라드, R&B/Soul",23858,,
L4L,바비,2014.08.21,랩/힙합,37017,,
Coming Up Roses,Keira Knightley,2014.07.01,"록/메탈, 국외영화",25425,,
사랑 내사랑,"김그림, 백청강",2014.10.28,발라드,1903,,
노래는 거짓말을 못해요,알리,2014.11.12,발라드,3540,,
슬픈표정하지 말아요,신해철,2014.12.24,록/메탈,5143,,
A Higher Place,Adam Levine,2014.07.01,"록/메탈, 국외영화",35507,,
맘에 걸려,스탠딩 에그(Standing Egg),2014.10.30,"인디음악, 포크/블루스",8799,260,27452
A Step You Can`t Take Back,Keira Knightley,2014.07.01,"록/메탈, 국외영화",46381,,
So Hot,비스트,2014.10.20,댄스,19367,,
사랑...후에,신혜성 & 옥주현,2006.12.20,발라드,18809,664,33105
내 얘긴 안해?,강민희,2014.10.22,R&B/Soul,6790,,
거리에서,2LSON,2014.10.24,R&B/Soul,6181,177,114696
가까이,비스트,2014.10.20,댄스,20216,,
Tell Me If You Wanna Go Home,Keira Knightley,2014.07.01,"록/메탈, 국외영화",52741,482,243479
