Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
1,-,"

리무진 (Feat. MINO) (Prod. GRAY)
BE`O (비오) | 쇼미더머니 10 Episode 3","37,238,233","Stone Music Entertainment
지니뮤직",,
2,-,"

회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)
sokodomo | 쇼미더머니 10 Episode 2","36,491,468","Stone Music Entertainment
지니뮤직",,
3,-,"

만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL)
베이식(Basick) | 쇼미더머니 10 Episode 3","25,076,190","Stone Music Entertainment
지니뮤직",,
4,HOT,"

불협화음 (Feat. AKMU) (Prod. GRAY)
Mudd the student | 쇼미더머니 10 Semi Final","21,801,203","Stone Music Entertainment
지니뮤직",,
5,1,"

쉬어 (Feat. MINO) (Prod. GRAY)
아넌딜라이트(Anandelight) , unofficialboyy , BE′O (비오) , 지구인 , Mudd the student | 쇼미더머니 10 Episode 1","20,278,013","Stone Music Entertainment
지니뮤직",,
6,HOT,"

MBTI (Feat. 쿠기 & 로꼬) (Prod. GRAY)
BE`O (비오) | 쇼미더머니 10 Semi Final","17,930,166","Stone Music Entertainment
지니뮤직",,
7,2,"

strawberry moon
아이유 (IU) | strawberry moon","17,772,648","EDAM엔터테인먼트
Kakao Entertainment",,
8,2,"

Wake Up (Prod. 코드 쿤스트)
개코 , Ourealgoat (아우릴고트) , SINCE , 안병웅 , Tabber , 조광일 | 쇼미더머니 10 Episode 1","17,288,620","Stone Music Entertainment
지니뮤직",,
9,2,"

Savage
aespa | Savage - The 1st Mini Album","15,244,830","SM Entertainment
Dreamus",,
10,2,"

신호등
이무진 | 신호등","14,562,682","쇼플레이
Kakao Entertainment",,
11,2,"

Stay
The Kid LAROI, Justin Bieber | Stay","14,413,415","Columbia
Sony Music",,
12,2,"

다정히 내 이름을 부르면
경서예지, 전건호 | 다정히 내 이름을 부르면 (경서예지 x 전건호)","14,118,285","에버그로우
Kakao Entertainment",,
13,1,"

사랑은 늘 도망가
임영웅 | 신사와 아가씨 OST Part.2","13,641,410","모스트콘텐츠
NHN벅스",,
14,HOT,"

호우주의 (Feat. 개코, 넉살 (Nucksal)) (Prod. 코드 쿤스트)
조광일 | 쇼미더머니 10 Semi Final","13,335,584","Stone Music Entertainment
지니뮤직",,
15,2,"

Next Level
aespa | Next Level","12,453,637","SM Entertainment
Dreamus",,
