Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
1,-,"

Celebrity
아이유 (IU) | Celebrity","36,356,308","EDAM엔터테인먼트
Kakao Entertainment",,
2,new,"

PARANOIA
강다니엘 | PARANOIA","32,505,273","KONNECT ENTERTAINMENT
Sony Music",,
3,1,"

밤하늘의 별을(2020)
경서 | 밤하늘의 별을(2020)","18,646,911","꿈의엔진
Kakao Entertainment",,
4,1,"

Dynamite
방탄소년단 | Dynamite","17,571,365","BIGHIT MUSIC / HYBE
Dreamus",,
5,1,"

VVS (Feat. JUSTHIS) (Prod. GroovyRoom)
미란이 (Mirani), 먼치맨, Khundi Panda, 머쉬베놈 (MUSHVENOM) | 쇼미더머니 9 Episode 1","15,466,716","Stone Music Entertainment
지니뮤직",,
6,1,"

잠이 오질 않네요
장범준 | 잠이 오질 않네요","14,950,001","버스커버스커
Kakao Entertainment",,
7,2,"

이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM)
10cm | 이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM) OST","14,738,019","TOON STUDIO, 느을
Kakao Entertainment",,
8,-,"

Lovesick Girls
BLACKPINK | THE ALBUM","14,535,763","YG Entertainment
YG PLUS",,
9,-,"

취기를 빌려 (취향저격 그녀 X 산들)
산들 | 취기를 빌려 (취향저격 그녀 X 산들) OST","13,763,492","TOON STUDIO
Kakao Entertainment",,
10,1,"

I`m Not Cool
현아 (HyunA) | I`m Not Cool","12,378,418","피네이션
Kakao Entertainment",,
11,8,"

내 손을 잡아
아이유 (IU) | 최고의 사랑 OST Part 4","12,179,383","더그루브엔터테인먼트
Kakao Entertainment",,
12,1,"

에잇 (Prod.&Feat. SUGA of BTS)
아이유 (IU) | 에잇","12,124,653","EDAM엔터테인먼트
Kakao Entertainment",,
13,1,"

힘든 건 사랑이 아니다
임창정 | 힘든 건 사랑이 아니다","11,799,594","예스아이엠엔터테인먼트
인터파크",,
14,3,"

Blueming
아이유 (IU) | Love poem","11,457,884","Kakao Entertainment
Kakao Entertainment",,
15,3,"

나랑 같이 걸을래 (바른연애 길잡이 X 적재)
적재 | 나랑 같이 걸을래 (바른연애 길잡이 X 적재) OST","11,429,124","TOON STUDIO, 느을
Kakao Entertainment",,
