Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
1,-,"

Butter
방탄소년단 | Butter","33,897,462","BIGHIT MUSIC / HYBE
YG PLUS",,
2,1,"

헤픈 우연
헤이즈 (Heize) | HAPPEN","29,880,989","피네이션
지니뮤직, Stone Music Entertainment",,
3,1,"

Next Level
aespa | Next Level","28,688,129","SM Entertainment
Dreamus",,
4,2,"

Dun Dun Dance
오마이걸 (OH MY GIRL) | Dear OHMYGIRL","28,389,686","WM엔터테인먼트
Sony Music",,
5,-,"

Peaches (Feat. Daniel Caesar, Giveon)
Justin Bieber | Justice","23,401,152","RBMG/Def Jam
Universal Music",,
6,-,"

롤린 (Rollin`)
브레이브걸스 (Brave Girls) | Rollin`","22,631,370","브레이브 엔터테인먼트
케미컬레코드",,
7,-,"

라일락
아이유 (IU) | 5th Album `LILAC`","20,422,952","EDAM엔터테인먼트
Kakao Entertainment",,
8,-,"

상상더하기
MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인 (Wonstein)) | MSG워너비 TOP 8 경연곡","19,163,213","유야호
지니뮤직, Stone Music Entertainment",,
9,1,"

ASAP
STAYC(스테이씨) | STAYDOM","18,494,693","하이업엔터테인먼트
Kakao Entertainment",,
10,1,"

운전만해 (We Ride)
브레이브걸스 (Brave Girls) | We Ride","18,259,885","브레이브 엔터테인먼트
Kakao Entertainment",,
11,5,"

안녕 (Hello)
조이 (JOY) | 안녕 (Hello) - Special Album","17,850,135","SM Entertainment
Dreamus",,
12,1,"

Celebrity
아이유 (IU) | Celebrity","17,737,462","EDAM엔터테인먼트
Kakao Entertainment",,
13,1,"

Dynamite
방탄소년단 | Dynamite","16,667,335","BIGHIT MUSIC / HYBE
YG PLUS",,
14,1,"

상상더하기
라붐 (LABOUM) | Fresh Adventure","16,198,231","글로벌에이치미디어
인터파크",,
15,new,"

Don`t fight the feeling
EXO | DON`T FIGHT THE FEELING - Special Album","15,450,117","SM Entertainment
Dreamus",,
16,2,"

Timeless
SG 워너비 | SG Wanna Be+","15,110,498","Stone Music Entertainment
지니뮤직",,
17,2,"

마.피.아. In the morning
ITZY (있지) | GUESS WHO","13,542,939","JYP Entertainment
Dreamus",,
18,1,"

사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)
호미들 | 사이렌 Remix","13,386,602","영앤리치 레코즈
Kakao Entertainment",,
