Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
44,5,"

Queendom
레드벨벳(Red Velvet) | Queendom - The 6th Mini Album","7,023,582","SM Entertainment
Dreamus",,
45,4,"

비가 오는 날엔 (2021)
헤이즈 (Heize) | 비가 오는 날엔 (2021)","7,003,371","PLAYLIST
지니뮤직, Stone Music Entertainment",,
46,-,"

모든 날, 모든 순간 (Every day, Every Moment)
폴킴 | `키스 먼저 할까요?` OST Part 3","6,938,111","SM Entertainment
Dreamus",,
47,2,"

내 손을 잡아
아이유 (IU) | 최고의 사랑 OST Part 4","6,838,194","더그루브엔터테인먼트
Kakao Entertainment",,
48,6,"

Dun Dun Dance
오마이걸 (OH MY GIRL) | Dear OHMYGIRL","6,825,914","WM엔터테인먼트
Sony Music",,
49,-,"

이제 나만 믿어요
임영웅 | 내일은 미스터트롯 우승자 특전곡","6,823,065","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
50,6,"

너는 내 세상이었어
볼빨간사춘기 | Butterfly Effect","6,704,422","쇼파르엔터테인먼트
NHN벅스",,
51,4,"

사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)
호미들 | 사이렌 Remix","6,643,197","영앤리치 레코즈
Kakao Entertainment",,
52,17,"

어제 너는 나를 버렸어
10cm | The 3rd EP","6,584,955","매직스트로베리사운드
Kakao Entertainment",,
53,5,"

비와 당신
이무진 | 슬기로운 의사생활 시즌2 OST Part 1","6,544,634","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
54,11,"

XOXO
전소미 | XOXO","6,456,952","The Black Label
YG PLUS",,
55,2,"

추억은 만남보다 이별에 남아
정동하 | 추억은 만남보다 이별에 남아","6,383,519","뮤직원 컴퍼니
Kakao Entertainment",,
56,5,"

Blueming
아이유 (IU) | Love poem","6,377,305","Kakao Entertainment
Kakao Entertainment",,
57,3,"

밝게 빛나는 별이 되어 비춰줄게
송이한 | 밝게 빛나는 별이 되어 비춰줄게","6,325,619","뮤직디자인
Kakao Entertainment",,
58,5,"

Hey Mama (Feat. Nicki Minaj & Afrojack)
David Guetta | Listen (Deluxe)","6,310,264","Parlophone France
Warner Music",,
59,3,"

ASAP
STAYC(스테이씨) | STAYDOM","6,132,234","하이업엔터테인먼트
Kakao Entertainment",,
60,82,"

오로지 그대
다비치 | 지금, 헤어지는 중입니다 OST Part.3","6,096,997","뮤직그라운드, 구름위에음악사
NHN벅스",,
61,3,"

Off My Face
Justin Bieber | Justice","6,075,010","RBMG/Def Jam
Universal Music",,
62,1,"

취기를 빌려 (취향저격 그녀 X 산들)
산들 | 취기를 빌려 (취향저격 그녀 X 산들) OST","6,043,166","TOON STUDIO
Kakao Entertainment",,
63,4,"

하루만 더
빅마마 (BigMama) | 하루만 더","6,024,857","Kakao Entertainment
Kakao Entertainment",,
64,1,"

Lovesick Girls
BLACKPINK | THE ALBUM","5,797,446","YG Entertainment
YG PLUS",,
65,13,"

가을 타나 봐
이무진 | 가을 타나 봐 (REVIBE Vol.4)","5,791,099","메이저나인
지니뮤직",,
66,6,"

가을 우체국 앞에서
김대명 | 슬기로운 의사생활 시즌2 OST Part 2","5,775,915","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
67,1,"

에잇 (Prod.&Feat. SUGA of BTS)
아이유 (IU) | 에잇","5,774,203","EDAM엔터테인먼트
Kakao Entertainment",,
68,new,"

푸르른 계절도 내겐 의미 없어요
정승환 | 지금, 헤어지는 중입니다 OST Part.4","5,706,851","뮤직그라운드, 구름위에음악사
NHN벅스",,
69,19,"

별거 없던 그 하루로
임창정 | 별거 없던 그 하루로","5,705,775","YES IM ENTERTAINMENT
인터파크",,
70,3,"

Savage Love (Laxed - Siren Beat) (BTS Remix)
Jawsh 685, Jason Derulo, BTS | Savage Love (Laxed - Siren Beat) (BTS Remix)","5,677,030","Columbia
Sony Music",,
71,-,"

잠이 오질 않네요
장범준 | 잠이 오질 않네요","5,660,948","버스커버스커
Kakao Entertainment",,
72,17,"

Rock with you
세븐틴 | SEVENTEEN 9th Mini Album `Attacca`","5,631,854","플레디스
YG PLUS",,
73,9,"

색안경 (STEREOTYPE)
STAYC(스테이씨) | STEREOTYPE","5,619,163","하이업엔터테인먼트
Kakao Entertainment",,
74,2,"

작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)
방탄소년단 | MAP OF THE SOUL : PERSONA","5,587,269","BIGHIT MUSIC / HYBE
YG PLUS",,
75,26,"

Rush Hour
몬스타엑스 | NO LIMIT","5,565,758","스타쉽엔터테인먼트
Kakao Entertainment",,
76,2,"

그날에 나는 맘이 편했을까
이예준 | 그날에 나는 맘이 편했을까","5,562,537","뮤니콘
Kakao Entertainment",,
77,11,"

LOCO
ITZY (있지) | CRAZY IN LOVE","5,554,874","JYP Entertainment
Dreamus",,
78,3,"

오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)
마크툽 (Maktub) | Red Moon : To You My Light","5,455,369","MAKTUB Company
Warner Music",,
79,3,"

다음생이 있다면 당신을 만나서 다시 사랑할래요
임재현 | 다음생이 있다면 당신을 만나서 다시 사랑할래요","5,411,449","디원미디어
지니뮤직, Stone Music Entertainment",,
80,10,"

Cold Blooded
제시(Jessi) | Cold Blooded","5,307,867","피네이션, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
81,3,"

봄날
방탄소년단 | YOU NEVER WALK ALONE","5,293,162","BIGHIT MUSIC / HYBE
YG PLUS",,
82,5,"

Timeless
SG 워너비 | SG Wanna Be+","5,182,815","Stone Music Entertainment
지니뮤직",,
83,4,"

흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야
장범준 | 멜로가 체질 OST Part 3","5,174,963","Stone Music Entertainment, 삼화네트웍스
지니뮤직, Stone Music Entertainment",,
84,3,"

멜로디
ASH ISLAND | 멜로디","5,165,755","앰비션뮤직
지니뮤직, Stone Music Entertainment",,
85,2,"

그대라는 사치
임영웅 | 사랑의 콜센타 PART62","5,145,869","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
86,1,"

오래된 노래
스탠딩 에그(Standing Egg) | 오래된 노래","5,079,830","BORN
Kakao Entertainment",,
87,4,"

METEOR
창모 (CHANGMO) | Boyhood","5,053,705","앰비션뮤직
지니뮤직, Stone Music Entertainment",,
88,8,"

2002
Anne-Marie | Speak Your Mind (Deluxe)","5,000,363","Atlantic Records UK
Warner Music",,
89,26,"

가까이 있어서 몰랐어
2am | Ballad 21 F/W","4,969,611","문화창고
지니뮤직, Stone Music Entertainment",,
90,20,"

Santa Tell Me
Ariana Grande | Santa Tell Me","4,926,753","Republic Records, a division of UMG Recordings,Inc
Universal Music",,
91,3,"

아로하
조정석 | 슬기로운 의사생활 OST Part 3","4,810,001","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
92,8,"

그리워 그리워
이예준 | 그리워 그리워","4,772,016","이예준
Kakao Entertainment",,
93,24,"

All I Want For Christmas Is You
Mariah Carey | Merry Christmas (Deluxe Anniversary Edition)","4,732,000","Columbia/Legacy
Sony Music",,
94,new,"

I`m a 빛
화사(Hwa Sa) | Guilty Pleasure","4,643,118","RBW
Kakao Entertainment",,
95,new,"

폐허가 된다 해도
이승윤 | 폐허가 된다 해도","4,533,368","쇼플레이
Kakao Entertainment",,
96,4,"

Life Goes On
방탄소년단 | BE","4,501,002","BIGHIT MUSIC / HYBE
YG PLUS",,
97,4,"

다시 사랑한다면 (김필 Ver.)
임영웅 | 사랑의 콜센타 PART56","4,485,674","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
98,1,"

Tiny Riot
Sam Ryder | Tiny Riot","4,457,612","Parlophone UK
Warner Music",,
99,3,"

별빛 같은 나의 사랑아
임영웅 | 별빛 같은 나의 사랑아","4,252,824","티조컬처앤컨텐츠, 뉴에라프로젝트, 물고기뮤직
Kakao Entertainment",,
100,2,"

잊었니
임영웅 | 사랑의 콜센타 PART60","4,185,849","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
101,12,"

어푸 (Ah puh)
아이유 (IU) | 5th Album 'LILAC'","4,011,108","EDAM엔터테인먼트
Kakao Entertainment",,
102,29,"

나의 첫사랑
다비치 | 나의 첫사랑","3,995,745","WAKEONE
지니뮤직",,
103,34,"

나비효과
볼빨간사춘기 | Butterfly Effect","3,966,667","쇼파르엔터테인먼트
NHN벅스",,
104,new,"

누군가를 사랑하는 사람다운 말
이승윤 | 폐허가 된다 해도","3,933,112","쇼플레이
Kakao Entertainment",,
105,5,"

HERO
임영웅 | HERO","3,932,378","티조컬처앤컨텐츠, 뉴에라프로젝트
Kakao Entertainment",,
106,4,"

끝사랑
임영웅 | 사랑의 콜센타 PART61","3,804,104","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
107,13,"

Snowman
Sia | Snowman","3,760,692","Monkey Puzzle, Atlantic
Warner Music",,
108,18,"

운전만해 (We Ride)
브레이브걸스 (Brave Girls) | We Ride","3,673,576","브레이브 엔터테인먼트
Kakao Entertainment",,
109,23,"

밤하늘의 별을(Original)
임한별 | 밤하늘의 별을(Original)","3,617,417","플렉스엠,밤별 프로젝트
NHN벅스",,
110,4,"

Easy On Me
Adele | Easy On Me","3,582,614","Columbia
Sony Music",,
111,HOT,"

새로고침 (Feat. GRAY)
지구인, 아넌딜라이트(Anandelight) | 쇼미더머니 10 Episode 3","3,574,106","Stone Music Entertainment
지니뮤직",,
112,7,"

Love poem
아이유 (IU) | Love poem","3,565,064","Kakao Entertainment
Kakao Entertainment",,
113,new,"

헤어지면 돼
V.O.S | 헤어지면 돼","3,527,086","J-SOUL COMPANY
Kakao Entertainment",,
