Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
43,7,"

METEOR
창모 (CHANGMO) | Boyhood","8,778,284","앰비션뮤직
지니뮤직, Stone Music Entertainment",,
44,10,"

사실 나는 (Feat.전건호)
경서예지 | 사실 나는","8,746,593","먼데이키즈 컴퍼니, 에버그로우
Kakao Entertainment",,
45,13,"

내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)
규현 (KYUHYUN) | 내 마음이 움찔했던 순간 (취향저격 그녀 X 규현) OST","8,654,637","TOON STUDIO, 느을
Kakao Entertainment",,
46,8,"

2002
Anne-Marie | Speak Your Mind (Deluxe)","8,488,344","Atlantic Records UK
Warner Music",,
47,9,"

봄날
방탄소년단 | YOU NEVER WALK ALONE","8,234,402","BIGHIT MUSIC / HYBE
Dreamus",,
48,6,"

How You Like That
BLACKPINK | How You Like That","8,223,126","YG Entertainment
YG PLUS",,
49,8,"

늦은 밤 너의 집 앞 골목길에서
노을 | 늦은 밤 너의 집 앞 골목길에서","8,203,433","씨제스엔터테인먼트
Kakao Entertainment",,
50,15,"

I`m Not Cool
현아 (HyunA) | I`m Not Cool","7,985,384","피네이션
Kakao Entertainment",,
51,11,"

되풀이
임창정 | 펜트하우스2 OST Part.1","7,865,117","SBS 콘텐츠허브
Dreamus",,
52,6,"

이제 나만 믿어요
임영웅 | 내일은 미스터트롯 우승자 특전곡","7,818,742","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
53,1,"

작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)
방탄소년단 | MAP OF THE SOUL : PERSONA","7,794,122","BIGHIT MUSIC / HYBE
Dreamus",,
54,8,"

추억은 만남보다 이별에 남아
정동하 | 추억은 만남보다 이별에 남아","7,775,618","뮤직원 컴퍼니
Kakao Entertainment",,
55,8,"

아로하
조정석 | 슬기로운 의사생활 OST Part 3","7,740,896","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
56,6,"

너의 번호를 누르고 (Prod. 영화처럼)
#안녕 | 너의 번호를 누르고","7,714,407","시애틀뮤직
Warner Music",,
57,9,"

어떻게 지내
오반 (OVAN) | 어떻게 지내","7,706,915","로맨틱팩토리
Kakao Entertainment",,
58,13,"

혼술하고 싶은 밤
벤 (Ben) | 혼술하고 싶은 밤","7,658,418","메이저나인
지니뮤직",,
59,16,"

이렇게 좋아해 본 적이 없어요
CHEEZE (치즈) | 이렇게 좋아해 본 적이 없어요 (소녀의 세계 X CHEEZE(치즈)) OST","7,655,254","모스트콘텐츠, 니즈뮤직
NHN벅스",,
60,9,"

Love poem
아이유 (IU) | Love poem","7,597,218","Kakao Entertainment
Kakao Entertainment",,
61,24,"

꼬리 (TAIL)
선미 | 꼬리 (TAIL)","7,475,616","어비스컴퍼니
Kakao Entertainment",,
62,13,"

When We Disco (Duet with 선미)
박진영 | When We Disco","7,355,064","JYP Entertainment
Dreamus",,
63,9,"

Memories
Maroon 5 | Memories","7,321,137","222 Records/Interscope Records
Universal Music",,
64,3,"

12:45 (Stripped)
Etham | 12:45 (Stripped)","7,160,662","Virgin EMI
Universal Music",,
65,HOT,"

Peaches (Feat. Daniel Caesar, Giveon)
Justin Bieber | Justice","7,123,689","RBMG/Def Jam
Universal Music",,
66,11,"

너를 만나
폴킴 | 너를 만나","7,109,686","뉴런뮤직
Kakao Entertainment",,
67,9,"

오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)
마크툽 (Maktub) | Red Moon : To You My Light","7,098,228","MAKTUB Company
Warner Music",,
68,11,"

마음을 드려요
아이유 (IU) | 사랑의 불시착 OST Part 11","7,060,911","EDAM엔터테인먼트
Kakao Entertainment",,
69,10,"

살짝 설렜어 (Nonstop)
오마이걸 (OH MY GIRL) | NONSTOP","7,055,986","WM엔터테인먼트
Sony Music",,
70,17,"

내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))
릴보이 (lIlBOI) | 쇼미더머니 9 Episode 3","7,041,178","Stone Music Entertainment
지니뮤직",,
71,10,"

술 한잔 해요
경서 (경서예지), MJ (써니사이드) | 술 한잔 해요","6,707,144","프로젝트 리본
Warner Music",,
72,7,"

서면역에서
순순희 | 서면역에서","6,573,358","비에스엔터테인먼트
지니뮤직",,
73,7,"

시작
가호 (Gaho) | 이태원 클라쓰 OST Part.2","6,466,595","블렌딩
블렌딩",,
