Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
1,-,"

롤린 (Rollin`)
브레이브걸스 (Brave Girls) | Rollin`","29,874,472","브레이브 엔터테인먼트
케미컬레코드",,
2,1,"

Peaches (Feat. Daniel Caesar, Giveon)
Justin Bieber | Justice","27,832,133","RBMG/Def Jam
Universal Music",,
3,1,"

라일락
아이유 (IU) | 5th Album `LILAC`","27,120,188","EDAM엔터테인먼트
Kakao Entertainment",,
4,1,"

운전만해 (We Ride)
브레이브걸스 (Brave Girls) | We Ride","23,465,860","브레이브 엔터테인먼트
Kakao Entertainment",,
5,1,"

Timeless
SG 워너비 | SG Wanna Be+","22,649,129","Stone Music Entertainment
지니뮤직",,
6,-,"

Celebrity
아이유 (IU) | Celebrity","21,964,837","EDAM엔터테인먼트
Kakao Entertainment",,
7,-,"

라라라
SG 워너비 | My Friend","19,065,107","Stone Music Entertainment
지니뮤직",,
8,-,"

Coin
아이유 (IU) | 5th Album `LILAC`","15,955,670","EDAM엔터테인먼트
Kakao Entertainment",,
9,-,"

Dynamite
방탄소년단 | Dynamite","15,637,974","BIGHIT MUSIC / HYBE
YG PLUS",,
10,-,"

내 손을 잡아
아이유 (IU) | 최고의 사랑 OST Part 4","15,090,295","더그루브엔터테인먼트
Kakao Entertainment",,
11,97,"

마.피.아. In the morning
ITZY (있지) | GUESS WHO","14,338,795","JYP Entertainment
Dreamus",,
12,1,"

LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)
양요섭, 정은지 | LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지) OST","14,214,406","TOON STUDIO, 느을
Kakao Entertainment",,
13,2,"

내사람
SG 워너비 | The Precious History","14,062,806","Stone Music Entertainment
지니뮤직",,
14,2,"

On The Ground
로제 (ROSE) | R","13,793,214","YG Entertainment
YG PLUS",,
15,1,"

밤하늘의 별을(2020)
경서 | 밤하늘의 별을(2020)","13,257,386","꿈의엔진
Kakao Entertainment",,
16,2,"

살다가
SG 워너비 | 살다가","12,893,084","Stone Music Entertainment
지니뮤직",,
17,2,"

그냥 안아달란 말야
다비치 | 그냥 안아달란 말야","12,772,672","Stone Music Entertainment
지니뮤직",,
18,new,"

불어온다
하이라이트(Highlight) | The Blowing","12,602,728","어라운드 어스
Kakao Entertainment",,
19,2,"

밝게 빛나는 별이 되어 비춰줄게
송이한 | 밝게 빛나는 별이 되어 비춰줄게","12,262,008","뮤직디자인
Kakao Entertainment",,
20,2,"

어푸 (Ah puh)
아이유 (IU) | 5th Album 'LILAC'","11,936,198","EDAM엔터테인먼트
Kakao Entertainment",,
21,2,"

잠이 오질 않네요
장범준 | 잠이 오질 않네요","11,756,112","버스커버스커
Kakao Entertainment",,
22,2,"

Blueming
아이유 (IU) | Love poem","11,118,023","Kakao Entertainment
Kakao Entertainment",,
23,2,"

취기를 빌려 (취향저격 그녀 X 산들)
산들 | 취기를 빌려 (취향저격 그녀 X 산들) OST","11,113,327","TOON STUDIO
Kakao Entertainment",,
24,6,"

멜로디
ASH ISLAND | 멜로디","10,924,005","앰비션뮤직
지니뮤직, Stone Music Entertainment",,
25,2,"

Lovesick Girls
BLACKPINK | THE ALBUM","10,913,699","YG Entertainment
YG PLUS",,
26,4,"

에잇 (Prod.&Feat. SUGA of BTS)
아이유 (IU) | 에잇","10,738,253","EDAM엔터테인먼트
Kakao Entertainment",,
27,3,"

나랑 같이 걸을래 (바른연애 길잡이 X 적재)
적재 | 나랑 같이 걸을래 (바른연애 길잡이 X 적재) OST","10,350,973","TOON STUDIO, 느을
Kakao Entertainment",,
28,2,"

VVS (Feat. JUSTHIS) (Prod. GroovyRoom)
미란이 (Mirani), 먼치맨, Khundi Panda, 머쉬베놈 (MUSHVENOM) | 쇼미더머니 9 Episode 1","10,035,663","Stone Music Entertainment
지니뮤직",,
29,1,"

흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야
장범준 | 멜로가 체질 OST Part 3","9,959,296","Stone Music Entertainment, 삼화네트웍스
지니뮤직, Stone Music Entertainment",,
30,16,"

사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)
호미들 | 사이렌 Remix","9,918,648","영앤리치 레코즈
Kakao Entertainment",,
31,17,"

ASAP
STAYC(스테이씨) | STAYDOM","9,815,946","하이업엔터테인먼트
Kakao Entertainment",,
32,4,"

너의 발걸음에 빛을 비춰줄게 (Prod. 조영수)
케이시 (Kassy) | 너의 발걸음에 빛을 비춰줄게 (Prod. 조영수)","9,778,449","넥스타엔터테인먼트
Kakao Entertainment",,
33,6,"

이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM)
10cm | 이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM) OST","9,775,951","TOON STUDIO, 느을
Kakao Entertainment",,
34,5,"

어떻게 이별까지 사랑하겠어, 널 사랑하는 거지
AKMU (악뮤) | 항해","9,695,153","YG Entertainment
YG PLUS",,
35,10,"

봄 안녕 봄
아이유 (IU) | 5th Album `LILAC`","9,278,420","EDAM엔터테인먼트
Kakao Entertainment",,
36,1,"

Savage Love (Laxed - Siren Beat) (BTS Remix)
Jawsh 685, Jason Derulo, BTS | Savage Love (Laxed - Siren Beat) (BTS Remix)","8,964,223","Columbia
Sony Music",,
37,6,"

아이와 나의 바다
아이유 (IU) | 5th Album `LILAC`","8,955,397","EDAM엔터테인먼트
Kakao Entertainment",,
38,1,"

12:45 (Stripped)
Etham | 12:45 (Stripped)","8,798,140","Virgin EMI
Universal Music",,
39,1,"

Dolphin
오마이걸 (OH MY GIRL) | NONSTOP","8,737,973","WM엔터테인먼트
Sony Music",,
40,3,"

그날에 나는 맘이 편했을까
이예준 | 그날에 나는 맘이 편했을까","8,735,598","뮤니콘
Kakao Entertainment",,
41,3,"

모든 날, 모든 순간 (Every day, Every Moment)
폴킴 | `키스 먼저 할까요?` OST Part 3","8,712,966","SM Entertainment
Dreamus",,
42,1,"

오래된 노래
스탠딩 에그(Standing Egg) | 오래된 노래","8,641,901","BORN
Kakao Entertainment",,
43,-,"

2002
Anne-Marie | Speak Your Mind (Deluxe)","8,501,354","Atlantic Records UK
Warner Music",,
