Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
1,93,"

쉬어 (Feat. MINO) (Prod. GRAY)
아넌딜라이트(Anandelight) , unofficialboyy , BE′O (비오) , 지구인 , Mudd the student | 쇼미더머니 10 Episode 1","28,887,098","Stone Music Entertainment
지니뮤직",,
2,1,"

strawberry moon
아이유 (IU) | strawberry moon","25,330,266","EDAM엔터테인먼트
Kakao Entertainment",,
3,HOT,"

Wake Up (Prod. 코드 쿤스트)
개코 , Ourealgoat (아우릴고트) , SINCE , 안병웅 , Tabber , 조광일 | 쇼미더머니 10 Episode 1","24,424,502","Stone Music Entertainment
지니뮤직",,
4,2,"

Savage
aespa | Savage - The 1st Mini Album","20,193,066","SM Entertainment
Dreamus",,
5,2,"

Stay
The Kid LAROI, Justin Bieber | Stay","17,651,308","Columbia
Sony Music",,
6,2,"

신호등
이무진 | 신호등","17,377,206","쇼플레이
Kakao Entertainment",,
7,HOT,"

TROUBLE (Prod. Slom)
Don Mills , Northfacegawd , sokodomo , Khakii (카키) , A-Chess (에이체스) | 쇼미더머니 10 Episode 1","16,758,288","Stone Music Entertainment
지니뮤직",,
8,-,"

다정히 내 이름을 부르면
경서예지, 전건호 | 다정히 내 이름을 부르면 (경서예지 x 전건호)","15,475,713","에버그로우
Kakao Entertainment",,
9,HOT,"

너와 나의 Memories
염따 (YumDDa), TOIL, 쿤타, 베이식 (Basick), 365LIT, 황지상 (HWANG JI SANG), 송민영 | 쇼미더머니 10 Episode 1","15,353,344","Stone Music Entertainment
지니뮤직",,
10,3,"

Next Level
aespa | Next Level","14,808,552","SM Entertainment
Dreamus",,
11,6,"

사랑은 늘 도망가
임영웅 | 신사와 아가씨 OST Part.2","14,547,977","모스트콘텐츠
NHN벅스",,
12,2,"

My Universe
Coldplay, 방탄소년단 | My Universe","13,804,014","Parlophone UK
Warner Music",,
13,-,"

너를 생각해
주시크 (Joosiq) | 너를 생각해","13,412,456","뮤직레시피
Warner Music",,
14,3,"

낙하 (with 아이유)
AKMU (악뮤) | NEXT EPISODE","13,212,102","YG Entertainment
YG PLUS",,
15,3,"

OHAYO MY NIGHT
디핵 (D-Hack), PATEKO(파테코) | OHAYO MY NIGHT","13,197,451","NEOKIDZ
YG PLUS",,
16,2,"

바라만 본다
MSG워너비(M.O.M) | MSG워너비 1집","12,247,824","유야호
지니뮤직, Stone Music Entertainment",,
17,1,"

Permission to Dance
방탄소년단 | Butter / Permission to Dance","11,550,980","BIGHIT MUSIC / HYBE
YG PLUS",,
18,3,"

Weekend
태연 (TAEYEON) | Weekend","11,315,598","SM Entertainment
Dreamus",,
19,1,"

Butter
방탄소년단 | Butter","11,047,674","BIGHIT MUSIC / HYBE
YG PLUS",,
20,3,"

Bad Habits
Ed Sheeran | Bad Habits","10,848,241","Atlantic Records UK
Warner Music",,
21,-,"

고백
멜로망스(Melomance) | 세 번째 `고백`","10,281,652","카카오엔터테인먼트, 민트페이퍼, 광합성
Kakao Entertainment",,
22,2,"

Peaches (Feat. Daniel Caesar, Giveon)
Justin Bieber | Justice","10,214,625","RBMG/Def Jam
Universal Music",,
23,1,"

헤픈 우연
헤이즈 (Heize) | HAPPEN","10,155,813","피네이션
지니뮤직, Stone Music Entertainment",,
24,-,"

Dynamite
방탄소년단 | Dynamite","9,503,762","BIGHIT MUSIC / HYBE
YG PLUS",,
25,2,"

시간을 거슬러 (낮에 뜨는 달 X 케이윌)
케이윌 (K.Will) | 시간을 거슬러 (낮에 뜨는 달 X 케이윌) OST","9,429,226","TOON STUDIO
Kakao Entertainment",,
26,-,"

라일락
아이유 (IU) | 5th Album `LILAC`","9,241,051","EDAM엔터테인먼트
Kakao Entertainment",,
27,-,"

Celebrity
아이유 (IU) | Celebrity","9,120,197","EDAM엔터테인먼트
Kakao Entertainment",,
28,1,"

DUMB DUMB
전소미 | DUMB DUMB","8,690,982","The Black Label
YG PLUS",,
29,1,"

좋아좋아
조정석 | 슬기로운 의사생활 시즌2 OST Part 5","8,564,135","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
30,new,"

Yours
진 (JIN) | 지리산 OST Part.4","8,553,211","에이스토리, 모스트콘텐츠
Dreamus",,
31,-,"

별거 없던 그 하루로
임창정 | 별거 없던 그 하루로","8,215,519","YES IM ENTERTAINMENT
인터파크",,
32,2,"

찰나가 영원이 될 때 (The Eternal Moment)
마크툽 (Maktub) | Red Moon : Beyond The Light","8,201,285","MAKTUB Company
Warner Music",,
33,3,"

Queendom
레드벨벳(Red Velvet) | Queendom - The 6th Mini Album","8,154,558","SM Entertainment
Dreamus",,
34,1,"

나 그댈위해 시 한편을 쓰겠어
케이시 (Kassy) | 옛이야기","8,117,334","넥스타엔터테인먼트
Kakao Entertainment",,
35,4,"

비가 오는 날엔 (2021)
헤이즈 (Heize) | 비가 오는 날엔 (2021)","8,072,484","PLAYLIST
지니뮤직, Stone Music Entertainment",,
36,2,"

어떻게 이별까지 사랑하겠어, 널 사랑하는 거지
AKMU (악뮤) | 항해","8,021,444","YG Entertainment
YG PLUS",,
37,2,"

롤린 (Rollin`)
브레이브걸스 (Brave Girls) | Rollin`","7,819,427","브레이브 엔터테인먼트
음악형제들",,
38,9,"

밤하늘의 별을(2020)
경서 | 밤하늘의 별을(2020)","7,646,692","꿈의엔진
Kakao Entertainment",,
39,30,"

Rock with you
세븐틴 | SEVENTEEN 9th Mini Album `Attacca`","7,625,561","플레디스
YG PLUS",,
40,3,"

Dun Dun Dance
오마이걸 (OH MY GIRL) | Dear OHMYGIRL","7,607,080","WM엔터테인먼트
Sony Music",,
41,1,"

비와 당신
이무진 | 슬기로운 의사생활 시즌2 OST Part 1","7,587,078","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
42,6,"

가을 타나 봐
이무진 | 가을 타나 봐 (REVIBE Vol.4)","7,469,727","메이저나인
지니뮤직",,
43,11,"

너는 내 세상이었어
볼빨간사춘기 | Butterfly Effect","7,438,607","쇼파르엔터테인먼트
NHN벅스",,
44,2,"

내 손을 잡아
아이유 (IU) | 최고의 사랑 OST Part 4","7,344,193","더그루브엔터테인먼트
Kakao Entertainment",,
45,20,"

나비효과
볼빨간사춘기 | Butterfly Effect","7,326,419","쇼파르엔터테인먼트
NHN벅스",,
46,7,"

모든 날, 모든 순간 (Every day, Every Moment)
폴킴 | `키스 먼저 할까요?` OST Part 3","7,244,158","SM Entertainment
Dreamus",,
47,3,"

사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)
호미들 | 사이렌 Remix","7,150,054","영앤리치 레코즈
Kakao Entertainment",,
48,7,"

가까이 있어서 몰랐어
2am | Ballad 21 F/W","7,079,595","문화창고
지니뮤직, Stone Music Entertainment",,
49,3,"

이제 나만 믿어요
임영웅 | 내일은 미스터트롯 우승자 특전곡","7,001,270","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
50,2,"

Hey Mama (Feat. Nicki Minaj & Afrojack)
David Guetta | Listen (Deluxe)","6,951,865","Parlophone France
Warner Music",,
51,-,"

가을 우체국 앞에서
김대명 | 슬기로운 의사생활 시즌2 OST Part 2","6,908,316","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
