,year,week_num,start_date,end_date,rank,music,singer,album,production,distribution
53,2020,32,2020.08.02,2020.08.08,54,덤더럼(Dumhdurum),에이핑크 (Apink),LOOK,,
54,2020,32,2020.08.02,2020.08.08,55,우리 왜 헤어져야 해,신예영,우리 왜 헤어져야 해,,
55,2020,32,2020.08.02,2020.08.08,56,안녕,폴킴,호텔 델루나 OST Part.10,,
56,2020,32,2020.08.02,2020.08.08,57,ON,방탄소년단,MAP OF THE SOUL : 7,,
57,2020,32,2020.08.02,2020.08.08,58,What You Waiting For,전소미,What You Waiting For,,
58,2020,32,2020.08.02,2020.08.08,59,"너에게 난, 나에게 넌",미도와 파라솔,슬기로운 의사생활 OST Part 12,,
59,2020,32,2020.08.02,2020.08.08,60,환상동화 (Secret Story of the Swan),IZ*ONE (아이즈원),Oneiric Diary (幻想日記),,
60,2020,32,2020.08.02,2020.08.08,61,깡 Official Remix,"식케이, pH-1, 박재범, 김하온",깡 Official Remix,,
61,2020,32,2020.08.02,2020.08.08,62,아직 너의 시간에 살아,이수현,사이코지만 괜찮아 OST Part.4,,
62,2020,32,2020.08.02,2020.08.08,63,어떻게 지내 (답가),런치,어떻게 지내 (답가),,
63,2020,32,2020.08.02,2020.08.08,64,그때 그 아인,김필,이태원 클라쓰 OST Part.6,,
64,2020,32,2020.08.02,2020.08.08,65,돌덩이,하현우,이태원 클라쓰 OST Part.3,,
65,2020,32,2020.08.02,2020.08.08,66,첫 줄,신용재,Dear,,
66,2020,32,2020.08.02,2020.08.08,67,비,폴킴,비,,
67,2020,32,2020.08.02,2020.08.08,68,FIESTA,IZ*ONE (아이즈원),BLOOM*IZ,,
68,2020,32,2020.08.02,2020.08.08,69,취했나봐,황인욱,취했나봐,,
69,2020,32,2020.08.02,2020.08.08,70,WANNABE,ITZY (있지),IT`z ME,,
70,2020,32,2020.08.02,2020.08.08,71,반만,진민호,반만,,
71,2020,32,2020.08.02,2020.08.08,72,그대 고운 내사랑,어반 자카파 (Urban Zakapa),슬기로운 의사생활 OST Part 5,,
72,2020,32,2020.08.02,2020.08.08,73,Painkiller,Ruel,Painkiller,,
73,2020,32,2020.08.02,2020.08.08,74,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",,
74,2020,32,2020.08.02,2020.08.08,75,너를 만나,폴킴,너를 만나,,
75,2020,32,2020.08.02,2020.08.08,76,내 눈물 모아,휘인 (Whee In),슬기로운 의사생활 OST Part 8,,
76,2020,32,2020.08.02,2020.08.08,77,HIP,마마무 (Mamamoo),reality in BLACK,,
77,2020,32,2020.08.02,2020.08.08,78,Stuck with U,"Ariana Grande, Justin Bieber",Stuck with U,,
78,2020,32,2020.08.02,2020.08.08,79,Left & Right,세븐틴,SEVENTEEN 7th Mini Album `헹가래`,,
79,2020,32,2020.08.02,2020.08.08,80,찐이야,영탁,내일은 미스터트롯 결승전 베스트,,
80,2020,32,2020.08.02,2020.08.08,81,시든 꽃에 물을 주듯,HYNN(박혜원),시든 꽃에 물을 주듯,,
81,2020,32,2020.08.02,2020.08.08,82,봄날,방탄소년단,YOU NEVER WALK ALONE,,
82,2020,32,2020.08.02,2020.08.08,83,2 KIDS,태민 (TAEMIN),Never Gonna Dance Again : Prologue,,
83,2020,32,2020.08.02,2020.08.08,84,Candy,백현 (BAEKHYUN),Delight - The 2nd Mini Album,,
84,2020,32,2020.08.02,2020.08.08,85,To Die For,Sam Smith,To Die For,,
85,2020,32,2020.08.02,2020.08.08,86,니가 왜 거기서 나와 (Narr. 고은아),영탁,니가 왜 거기서 나와,,
86,2020,32,2020.08.02,2020.08.08,87,너를 사랑하고 있어,백현 (BAEKHYUN),낭만닥터 김사부 2 OST Part.1,,
87,2020,32,2020.08.02,2020.08.08,88,오늘따라 비가 와서 그런가 봐,솔지,오늘따라 비가 와서 그런가 봐,,
88,2020,32,2020.08.02,2020.08.08,89,OHIO,크러쉬 (CRUSH),OHIO,,
89,2020,32,2020.08.02,2020.08.08,90,사랑이란 멜로는 없어,전상근,사랑이란 멜로는 없어,,
90,2020,32,2020.08.02,2020.08.08,91,포장마차,황인욱,포장마차,,
91,2020,32,2020.08.02,2020.08.08,92,Error (Feat. Loopy),ASH ISLAND,Error,,
92,2020,32,2020.08.02,2020.08.08,93,12:45 (Stripped),Etham,12:45 (Stripped),,
93,2020,32,2020.08.02,2020.08.08,94,조금 취했어 (Prod. 2soo),임재현,조금 취했어,,
94,2020,32,2020.08.02,2020.08.08,95,아하 (Oh my summer),코요태(KYT),Oh my summer,,
95,2020,32,2020.08.02,2020.08.08,96,어느 60대 노부부이야기,임영웅,내일은 미스터트롯 트롯 에이드 베스트,,
96,2020,32,2020.08.02,2020.08.08,97,바램,임영웅,내일은 미스터트롯 예선곡 베스트,,
97,2020,32,2020.08.02,2020.08.08,98,00:00 (Zero O`Clock),방탄소년단,MAP OF THE SOUL : 7,,
98,2020,32,2020.08.02,2020.08.08,99,Black Swan,방탄소년단,MAP OF THE SOUL : 7,,
99,2020,32,2020.08.02,2020.08.08,100,밤편지,아이유 (IU),밤편지,,
100,2020,32,2020.08.02,2020.08.08,101,아틀란티스 소녀 (Atlantis Princess),볼빨간사춘기,Our Beloved BoA #2 - SM STATION,,
101,2020,32,2020.08.02,2020.08.08,102,친구,방탄소년단,MAP OF THE SOUL : 7,,
102,2020,32,2020.08.02,2020.08.08,103,10억뷰 (Feat. MOON),세훈&찬열,10억뷰 - The 1st Album,,
103,2020,32,2020.08.02,2020.08.08,104,Senorita,"Shawn Mendes, Camila Cabello",Senorita,,
104,2020,32,2020.08.02,2020.08.08,105,Square (2017),백예린,Every letter I sent you.,,
105,2020,32,2020.08.02,2020.08.08,106,Apple,여자친구 (GFRIEND),回:Song of the Sirens,,
106,2020,32,2020.08.02,2020.08.08,107,comethru,Jeremy Zucker,"summer,",,
107,2020,32,2020.08.02,2020.08.08,108,Happy,태연 (TAEYEON),Happy,,
108,2020,32,2020.08.02,2020.08.08,109,오래된 노래,스탠딩 에그(Standing Egg),오래된 노래,,
109,2020,32,2020.08.02,2020.08.08,110,사계 (Four Seasons),태연 (TAEYEON),사계 (Four Seasons),,
