,year,week_num,start_date,end_date,rank,music,singer,album
0,2019,42,2019.10.13,2019.10.19,1,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
1,2019,42,2019.10.13,2019.10.19,2,떨어지는 낙엽까지도,헤이즈 (Heize),만추
2,2019,42,2019.10.13,2019.10.19,3,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3
3,2019,42,2019.10.13,2019.10.19,4,새 사랑,송하예,새 사랑
4,2019,42,2019.10.13,2019.10.19,5,조금 취했어 (Prod. 2soo),임재현,조금 취했어
5,2019,42,2019.10.13,2019.10.19,6,있어줘요,장덕철,있어줘요
6,2019,42,2019.10.13,2019.10.19,7,워커홀릭,볼빨간사춘기,Two Five
7,2019,42,2019.10.13,2019.10.19,8,안녕,폴킴,호텔 델루나 OST Part.10
8,2019,42,2019.10.13,2019.10.19,9,허전해,폴킴,"정규 2집 `마음, 하나`"
9,2019,42,2019.10.13,2019.10.19,10,사랑이란 멜로는 없어,전상근,사랑이란 멜로는 없어
10,2019,42,2019.10.13,2019.10.19,11,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub),Red Moon : To You My Light
11,2019,42,2019.10.13,2019.10.19,12,시든 꽃에 물을 주듯,HYNN(박혜원),시든 꽃에 물을 주듯
12,2019,42,2019.10.13,2019.10.19,13,니 소식,송하예,니 소식
13,2019,42,2019.10.13,2019.10.19,14,가을밤 떠난 너,케이시 (Kassy),Rewind
14,2019,42,2019.10.13,2019.10.19,15,Feel Special,TWICE,Feel Special
15,2019,42,2019.10.13,2019.10.19,16,기억해줘요 내 모든 날과 그때를,거미,호텔 델루나 OST Part.7
16,2019,42,2019.10.13,2019.10.19,17,포장마차,황인욱,포장마차
17,2019,42,2019.10.13,2019.10.19,18,2002,Anne-Marie,Speak Your Mind (Deluxe)
18,2019,42,2019.10.13,2019.10.19,19,만추 (Feat. Crush),헤이즈 (Heize),만추
19,2019,42,2019.10.13,2019.10.19,20,그대라는 시,태연 (TAEYEON),호텔 델루나 OST Part.3
20,2019,42,2019.10.13,2019.10.19,21,사랑에 연습이 있었다면 (Prod. 2soo),임재현,사랑에 연습이 있었다면
21,2019,42,2019.10.13,2019.10.19,22,술이 문제야,"장혜진, 윤민수",술이 문제야
22,2019,42,2019.10.13,2019.10.19,23,헤어지자 (Prod. 정키),휘인 (Whee In),soar
23,2019,42,2019.10.13,2019.10.19,24,Senorita,"Shawn Mendes, Camila Cabello",Senorita
24,2019,42,2019.10.13,2019.10.19,25,가끔 이러다,펀치 (Punch),가끔 이러다
25,2019,42,2019.10.13,2019.10.19,26,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz),사랑이 식었다고 말해도 돼
26,2019,42,2019.10.13,2019.10.19,27,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,`키스 먼저 할까요?` OST Part 3
27,2019,42,2019.10.13,2019.10.19,28,우리 어떻게 할까요,첸 (CHEN),사랑하는 그대에게 - The 2nd Mini Album
28,2019,42,2019.10.13,2019.10.19,29,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
29,2019,42,2019.10.13,2019.10.19,30,"천둥벌거숭이 (Feat. Jvcki Wai, 염따)",지코 (ZICO),THINKING Part 1
30,2019,42,2019.10.13,2019.10.19,31,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA
31,2019,42,2019.10.13,2019.10.19,32,헤어져줘서 고마워,벤 (Ben),헤어져줘서 고마워
32,2019,42,2019.10.13,2019.10.19,33,나의 어깨에 기대어요,10cm,호텔 델루나 OST Part.2
33,2019,42,2019.10.13,2019.10.19,34,너를 만나,폴킴,너를 만나
34,2019,42,2019.10.13,2019.10.19,35,Done For Me,펀치 (Punch),호텔 델루나 OST Part.12
35,2019,42,2019.10.13,2019.10.19,36,사계 (Four Seasons),태연 (TAEYEON),사계 (Four Seasons)
36,2019,42,2019.10.13,2019.10.19,37,BAND,"창모, Hash Swan, ASH ISLAND, 김효은",BAND
37,2019,42,2019.10.13,2019.10.19,38,내 목소리 들리니,벤 (Ben),호텔 델루나 OST Part.9
38,2019,42,2019.10.13,2019.10.19,39,달,AKMU (악뮤),항해
39,2019,42,2019.10.13,2019.10.19,40,Speechless (Full),Naomi Scott,Aladdin (Original Motion Picture Soundtrack) OST
40,2019,42,2019.10.13,2019.10.19,41,사람,지코 (ZICO),THINKING Part 1
41,2019,42,2019.10.13,2019.10.19,42,솔직하게 말해서 나,김나영,솔직하게 말해서 나
42,2019,42,2019.10.13,2019.10.19,43,벗,닐로 (Nilo),벗
43,2019,42,2019.10.13,2019.10.19,44,다시 만날까 봐,V.O.S,다시 만날까 봐
44,2019,42,2019.10.13,2019.10.19,45,호랑이소굴 (Feat. Jvcki Wai),기리보이(Giriboy),호랑이소굴
45,2019,42,2019.10.13,2019.10.19,46,그때가 좋았어,케이시 (Kassy),그때가 좋았어
46,2019,42,2019.10.13,2019.10.19,47,내 맘을 볼 수 있나요,헤이즈 (Heize),호텔 델루나 OST Part.5
47,2019,42,2019.10.13,2019.10.19,48,너에게 못했던 내 마지막 말은,다비치,너에게 못했던 내 마지막 말은
48,2019,42,2019.10.13,2019.10.19,49,날라리 (LALALAY),선미,날라리 (LALALAY)
49,2019,42,2019.10.13,2019.10.19,50,노래방에서,장범준,장범준 3집
50,2019,42,2019.10.13,2019.10.19,51,Paris In The Rain,Lauv,I met you when I was 18. (the playlist)
51,2019,42,2019.10.13,2019.10.19,52,ICY,ITZY (있지),IT`z ICY
52,2019,42,2019.10.13,2019.10.19,53,이별행동,이우,이별행동
53,2019,42,2019.10.13,2019.10.19,54,주저하는 연인들을 위해,잔나비,전설
54,2019,42,2019.10.13,2019.10.19,55,내 안부,이우,내 안부
55,2019,42,2019.10.13,2019.10.19,56,인사,멜로망스(Melomance),인사
56,2019,42,2019.10.13,2019.10.19,57,Snapping,청하,Flourishing
57,2019,42,2019.10.13,2019.10.19,58,나빠(NAPPA),크러쉬 (CRUSH),나빠(NAPPA)
58,2019,42,2019.10.13,2019.10.19,59,FANCY,TWICE,FANCY YOU
59,2019,42,2019.10.13,2019.10.19,60,복숭아,아이유 (IU),스무 살의 봄
60,2019,42,2019.10.13,2019.10.19,61,우리 시작해도 괜찮을까요,"정준일, 권진아",우리 시작해도 괜찮을까요
61,2019,42,2019.10.13,2019.10.19,62,사월이 지나면 우리 헤어져요 (Beautiful goodbye),첸 (CHEN),"사월, 그리고 꽃 - The 1st Mini Album"
62,2019,42,2019.10.13,2019.10.19,63,FREEDOM,AKMU (악뮤),항해
63,2019,42,2019.10.13,2019.10.19,64,Another Day,"먼데이 키즈 (Monday Kiz), 펀치 (Punch)",호텔 델루나 OST Part.1
64,2019,42,2019.10.13,2019.10.19,65,비,폴킴,비
65,2019,42,2019.10.13,2019.10.19,66,밤 끝없는 밤,AKMU (악뮤),항해
66,2019,42,2019.10.13,2019.10.19,67,가라사대,비와이(BewhY),The Movie Star
67,2019,42,2019.10.13,2019.10.19,68,헤어질 자신 있니 (Narr. SBS 박선영 아나운서),"앤씨아 (NC.A), HYNN(박혜원)",헤어질 자신 있니
68,2019,42,2019.10.13,2019.10.19,69,물 만난 물고기,AKMU (악뮤),항해
69,2019,42,2019.10.13,2019.10.19,70,일기,헤이즈 (Heize),만추
70,2019,42,2019.10.13,2019.10.19,71,"담아 (Feat. 염따, pH-1) (Prod. BOYCOLD)","스윙스(Swings), Kid Milli, 매드 클라운",쇼미더머니 8 Episode 1
71,2019,42,2019.10.13,2019.10.19,72,Believer,Imagine Dragons,Evolve
72,2019,42,2019.10.13,2019.10.19,73,달라달라,ITZY (있지),IT`z Different
73,2019,42,2019.10.13,2019.10.19,74,뱃노래,AKMU (악뮤),항해
74,2019,42,2019.10.13,2019.10.19,75,나만 아픈 일,이해리,나만 아픈 일
75,2019,42,2019.10.13,2019.10.19,76,"아퍼 (Feat. Kid Milli, Lil tachi, 김승민, NO:EL, C JAMM)",기리보이(Giriboy),100년제전문대학
76,2019,42,2019.10.13,2019.10.19,77,음파음파 (Umpah Umpah),레드벨벳(Red Velvet),`The ReVe Festival` Day 2
77,2019,42,2019.10.13,2019.10.19,78,사계 (하루살이),엠씨더맥스 (M.C The Max),Circular
78,2019,42,2019.10.13,2019.10.19,79,꿈속에 너 (Feat. 전상근),에이치코드 (H:CODE),두 번째 이야기
79,2019,42,2019.10.13,2019.10.19,80,Way Back Home,숀 (SHAUN),Take
80,2019,42,2019.10.13,2019.10.19,81,봄날,방탄소년단,YOU NEVER WALK ALONE
81,2019,42,2019.10.13,2019.10.19,82,We don`t talk together (Feat. 기리보이) (Prod. SUGA),헤이즈 (Heize),We don`t talk together
82,2019,42,2019.10.13,2019.10.19,83,SUPER Clap,슈퍼주니어 (Super Junior),Time_Slip - The 9th Album
83,2019,42,2019.10.13,2019.10.19,84,XX,볼빨간사춘기,Two Five
84,2019,42,2019.10.13,2019.10.19,85,Goodbye,박효신,Goodbye
85,2019,42,2019.10.13,2019.10.19,86,괜찮아도 괜찮아 (That`s okay),디오 (D.O.),괜찮아도 괜찮아 (That`s okay) - SM STATION
86,2019,42,2019.10.13,2019.10.19,87,널 안지 않을 수 있어야지,첸 (CHEN),사랑하는 그대에게 - The 2nd Mini Album
87,2019,42,2019.10.13,2019.10.19,88,"나만, 봄",볼빨간사춘기,사춘기집Ⅰ 꽃기운
88,2019,42,2019.10.13,2019.10.19,89,전화를 할까봐,오반 (OVAN),전화를 할까봐
89,2019,42,2019.10.13,2019.10.19,90,IDOL,방탄소년단,LOVE YOURSELF 結 `Answer`
90,2019,42,2019.10.13,2019.10.19,91,옥탑방,엔플라잉 (N.Flying),FLY HIGH PROJECT #2 `옥탑방`
91,2019,42,2019.10.13,2019.10.19,92,가을속에서,"화사(Hwa Sa), WOOGIE",화실(化-室:atelier)
92,2019,42,2019.10.13,2019.10.19,93,DAUM (Feat. Colde),헤이즈 (Heize),만추
93,2019,42,2019.10.13,2019.10.19,94,고래,AKMU (악뮤),항해
94,2019,42,2019.10.13,2019.10.19,95,사랑 둘,김필,사랑 둘
95,2019,42,2019.10.13,2019.10.19,96,FLASH,X1 (엑스원),비상 : QUANTUM LEAP
96,2019,42,2019.10.13,2019.10.19,97,밤편지,아이유 (IU),밤편지
97,2019,42,2019.10.13,2019.10.19,98,25,볼빨간사춘기,Two Five
98,2019,42,2019.10.13,2019.10.19,99,"그대의 밤, 나의 아침",브라운 아이드 소울(Brown Eyed Soul),It` Soul Right
99,2019,42,2019.10.13,2019.10.19,100,작별 인사,AKMU (악뮤),항해
100,2019,42,2019.10.13,2019.10.19,101,시간을 갖자,AKMU (악뮤),항해
101,2019,42,2019.10.13,2019.10.19,102,정말 헤어지는 거야 (With 죠지),린 (LYn),정말 헤어지는 거야 (With 죠지)
102,2019,42,2019.10.13,2019.10.19,103,벌써 12시,청하,벌써 12시
103,2019,42,2019.10.13,2019.10.19,104,넘쳐흘러,엠씨더맥스 (M.C The Max),Circular
