Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
1,7,"

Dun Dun Dance
오마이걸 (OH MY GIRL) | Dear OHMYGIRL","27,093,427","WM엔터테인먼트
Sony Music",,
2,1,"

Peaches (Feat. Daniel Caesar, Giveon)
Justin Bieber | Justice","26,131,286","RBMG/Def Jam
Universal Music",,
3,1,"

롤린 (Rollin`)
브레이브걸스 (Brave Girls) | Rollin`","25,390,107","브레이브 엔터테인먼트
케미컬레코드",,
4,new,"

Butter
방탄소년단 | Butter","23,923,564","BIGHIT MUSIC / HYBE
YG PLUS",,
5,1,"

라일락
아이유 (IU) | 5th Album `LILAC`","22,924,943","EDAM엔터테인먼트
Kakao Entertainment",,
6,1,"

운전만해 (We Ride)
브레이브걸스 (Brave Girls) | We Ride","20,498,465","브레이브 엔터테인먼트
Kakao Entertainment",,
7,1,"

Celebrity
아이유 (IU) | Celebrity","19,185,506","EDAM엔터테인먼트
Kakao Entertainment",,
8,1,"

Timeless
SG 워너비 | SG Wanna Be+","18,346,191","Stone Music Entertainment
지니뮤직",,
9,new,"

Next Level
aespa | Next Level","17,623,359","SM Entertainment
Dreamus",,
10,4,"

상상더하기
라붐 (LABOUM) | Fresh Adventure","17,616,444","글로벌에이치미디어
인터파크",,
11,1,"

마.피.아. In the morning
ITZY (있지) | GUESS WHO","16,063,799","JYP Entertainment
Dreamus",,
12,3,"

라라라
SG 워너비 | My Friend","15,487,909","Stone Music Entertainment
지니뮤직",,
13,2,"

Dynamite
방탄소년단 | Dynamite","15,465,092","BIGHIT MUSIC / HYBE
YG PLUS",,
14,13,"

맛 (Hot Sauce)
NCT DREAM | 맛 (Hot Sauce) - The 1st Album","13,808,356","SM Entertainment
Dreamus",,
15,5,"

ASAP
STAYC(스테이씨) | STAYDOM","13,687,685","하이업엔터테인먼트
Kakao Entertainment",,
16,3,"

내 손을 잡아
아이유 (IU) | 최고의 사랑 OST Part 4","13,337,086","더그루브엔터테인먼트
Kakao Entertainment",,
17,5,"

Coin
아이유 (IU) | 5th Album `LILAC`","12,924,150","EDAM엔터테인먼트
Kakao Entertainment",,
18,3,"

LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)
양요섭, 정은지 | LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지) OST","12,141,837","TOON STUDIO, 느을
Kakao Entertainment",,
19,5,"

사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)
호미들 | 사이렌 Remix","11,681,999","영앤리치 레코즈
Kakao Entertainment",,
20,1,"

밝게 빛나는 별이 되어 비춰줄게
송이한 | 밝게 빛나는 별이 되어 비춰줄게","11,662,709","뮤직디자인
Kakao Entertainment",,
21,new,"

Advice
태민 (TAEMIN) | Advice - The 3rd Mini Album","11,655,716","SM Entertainment
Dreamus",,
22,new,"

헤픈 우연
헤이즈 (Heize) | HAPPEN","11,635,970","피네이션
지니뮤직, Stone Music Entertainment",,
23,5,"

밤하늘의 별을(2020)
경서 | 밤하늘의 별을(2020)","11,629,186","꿈의엔진
Kakao Entertainment",,
24,7,"

On The Ground
로제 (ROSE) | R","11,423,090","YG Entertainment
YG PLUS",,
25,9,"

내사람
SG 워너비 | The Precious History","11,411,831","Stone Music Entertainment
지니뮤직",,
26,4,"

멜로디
ASH ISLAND | 멜로디","11,378,493","앰비션뮤직
지니뮤직, Stone Music Entertainment",,
27,41,"

이제 나만 믿어요
임영웅 | 내일은 미스터트롯 우승자 특전곡","10,572,277","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
28,2,"

잠이 오질 않네요
장범준 | 잠이 오질 않네요","10,454,644","버스커버스커
Kakao Entertainment",,
29,4,"

어푸 (Ah puh)
아이유 (IU) | 5th Album 'LILAC'","10,437,051","EDAM엔터테인먼트
Kakao Entertainment",,
30,9,"

그냥 안아달란 말야
다비치 | 그냥 안아달란 말야","10,272,636","Stone Music Entertainment
지니뮤직",,
31,4,"

취기를 빌려 (취향저격 그녀 X 산들)
산들 | 취기를 빌려 (취향저격 그녀 X 산들) OST","10,013,020","TOON STUDIO
Kakao Entertainment",,
32,3,"

Lovesick Girls
BLACKPINK | THE ALBUM","10,012,700","YG Entertainment
YG PLUS",,
33,5,"

Blueming
아이유 (IU) | Love poem","9,966,048","Kakao Entertainment
Kakao Entertainment",,
34,11,"

살다가
SG 워너비 | 살다가","9,914,425","Stone Music Entertainment
지니뮤직",,
35,5,"

에잇 (Prod.&Feat. SUGA of BTS)
아이유 (IU) | 에잇","9,671,684","EDAM엔터테인먼트
Kakao Entertainment",,
36,2,"

어떻게 이별까지 사랑하겠어, 널 사랑하는 거지
AKMU (악뮤) | 항해","9,313,174","YG Entertainment
YG PLUS",,
37,56,"

서울의 잠 못 이루는 밤 (Feat. 이수현)
10cm | 5.2","9,303,631","매직스트로베리사운드
Kakao Entertainment",,
38,3,"

Dolphin
오마이걸 (OH MY GIRL) | NONSTOP","9,288,406","WM엔터테인먼트
Sony Music",,
39,8,"

나랑 같이 걸을래 (바른연애 길잡이 X 적재)
적재 | 나랑 같이 걸을래 (바른연애 길잡이 X 적재) OST","9,153,607","TOON STUDIO, 느을
Kakao Entertainment",,
40,3,"

Savage Love (Laxed - Siren Beat) (BTS Remix)
Jawsh 685, Jason Derulo, BTS | Savage Love (Laxed - Siren Beat) (BTS Remix)","9,100,553","Columbia
Sony Music",,
41,9,"

VVS (Feat. JUSTHIS) (Prod. GroovyRoom)
미란이 (Mirani), 먼치맨, Khundi Panda, 머쉬베놈 (MUSHVENOM) | 쇼미더머니 9 Episode 1","8,874,259","Stone Music Entertainment
지니뮤직",,
42,9,"

흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야
장범준 | 멜로가 체질 OST Part 3","8,785,234","Stone Music Entertainment, 삼화네트웍스
지니뮤직, Stone Music Entertainment",,
43,7,"

이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM)
10cm | 이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM) OST","8,505,483","TOON STUDIO, 느을
Kakao Entertainment",,
