Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
1,2,"

롤린 (Rollin`)
브레이브걸스 (Brave Girls) | Rollin`","35,245,495","브레이브 엔터테인먼트
케미컬레코드",,
2,-,"

라일락
아이유 (IU) | 5th Album `LILAC`","33,461,262","EDAM엔터테인먼트
Kakao Entertainment",,
3,2,"

Peaches (Feat. Daniel Caesar, Giveon)
Justin Bieber | Justice","28,945,544","RBMG/Def Jam
Universal Music",,
4,HOT,"

Timeless
SG 워너비 | SG Wanna Be+","26,674,073","Stone Music Entertainment
지니뮤직",,
5,1,"

운전만해 (We Ride)
브레이브걸스 (Brave Girls) | We Ride","25,672,189","브레이브 엔터테인먼트
Kakao Entertainment",,
6,2,"

Celebrity
아이유 (IU) | Celebrity","25,528,495","EDAM엔터테인먼트
Kakao Entertainment",,
7,HOT,"

라라라
SG 워너비 | My Friend","21,275,662","Stone Music Entertainment
지니뮤직",,
8,new,"

INSIDE OUT
뉴이스트 (NU`EST) | The 2nd Album `Romanticize`","19,015,890","플레디스
YG PLUS",,
9,2,"

Coin
아이유 (IU) | 5th Album `LILAC`","18,963,700","EDAM엔터테인먼트
Kakao Entertainment",,
10,1,"

On The Ground
로제 (ROSE) | R","16,763,242","YG Entertainment
YG PLUS",,
11,3,"

그냥 안아달란 말야
다비치 | 그냥 안아달란 말야","16,737,508","Stone Music Entertainment
지니뮤직",,
12,2,"

내 손을 잡아
아이유 (IU) | 최고의 사랑 OST Part 4","16,645,283","더그루브엔터테인먼트
Kakao Entertainment",,
13,-,"

Dynamite
방탄소년단 | Dynamite","16,439,833","BIGHIT MUSIC / HYBE
YG PLUS",,
14,2,"

LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)
양요섭, 정은지 | LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지) OST","16,077,729","TOON STUDIO, 느을
Kakao Entertainment",,
15,new,"

내사람
SG 워너비 | The Precious History","15,203,906","Stone Music Entertainment
지니뮤직",,
16,HOT,"

살다가
SG 워너비 | 살다가","14,877,604","Stone Music Entertainment
지니뮤직",,
17,3,"

밤하늘의 별을(2020)
경서 | 밤하늘의 별을(2020)","14,232,147","꿈의엔진
Kakao Entertainment",,
18,2,"

밝게 빛나는 별이 되어 비춰줄게
송이한 | 밝게 빛나는 별이 되어 비춰줄게","13,116,946","뮤직디자인
Kakao Entertainment",,
19,18,"

Antidote
강다니엘 | YELLOW","12,652,096","KONNECT ENTERTAINMENT
Sony Music",,
20,2,"

잠이 오질 않네요
장범준 | 잠이 오질 않네요","12,612,058","버스커버스커
Kakao Entertainment",,
21,6,"

봄 안녕 봄
아이유 (IU) | 5th Album `LILAC`","12,319,728","EDAM엔터테인먼트
Kakao Entertainment",,
22,3,"

어푸 (Ah puh)
아이유 (IU) | 5th Album 'LILAC'","12,182,104","EDAM엔터테인먼트
Kakao Entertainment",,
23,1,"

Blueming
아이유 (IU) | Love poem","11,918,114","Kakao Entertainment
Kakao Entertainment",,
24,-,"

취기를 빌려 (취향저격 그녀 X 산들)
산들 | 취기를 빌려 (취향저격 그녀 X 산들) OST","11,794,206","TOON STUDIO
Kakao Entertainment",,
25,2,"

에잇 (Prod.&Feat. SUGA of BTS)
아이유 (IU) | 에잇","11,634,887","EDAM엔터테인먼트
Kakao Entertainment",,
26,1,"

Lovesick Girls
BLACKPINK | THE ALBUM","11,365,832","YG Entertainment
YG PLUS",,
27,1,"

나랑 같이 걸을래 (바른연애 길잡이 X 적재)
적재 | 나랑 같이 걸을래 (바른연애 길잡이 X 적재) OST","11,116,347","TOON STUDIO, 느을
Kakao Entertainment",,
28,11,"

Flu
아이유 (IU) | 5th Album `LILAC`","11,013,356","EDAM엔터테인먼트
Kakao Entertainment",,
29,8,"

아이와 나의 바다
아이유 (IU) | 5th Album `LILAC`","10,757,600","EDAM엔터테인먼트
Kakao Entertainment",,
30,3,"

VVS (Feat. JUSTHIS) (Prod. GroovyRoom)
미란이 (Mirani), 먼치맨, Khundi Panda, 머쉬베놈 (MUSHVENOM) | 쇼미더머니 9 Episode 1","10,753,111","Stone Music Entertainment
지니뮤직",,
