Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
46,1,"

어푸 (Ah puh)
아이유 (IU) | 5th Album 'LILAC'","7,939,730","EDAM엔터테인먼트
Kakao Entertainment",,
47,8,"

이젠 잊기로 해요 (Drama Ver.)
미도와 파라솔 | 슬기로운 의사생활 시즌2 OST Special","7,826,992","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
48,2,"

작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)
방탄소년단 | MAP OF THE SOUL : PERSONA","7,763,421","BIGHIT MUSIC / HYBE
YG PLUS",,
49,-,"

Dolphin
오마이걸 (OH MY GIRL) | NONSTOP","7,579,691","WM엔터테인먼트
Sony Music",,
50,4,"

Off My Face
Justin Bieber | Justice","7,531,833","RBMG/Def Jam
Universal Music",,
51,2,"

Blueming
아이유 (IU) | Love poem","7,467,860","Kakao Entertainment
Kakao Entertainment",,
52,5,"

비 오는 날 듣기 좋은 노래 (Feat. Colde)
에픽하이 (EPIK HIGH) | 비 오는 날 듣기 좋은 노래","7,388,111","아워즈
지니뮤직",,
53,3,"

잠이 오질 않네요
장범준 | 잠이 오질 않네요","7,321,491","버스커버스커
Kakao Entertainment",,
54,4,"

에잇 (Prod.&Feat. SUGA of BTS)
아이유 (IU) | 에잇","7,281,558","EDAM엔터테인먼트
Kakao Entertainment",,
55,4,"

라라라
SG 워너비 | My Friend","7,266,544","Stone Music Entertainment
지니뮤직",,
56,8,"

넌 좋은 사람
SG 워너비 | 넌 좋은 사람","7,216,153","C9 ENTERTAINMENT, 목소리, 더블에이치티엔이
Kakao Entertainment",,
57,3,"

아로하
조정석 | 슬기로운 의사생활 OST Part 3","7,216,010","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
58,1,"

취기를 빌려 (취향저격 그녀 X 산들)
산들 | 취기를 빌려 (취향저격 그녀 X 산들) OST","7,091,039","TOON STUDIO
Kakao Entertainment",,
59,2,"

추억은 만남보다 이별에 남아
정동하 | 추억은 만남보다 이별에 남아","7,029,701","뮤직원 컴퍼니
Kakao Entertainment",,
60,28,"

제자리 걸음
V.O.S | 제자리 걸음","7,009,210","J-SOUL COMPANY
Kakao Entertainment",,
61,3,"

2002
Anne-Marie | Speak Your Mind (Deluxe)","6,853,661","Atlantic Records UK
Warner Music",,
