Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
1,2,"

신호등
이무진 | 신호등","29,945,750","쇼플레이
Kakao Entertainment",,
2,1,"

낙하 (with 아이유)
AKMU (악뮤) | NEXT EPISODE","27,022,424","YG Entertainment
YG PLUS",,
3,1,"

바라만 본다
MSG워너비(M.O.M) | MSG워너비 1집","26,561,093","유야호
지니뮤직, Stone Music Entertainment",,
4,1,"

Next Level
aespa | Next Level","24,537,306","SM Entertainment
Dreamus",,
5,2,"

Weekend
태연 (TAEYEON) | Weekend","23,185,850","SM Entertainment
Dreamus",,
6,-,"

Permission to Dance
방탄소년단 | Butter / Permission to Dance","22,539,277","BIGHIT MUSIC / HYBE
YG PLUS",,
7,1,"

Butter
방탄소년단 | Butter","20,199,224","BIGHIT MUSIC / HYBE
YG PLUS",,
8,2,"

좋아좋아
조정석 | 슬기로운 의사생활 시즌2 OST Part 5","18,681,285","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
9,-,"

헤픈 우연
헤이즈 (Heize) | HAPPEN","17,832,575","피네이션
지니뮤직, Stone Music Entertainment",,
10,2,"

Peaches (Feat. Daniel Caesar, Giveon)
Justin Bieber | Justice","16,522,790","RBMG/Def Jam
Universal Music",,
11,new,"

THRILL RIDE
더보이즈(THE BOYZ) | 6TH MINI ALBUM [THRILL-ING]","16,414,387","크래커엔터테인먼트
Kakao Entertainment",,
12,7,"

OHAYO MY NIGHT
디핵 (D-Hack), PATEKO(파테코) | OHAYO MY NIGHT","16,137,132","NEOKIDZ
YG PLUS",,
13,2,"

Dun Dun Dance
오마이걸 (OH MY GIRL) | Dear OHMYGIRL","16,136,053","WM엔터테인먼트
Sony Music",,
14,-,"

롤린 (Rollin`)
브레이브걸스 (Brave Girls) | Rollin`","14,977,068","브레이브 엔터테인먼트
음악형제들",,
15,1,"

비와 당신
이무진 | 슬기로운 의사생활 시즌2 OST Part 1","14,431,045","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
16,3,"

치맛바람 (Chi Mat Ba Ram)
브레이브걸스 (Brave Girls) | Summer Queen","14,353,002","브레이브 엔터테인먼트
Kakao Entertainment",,
17,-,"

Dynamite
방탄소년단 | Dynamite","13,929,703","BIGHIT MUSIC / HYBE
YG PLUS",,
18,3,"

Alcohol-Free
TWICE | Taste of Love","13,898,770","JYP Entertainment
Dreamus",,
19,1,"

라일락
아이유 (IU) | 5th Album `LILAC`","13,791,175","EDAM엔터테인먼트
Kakao Entertainment",,
20,new,"

고백
10cm | 두 번째 `고백`","13,551,248","Kakao Entertainment, 매직스트로베리사운드
Kakao Entertainment",,
21,26,"

비가 오는 날엔 (2021)
헤이즈 (Heize) | 비가 오는 날엔 (2021)","13,543,521","PLAYLIST
지니뮤직, Stone Music Entertainment",,
22,35,"

DUMB DUMB
전소미 | DUMB DUMB","13,135,189","The Black Label
YG PLUS",,
23,31,"

Stay
The Kid LAROI, Justin Bieber | Stay","13,005,352","Columbia
Sony Music",,
24,2,"

Celebrity
아이유 (IU) | Celebrity","12,372,404","EDAM엔터테인먼트
Kakao Entertainment",,
25,4,"

ASAP
STAYC(스테이씨) | STAYDOM","12,171,683","하이업엔터테인먼트
Kakao Entertainment",,
26,3,"

하루만 더
빅마마 (BigMama) | 하루만 더","12,120,064","Kakao Entertainment
Kakao Entertainment",,
27,7,"

나를 아는 사람
MSG워너비(정상동기) | MSG워너비 1집","11,999,438","유야호
지니뮤직, Stone Music Entertainment",,
28,3,"

Bad Habits
Ed Sheeran | Bad Habits","11,823,633","Atlantic Records UK
Warner Music",,
29,5,"

안녕 (Hello)
조이 (JOY) | 안녕 (Hello) - Special Album","11,512,260","SM Entertainment
Dreamus",,
30,new,"

여름 쏙 (Popping)
온앤오프 (ONF) | SUMMER POPUP ALBUM [POPPING]","11,121,507","WM엔터테인먼트
Sony Music",,
31,6,"

운전만해 (We Ride)
브레이브걸스 (Brave Girls) | We Ride","10,797,082","브레이브 엔터테인먼트
Kakao Entertainment",,
32,6,"

상상더하기
라붐 (LABOUM) | Fresh Adventure","10,507,209","글로벌에이치미디어
인터파크",,
33,5,"

사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)
호미들 | 사이렌 Remix","10,138,012","영앤리치 레코즈
Kakao Entertainment",,
34,4,"

Timeless
SG 워너비 | SG Wanna Be+","9,865,585","Stone Music Entertainment
지니뮤직",,
35,8,"

상상더하기
MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인 (Wonstein)) | MSG워너비 TOP 8 경연곡","9,861,742","유야호
지니뮤직, Stone Music Entertainment",,
36,4,"

내 손을 잡아
아이유 (IU) | 최고의 사랑 OST Part 4","9,270,421","더그루브엔터테인먼트
Kakao Entertainment",,
37,3,"

다정히 내 이름을 부르면
경서예지, 전건호 | 다정히 내 이름을 부르면 (경서예지 x 전건호)","9,054,536","에버그로우
Kakao Entertainment",,
38,3,"

밤하늘의 별을(2020)
경서 | 밤하늘의 별을(2020)","8,848,161","꿈의엔진
Kakao Entertainment",,
39,2,"

Savage Love (Laxed - Siren Beat) (BTS Remix)
Jawsh 685, Jason Derulo, BTS | Savage Love (Laxed - Siren Beat) (BTS Remix)","8,766,000","Columbia
Sony Music",,
40,7,"

슈퍼스타
미도와 파라솔 | 슬기로운 의사생활 시즌2 OST Part 6","8,736,835","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
41,3,"

Lovesick Girls
BLACKPINK | THE ALBUM","8,717,587","YG Entertainment
YG PLUS",,
42,6,"

멜로디
ASH ISLAND | 멜로디","8,693,957","앰비션뮤직
지니뮤직, Stone Music Entertainment",,
43,2,"

어떻게 이별까지 사랑하겠어, 널 사랑하는 거지
AKMU (악뮤) | 항해","8,685,969","YG Entertainment
YG PLUS",,
44,5,"

밝게 빛나는 별이 되어 비춰줄게
송이한 | 밝게 빛나는 별이 되어 비춰줄게","8,531,818","뮤직디자인
Kakao Entertainment",,
45,2,"

어푸 (Ah puh)
아이유 (IU) | 5th Album 'LILAC'","8,452,088","EDAM엔터테인먼트
Kakao Entertainment",,
46,74,"

You can`t sit with us
선미 | 6분의1","8,434,266","어비스컴퍼니
Kakao Entertainment",,
47,1,"

가을 우체국 앞에서
김대명 | 슬기로운 의사생활 시즌2 OST Part 2","8,389,213","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
48,14,"

넌 좋은 사람
SG 워너비 | 넌 좋은 사람","8,256,057","C9 ENTERTAINMENT, 목소리, 더블에이치티엔이
Kakao Entertainment",,
49,7,"

Dolphin
오마이걸 (OH MY GIRL) | NONSTOP","8,198,823","WM엔터테인먼트
Sony Music",,
50,2,"

작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)
방탄소년단 | MAP OF THE SOUL : PERSONA","8,169,680","BIGHIT MUSIC / HYBE
YG PLUS",,
51,6,"

라라라
SG 워너비 | My Friend","7,943,888","Stone Music Entertainment
지니뮤직",,
52,23,"

전쟁터 (with 이선희)
AKMU (악뮤) | NEXT EPISODE","7,845,814","YG Entertainment
YG PLUS",,
53,2,"

Blueming
아이유 (IU) | Love poem","7,825,145","Kakao Entertainment
Kakao Entertainment",,
54,4,"

Off My Face
Justin Bieber | Justice","7,735,911","RBMG/Def Jam
Universal Music",,
55,6,"

이젠 잊기로 해요 (Drama Ver.)
미도와 파라솔 | 슬기로운 의사생활 시즌2 OST Special","7,670,522","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
56,4,"

잠이 오질 않네요
장범준 | 잠이 오질 않네요","7,669,793","버스커버스커
Kakao Entertainment",,
57,7,"

비 오는 날 듣기 좋은 노래 (Feat. Colde)
에픽하이 (EPIK HIGH) | 비 오는 날 듣기 좋은 노래","7,666,219","아워즈
지니뮤직",,
58,5,"

에잇 (Prod.&Feat. SUGA of BTS)
아이유 (IU) | 에잇","7,621,313","EDAM엔터테인먼트
Kakao Entertainment",,
59,3,"

취기를 빌려 (취향저격 그녀 X 산들)
산들 | 취기를 빌려 (취향저격 그녀 X 산들) OST","7,381,366","TOON STUDIO
Kakao Entertainment",,
60,1,"

아로하
조정석 | 슬기로운 의사생활 OST Part 3","7,345,291","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
61,1,"

추억은 만남보다 이별에 남아
정동하 | 추억은 만남보다 이별에 남아","7,307,311","뮤직원 컴퍼니
Kakao Entertainment",,
62,3,"

고백
장범준 | 첫 번째 `고백`","7,206,922","Kakao Entertainment, 버스커버스커
Kakao Entertainment",,
63,8,"

LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)
양요섭, 정은지 | LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지) OST","7,126,736","TOON STUDIO, 느을
Kakao Entertainment",,
64,2,"

2002
Anne-Marie | Speak Your Mind (Deluxe)","7,100,535","Atlantic Records UK
Warner Music",,
65,1,"

봄날
방탄소년단 | YOU NEVER WALK ALONE","7,001,466","BIGHIT MUSIC / HYBE
YG PLUS",,
66,3,"

나는 너 좋아
장범준 | 슬기로운 의사생활 시즌2 OST Part 3","6,870,282","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
67,-,"

흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야
장범준 | 멜로가 체질 OST Part 3","6,852,043","Stone Music Entertainment, 삼화네트웍스
지니뮤직, Stone Music Entertainment",,
68,-,"

모든 날, 모든 순간 (Every day, Every Moment)
폴킴 | `키스 먼저 할까요?` OST Part 3","6,850,159","SM Entertainment
Dreamus",,
69,-,"

Life Goes On
방탄소년단 | BE","6,815,692","BIGHIT MUSIC / HYBE
YG PLUS",,
70,1,"

허리춤
오반 (OVAN) | 허리춤","6,703,025","로맨틱팩토리
Kakao Entertainment",,
71,1,"

Coin
아이유 (IU) | 5th Album `LILAC`","6,682,003","EDAM엔터테인먼트
Kakao Entertainment",,
72,4,"

그날에 나는 맘이 편했을까
이예준 | 그날에 나는 맘이 편했을까","6,609,653","뮤니콘
Kakao Entertainment",,
73,55,"

너에게
유연석 | 슬기로운 의사생활 시즌2 OST Part 7","6,583,877","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
74,1,"

METEOR
창모 (CHANGMO) | Boyhood","6,532,743","앰비션뮤직
지니뮤직, Stone Music Entertainment",,
75,2,"

나랑 같이 걸을래 (바른연애 길잡이 X 적재)
적재 | 나랑 같이 걸을래 (바른연애 길잡이 X 적재) OST","6,374,856","TOON STUDIO, 느을
Kakao Entertainment",,
76,3,"

마.피.아. In the morning
ITZY (있지) | GUESS WHO","6,165,659","JYP Entertainment
Dreamus",,
77,4,"

오래된 노래
스탠딩 에그(Standing Egg) | 오래된 노래","6,132,427","BORN
Kakao Entertainment",,
78,23,"

이제 나만 믿어요
임영웅 | 내일은 미스터트롯 우승자 특전곡","6,123,381","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
79,1,"

On The Ground
로제 (ROSE) | R","6,103,078","YG Entertainment
YG PLUS",,
