,year,week_num,start_date,end_date,rank,music,singer,album,production,distribution
0,2021,26,2021.06.20,2021.06.26,1,Butter,방탄소년단,Butter,,
1,2021,26,2021.06.20,2021.06.26,2,Next Level,aespa,Next Level,,
2,2021,26,2021.06.20,2021.06.26,3,치맛바람 (Chi Mat Ba Ram),브레이브걸스 (Brave Girls),Summer Queen,,
3,2021,26,2021.06.20,2021.06.26,4,헤픈 우연,헤이즈 (Heize),HAPPEN,,
4,2021,26,2021.06.20,2021.06.26,5,Dun Dun Dance,오마이걸 (OH MY GIRL),Dear OHMYGIRL,,
5,2021,26,2021.06.20,2021.06.26,6,Alcohol-Free,TWICE,Taste of Love,,
6,2021,26,2021.06.20,2021.06.26,7,"Peaches (Feat. Daniel Caesar, Giveon)",Justin Bieber,Justice,,
7,2021,26,2021.06.20,2021.06.26,8,롤린 (Rollin`),브레이브걸스 (Brave Girls),Rollin`,,
8,2021,26,2021.06.20,2021.06.26,9,라일락,아이유 (IU),5th Album `LILAC`,,
9,2021,26,2021.06.20,2021.06.26,10,ASAP,STAYC(스테이씨),STAYDOM,,
10,2021,26,2021.06.20,2021.06.26,11,비와 당신,이무진,슬기로운 의사생활 시즌2 OST Part 1,,
11,2021,26,2021.06.20,2021.06.26,12,안녕 (Hello),조이 (JOY),안녕 (Hello) - Special Album,,
12,2021,26,2021.06.20,2021.06.26,13,운전만해 (We Ride),브레이브걸스 (Brave Girls),We Ride,,
13,2021,26,2021.06.20,2021.06.26,14,Dynamite,방탄소년단,Dynamite,,
14,2021,26,2021.06.20,2021.06.26,15,Celebrity,아이유 (IU),Celebrity,,
15,2021,26,2021.06.20,2021.06.26,16,상상더하기,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인 (Wonstein))",MSG워너비 TOP 8 경연곡,,
16,2021,26,2021.06.20,2021.06.26,17,상상더하기,라붐 (LABOUM),Fresh Adventure,,
17,2021,26,2021.06.20,2021.06.26,18,Timeless,SG 워너비,SG Wanna Be+,,
18,2021,26,2021.06.20,2021.06.26,19,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,사이렌 Remix,,
19,2021,26,2021.06.20,2021.06.26,20,신호등,이무진,신호등,,
20,2021,26,2021.06.20,2021.06.26,21,Ready to love,세븐틴,8th Mini Album `Your Choice`,,
21,2021,26,2021.06.20,2021.06.26,22,내 손을 잡아,아이유 (IU),최고의 사랑 OST Part 4,,
22,2021,26,2021.06.20,2021.06.26,23,마.피.아. In the morning,ITZY (있지),GUESS WHO,,
23,2021,26,2021.06.20,2021.06.26,24,라라라,SG 워너비,My Friend,,
24,2021,26,2021.06.20,2021.06.26,25,멜로디,ASH ISLAND,멜로디,,
25,2021,26,2021.06.20,2021.06.26,26,밝게 빛나는 별이 되어 비춰줄게,송이한,밝게 빛나는 별이 되어 비춰줄게,,
26,2021,26,2021.06.20,2021.06.26,27,밤하늘의 별을(2020),경서,밤하늘의 별을(2020),,
27,2021,26,2021.06.20,2021.06.26,28,Savage Love (Laxed - Siren Beat) (BTS Remix),"Jawsh 685, Jason Derulo, BTS",Savage Love (Laxed - Siren Beat) (BTS Remix),,
28,2021,26,2021.06.20,2021.06.26,29,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)","양요섭, 정은지","LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지) OST",,
29,2021,26,2021.06.20,2021.06.26,30,Dolphin,오마이걸 (OH MY GIRL),NONSTOP,,
30,2021,26,2021.06.20,2021.06.26,31,Lovesick Girls,BLACKPINK,THE ALBUM,,
31,2021,26,2021.06.20,2021.06.26,32,Coin,아이유 (IU),5th Album `LILAC`,,
32,2021,26,2021.06.20,2021.06.26,33,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,,
33,2021,26,2021.06.20,2021.06.26,34,잠이 오질 않네요,장범준,잠이 오질 않네요,,
34,2021,26,2021.06.20,2021.06.26,35,바라만 본다,MSG워너비(M.O.M),MSG워너비 1집,,
35,2021,26,2021.06.20,2021.06.26,36,추적이는 여름 비가 되어,장범준,장범준 싱글,,
36,2021,26,2021.06.20,2021.06.26,37,에잇 (Prod.&Feat. SUGA of BTS),아이유 (IU),에잇,,
37,2021,26,2021.06.20,2021.06.26,38,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들) OST,,
38,2021,26,2021.06.20,2021.06.26,39,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA,,
39,2021,26,2021.06.20,2021.06.26,40,Blueming,아이유 (IU),Love poem,,
40,2021,26,2021.06.20,2021.06.26,41,어푸 (Ah puh),아이유 (IU),5th Album 'LILAC',,
41,2021,26,2021.06.20,2021.06.26,42,On The Ground,로제 (ROSE),R,,
42,2021,26,2021.06.20,2021.06.26,43,나를 아는 사람,MSG워너비(정상동기),MSG워너비 1집,,
43,2021,26,2021.06.20,2021.06.26,44,Off My Face,Justin Bieber,Justice,,
44,2021,26,2021.06.20,2021.06.26,45,Life Goes On,방탄소년단,BE,,
45,2021,26,2021.06.20,2021.06.26,46,추억은 만남보다 이별에 남아,정동하,추억은 만남보다 이별에 남아,,
46,2021,26,2021.06.20,2021.06.26,47,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재) OST,,
47,2021,26,2021.06.20,2021.06.26,48,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,,
48,2021,26,2021.06.20,2021.06.26,49,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,`키스 먼저 할까요?` OST Part 3,,
49,2021,26,2021.06.20,2021.06.26,50,내사람,SG 워너비,The Precious History,,
50,2021,26,2021.06.20,2021.06.26,51,2002,Anne-Marie,Speak Your Mind (Deluxe),,
51,2021,26,2021.06.20,2021.06.26,52,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),"미란이 (Mirani), 먼치맨, Khundi Panda, 머쉬베놈 (MUSHVENOM)",쇼미더머니 9 Episode 1,,
52,2021,26,2021.06.20,2021.06.26,53,봄날,방탄소년단,YOU NEVER WALK ALONE,,
53,2021,26,2021.06.20,2021.06.26,54,체념,"정상동기 (김정수, 정기석, 이동휘, 이상이)",MSG워너비 TOP 8 경연곡,,
54,2021,26,2021.06.20,2021.06.26,55,그냥 안아달란 말야,다비치,그냥 안아달란 말야,,
55,2021,26,2021.06.20,2021.06.26,56,아로하,조정석,슬기로운 의사생활 OST Part 3,,
56,2021,26,2021.06.20,2021.06.26,57,그날에 나는 맘이 편했을까,이예준,그날에 나는 맘이 편했을까,,
57,2021,26,2021.06.20,2021.06.26,58,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),NONSTOP,,
58,2021,26,2021.06.20,2021.06.26,59,METEOR,창모 (CHANGMO),Boyhood,,
59,2021,26,2021.06.20,2021.06.26,60,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10cm,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM) OST,,
60,2021,26,2021.06.20,2021.06.26,61,12:45 (Stripped),Etham,12:45 (Stripped),,
61,2021,26,2021.06.20,2021.06.26,62,오래된 노래,스탠딩 에그(Standing Egg),오래된 노래,,
62,2021,26,2021.06.20,2021.06.26,63,Memories,Maroon 5,Memories,,
63,2021,26,2021.06.20,2021.06.26,64,오늘따라 더 미운 그대가,전상근,오늘따라 더 미운 그대가,,
64,2021,26,2021.06.20,2021.06.26,65,너의 번호를 누르고 (Prod. 영화처럼),#안녕,너의 번호를 누르고,,
65,2021,26,2021.06.20,2021.06.26,66,살다가,SG 워너비,살다가,,
66,2021,26,2021.06.20,2021.06.26,67,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서,,
67,2021,26,2021.06.20,2021.06.26,68,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),,
68,2021,26,2021.06.20,2021.06.26,69,Love poem,아이유 (IU),Love poem,,
69,2021,26,2021.06.20,2021.06.26,70,힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다,,
70,2021,26,2021.06.20,2021.06.26,71,How You Like That,BLACKPINK,How You Like That,,
71,2021,26,2021.06.20,2021.06.26,72,이렇게 좋아해 본 적이 없어요,CHEEZE (치즈),이렇게 좋아해 본 적이 없어요 (소녀의 세계 X CHEEZE(치즈)) OST,,
72,2021,26,2021.06.20,2021.06.26,73,사실 나는 (Feat.전건호),경서예지,사실 나는,,
73,2021,26,2021.06.20,2021.06.26,74,어떻게 지내,오반 (OVAN),어떻게 지내,,
