,year,week_num,start_date,end_date,rank,music,singer,album,production,distribution
0,2021,43,2021.10.17,2021.10.23,1,strawberry moon,아이유 (IU),strawberry moon,,
1,2021,43,2021.10.17,2021.10.23,2,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,,
2,2021,43,2021.10.17,2021.10.23,3,Savage,aespa,Savage - The 1st Mini Album,,
3,2021,43,2021.10.17,2021.10.23,4,Stay,"The Kid LAROI, Justin Bieber",Stay,,
4,2021,43,2021.10.17,2021.10.23,5,신호등,이무진,신호등,,
5,2021,43,2021.10.17,2021.10.23,6,My Universe,"Coldplay, 방탄소년단",My Universe,,
6,2021,43,2021.10.17,2021.10.23,7,Next Level,aespa,Next Level,,
7,2021,43,2021.10.17,2021.10.23,8,낙하 (with 아이유),AKMU (악뮤),NEXT EPISODE,,
8,2021,43,2021.10.17,2021.10.23,9,OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO(파테코)",OHAYO MY NIGHT,,
9,2021,43,2021.10.17,2021.10.23,10,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),,
10,2021,43,2021.10.17,2021.10.23,11,바라만 본다,MSG워너비(M.O.M),MSG워너비 1집,,
11,2021,43,2021.10.17,2021.10.23,12,Weekend,태연 (TAEYEON),Weekend,,
12,2021,43,2021.10.17,2021.10.23,13,Permission to Dance,방탄소년단,Butter / Permission to Dance,,
13,2021,43,2021.10.17,2021.10.23,14,나의 첫사랑,다비치,나의 첫사랑,,
14,2021,43,2021.10.17,2021.10.23,15,Butter,방탄소년단,Butter,,
15,2021,43,2021.10.17,2021.10.23,16,Bad Habits,Ed Sheeran,Bad Habits,,
16,2021,43,2021.10.17,2021.10.23,17,"Peaches (Feat. Daniel Caesar, Giveon)",Justin Bieber,Justice,,
17,2021,43,2021.10.17,2021.10.23,18,헤픈 우연,헤이즈 (Heize),HAPPEN,,
18,2021,43,2021.10.17,2021.10.23,19,시간을 거슬러 (낮에 뜨는 달 X 케이윌),케이윌 (K.Will),시간을 거슬러 (낮에 뜨는 달 X 케이윌) OST,,
19,2021,43,2021.10.17,2021.10.23,20,고백,멜로망스(Melomance),세 번째 `고백`,,
20,2021,43,2021.10.17,2021.10.23,21,너를 생각해,주시크 (Joosiq),너를 생각해,,
21,2021,43,2021.10.17,2021.10.23,22,Dynamite,방탄소년단,Dynamite,,
22,2021,43,2021.10.17,2021.10.23,23,좋아좋아,조정석,슬기로운 의사생활 시즌2 OST Part 5,,
23,2021,43,2021.10.17,2021.10.23,24,Queendom,레드벨벳(Red Velvet),Queendom - The 6th Mini Album,,
24,2021,43,2021.10.17,2021.10.23,25,DUMB DUMB,전소미,DUMB DUMB,,
25,2021,43,2021.10.17,2021.10.23,26,라일락,아이유 (IU),5th Album `LILAC`,,
26,2021,43,2021.10.17,2021.10.23,27,Rock with you,세븐틴,SEVENTEEN 9th Mini Album `Attacca`,,
27,2021,43,2021.10.17,2021.10.23,28,Celebrity,아이유 (IU),Celebrity,,
28,2021,43,2021.10.17,2021.10.23,29,가을 타나 봐,이무진,가을 타나 봐 (REVIBE Vol.4),,
29,2021,43,2021.10.17,2021.10.23,30,Cold Blooded,제시(Jessi),Cold Blooded,,
30,2021,43,2021.10.17,2021.10.23,31,비가 오는 날엔 (2021),헤이즈 (Heize),비가 오는 날엔 (2021),,
31,2021,43,2021.10.17,2021.10.23,32,롤린 (Rollin`),브레이브걸스 (Brave Girls),Rollin`,,
32,2021,43,2021.10.17,2021.10.23,33,비와 당신,이무진,슬기로운 의사생활 시즌2 OST Part 1,,
33,2021,43,2021.10.17,2021.10.23,34,Dun Dun Dance,오마이걸 (OH MY GIRL),Dear OHMYGIRL,,
34,2021,43,2021.10.17,2021.10.23,35,LOCO,ITZY (있지),CRAZY IN LOVE,,
35,2021,43,2021.10.17,2021.10.23,36,색안경 (STEREOTYPE),STAYC(스테이씨),STEREOTYPE,,
36,2021,43,2021.10.17,2021.10.23,37,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,,
37,2021,43,2021.10.17,2021.10.23,38,ASAP,STAYC(스테이씨),STAYDOM,,
38,2021,43,2021.10.17,2021.10.23,39,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (Maktub),Red Moon : Beyond The Light,,
39,2021,43,2021.10.17,2021.10.23,40,Hey Mama (Feat. Nicki Minaj & Afrojack),David Guetta,Listen (Deluxe),,
40,2021,43,2021.10.17,2021.10.23,41,내 손을 잡아,아이유 (IU),최고의 사랑 OST Part 4,,
41,2021,43,2021.10.17,2021.10.23,42,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,사이렌 Remix,,
42,2021,43,2021.10.17,2021.10.23,43,하루만 더,빅마마 (BigMama),하루만 더,,
43,2021,43,2021.10.17,2021.10.23,44,Off My Face,Justin Bieber,Justice,,
44,2021,43,2021.10.17,2021.10.23,45,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,,
45,2021,43,2021.10.17,2021.10.23,46,밤하늘의 별을(2020),경서,밤하늘의 별을(2020),,
46,2021,43,2021.10.17,2021.10.23,47,밝게 빛나는 별이 되어 비춰줄게,송이한,밝게 빛나는 별이 되어 비춰줄게,,
47,2021,43,2021.10.17,2021.10.23,48,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,`키스 먼저 할까요?` OST Part 3,,
48,2021,43,2021.10.17,2021.10.23,49,Blueming,아이유 (IU),Love poem,,
49,2021,43,2021.10.17,2021.10.23,50,가을 우체국 앞에서,김대명,슬기로운 의사생활 시즌2 OST Part 2,,
50,2021,43,2021.10.17,2021.10.23,51,Savage Love (Laxed - Siren Beat) (BTS Remix),"Jawsh 685, Jason Derulo, BTS",Savage Love (Laxed - Siren Beat) (BTS Remix),,
