Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
1,-,"

사건의 지평선
윤하 | YOUNHA 6th Album Repackage `END THEORY : Final Edition`","29,058,958","C9엔터테인먼트
Kakao Entertainment",,
2,1,"

Hype boy
NewJeans | NewJeans 1st EP `New Jeans`","18,428,088","ADOR
YG PLUS",,
3,HOT,"

마이웨이 (MY WAY) (Prod. R.Tee)
저스디스 (JUSTHIS), 던말릭 (Don Malik), 허성현 (Huh), KHAN, 맥대디 (Mckdaddy), Los | 쇼미더머니 11 Episode 1","18,357,761","Stone Music Entertainment
지니뮤직",,
4,2,"

ANTIFRAGILE
LE SSERAFIM (르세라핌) | ANTIFRAGILE","18,053,404","쏘스뮤직
YG PLUS",,
5,-,"

After LIKE
IVE (아이브) | After LIKE","16,083,695","스타쉽엔터테인먼트
Kakao Entertainment",,
6,2,"

Nxde
(여자)아이들 | I love","15,625,451","큐브엔터테인먼트
Kakao Entertainment",,
7,7,"

Dreamers (Feat. FIFA Sound)
정국, 방탄소년단 | Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]","15,403,601","Katara Studios | 2101 Records under exclusive license to UnitedMasters LLC
FUGA",,
8,1,"

London Boy
임영웅 | Polaroid","15,356,295","물고기뮤직
Dreamus",,
9,3,"

새삥 (Prod. ZICO) (Feat. 호미들)
지코 (ZICO) | 스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)","14,767,017","Stone Music Entertainment
지니뮤직",,
10,2,"

Polaroid
임영웅 | Polaroid","14,709,480","물고기뮤직
Dreamus",,
11,2,"

Attention
NewJeans | NewJeans 1st EP `New Jeans`","13,155,857","ADOR
YG PLUS",,
12,1,"

LOVE DIVE
IVE (아이브) | LOVE DIVE","12,228,224","스타쉽엔터테인먼트
Kakao Entertainment",,
13,24,"

WHEN I MOVE
카라 (KARA) | MOVE AGAIN","12,100,999","RBW
Dreamus",,
14,2,"

Monologue
테이 (Tei) | Monologue","11,721,549","방구석 캐스팅
Kakao Entertainment",,
15,HOT,"

위하여 (We Higher) (Prod. GroovyRoom)
그루비룸 (GroovyRoom), 릴보이 (lIlBOI), Blase (블라세), 노윤하, Polodared, Chillin Homie, Fleeky Bang | 쇼미더머니 11 Episode 1","11,276,165","Stone Music Entertainment
지니뮤직",,
