Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
1,new,"

Ditto
NewJeans | NewJeans `OMG`","27,386,555","ADOR
YG PLUS",,
2,1,"

사건의 지평선
윤하 | YOUNHA 6th Album Repackage `END THEORY : Final Edition`","24,754,571","C9엔터테인먼트
Kakao Entertainment",,
3,4,"

Candy
NCT DREAM | Candy - Winter Special Mini Album","21,882,159","SM Entertainment
Dreamus",,
4,HOT,"

NOT SORRY (Feat. pH-1) (Prod. by Slom)
이영지 | 쇼미더머니 11 Episode 3","18,903,003","Stone Music Entertainment
지니뮤직",,
5,3,"

Hype boy
NewJeans | NewJeans 1st EP `New Jeans`","18,612,163","ADOR
YG PLUS",,
6,3,"

ANTIFRAGILE
LE SSERAFIM (르세라핌) | ANTIFRAGILE","15,324,214","쏘스뮤직
YG PLUS",,
7,7,"

All I Want For Christmas Is You
Mariah Carey | Merry Christmas (Deluxe Anniversary Edition)","14,063,834","Columbia/Legacy
Sony Music",,
8,3,"

After LIKE
IVE (아이브) | After LIKE","13,658,447","스타쉽엔터테인먼트
Kakao Entertainment",,
9,5,"

마이웨이 (MY WAY) (Prod. R.Tee)
저스디스 (JUSTHIS), 던말릭 (Don Malik), 허성현 (Huh), KHAN, 맥대디 (Mckdaddy), Los | 쇼미더머니 11 Episode 1","13,510,879","Stone Music Entertainment
지니뮤직",,
10,6,"

Snowman
Sia | Snowman","12,943,159","Monkey Puzzle, Atlantic
Warner Music",,
11,2,"

Attention
NewJeans | NewJeans 1st EP `New Jeans`","12,663,425","ADOR
YG PLUS",,
12,6,"

Nxde
(여자)아이들 | I love","12,251,880","큐브엔터테인먼트
Kakao Entertainment",,
13,4,"

Santa Tell Me
Ariana Grande | Santa Tell Me","12,116,037","Republic Records, a division of UMG Recordings,Inc
Universal Music",,
14,6,"

새삥 (Prod. ZICO) (Feat. 호미들)
지코 (ZICO) | 스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)","12,057,935","Stone Music Entertainment
지니뮤직",,
15,4,"

Dreamers (Feat. FIFA Sound)
정국, 방탄소년단 | Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]","10,573,510","Katara Studios | 2101 Records under exclusive license to UnitedMasters LLC
FUGA",,
16,3,"

LOVE DIVE
IVE (아이브) | LOVE DIVE","10,484,848","스타쉽엔터테인먼트
Kakao Entertainment",,
