Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
47,1,"

다정히 내 이름을 부르면
경서예지, 전건호 | 다정히 내 이름을 부르면 (경서예지 x 전건호)","6,499,306","에버그로우
Kakao Entertainment",,
48,8,"

우린 그렇게 사랑해서
강민경, 잔나비 | 우린 그렇게 사랑해서","6,458,919","WAKEONE, 페포니뮤직
지니뮤직, Stone Music Entertainment",,
49,6,"

흩어지지 않게
엠씨더맥스 (M.C the MAX) | 흩어지지 않게","6,456,248","325 이엔씨
Kakao Entertainment",,
50,5,"

보고싶었어
WSG워너비 (4FIRE) | WSG워너비 1집","6,410,458","MBC
Kakao Entertainment",,
51,30,"

크리스마스니까
성시경, 박효신, 이석훈, 서인국, 빅스 (VIXX) | Jelly Christmas 2012 Heart Project","6,294,715","젤리피쉬 엔터테인먼트
지니뮤직, Stone Music Entertainment",,
52,1,"

LOVE me
BE`O (비오) | LOVE me","5,961,719","BPM ENTERTAINMENT, SWING ENTERTAINMENT, 페임어스엔터테인먼트
Kakao Entertainment",,
53,new,"

Flick (Feat. BE`O (비오), 김하온 (HAON)) (Prod. GroovyRoom)
노윤하 | 쇼미더머니 11 Episode 2","5,950,004","Stone Music Entertainment
지니뮤직",,
54,6,"

주저하는 연인들을 위해
잔나비 | 전설","5,935,110","페포니 뮤직
Kakao Entertainment",,
55,3,"

모든 날, 모든 순간 (Every day, Every Moment)
폴킴 | `키스 먼저 할까요?` OST Part 3","5,911,785","SM Entertainment
Dreamus",,
56,6,"

떠나보낼 준비해 둘걸 그랬어
임한별 | 떠나보낼 준비해 둘걸 그랬어","5,804,838","오늘의 선곡
Kakao Entertainment",,
57,4,"

Stay
The Kid LAROI, Justin Bieber | Stay","5,739,067","Columbia
Sony Music",,
58,1,"

우리들의 블루스
임영웅 | IM HERO","5,650,386","물고기뮤직
Dreamus",,
59,4,"

도깨비불 (Illusion)
aespa | Girls - The 2nd Mini Album","5,623,052","SM Entertainment
Dreamus",,
60,6,"

내 기쁨은 너가 벤틀리를 끄는 거야
김승민 | PROTOTYPE RESEARCH #0063","5,614,201","뷰티플노이즈
지니뮤직, Stone Music Entertainment",,
61,2,"

밤하늘의 별을(2020)
경서 | 밤하늘의 별을(2020)","5,603,143","꿈의엔진
Kakao Entertainment",,
62,6,"

FOREVER 1
소녀시대 | FOREVER 1 - The 7th Album","5,438,722","SM Entertainment
Dreamus",,
63,25,"

Make It To Christmas
Alessia Cara | Make It To Christmas","5,356,642","EP Entertainment, LLC / Def Jam
Universal Music",,
64,4,"

오르트구름
윤하 | YOUNHA 6th Album `END THEORY`","5,353,799","C9엔터테인먼트
Kakao Entertainment",,
65,3,"

새벽에 걸려온 너의 전화는
한동근 | 미련을 말하는","5,282,412","말하는
Kakao Entertainment",,
66,new,"

그대를 알고
송하예 | 그대를 알고","5,261,201","디스튜디오
Kakao Entertainment",,
67,3,"

SNEAKERS
ITZY (있지) | CHECKMATE","5,150,913","JYP Entertainment
Dreamus",,
68,3,"

Love story
볼빨간사춘기 | Seoul","5,134,900","쇼파르엔터테인먼트
NHN벅스",,
69,11,"

That That (prod. & feat. SUGA of BTS)
싸이 (Psy) | 싸다9","5,037,132","피네이션
Dreamus",,
70,2,"

Feel My Rhythm
레드벨벳(Red Velvet) | `The ReVe Festival 2022 - Feel My Rhythm`","4,943,444","SM Entertainment
Dreamus",,
71,24,"

Birthday
레드벨벳(Red Velvet) | ‘The ReVe Festival 2022 - Birthday’","4,858,943","SM Entertainment
Dreamus",,
72,6,"

고백연습
경서 | 고백연습","4,857,490","꿈의엔진
Kakao Entertainment",,
73,2,"

봄여름가을겨울 (Still Life)
BIGBANG (빅뱅) | 봄여름가을겨울 (Still Life)","4,835,050","YG Entertainment
YG PLUS",,
74,30,"

아저씨
릴러말즈 (Leellamarz), 크루셜스타 (Crucial Star), QM, 김재욱, NSW yoon, 다민이 (DAMINI) | 쇼미더머니 11 Episode 1","4,827,114","Stone Music Entertainment
지니뮤직",,
75,24,"

눈이 오잖아 (Feat.헤이즈)
이무진 | 눈이 오잖아","4,820,382","쇼플레이
Kakao Entertainment",,
76,5,"

I Don`t Think That I Like Her
Charlie Puth | CHARLIE","4,806,844","Atlantic Records
Warner Music",,
77,8,"

드라마
아이유 (IU) | 조각집","4,801,247","EDAM엔터테인먼트
Kakao Entertainment",,
78,new,"

그날의 그대여
헤이즈 (Heize) | Themselves Chapter. 2","4,782,702","재믹스 씨앤비
재믹스 씨앤비",,
79,9,"

사랑한다고 말해줘
탑현 | 사랑한다고 말해줘","4,772,952","탑현월드
Kakao Entertainment",,
80,8,"

스티커 사진
21학번 | 스티커 사진","4,739,290","제나두 엔터테인먼트
NHN벅스",,
81,8,"

다시 만날 수 있을까
임영웅 | IM HERO","4,733,046","물고기뮤직
Dreamus",,
82,new,"

추억 일기
먼데이 키즈 (Monday Kiz) | 추억 일기","4,592,924","ODRP
지니뮤직",,
83,7,"

Dynamite
방탄소년단 | Dynamite","4,542,813","BIGHIT MUSIC / HYBE
YG PLUS",,
84,10,"

POP!
나연 (TWICE) | IM NAYEON","4,542,558","JYP Entertainment
Dreamus",,
85,2,"

이제 나만 믿어요
임영웅 | 내일은 미스터트롯 우승자 특전곡","4,533,392","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
86,8,"

INVU
태연 (TAEYEON) | INVU - The 3rd Album","4,367,348","SM Entertainment
Dreamus",,
87,5,"

신호등
이무진 | 신호등","4,354,795","쇼플레이
Kakao Entertainment",,
88,17,"

Underneath The Tree
Kelly Clarkson | Wrapped In Red (Deluxe Edition)","4,326,055","Rca Records Label
Sony Music",,
89,9,"

strawberry moon
아이유 (IU) | strawberry moon","4,211,831","EDAM엔터테인먼트
Kakao Entertainment",,
90,11,"

Left and Right (Feat. Jung Kook of BTS)
Charlie Puth, 정국, 방탄소년단 | Left and Right","4,192,282","Atlantic Records
Warner Music",,
91,1,"

Made You Look
Meghan Trainor | Takin` It Back","4,189,349","Epic
Sony Music",,
92,43,"

들꽃놀이 (with 조유진)
RM | Indigo","4,157,957","BIGHIT MUSIC / HYBE
YG PLUS",,
93,7,"

Off My Face
Justin Bieber | Justice","4,118,014","RBMG/Def Jam
Universal Music",,
94,10,"

Next Level
aespa | Next Level","4,079,308","SM Entertainment
Dreamus",,
95,18,"

LAW (Prod. Czaer)
윤미래, 비비(BIBI) | 스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)","4,078,084","Stone Music Entertainment
지니뮤직",,
96,2,"

추억때문에
유림 | 추억때문에","4,039,579","원탑엔터테인먼트
Kakao Entertainment",,
