,year,week_num,start_date,end_date,rank,music,singer,album
0,2016,12,2016.03.13,2016.03.19,1,You Are My Everything,거미,태양의 후예 OST Part 4
1,2016,12,2016.03.13,2016.03.19,2,이 사랑,다비치,태양의 후예 OST Part.3
2,2016,12,2016.03.13,2016.03.19,3,다시 너를,"매드 클라운 (Mad Clown), 김나영",태양의 후예 OST Part 5
3,2016,12,2016.03.13,2016.03.19,4,ALWAYS,윤미래 (T),태양의 후예 OST Part 1
4,2016,12,2016.03.13,2016.03.19,5,말해! 뭐해?,케이윌 (K.Will),태양의 후예 OST Part.6
5,2016,12,2016.03.13,2016.03.19,6,Everytime,"첸(CHEN), 펀치 (Punch)",태양의 후예 OST Part.2
6,2016,12,2016.03.13,2016.03.19,7,한숨,이하이,SEOULITE
7,2016,12,2016.03.13,2016.03.19,8,넌 is 뭔들,마마무 (Mamamoo),Melting
8,2016,12,2016.03.13,2016.03.19,9,봄인가 봐 (Spring Love),"에릭남 (Eric Nam), 웬디 (WENDY)",봄인가 봐 (Spring Love)
9,2016,12,2016.03.13,2016.03.19,10,7월 7일 (One Of These Nights),레드벨벳(Red Velvet),The Velvet - The 2nd Mini Album
10,2016,12,2016.03.13,2016.03.19,11,손잡아 줘요,이하이,SEOULITE
11,2016,12,2016.03.13,2016.03.19,12,시간을 달려서 (Rough),여자친구 (GFRIEND),3rd Mini Album `SNOWFLAKE`
12,2016,12,2016.03.13,2016.03.19,13,어디에도,엠씨더맥스 (M.C The Max),pathos
13,2016,12,2016.03.13,2016.03.19,14,야 하고 싶어 (Feat.시우민 of EXO),지민 (AOA),야 하고 싶어
14,2016,12,2016.03.13,2016.03.19,15,Don`t Cry (우리동네 음악대장),우리 동네 음악대장,복면가왕 50회
15,2016,12,2016.03.13,2016.03.19,16,PICK ME,PRODUCE 101,PRODUCE 101 - PICK ME
16,2016,12,2016.03.13,2016.03.19,17,벚꽃 엔딩,버스커 버스커 (Busker Busker),버스커 버스커 1집
17,2016,12,2016.03.13,2016.03.19,18,너는 나 나는 너,지코 (ZICO),Break Up 2 Make Up
18,2016,12,2016.03.13,2016.03.19,19,그녀가 곁에 없다면 (결혼 행진곡을 활용한 신곡),장범준,장범준 2집
19,2016,12,2016.03.13,2016.03.19,20,Rain,태연 (TAEYEON),태연 `Rain`
20,2016,12,2016.03.13,2016.03.19,21,무지개 (Feat. 윤닭 Of 오브로젝트),스탠딩 에그(Standing Egg),The Artist Diary Project Part 12
21,2016,12,2016.03.13,2016.03.19,22,같은 곳에서,소녀온탑,PRODUCE 101 - 35 Girls 5 Concepts
22,2016,12,2016.03.13,2016.03.19,23,OOH-AHH하게,TWICE,THE STORY BEGINS
