,year,week_num,start_date,end_date,rank,music,singer,album
0,2016,13,2016.03.20,2016.03.26,1,말해! 뭐해?,케이윌 (K.Will),태양의 후예 OST Part.6
1,2016,13,2016.03.20,2016.03.26,2,다시 너를,"매드 클라운 (Mad Clown), 김나영",태양의 후예 OST Part 5
2,2016,13,2016.03.20,2016.03.26,3,You Are My Everything,거미,태양의 후예 OST Part 4
3,2016,13,2016.03.20,2016.03.26,4,이 사랑,다비치,태양의 후예 OST Part.3
4,2016,13,2016.03.20,2016.03.26,5,그녀가 곁에 없다면 (결혼 행진곡을 활용한 신곡),장범준,장범준 2집
5,2016,13,2016.03.20,2016.03.26,6,사랑에 빠졌죠 (당신만이),장범준,장범준 2집
6,2016,13,2016.03.20,2016.03.26,7,ALWAYS,윤미래 (T),태양의 후예 OST Part 1
7,2016,13,2016.03.20,2016.03.26,8,같은 곳에서,소녀온탑,PRODUCE 101 - 35 Girls 5 Concepts
8,2016,13,2016.03.20,2016.03.26,9,Fly,GOT7,FLIGHT LOG : DEPARTURE
9,2016,13,2016.03.20,2016.03.26,10,Everytime,"첸(CHEN), 펀치 (Punch)",태양의 후예 OST Part.2
10,2016,13,2016.03.20,2016.03.26,11,빗속으로,장범준,장범준 2집
11,2016,13,2016.03.20,2016.03.26,12,넌 is 뭔들,마마무 (Mamamoo),Melting
12,2016,13,2016.03.20,2016.03.26,13,한숨,이하이,SEOULITE
13,2016,13,2016.03.20,2016.03.26,14,Yum-Yum (얌얌),마카롱 꿀떡,PRODUCE 101 - 35 Girls 5 Concepts
14,2016,13,2016.03.20,2016.03.26,15,With You,린 (LYn),태양의 후예 OST Part.7
15,2016,13,2016.03.20,2016.03.26,16,벚꽃 엔딩,버스커 버스커 (Busker Busker),버스커 버스커 1집
16,2016,13,2016.03.20,2016.03.26,17,시간을 달려서 (Rough),여자친구 (GFRIEND),3rd Mini Album `SNOWFLAKE`
17,2016,13,2016.03.20,2016.03.26,18,봄비,장범준,장범준 2집
18,2016,13,2016.03.20,2016.03.26,19,봄인가 봐 (Spring Love),"에릭남 (Eric Nam), 웬디 (WENDY)",봄인가 봐 (Spring Love)
19,2016,13,2016.03.20,2016.03.26,20,어디에도,엠씨더맥스 (M.C The Max),pathos
20,2016,13,2016.03.20,2016.03.26,21,Fingertips,Pinkrush,PRODUCE 101 - 35 Girls 5 Concepts
21,2016,13,2016.03.20,2016.03.26,22,사랑에 빠져요 (금세 사랑에 빠지는),장범준,장범준 2집
22,2016,13,2016.03.20,2016.03.26,23,PICK ME,PRODUCE 101,PRODUCE 101 - PICK ME
23,2016,13,2016.03.20,2016.03.26,24,7월 7일 (One Of These Nights),레드벨벳(Red Velvet),The Velvet - The 2nd Mini Album
24,2016,13,2016.03.20,2016.03.26,25,너는 나 나는 너,지코 (ZICO),Break Up 2 Make Up
25,2016,13,2016.03.20,2016.03.26,26,손잡아 줘요,이하이,SEOULITE
26,2016,13,2016.03.20,2016.03.26,27,그녀가 웃었죠,장범준,장범준 2집
27,2016,13,2016.03.20,2016.03.26,28,떠나야만해,장범준,장범준 2집
28,2016,13,2016.03.20,2016.03.26,29,야 하고 싶어 (Feat.시우민 of EXO),지민 (AOA),야 하고 싶어
29,2016,13,2016.03.20,2016.03.26,30,Don`t Matter,화려강산,PRODUCE 101 - 35 Girls 5 Concepts
30,2016,13,2016.03.20,2016.03.26,31,사실은 (The truth is),박재범,사실은 (The truth is)
31,2016,13,2016.03.20,2016.03.26,32,홍대와 건대 사이,장범준,장범준 2집
32,2016,13,2016.03.20,2016.03.26,33,Good For You,에릭남 (Eric Nam),INTERVIEW
33,2016,13,2016.03.20,2016.03.26,34,Rain,태연 (TAEYEON),태연 `Rain`
34,2016,13,2016.03.20,2016.03.26,35,애태우는 여자,장범준,장범준 2집
35,2016,13,2016.03.20,2016.03.26,36,OOH-AHH하게,TWICE,THE STORY BEGINS
36,2016,13,2016.03.20,2016.03.26,37,Don`t Cry (우리동네 음악대장),우리 동네 음악대장,복면가왕 50회
37,2016,13,2016.03.20,2016.03.26,38,오늘부터 우리는 (Me gustas tu),여자친구 (GFRIEND),2nd Mini Album `Flower Bud`
38,2016,13,2016.03.20,2016.03.26,39,예쁘잖아,기리보이(Giriboy),예쁘잖아
39,2016,13,2016.03.20,2016.03.26,40,자장가를 활용한 신곡,장범준,장범준 2집
40,2016,13,2016.03.20,2016.03.26,41,밤을 지워가네,장범준,장범준 2집
41,2016,13,2016.03.20,2016.03.26,42,Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj",Bang Bang
42,2016,13,2016.03.20,2016.03.26,43,잊어버리지마 (Feat.태연),크러쉬 (CRUSH),잊어버리지마
43,2016,13,2016.03.20,2016.03.26,44,24시간,Make Some Noise,PRODUCE 101 - 35 Girls 5 Concepts
44,2016,13,2016.03.20,2016.03.26,45,귀여운 여자,장범준,장범준 2집
45,2016,13,2016.03.20,2016.03.26,46,Boys And Girls (Feat. Babylon),지코 (ZICO),Boys And Girls
46,2016,13,2016.03.20,2016.03.26,47,키스,장범준,장범준 2집
47,2016,13,2016.03.20,2016.03.26,48,걱정말아요 그대,이적,응답하라 1988 OST Part 2
48,2016,13,2016.03.20,2016.03.26,49,1cm의 자존심,마마무 (Mamamoo),1cm의 자존심
49,2016,13,2016.03.20,2016.03.26,50,Dream,"수지, 백현 (BAEKHYUN)",Dream
50,2016,13,2016.03.20,2016.03.26,51,담배,장범준,장범준 2집
51,2016,13,2016.03.20,2016.03.26,52,또 다시 사랑,임창정,또 다시 사랑
52,2016,13,2016.03.20,2016.03.26,53,울랄라,장범준,장범준 2집
53,2016,13,2016.03.20,2016.03.26,54,I Miss You,마마무 (Mamamoo),I Miss You
54,2016,13,2016.03.20,2016.03.26,55,봄 사랑 벚꽃 말고,"HIGH4, 아이유 (IU)",봄 사랑 벚꽃 말고
55,2016,13,2016.03.20,2016.03.26,56,센치해,위너(WINNER),EXIT : E
56,2016,13,2016.03.20,2016.03.26,57,D (half moon) (Feat. 개코),DEAN,130 mood TRBL
57,2016,13,2016.03.20,2016.03.26,58,그댄 행복에 살텐데,김범수,투유 프로젝트 - 슈가맨 Part 16
58,2016,13,2016.03.20,2016.03.26,59,회상,장범준,시그널 OST Part 1
59,2016,13,2016.03.20,2016.03.26,60,소녀,오혁,응답하라 1988 OST Part 3
60,2016,13,2016.03.20,2016.03.26,61,무지개 (Feat. 윤닭 Of 오브로젝트),스탠딩 에그(Standing Egg),The Artist Diary Project Part 12
61,2016,13,2016.03.20,2016.03.26,62,유레카 (Feat. Zion.T),지코 (ZICO),GALLERY
62,2016,13,2016.03.20,2016.03.26,63,또 하루 (Feat. 개코),Gary (개리),또 하루
63,2016,13,2016.03.20,2016.03.26,64,보일 듯 말 듯,"유주 (YUJU), 선율 (업텐션)",보일 듯 말 듯
64,2016,13,2016.03.20,2016.03.26,65,니가 하면 로맨스 (feat.다비치),케이윌 (K.Will),니가 하면 로맨스
65,2016,13,2016.03.20,2016.03.26,66,우주를 건너,백예린,FRANK
66,2016,13,2016.03.20,2016.03.26,67,공감 (Feat. 서영은),정준영,공감
67,2016,13,2016.03.20,2016.03.26,68,꽃송이가,버스커 버스커 (Busker Busker),버스커 버스커 1집
68,2016,13,2016.03.20,2016.03.26,69,청춘 (Feat. 김창완),김필,응답하라 1988 OST Part 1
69,2016,13,2016.03.20,2016.03.26,70,덕수궁 돌담길의 봄 (Feat. 10cm),윤아 (YOONA),덕수궁 돌담길의 봄
70,2016,13,2016.03.20,2016.03.26,71,WORLD TOUR (비행) (Feat. MINO of WINNER),이하이,SEOULITE
71,2016,13,2016.03.20,2016.03.26,72,Ah-Choo,러블리즈,Lovelyz8
72,2016,13,2016.03.20,2016.03.26,73,팔당댐 (feat.빈지노),에디킴,팔당댐
73,2016,13,2016.03.20,2016.03.26,74,Hello,Adele,Hello
74,2016,13,2016.03.20,2016.03.26,75,너 라는 계절,서인국,너 라는 계절
75,2016,13,2016.03.20,2016.03.26,76,사랑이었다 (Feat. 루나 of f(x)),지코 (ZICO),Break Up 2 Make Up
76,2016,13,2016.03.20,2016.03.26,77,친구라도 될 걸 그랬어,거미,Like Them
77,2016,13,2016.03.20,2016.03.26,78,사랑이니까,에일리 (Ailee),돌아와요 아저씨 OST Part 4
78,2016,13,2016.03.20,2016.03.26,79,한 발짝 두 발짝,오마이걸 (OH MY GIRL),PINK OCEAN
