,year,week_num,start_date,end_date,rank,music,singer,album
0,2016,34,2016.08.14,2016.08.20,1,휘파람,BLACKPINK,SQUARE ONE
1,2016,34,2016.08.14,2016.08.20,2,Lotto,EXO,LOTTO - The 3rd Album Repackage
2,2016,34,2016.08.14,2016.08.20,3,puzzle,"씨잼 (C Jamm), 비와이(BewhY)",puzzle
3,2016,34,2016.08.14,2016.08.20,4,여름밤에 우린,스탠딩 에그(Standing Egg),여름밤에 우린
4,2016,34,2016.08.14,2016.08.20,5,Whatta Man (Good man),아이오아이 (I.O.I),Whatta Man
5,2016,34,2016.08.14,2016.08.20,6,너 그리고 나 (NAVILLERA),여자친구 (GFRIEND),The 1st Album `LOL`
6,2016,34,2016.08.14,2016.08.20,7,붐바야,BLACKPINK,SQUARE ONE
7,2016,34,2016.08.14,2016.08.20,8,Why So Lonely,원더걸스 (Wonder girls),Why So Lonely
8,2016,34,2016.08.14,2016.08.20,9,Day Day (Feat. 박재범) (Prod. by GRAY),비와이(BewhY),쇼미더머니 5 Episode 4
9,2016,34,2016.08.14,2016.08.20,10,CHEER UP,TWICE,PAGE TWO
10,2016,34,2016.08.14,2016.08.20,11,꿈 (She’s Dreaming),EXO,LOTTO - The 3rd Album Repackage
11,2016,34,2016.08.14,2016.08.20,12,널 사랑하지 않아,어반 자카파 (Urban Zakapa),스틸
12,2016,34,2016.08.14,2016.08.20,13,"호랑나비 (Feat. Gill, 리듬파워)",보이비 (Boi B),쇼미더머니 5 Episode 3
13,2016,34,2016.08.14,2016.08.20,14,Forever (Prod. by GRAY),비와이(BewhY),쇼미더머니 5 Episode 3
14,2016,34,2016.08.14,2016.08.20,15,Can’t Bring Me Down,EXO,LOTTO - The 3rd Album Repackage
15,2016,34,2016.08.14,2016.08.20,16,냉탕에 상어 (Feat. 블랙넛),슈퍼비,냉탕에 상어
16,2016,34,2016.08.14,2016.08.20,17,Summer Night (Remix) (Feat. Hoody),GRAY (그레이),Summer Night (Remix)
17,2016,34,2016.08.14,2016.08.20,18,바다,"허각, 정은지(Apink)",‘PLAN A’ FIRST EPISODE
