music,singer,release_date,category,music_like,movie_like,movie_views
WHEN I MOVE,카라,2022.11.29,댄스,51279,392,45295
Shut Down,BLACKPINK,2022.09.16,랩/힙합,117619,1689,172993
자격지심 (Feat. ZICO),BE`O,2022.09.29,랩/힙합,84204,763,71081
TOMBOY,(여자)아이들,2022.03.14,록/메탈,235170,3023,356820
그대를 알고,송하예,2022.12.13,발라드,36834,52,4822
Dreamers (Feat. FIFA Sound),"정국, 방탄소년단",2022.11.20,POP,113908,1598,52668
마이웨이 (MY WAY),"저스디스, 던말릭, 허성현, KHAN, 맥대디, Los",2022.12.03,랩/힙합,81643,,
"미운오리새끼 (Feat. 선우정아, BOBBY)",허성현,2022.12.24,랩/힙합,31359,,
그때 그 순간 그대로 (그그그),WSG워너비,2022.07.09,발라드,128435,737,119808
FEARLESS,LE SSERAFIM,2022.05.02,댄스,108190,2110,182114
Nostalgia,우디,2023.03.06,일렉트로니카,37581,,
나비무덤,포맨,2023.03.01,발라드,18507,15,2552
꽃,지수,2023.03.31,댄스,90361,1579,126508
Love Me Like This,NMIXX,2023.03.20,댄스,42936,578,25692
Like Crazy,지민,2023.03.24,댄스,57805,3949,45586
Kitsch,IVE,2023.04.10,댄스,114224,2937,206429
사랑은 늘 도망가,임영웅,2021.10.11,"발라드, 국내드라마",193649,18521,252078
사랑하기 싫어,지아,2023.02.24,발라드,31834,,
Set Me Free Pt.2,지민,2023.03.17,랩/힙합,50688,4688,34142
NIGHT DANCER,imase,2022.08.19,J-POP,78297,,
That`s Hilarious,Charlie Puth,2022.10.07,POP,159463,,
Dangerously,Charlie Puth,2016.11.11,POP,155102,1054,23922
CHRISTIAN,Zior Park,2023.02.16,록/메탈,66681,,
심(心),DK,2023.02.19,록/메탈,39610,,
Cookie,NewJeans,2022.08.01,댄스,133677,3172,152510
Unholy,"Sam Smith, Kim Petras",2022.09.22,POP,50463,,
새삥 (Prod. ZICO),지코,2022.09.06,랩/힙합,145570,,
Nxde,(여자)아이들,2022.10.17,댄스,157592,2383,268756
LOVE DIVE,IVE,2022.04.05,댄스,233674,4626,583725
