music,singer,release_date,category,music_like,movie_like,movie_views
마이웨이,"저스디스, 던말릭, 허성현, KHAN, 맥대디, Los",2022.12.03,랩/힙합,81679,,
미운오리새끼,허성현,2022.12.24,랩/힙합,31366,,
그때 그 순간 그대로,WSG워너비,2022.07.09,발라드,128481,737,119862
FEARLESS,LE SSERAFIM,2022.05.02,댄스,108409,2125,182617
Nostalgia,우디,2023.03.06,일렉트로니카,37722,,
나비무덤,포맨,2023.03.01,발라드,18563,16,2566
꽃,지수,2023.03.31,댄스,91075,1588,128245
Love Me Like This,NMIXX,2023.03.20,댄스,43178,580,25971
Like Crazy,지민,2023.03.24,댄스,57894,3955,45723
Kitsch,IVE,2023.04.10,댄스,115052,2947,208308
사랑은 늘 도망가,임영웅,2021.10.11,"발라드, 국내드라마",193705,18528,252131
사랑하기 싫어,지아,2023.02.24,발라드,31949,,
Set Me Free Pt.2,지민,2023.03.17,랩/힙합,50737,4688,34249
NIGHT DANCER,imase,2022.08.19,J-POP,78816,,
That`s Hilarious,Charlie Puth,2022.10.07,POP,159549,,
Dangerously,Charlie Puth,2016.11.11,POP,155524,1054,23932
CHRISTIAN,Zior Park,2023.02.16,록/메탈,67087,,
심(心),DK,2023.02.19,록/메탈,39866,,
Cookie,NewJeans,2022.08.01,댄스,133714,3171,152708
Teddy Bear,STAYC(스테이씨),2023.02.14,댄스,84132,707,64019
너의 모든 순간,성시경,2014.02.12,"발라드, 국내드라마",260608,,
풍등,이찬원,2023.02.20,성인가요/트로트,12873,3770,20260
I Don`t Think That I Like Her,Charlie Puth,2022.10.07,POP,157877,,
