music,singer,release_date,category,music_like,movie_like,movie_views
팔베개,"소유, 기리보이",2015.01.15,랩/힙합,49679,,
표적,신화,2015.02.26,댄스,21363,3796,413254
목소리,노을,2015.01.08,발라드,57220,488,213821
위아래,EXID,2014.08.27,댄스,76205,3486,5814486
이별공식,빅스(VIXX),2015.02.24,댄스,35291,3601,323028
냠냠냠,이진아,2015.02.15,발라드,15175,,
또 운다 또,다비치,2015.01.21,발라드,46217,1248,433156
환청),장재인,2015.01.14,"발라드, 랩/힙합, 국내드라마",61613,,
못된 여자,니엘,2015.02.16,댄스,13074,1211,251380
그냥,"자이언티(Zion.T), 크러쉬",2015.02.02,R&B/Soul,142441,2365,467698
미쳐,포미닛,2015.02.09,랩/힙합,44269,2671,1929659
My Type,"제시(Jessi), 치타, 강남",2015.02.13,랩/힙합,46436,,
같은 시간 속의 너,나얼,2015.02.05,R&B/Soul,152945,3092,822780
어쩌라고,빈지노,2015.03.11,랩/힙합,32977,1247,287327
비밀,비투비,2012.03.21,댄스,27332,4032,76733
To Be With You,김연우,2015.05.23,"발라드, 국내드라마",15049,,
꽃보다 그녀,비투비,2015.06.29,댄스,25722,,
보고파,비투비,2015.06.29,발라드,33245,,
Summer Romance,비투비,2015.06.29,발라드,24690,,
굿나잇,윤종신,2015.06.30,포크/블루스,6256,269,58820
너나 잘 살아,비투비,2015.06.29,발라드,25672,,
한여름밤의 꿀,"산이, 레이나",2014.06.12,랩/힙합,161637,1046,1974444
내가,도끼,2015.06.23,랩/힙합,37228,,
꿀썸머,NS Yoon-G,2015.06.29,댄스,12734,292,222102
공드리,혁오,2015.05.28,"인디음악, 록/메탈",64412,1689,141065
꺼내지 못한 말,"더 원(The One), 김연지",2015.07.03,발라드,7564,,
우리가 사랑한 시간,규현,2015.06.27,"발라드, 국내드라마",32782,1326,102198
잊지말아요,린,2015.07.05,발라드,4980,,
Johnny,에일리,2015.06.30,댄스,5582,,
Check,소녀시대,2015.07.07,댄스,9339,,
사랑.. 그 놈,화생방실 클레오파트라,2015.06.21,발라드,15852,,
괜찮아요,비투비,2015.06.29,발라드,119786,5525,157309
10월의 날씨,10cm,2015.10.10,"인디음악, 포크/블루스",47261,502,66751
미안해요,박보람,2015.10.08,발라드,12918,333,113651
내가 그댈,"린(LYn), 하동균, 이정",2015.09.27,발라드,24638,,
신발 한 짝,별,2015.10.05,발라드,2289,,
먼저 말해줘,태연,2015.10.07,발라드,31822,,
쌍둥이자리,태연,2015.10.07,R&B/Soul,44876,,
오늘따라,iKON,2015.11.16,랩/힙합,29750,,
울지 말자,창민 & 이현(Homme),2015.10.02,발라드,4876,200,111898
연락해,"릴보이, 베이식(Basick)",2015.10.05,랩/힙합,11884,614,79668
Solo,예지,2015.10.03,랩/힙합,19940,,
가슴에 내린다,이수,2015.10.06,발라드,15679,462,65696
스트레스,태연,2015.10.07,록/메탈,65226,,
리듬 타,iKON,2015.11.16,랩/힙합,65677,6898,1152128
U R,태연,2015.10.07,발라드,134730,,
Ah-Choo,러블리즈,2015.10.01,댄스,87016,2175,150978
솔직하게,iKON,2015.11.16,랩/힙합,24466,,
AIRPLANE,iKON,2015.11.16,랩/힙합,62319,6073,522370
니가 하면,GOT7,2015.09.29,댄스,39921,2837,447762
너나 잘해,에일리,2015.09.30,댄스,29959,1040,482537
하루의 끝,종현,2015.09.17,발라드,144452,3787,121441
커피,"유재환, 김예림",2015.09.23,댄스,42682,,
보통연애,박경,2015.09.21,랩/힙합,116277,3316,622249
U & I,종현,2015.09.17,R&B/Soul,24714,,
쎈언니,제시(Jessi),2015.09.15,랩/힙합,24963,894,539210
그렇게 됐어,플라이 투 더 스카이,2015.09.14,R&B/Soul,31759,806,189315
내게 와줘서,케이윌,2015.09.16,"발라드, 국내드라마",12163,533,46002
이렇게 우리,백아연,2015.09.09,"발라드, 국내드라마",21235,,
Girl Crush,마마무,2015.09.16,"댄스, 게임",33485,3894,517433
미워해야 한다면,플라이 투 더 스카이,2015.09.14,R&B/Soul,13658,689,130741
신데렐라,씨엔블루,2015.09.14,록/메탈,11608,752,138751
여전히,라디,2015.09.04,R&B/Soul,12308,73,55250
Huff n Puff,레드벨벳(Red Velvet),2015.09.09,댄스,31053,,
잘나가서 그래,현아,2015.08.21,댄스,36255,1013,725717
Dumb Dumb,레드벨벳(Red Velvet),2015.09.09,댄스,98264,8690,2236327
사랑보다 깊은 상처,임재범,1997.07,발라드,15259,,
사랑은 그렇게 또 다른 누구에게,린,2015.09.09,R&B/Soul,3899,136,52646
Oh Boy,레드벨벳(Red Velvet),2015.09.09,댄스,61482,,
아파도 웃을래,레이디스 코드,2015.09.07,발라드,20760,1386,133186
공항 가는 길,"박진영, 이진아",2015.09.01,록/메탈,7440,817,219451
ON IT   BO$$,"릴보이(Lil Boi), 로꼬, 박재범",2006.01.01,랩/힙합,0,,
Okey Dokey,"MINO, 지코",2015.08.29,랩/힙합,88576,4966,638086
My Life,"상주나(정준하, 윤상)",2015.08.22,일렉트로니카,22640,,
I`m So Sexy,"댄싱게놈(유재석, JYP)",2015.08.22,댄스,39253,,
가슴 뛰도록,SG 워너비,2015.08.19,발라드,48182,1281,335195
M.I.L.E.,"블랙넛(Black Nut), 버벌진트(Verbal Jint), 산이",2015.08.15,랩/힙합,15149,671,103308
스폰서,"으뜨거따시(하하, 자이언티)",2015.08.22,R&B/Soul,50489,,
멋진헛간,"오대천왕(정형돈, 밴드 혁오)",2015.08.22,록/메탈,66554,,
맙소사,"황태지(황광희, 태양, 지드래곤)",2015.08.22,댄스,80437,,
레옹,"이유 갓지(GOD G)않은이유(박명수, 아이유)",2015.08.22,댄스,147468,,
좋은 기억,SG 워너비,2015.08.19,발라드,21315,816,190507
Lion Heart,소녀시대,2015.08.18,댄스,92996,4512,1904180
오빠차,"인크레더블, 타블로, 지누션",2015.08.15,랩/힙합,59610,751,494194
Married To The Music,샤이니,2015.08.03,댄스,30341,5036,374573
사랑했다치자,서인영,2015.08.11,발라드,8799,,
네일 했어,프라이머리,2015.08.12,R&B/Soul,6408,234,113741
러버,프라이머리,2015.08.12,R&B/Soul,23654,,
거북선,"자메즈, 앤덥(Andup), MINO",2015.08.01,랩/힙합,78806,3038,661408
