,year,week_num,start_date,end_date,rank,music,singer,album
0,2014,17,2014.04.20,2014.04.26,1,티가 나나봐,"15& (박지민, 백예린)",티가 나나봐
1,2014,17,2014.04.20,2014.04.26,2,200%,AKMU (악뮤),PLAY
2,2014,17,2014.04.20,2014.04.26,3,봄 사랑 벚꽃 말고,"HIGH4, 아이유 (IU)",봄 사랑 벚꽃 말고
3,2014,17,2014.04.20,2014.04.26,4,다만 그대를,박시환,Spring Awakening
4,2014,17,2014.04.20,2014.04.26,5,Give Love,AKMU (악뮤),PLAY
5,2014,17,2014.04.20,2014.04.26,6,Mr. Chu (On Stage),에이핑크 (Apink),Pink Blossom
6,2014,17,2014.04.20,2014.04.26,7,인연,"윤민수, 신용재",불후의 명곡 - 전설을 노래하다 (이선희 2편)
7,2014,17,2014.04.20,2014.04.26,8,얼음들,AKMU (악뮤),PLAY
8,2014,17,2014.04.20,2014.04.26,9,야생화,박효신,야생화
9,2014,17,2014.04.20,2014.04.26,10,견딜만해 (Feat. 효린),매드 클라운 (Mad Clown),표독
10,2014,17,2014.04.20,2014.04.26,11,너 사용법,에디킴,너 사용법
11,2014,17,2014.04.20,2014.04.26,12,그 중에 그대를 만나,이선희,(SERENDIPITY) 30주년 기념앨범
12,2014,17,2014.04.20,2014.04.26,13,인공잔디,AKMU (악뮤),PLAY
13,2014,17,2014.04.20,2014.04.26,14,까탈레나 (Catallena),오렌지 캬라멜 (Orange Caramel),THE THIRD SINGLE CATALLENA
14,2014,17,2014.04.20,2014.04.26,15,썸 (Feat. 릴보이 Of 긱스),"소유 (SOYOU), 정기고",썸
15,2014,17,2014.04.20,2014.04.26,16,지하철에서,AKMU (악뮤),PLAY
16,2014,17,2014.04.20,2014.04.26,17,그런 남자,브로(Bro),그런 남자
17,2014,17,2014.04.20,2014.04.26,18,뜨래요 (Feat. 앙리 Of 3B),배치기,뜨래요
18,2014,17,2014.04.20,2014.04.26,19,작은별,AKMU (악뮤),PLAY
19,2014,17,2014.04.20,2014.04.26,20,흔한 노래,임창정,흔한 노래... 흔한 멜로디...
20,2014,17,2014.04.20,2014.04.26,21,밀당의 고수,에디킴,너 사용법
21,2014,17,2014.04.20,2014.04.26,22,다음날,주니엘 (JUNIEL),다음날
22,2014,17,2014.04.20,2014.04.26,23,요즘 바쁜가봐,투빅 (2BiC),SOUL MATE (소울메이트)
23,2014,17,2014.04.20,2014.04.26,24,Galaxy,AKMU (악뮤),PLAY
24,2014,17,2014.04.20,2014.04.26,25,어이 (Uh-ee),크레용팝 (Crayon Pop),어이 (Uh-ee)
25,2014,17,2014.04.20,2014.04.26,26,안녕,AKMU (악뮤),PLAY
26,2014,17,2014.04.20,2014.04.26,27,길이나,AKMU (악뮤),PLAY
27,2014,17,2014.04.20,2014.04.26,28,Come Back Home,2NE1 (투애니 원),2NE1 NEW ALBUM `CRUSH`
28,2014,17,2014.04.20,2014.04.26,29,오늘 뭐해,포미닛 (4minute),4minute World
29,2014,17,2014.04.20,2014.04.26,30,가르마,AKMU (악뮤),PLAY
30,2014,17,2014.04.20,2014.04.26,31,감아 (Feat. Crush),로꼬 (LOCO),감아
31,2014,17,2014.04.20,2014.04.26,32,메트로놈(METRONOME) (Feat. SIMON Dominic & GRAY),박재범,메트로놈 (METRONOME)
32,2014,17,2014.04.20,2014.04.26,33,자꾸 눈물이 납니다,알리 (ALi),자꾸 눈물이 납니다
33,2014,17,2014.04.20,2014.04.26,34,소재,AKMU (악뮤),PLAY
34,2014,17,2014.04.20,2014.04.26,35,"끊어줄래 (Feat. San E, 태완)",한해,끊어줄래
35,2014,17,2014.04.20,2014.04.26,36,Right here waiting,버나드 박,K팝 스타 시즌3 Special Track
36,2014,17,2014.04.20,2014.04.26,37,Englishman In New York,샘김,K팝 스타 시즌3 TOP2
37,2014,17,2014.04.20,2014.04.26,38,가끔,크러쉬 (CRUSH),가끔
38,2014,17,2014.04.20,2014.04.26,39,벚꽃 엔딩,버스커 버스커 (Busker Busker),버스커 버스커 1집
39,2014,17,2014.04.20,2014.04.26,40,스토커 (Feat. 크루셜스타),매드 클라운 (Mad Clown),표독
40,2014,17,2014.04.20,2014.04.26,41,눈물이 펑펑,김태현 (DICKPUNKS),엔젤아이즈 OST Part 2
41,2014,17,2014.04.20,2014.04.26,42,누나라고 불러,"강민희, 칸토",누나라고 불러
42,2014,17,2014.04.20,2014.04.26,43,Your Love (Feat. LISA),이정,Love Affair
43,2014,17,2014.04.20,2014.04.26,44,살아 봤으면 해,2NE1 (투애니 원),2NE1 NEW ALBUM `CRUSH`
44,2014,17,2014.04.20,2014.04.26,45,Mr.Mr.,소녀시대,The 4th Mini Album “Mr.Mr.”
45,2014,17,2014.04.20,2014.04.26,46,너 아님 안돼,2NE1 (투애니 원),2NE1 NEW ALBUM `CRUSH`
46,2014,17,2014.04.20,2014.04.26,47,야시시,NS Yoon-G,The Way 2..
47,2014,17,2014.04.20,2014.04.26,48,너의 모든 순간,성시경,별에서 온 그대 OST Part 7
48,2014,17,2014.04.20,2014.04.26,49,보름달 (Feat. Lena),선미,Full Moon
49,2014,17,2014.04.20,2014.04.26,50,마녀의 일기,스피카 (SPICA),마녀의 연애 OST Part 1
50,2014,17,2014.04.20,2014.04.26,51,금요일에 만나요 (Feat. 장이정),아이유 (IU),Modern Times - Epilogue
51,2014,17,2014.04.20,2014.04.26,52,서울이 싫어졌어,이천원,2000Won 1st Mini Album
52,2014,17,2014.04.20,2014.04.26,53,Can’t Stop,씨엔블루 (CNBLUE),Can`t Stop
53,2014,17,2014.04.20,2014.04.26,54,"야하게 (Feat. 계범주, 지희필)",뉴챔프 (New Champ),야하게
54,2014,17,2014.04.20,2014.04.26,55,인연 (동녘바람),이선희,사춘기
55,2014,17,2014.04.20,2014.04.26,56,난 별,이소라,8
56,2014,17,2014.04.20,2014.04.26,57,"널 사랑한다, 지운다, 또 운다",신용재,쓰리데이즈 OST Part 3
57,2014,17,2014.04.20,2014.04.26,58,짧은 치마 (Miniskirt),AOA,짧은 치마
58,2014,17,2014.04.20,2014.04.26,59,Something,걸스데이 (Girl`s Day),걸스데이 미니앨범 3집
59,2014,17,2014.04.20,2014.04.26,60,Show Me Your Light,"신지수, 크루셜스타 (Crucial Star)",New Wave Studio (Vol. 4)
60,2014,17,2014.04.20,2014.04.26,61,보고 싶어...운다,린 (LYn),Le Grand Bleu
61,2014,17,2014.04.20,2014.04.26,62,씨스루,권진아,K팝 스타 시즌3 TOP 10 Part 1
62,2014,17,2014.04.20,2014.04.26,63,소원,고유진,소원
63,2014,17,2014.04.20,2014.04.26,64,토닥토닥 (Feat. 아웃사이더),영지,토닥토닥
64,2014,17,2014.04.20,2014.04.26,65,2 Years Apart,에디킴,2 Years Apart
65,2014,17,2014.04.20,2014.04.26,66,사이드미러걸 (Feat. 산체스 of 팬텀),루이,靈感 (영감)
66,2014,17,2014.04.20,2014.04.26,67,그대가 분다,엠씨더맥스 (M.C The Max),UNVEILING
67,2014,17,2014.04.20,2014.04.26,68,그대라구요,정은지,쓰리데이즈 OST Part 2
68,2014,17,2014.04.20,2014.04.26,69,안녕,효린,별에서 온 그대 OST Part 4
69,2014,17,2014.04.20,2014.04.26,70,매일 이별,김연지,매일 이별
70,2014,17,2014.04.20,2014.04.26,71,고마워 내사랑,홍대광,THE SILVER LINING
71,2014,17,2014.04.20,2014.04.26,72,커플 (Feat. 낯선),강성훈,커플
72,2014,17,2014.04.20,2014.04.26,73,노래가 늘었어,에일리 (Ailee),노래가 늘었어
73,2014,17,2014.04.20,2014.04.26,74,썸남썸녀 (Feat. 휘성),"케이윌 (K.will), 마마무 (Mamamoo)",썸남썸녀
74,2014,17,2014.04.20,2014.04.26,75,멘붕 (CL Solo),2NE1 (투애니 원),2NE1 NEW ALBUM `CRUSH`
75,2014,17,2014.04.20,2014.04.26,76,약한 남자,주석,듀스 20주년 헌정앨범
76,2014,17,2014.04.20,2014.04.26,77,거짓말,샘김,K팝 스타 시즌3 TOP2
77,2014,17,2014.04.20,2014.04.26,78,답이 없었어,홍대광,The Silver Lining 답이 없었어
78,2014,17,2014.04.20,2014.04.26,79,2 Years Apart,에디킴,너 사용법
79,2014,17,2014.04.20,2014.04.26,80,Run To You,Lasse Lindh,엔젤아이즈 OST Part 1
80,2014,17,2014.04.20,2014.04.26,81,오늘 같은 눈물이,허각,별에서 온 그대 OST Part 6
81,2014,17,2014.04.20,2014.04.26,82,착해 빠졌어 (Stupid In Love),"소유 (SOYOU), 매드 클라운 (Mad Clown)",착해 빠졌어 (Stupid In Love)
82,2014,17,2014.04.20,2014.04.26,83,Crush,2NE1 (투애니 원),2NE1 NEW ALBUM `CRUSH`
83,2014,17,2014.04.20,2014.04.26,84,It`s over,에디킴,너 사용법
84,2014,17,2014.04.20,2014.04.26,85,끝사랑,김범수,Solista Part 2
