,year,week_num,start_date,end_date,rank,music,singer,album,production,distribution
0,2023,02,2023.01.08,2023.01.14,1,Ditto,NewJeans,NewJeans `OMG`,,
1,2023,02,2023.01.08,2023.01.14,2,OMG,NewJeans,NewJeans `OMG`,,
2,2023,02,2023.01.08,2023.01.14,3,사건의 지평선,윤하,YOUNHA 6th Album Repackage `END THEORY : Final Edition`,,
3,2023,02,2023.01.08,2023.01.14,4,Hype boy,NewJeans,NewJeans 1st EP `New Jeans`,,
4,2023,02,2023.01.08,2023.01.14,5,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE,,
5,2023,02,2023.01.08,2023.01.14,6,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,쇼미더머니 11 Episode 3,,
6,2023,02,2023.01.08,2023.01.14,7,Candy,NCT DREAM,Candy - Winter Special Mini Album,,
7,2023,02,2023.01.08,2023.01.14,8,Attention,NewJeans,NewJeans 1st EP `New Jeans`,,
8,2023,02,2023.01.08,2023.01.14,9,After LIKE,IVE (아이브),After LIKE,,
9,2023,02,2023.01.08,2023.01.14,10,Nxde,(여자)아이들,I love,,
10,2023,02,2023.01.08,2023.01.14,11,LOVE DIVE,IVE (아이브),LOVE DIVE,,
11,2023,02,2023.01.08,2023.01.14,12,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),,
12,2023,02,2023.01.08,2023.01.14,13,마이웨이 (MY WAY) (Prod. R.Tee),"저스디스 (JUSTHIS), 던말릭 (Don Malik), 허성현 (Huh), KHAN, 맥대디 (Mckdaddy), Los",쇼미더머니 11 Episode 1,,
13,2023,02,2023.01.08,2023.01.14,14,Monologue,테이 (Tei),Monologue,,
14,2023,02,2023.01.08,2023.01.14,15,Beautiful Liar,몬스타엑스,REASON,,
15,2023,02,2023.01.08,2023.01.14,16,Cookie,NewJeans,NewJeans 1st EP `New Jeans`,,
16,2023,02,2023.01.08,2023.01.14,17,너의 모든 순간,성시경,별에서 온 그대 OST Part 7,,
17,2023,02,2023.01.08,2023.01.14,18,Shut Down,BLACKPINK,BORN PINK,,
18,2023,02,2023.01.08,2023.01.14,19,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS,,
19,2023,02,2023.01.08,2023.01.14,20,그대를 알고,송하예,그대를 알고,,
20,2023,02,2023.01.08,2023.01.14,21,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,,
21,2023,02,2023.01.08,2023.01.14,22,Dreamers (Feat. FIFA Sound),"정국, 방탄소년단",Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],,
22,2023,02,2023.01.08,2023.01.14,23,WHEN I MOVE,카라 (KARA),MOVE AGAIN,,
23,2023,02,2023.01.08,2023.01.14,24,해요 (2022),#안녕,해요 (2022),,
24,2023,02,2023.01.08,2023.01.14,25,Rush Hour (Feat. j-hope of BTS),크러쉬 (CRUSH),Rush Hour,,
25,2023,02,2023.01.08,2023.01.14,26,사랑인가 봐,멜로망스(Melomance),사랑인가 봐 (사내맞선 OST 스페셜 트랙),,
26,2023,02,2023.01.08,2023.01.14,27,Pink Venom,BLACKPINK,Pink Venom,,
27,2023,02,2023.01.08,2023.01.14,28,VIBE (feat. Jimin of BTS),태양,VIBE,,
28,2023,02,2023.01.08,2023.01.14,29,잘가요,주호,잘가요,,
29,2023,02,2023.01.08,2023.01.14,30,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집,,
30,2023,02,2023.01.08,2023.01.14,31,TOMBOY,(여자)아이들,I NEVER DIE,,
31,2023,02,2023.01.08,2023.01.14,32,Say I Love You,우디(Woody),Say I Love You (Re : WIND 4MEN Vol.04),,
32,2023,02,2023.01.08,2023.01.14,33,그라데이션,10cm,5.3,,
33,2023,02,2023.01.08,2023.01.14,34,그댄 행복에 살텐데 (2022),최유리,그댄 행복에 살텐데 (2022),,
34,2023,02,2023.01.08,2023.01.14,35,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자,,
35,2023,02,2023.01.08,2023.01.14,36,취중고백,김민석,취중고백,,
36,2023,02,2023.01.08,2023.01.14,37,내가 아니라도,주호,내가 아니라도,,
37,2023,02,2023.01.08,2023.01.14,38,나의 X에게,경서,나의 X에게,,
38,2023,02,2023.01.08,2023.01.14,39,딱 10CM만,"10cm, BIG Naughty (서동현)",딱 10CM만,,
39,2023,02,2023.01.08,2023.01.14,40,오르트구름,윤하,YOUNHA 6th Album `END THEORY`,,
40,2023,02,2023.01.08,2023.01.14,41,That`s Hilarious,Charlie Puth,That`s Hilarious,,
41,2023,02,2023.01.08,2023.01.14,42,ELEVEN,IVE (아이브),ELEVEN,,
42,2023,02,2023.01.08,2023.01.14,43,자격지심 (Feat. ZICO),BE`O (비오),FIVE SENSES,,
43,2023,02,2023.01.08,2023.01.14,44,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),,
44,2023,02,2023.01.08,2023.01.14,45,첫사랑,백아,첫사랑,,
45,2023,02,2023.01.08,2023.01.14,46,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,`키스 먼저 할까요?` OST Part 3,,
