,year,week_num,start_date,end_date,rank,music,singer,album,production,distribution
114,2023,15,2023.04.09,2023.04.15,115,떠나보낼 준비해 둘걸 그랬어,임한별,떠나보낼 준비해 둘걸 그랬어,,
115,2023,15,2023.04.09,2023.04.15,116,내 기쁨은 너가 벤틀리를 끄는 거야,김승민,PROTOTYPE RESEARCH #0063,,
116,2023,15,2023.04.09,2023.04.15,117,Love story,볼빨간사춘기,Seoul,,
117,2023,15,2023.04.09,2023.04.15,118,한 페이지가 될 수 있게,DAY6,The Book of Us : Gravity,,
118,2023,15,2023.04.09,2023.04.15,119,우연히 봄,"로꼬 (LOCO), 유주 (YUJU)",냄새를 보는 소녀 OST Part 2,,
119,2023,15,2023.04.09,2023.04.15,120,그대라는 사치,임창정,그대라는 사치,,
120,2023,15,2023.04.09,2023.04.15,121,WHEN I MOVE,카라 (KARA),MOVE AGAIN,,
121,2023,15,2023.04.09,2023.04.15,122,Mine,IVE (아이브),I`ve IVE,,
122,2023,15,2023.04.09,2023.04.15,123,무지개,임영웅,IM HERO,,
123,2023,15,2023.04.09,2023.04.15,124,혼자가 아닌 나,정효빈,혼자가 아닌 나,,
124,2023,15,2023.04.09,2023.04.15,125,Heroine,IVE (아이브),I`ve IVE,,
125,2023,15,2023.04.09,2023.04.15,126,도깨비불 (Illusion),aespa,Girls - The 2nd Mini Album,,
126,2023,15,2023.04.09,2023.04.15,127,섬찟 (Hypnosis),IVE (아이브),I`ve IVE,,
127,2023,15,2023.04.09,2023.04.15,128,Blueming,아이유 (IU),Love poem,,
128,2023,15,2023.04.09,2023.04.15,129,Cupid (Twin Ver.),FIFTY FIFTY,The Beginning: Cupid,,
129,2023,15,2023.04.09,2023.04.15,130,다시 사랑한다면,한동근,다시 사랑한다면,,
130,2023,15,2023.04.09,2023.04.15,131,아버지,임영웅,IM HERO,,
131,2023,15,2023.04.09,2023.04.15,132,너와 함께,김민석,너와 함께,,
132,2023,15,2023.04.09,2023.04.15,133,가장 아름다운 시간이었다,주호,가장 아름다운 시간이었다,,
133,2023,15,2023.04.09,2023.04.15,134,네가 보고 싶은 건 자연스러운 거겠지,신예영,혼잣말 獨白,,
134,2023,15,2023.04.09,2023.04.15,135,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, 정국, 방탄소년단",Left and Right,,
135,2023,15,2023.04.09,2023.04.15,136,바보가슴,"송하예, 한빈 (포맨)",바보가슴,,
136,2023,15,2023.04.09,2023.04.15,137,I`m Not The Only One,Sam Smith,In The Lonely Hour,,
137,2023,15,2023.04.09,2023.04.15,138,드라마,아이유 (IU),조각집,,
138,2023,15,2023.04.09,2023.04.15,139,라일락,아이유 (IU),5th Album `LILAC`,,
139,2023,15,2023.04.09,2023.04.15,140,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,,
140,2023,15,2023.04.09,2023.04.15,141,すずめ / Suzume (Feat. Toaka (토아카/十明)),RADWIMPS,Suzume (스즈메의 문단속/すずめの戸締まり) OST,,
141,2023,15,2023.04.09,2023.04.15,142,All Eyes On Me,지수 (JISOO),ME,,
142,2023,15,2023.04.09,2023.04.15,143,Loving You Girl (Feat. Hkeem),Peder Elias,Loving You Girl,,
143,2023,15,2023.04.09,2023.04.15,144,마이웨이 (MY WAY) (Prod. R.Tee),"저스디스 (JUSTHIS), 던말릭 (Don Malik), 허성현 (Huh), KHAN, 맥대디 (Mckdaddy), Los",쇼미더머니 11 Episode 1,,
144,2023,15,2023.04.09,2023.04.15,145,새벽에 걸려온 너의 전화는,한동근,미련을 말하는,,
145,2023,15,2023.04.09,2023.04.15,146,친구로 지내다 보면 (Feat. 김민석 of 멜로망스),BIG Naughty (서동현),친구로 지내다 보면,,
146,2023,15,2023.04.09,2023.04.15,147,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,,
147,2023,15,2023.04.09,2023.04.15,148,2002,Anne-Marie,Speak Your Mind (Deluxe),,
148,2023,15,2023.04.09,2023.04.15,149,밤편지,아이유 (IU),밤편지,,
149,2023,15,2023.04.09,2023.04.15,150,신호등,이무진,신호등,,
150,2023,15,2023.04.09,2023.04.15,151,"나만, 봄",볼빨간사춘기,사춘기집Ⅰ 꽃기운,,
151,2023,15,2023.04.09,2023.04.15,152,궁금해 (Next Page),IVE (아이브),I`ve IVE,,
152,2023,15,2023.04.09,2023.04.15,153,Shine With Me,IVE (아이브),I`ve IVE,,
153,2023,15,2023.04.09,2023.04.15,154,Cherish,IVE (아이브),I`ve IVE,,
154,2023,15,2023.04.09,2023.04.15,155,SET ME FREE,TWICE,READY TO BE,,
155,2023,15,2023.04.09,2023.04.15,156,Next Level,aespa,Next Level,,
156,2023,15,2023.04.09,2023.04.15,157,The Drum,Alan Walker,The Drum,,
157,2023,15,2023.04.09,2023.04.15,158,Kill Bill,SZA,SOS,,
158,2023,15,2023.04.09,2023.04.15,159,Lemon,Kenshi Yonezu,Lemon,,
159,2023,15,2023.04.09,2023.04.15,160,인생찬가,임영웅,IM HERO,,
160,2023,15,2023.04.09,2023.04.15,161,Love Yourself,Justin Bieber,Purpose (Deluxe Edition),,
161,2023,15,2023.04.09,2023.04.15,162,Vancouver,BIG Naughty (서동현),Lovey Dovey,,
