,year,week_num,start_date,end_date,rank,music,singer,album
0,2016,05,2016.01.24,2016.01.30,1,너는 나 나는 너,지코 (ZICO),Break Up 2 Make Up
1,2016,05,2016.01.24,2016.01.30,2,시간을 달려서 (Rough),여자친구 (GFRIEND),3rd Mini Album `SNOWFLAKE`
2,2016,05,2016.01.24,2016.01.30,3,잊어버리지마 (Feat.태연),크러쉬 (CRUSH),잊어버리지마
3,2016,05,2016.01.24,2016.01.30,4,어디에도,엠씨더맥스 (M.C The Max),pathos
4,2016,05,2016.01.24,2016.01.30,5,사랑이었다 (Feat. 루나 of f(x)),지코 (ZICO),Break Up 2 Make Up
5,2016,05,2016.01.24,2016.01.30,6,Dream,"수지, 백현 (BAEKHYUN)",Dream
6,2016,05,2016.01.24,2016.01.30,7,걱정말아요 그대,이적,응답하라 1988 OST Part 2
7,2016,05,2016.01.24,2016.01.30,8,I Miss You,마마무 (Mamamoo),I Miss You
8,2016,05,2016.01.24,2016.01.30,9,니가 하면 로맨스 (feat.다비치),케이윌 (K.Will),니가 하면 로맨스
9,2016,05,2016.01.24,2016.01.30,10,또 하루 (Feat. 개코),Gary (개리),또 하루
10,2016,05,2016.01.24,2016.01.30,11,OOH-AHH하게,TWICE,THE STORY BEGINS
11,2016,05,2016.01.24,2016.01.30,12,소녀,오혁,응답하라 1988 OST Part 3
12,2016,05,2016.01.24,2016.01.30,13,나 군대 간다,이승기,나 군대 간다
13,2016,05,2016.01.24,2016.01.30,14,청춘 (Feat. 김창완),김필,응답하라 1988 OST Part 1
14,2016,05,2016.01.24,2016.01.30,15,함께,노을,응답하라 1988 OST Part 7
15,2016,05,2016.01.24,2016.01.30,16,어린왕자 (The Little Prince),려욱 (RYEOWOOK),어린왕자 (The Little Prince) - The 1st Mini Album
16,2016,05,2016.01.24,2016.01.30,17,어땠을까,김나영,어땠을까
17,2016,05,2016.01.24,2016.01.30,18,너와 나의 시간은,바닐라 어쿠스틱 (Vanilla Acoustic),치즈인더트랩 OST Part 4
18,2016,05,2016.01.24,2016.01.30,19,유레카 (Feat. Zion.T),지코 (ZICO),GALLERY
19,2016,05,2016.01.24,2016.01.30,20,혜화동 (혹은 쌍문동),박보람,응답하라 1988 OST Part 4
20,2016,05,2016.01.24,2016.01.30,21,괜찮다가도,엠씨더맥스 (M.C The Max),pathos
21,2016,05,2016.01.24,2016.01.30,22,또 다시 사랑,임창정,또 다시 사랑
22,2016,05,2016.01.24,2016.01.30,23,세월이 가면,기현(Kihyun),응답하라 1988 OST Part 9
23,2016,05,2016.01.24,2016.01.30,24,DADDY (Feat. CL of 2NE1),싸이 (Psy),칠집싸이다
24,2016,05,2016.01.24,2016.01.30,25,오늘부터 우리는 (Me gustas tu),여자친구 (GFRIEND),2nd Mini Album `Flower Bud`
25,2016,05,2016.01.24,2016.01.30,26,Boys And Girls (Feat. Babylon),지코 (ZICO),Boys And Girls
26,2016,05,2016.01.24,2016.01.30,27,Hello,Adele,Hello
27,2016,05,2016.01.24,2016.01.30,28,어김없이,엠씨더맥스 (M.C The Max),pathos
28,2016,05,2016.01.24,2016.01.30,29,아스라이,엠씨더맥스 (M.C The Max),pathos
29,2016,05,2016.01.24,2016.01.30,30,나팔바지,싸이 (Psy),칠집싸이다
30,2016,05,2016.01.24,2016.01.30,31,UUU,정인,rare
31,2016,05,2016.01.24,2016.01.30,32,네게 줄 수 있는건 오직 사랑뿐,디셈버 (December),응답하라 1988 OST Part 5
32,2016,05,2016.01.24,2016.01.30,33,이젠 잊기로 해요,여은 (멜로디데이),응답하라 1988 OST Part 10
33,2016,05,2016.01.24,2016.01.30,34,우주를 건너,백예린,FRANK
34,2016,05,2016.01.24,2016.01.30,35,서프라이즈 (Feat. Beenzino),범키,U-TURN
35,2016,05,2016.01.24,2016.01.30,36,사랑이 맞을거야,윤미래 (T),사랑이 맞을거야
36,2016,05,2016.01.24,2016.01.30,37,Ah-Choo,러블리즈,Lovelyz8
37,2016,05,2016.01.24,2016.01.30,38,친구라도 될 걸 그랬어,거미,Like Them
38,2016,05,2016.01.24,2016.01.30,39,HOT PINK,EXID,HOT PINK
39,2016,05,2016.01.24,2016.01.30,40,선 (Feat.우효) (45.7cm),유승우,선 (45.7cm)
40,2016,05,2016.01.24,2016.01.30,41,"what2do (Feat. Crush, Jeff Bernat)",DEAN,what2do
41,2016,05,2016.01.24,2016.01.30,42,취향저격,iKON,WELCOME BACK
42,2016,05,2016.01.24,2016.01.30,43,스물셋,아이유 (IU),CHAT-SHIRE
43,2016,05,2016.01.24,2016.01.30,44,I (Feat. 버벌진트),태연 (TAEYEON),I - The 1st Mini Album
44,2016,05,2016.01.24,2016.01.30,45,못먹는 감 (Sour Grapes),"산이 (San E), 매드 클라운(Mad Clown)",못먹는 감
45,2016,05,2016.01.24,2016.01.30,46,pale blue note,엠씨더맥스 (M.C The Max),pathos
46,2016,05,2016.01.24,2016.01.30,47,매일 그대와,소진 (걸스데이),응답하라 1988 OST Part 8
47,2016,05,2016.01.24,2016.01.30,48,덤앤더머 (DUMB & DUMBER),iKON,WELCOME BACK
48,2016,05,2016.01.24,2016.01.30,49,Sing For You,EXO,"SING FOR YOU - 겨울 스페셜 앨범, 2015"
49,2016,05,2016.01.24,2016.01.30,50,다시 (Feat. 유재석),터보,AGAIN (다시)
50,2016,05,2016.01.24,2016.01.30,51,사이다,예지 (피에스타),Foresight Dream
51,2016,05,2016.01.24,2016.01.30,52,사랑별 (Luv Star),여자친구 (GFRIEND),3rd Mini Album `SNOWFLAKE`
52,2016,05,2016.01.24,2016.01.30,53,TRUST,여자친구 (GFRIEND),3rd Mini Album `SNOWFLAKE`
53,2016,05,2016.01.24,2016.01.30,54,회상,장범준,시그널 OST Part 1
54,2016,05,2016.01.24,2016.01.30,55,No Make Up,자이언티(Zion.T),No Make Up
55,2016,05,2016.01.24,2016.01.30,56,아마도 그건,"크러쉬 (CRUSH), 로꼬(LOCO)",투유 프로젝트 - 슈가맨 Part 3
56,2016,05,2016.01.24,2016.01.30,57,당신의 지갑에는 얼마의 사랑이 있나요.,박유천,당신의 지갑에는 얼마의 사랑이 있나요.
57,2016,05,2016.01.24,2016.01.30,58,잘 지내고 있니,"윤미래 (T), 펀치 (Punch)",잘 지내고 있니
58,2016,05,2016.01.24,2016.01.30,59,유복하게 살았는데,정진우,K팝 스타 시즌5 Part.6
59,2016,05,2016.01.24,2016.01.30,60,이 밤이 지나기 전에,엠씨더맥스 (M.C The Max),pathos
60,2016,05,2016.01.24,2016.01.30,61,Better Man (Feat. 타블로),범키,Better Man
61,2016,05,2016.01.24,2016.01.30,62,화이트 (WHITE) (Feat. 박재범),다비치,D-MAKE
62,2016,05,2016.01.24,2016.01.30,63,"1991年, 찬바람이 불던 밤....",박효신,The Breeze Of Sea
63,2016,05,2016.01.24,2016.01.30,64,심쿵해 (Heart Attack),AOA,Heart Attack
64,2016,05,2016.01.24,2016.01.30,65,바람이나 좀 쐐 (Feat. MIWOO),Gary (개리),2002
65,2016,05,2016.01.24,2016.01.30,66,I`m Not The Only One,Sam Smith,In The Lonely Hour
66,2016,05,2016.01.24,2016.01.30,67,그 집 앞 (Feat. 김진호 of SG워너비),베이식(Basick),그 집 앞
67,2016,05,2016.01.24,2016.01.30,68,겁 (Feat. 태양),MINO (송민호),쇼미더머니 4 Episode 5
68,2016,05,2016.01.24,2016.01.30,69,불공평해 (Unfair),EXO,"SING FOR YOU - 겨울 스페셜 앨범, 2015"
69,2016,05,2016.01.24,2016.01.30,70,Always,엠씨더맥스 (M.C The Max),pathos
