,music,singer,music_id,release_date,category,music_like,comment_count
85,추위,"정인,윤종신",30810653,2017.12.28,발라드,8028,50
86,헤어질 수 밖에,김나영,30675647,2017.10.20,발라드,47544,93
87,너였다면,정승환,8203900,2016.05.31,"발라드, 국내드라마",234404,364
88,#첫사랑,볼빨간사춘기,30163110,2016.12.21,"인디음악, 포크/블루스",226648,292
89,사랑한다 말해도,김동률,30833272,2018.01.11,발라드,45189,277
90,Tell Me,인피니트,30824600,2018.01.08,댄스,65977,1486
91,비밀정원,오마이걸,30827192,2018.01.09,댄스,159474,2839
92,떠나지마요,블락비,30824538,2018.01.08,발라드,43807,975
93,Moonlight,김동률,30833271,2018.01.11,발라드,6208,56
94,Contact,김동률,30833274,2018.01.11,발라드,9553,129
95,연극,김동률,30833273,2018.01.11,발라드,5333,125
96,하루 일과,자이언티,30832280,2018.01.11,"R&B/Soul, 국내드라마",18069,39
97,HandClap,Fitz&TheTantrums,8111603,2017.07.24,POP,196757,492
98,물감,문문,30381221,2017.04.24,"인디음악, 포크/블루스",72944,204
99,주인공,선미,30838076,2018.01.18,댄스,112232,918
100,Roller Coaster,청하,30844118,2018.01.17,댄스,188085,1219
101,꽃이야,JBJ,30844817,2018.01.17,댄스,41122,432
102,뿜뿜,모모랜드,30816860,2018.01.03,댄스,150306,1428
103,네 옆에 있을게,멜로망스,30836995,2018.01.13,"발라드, 국내드라마",16717,30
104,Best Of Me,방탄소년단,30637983,2017.09.18,랩/힙합,190601,1770
105,다른사람을 사랑하고 있어,수지,30851703,2018.01.29,발라드,86093,830
106,빛이 나,종현,30853153,2018.01.23,댄스,65933,1639
107,사랑을 했다,iKON,30859584,2018.01.25,랩/힙합,330206,5293
108,너 없는 시간들,다비치,30859636,2018.01.25,발라드,67890,305
109,환상통,종현,30853154,2018.01.23,댄스,32488,299
110,우린 봄이 오기 전에,종현,30853163,2018.01.23,발라드,52179,1597
111,와플,종현,30853155,2018.01.23,R&B/Soul,27680,358
112,You,멜로망스,30849733,2018.01.22,발라드,184076,445
113,LONG TIME NO SEE,iKON,30859595,2018.01.25,랩/힙합,53436,803
114,BABY IT`S U,정세운,30857381,2018.01.24,R&B/Soul,26597,228
115,기름때,종현,30853156,2018.01.23,R&B/Soul,21003,137
116,Take The Dive,종현,30853157,2018.01.23,R&B/Soul,24077,292
117,사람 구경 중,종현,30853158,2018.01.23,댄스,20371,133
118,어떤 기분이 들까,종현,30853161,2018.01.23,R&B/Soul,21126,124
119,Bad Boy,레드벨벳,30864993,2018.01.29,댄스,190679,2114
