,music,singer,music_id,release_date,category,music_like,comment_count
0,당신의 밤,황광희X개코,30179089,2016.12.31,랩/힙합,120457,570
1,오랜 날 오랜 밤,AKMU,30181278,2017.01.03,포크/블루스,225488,490
2,쏘아,하하XMINO,30179088,2016.12.31,랩/힙합,43433,260
3,TOUCH,신화,30178626,2017.01.02,댄스,17077,108
4,I Miss You,소유,30177818,2016.12.31,"발라드, 국내드라마",127880,190
5,처럼,유재석X도끼,30157753,2016.12.17,"발라드, R&B/Soul, 국내드라마",235079,353
6,에라 모르겠다,BIGBANG,30147445,2016.12.13,랩/힙합,179615,711
7,첫 눈,정준일,30178900,2017.01.01,"발라드, 국내드라마",109507,133
8,좋다고 말해,볼빨간사춘기,30163110,2016.12.21,"인디음악, 포크/블루스",226642,292
9,만세,양세형XBewhY,30179092,2016.12.31,랩/힙합,31651,201
10,지칠 때면,정준하XZICO,30179093,2016.12.31,랩/힙합,32189,317
11,이쁘다니까,에디킴,30169608,2016.12.24,"발라드, 국내드라마",102199,91
12,Stay With Me,"찬열,펀치",30132687,2016.12.03,"발라드, 랩/힙합, 국내드라마",214642,575
13,Who are you,샘김,30169383,2016.12.25,"발라드, 국내드라마",106346,231
14,독도리,박명수X딘딘,30179091,2016.12.31,랩/힙합,22702,287
15,리얼리티,AKMU,30181277,2017.01.03,포크/블루스,40041,145
16,LAST DANCE,BIGBANG,30147446,2016.12.13,발라드,172710,928
17,첫눈처럼 너에게 가겠다,에일리,30190630,2017.01.07,"발라드, 국내드라마",349954,1103
18,저 별,헤이즈,30132701,2016.12.05,R&B/Soul,159885,200
19,Decalcomanie,마마무,30079086,2016.11.07,댄스,152429,534
20,TT,TWICE,30054344,2016.10.24,댄스,185900,1077
21,내 눈에만 보여,10cm,30143498,2016.12.10,"포크/블루스, 국내드라마",58831,46
22,그때 그 아이들은,AKMU,30181283,2017.01.03,발라드,70795,326
23,집에 돌아오는 길,AKMU,30181282,2017.01.03,발라드,34683,173
24,Hush,LasseLindh,30143605,2016.12.11,국내드라마,93725,161
25,우주를 줄게,볼빨간사춘기,9620469,2016.08.29,"인디음악, 포크/블루스",288620,590
26,못생긴 척,AKMU,30181279,2017.01.03,록/메탈,27497,157
27,생방송,AKMU,30181276,2017.01.03,발라드,17805,45
28,Excuse Me,AOA,30179099,2017.01.02,댄스,41741,445
29,불장난,BLACKPINK,30069773,2016.11.01,댄스,199581,473
30,나만 안되는 연애,볼빨간사춘기,9620473,2016.08.29,"인디음악, 포크/블루스",207664,323
31,이 바보야,정승환,30120986,2016.11.29,발라드,135030,261
32,GIRLFRIEND,BIGBANG,30147447,2016.12.13,랩/힙합,65683,305
33,CHOCOLADY,AKMU,30181280,2017.01.03,록/메탈,17718,72
34,나비잠,"희철,민경훈",30181281,2017.01.03,록/메탈,12944,54
35,꽃길,세정,30105590,2016.11.23,발라드,170251,624
36,City Of Stars,RyanGosling&EmmaStone,9614761,2016.08.24,발라드,200039,207
37,BERMUDA TRIANGLE,지코,30113165,2016.11.28,랩/힙합,113290,398
38,이 소설의 끝을 다시 써보려 해,한동근,5398990,2014.09.30,발라드,235268,170
39,너무너무너무,아이오아이,30040810,2016.10.17,댄스,110122,573
40,11:11,태연,30072072,2016.11.01,발라드,204377,741
41,돌아오지마,헤이즈,8143111,2016.04.14,랩/힙합,187458,205
42,All I Wanna Do,박재범,30049271,2016.10.20,R&B/Soul,231799,518
43,Remember,SES,30179100,2017.01.02,댄스,10886,77
44,너에게 닿기를,우주소녀,30183424,2017.01.04,댄스,62314,328
45,내가 저지른 사랑,임창정,9631530,2016.09.06,발라드,237721,421
46,널 사랑하지 않아,어반자카파,8199190,2016.05.27,발라드,205908,205
47,러시안 룰렛,레드벨벳,9634954,2016.09.07,댄스,176385,812
48,피 땀 눈물,방탄소년단,30029173,2016.10.10,랩/힙합,275082,2202
49,바람꽃,이선희,30153027,2016.12.15,"발라드, 국내드라마",23293,59
50,너였다면,정승환,8203900,2016.05.31,"발라드, 국내드라마",234400,364
51,숨,박효신,30011624,2016.10.03,발라드,218133,770
52,어디선가 언젠가,성시경,30139562,2016.12.08,"발라드, 국내드라마",28942,54
53,You,볼빨간사춘기,9620471,2016.08.29,"인디음악, 포크/블루스",124254,212
54,널 미워하지 않길,김나영,30177184,2016.12.30,발라드,21894,34
55,For Life,EXO,30157820,2016.12.19,발라드,101604,627
56,CHEER UP,TWICE,8158031,2016.04.25,댄스,209768,931
57,봄의 나라 이야기,에이프릴,30183395,2017.01.04,댄스,65864,635
58,심술,볼빨간사춘기,8155478,2016.04.22,"인디음악, 포크/블루스",150833,166
59,D,DEAN,8304594,2016.08.08,랩/힙합,159738,328
60,거짓말,매드클라운,30115011,2016.11.25,랩/힙합,47692,131
61,술 한잔해요 오늘,지아,30126870,2016.12.01,발라드,31427,56
62,내 옆에 그대인 걸,다비치,30035555,2016.10.13,발라드,61888,63
63,그대라는 세상,윤미래,30113197,2016.11.24,"발라드, 국내드라마",23194,25
64,목요일 밤,어반자카파,9613173,2016.08.25,R&B/Soul,135041,237
65,남아있어,로꼬,30063772,2016.11.04,랩/힙합,88374,172
66,Day Day,비와이,8261338,2016.07.09,랩/힙합,120021,165
67,그대의 마음,백지영,30175685,2016.12.30,발라드,6460,20
68,어떻게 지내,크러쉬,30038185,2016.10.14,R&B/Soul,157763,346
69,A Lovely Night,RyanGosling&EmmaStone,30141734,2016.12.09,국외영화,37582,43
70,And July,헤이즈,8271355,2016.07.18,랩/힙합,182697,611
71,소원,어반자카파,30191370,2017.01.08,"발라드, 국내드라마",51118,53
72,어디에도,엠씨더맥스,8033528,2016.01.28,발라드,239429,704
73,널 너무 사랑해서,MC몽,30072075,2016.11.02,랩/힙합,45364,346
74,Another Day Of Sun,LaLaLandCast,30180728,2017.01.03,"발라드, 국내드라마",13176,31
75,끝,권진아,9646572,2016.09.19,발라드,146371,281
76,나홀로 집에,라비,30182905,2017.01.09,랩/힙합,13580,75
77,죽어도 너야,"V,진",30159661,2016.12.20,"댄스, 국내드라마",98007,718
78,구르미 그린 달빛,거미,9629220,2016.09.06,"발라드, 국내드라마",77565,72
79,I`m Not The Only One,SamSmith,81013,1998.10.03,댄스,66511,95
80,안아줘,정준일,3620493,2011.11.23,"인디음악, 록/메탈",229693,236
81,Monster,EXO,8217164,2016.06.09,댄스,154711,512
82,puzzle,"씨잼,비와이",9609354,2016.08.23,발라드,77077,54
83,이별을 배웠어,"임슬옹,조이",30076504,2016.11.04,발라드,74602,159
84,드림,볼빨간사춘기,30170902,2016.12.27,"발라드, 국내드라마",15985,49
85,너 그리고 나,여자친구,8262125,2016.07.11,댄스,120321,958
86,Love Story,린,30099861,2016.11.17,"발라드, 국내드라마",20183,30
