,year,week_num,start_date,end_date,rank,music,singer,album,production,distribution
104,2023,16,2023.04.16,2023.04.22,105,밤하늘의 별을(2020),경서,밤하늘의 별을(2020),,
105,2023,16,2023.04.16,2023.04.22,106,그댄 행복에 살텐데 (2022),최유리,그댄 행복에 살텐데 (2022),,
106,2023,16,2023.04.16,2023.04.22,107,Kiss,NCT 도재정,Perfume - The 1st Mini Album,,
107,2023,16,2023.04.16,2023.04.22,108,첫사랑,백아,첫사랑,,
108,2023,16,2023.04.16,2023.04.22,109,마지막 사랑,신예영,마지막 사랑,,
109,2023,16,2023.04.16,2023.04.22,110,후유증 (Can We Go Back),NCT 도재정,Perfume - The 1st Mini Album,,
110,2023,16,2023.04.16,2023.04.22,111,Permission to Dance,방탄소년단,Butter / Permission to Dance,,
111,2023,16,2023.04.16,2023.04.22,112,Feel My Rhythm,레드벨벳(Red Velvet),`The ReVe Festival 2022 - Feel My Rhythm`,,
112,2023,16,2023.04.16,2023.04.22,113,한 페이지가 될 수 있게,DAY6,The Book of Us : Gravity,,
113,2023,16,2023.04.16,2023.04.22,114,Love story,볼빨간사춘기,Seoul,,
114,2023,16,2023.04.16,2023.04.22,115,자격지심 (Feat. ZICO),BE`O (비오),FIVE SENSES,,
115,2023,16,2023.04.16,2023.04.22,116,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life),,
116,2023,16,2023.04.16,2023.04.22,117,보고싶었어,WSG워너비 (4FIRE),WSG워너비 1집,,
117,2023,16,2023.04.16,2023.04.22,118,떠나보낼 준비해 둘걸 그랬어,임한별,떠나보낼 준비해 둘걸 그랬어,,
118,2023,16,2023.04.16,2023.04.22,119,내 기쁨은 너가 벤틀리를 끄는 거야,김승민,PROTOTYPE RESEARCH #0063,,
119,2023,16,2023.04.16,2023.04.22,120,다시 사랑한다면 (니글니글 버터플라이),김필,복면가왕 47회,,
120,2023,16,2023.04.16,2023.04.22,121,Lips,IVE (아이브),I`ve IVE,,
121,2023,16,2023.04.16,2023.04.22,122,아모르 파티,이홍기,아모르 파티,,
122,2023,16,2023.04.16,2023.04.22,123,무지개,임영웅,IM HERO,,
123,2023,16,2023.04.16,2023.04.22,124,That That (prod. & feat. SUGA of BTS),싸이 (Psy),싸다9,,
124,2023,16,2023.04.16,2023.04.22,125,WHEN I MOVE,카라 (KARA),MOVE AGAIN,,
125,2023,16,2023.04.16,2023.04.22,126,아버지,임영웅,IM HERO,,
126,2023,16,2023.04.16,2023.04.22,127,도깨비불 (Illusion),aespa,Girls - The 2nd Mini Album,,
127,2023,16,2023.04.16,2023.04.22,128,벚꽃 엔딩,버스커 버스커 (Busker Busker),버스커 버스커 1집,,
128,2023,16,2023.04.16,2023.04.22,129,D N D,에이핑크(Apink),SELF,,
129,2023,16,2023.04.16,2023.04.22,130,I`m Not The Only One,Sam Smith,In The Lonely Hour,,
130,2023,16,2023.04.16,2023.04.22,131,Dive,NCT 도재정,Perfume - The 1st Mini Album,,
131,2023,16,2023.04.16,2023.04.22,132,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, 정국, 방탄소년단",Left and Right,,
132,2023,16,2023.04.16,2023.04.22,133,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,,
133,2023,16,2023.04.16,2023.04.22,134,드라마,아이유 (IU),조각집,,
134,2023,16,2023.04.16,2023.04.22,135,Blueming,아이유 (IU),Love poem,,
