,year,week_num,start_date,end_date,rank,music,singer,album,production,distribution
0,2023,10,2023.03.05,2023.03.11,1,Ditto,NewJeans,NewJeans `OMG`,,
1,2023,10,2023.03.05,2023.03.11,2,OMG,NewJeans,NewJeans `OMG`,,
2,2023,10,2023.03.05,2023.03.11,3,Hype boy,NewJeans,NewJeans 1st EP `New Jeans`,,
3,2023,10,2023.03.05,2023.03.11,4,Teddy Bear,STAYC(스테이씨),Teddy Bear,,
4,2023,10,2023.03.05,2023.03.11,5,사건의 지평선,윤하,YOUNHA 6th Album Repackage `END THEORY : Final Edition`,,
5,2023,10,2023.03.05,2023.03.11,6,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album `SECOND WIND`,,
6,2023,10,2023.03.05,2023.03.11,7,O (Circle),온유 (ONEW),Circle - The 1st Album,,
7,2023,10,2023.03.05,2023.03.11,8,Attention,NewJeans,NewJeans 1st EP `New Jeans`,,
8,2023,10,2023.03.05,2023.03.11,9,사랑하기 싫어,지아 (Zia),사랑하기 싫어,,
9,2023,10,2023.03.05,2023.03.11,10,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE,,
10,2023,10,2023.03.05,2023.03.11,11,After LIKE,IVE (아이브),After LIKE,,
11,2023,10,2023.03.05,2023.03.11,12,심(心),DK,심(心),,
12,2023,10,2023.03.05,2023.03.11,13,I Don`t Think That I Like Her,Charlie Puth,CHARLIE,,
13,2023,10,2023.03.05,2023.03.11,14,VIBE (feat. Jimin of BTS),태양,VIBE,,
14,2023,10,2023.03.05,2023.03.11,15,LOVE DIVE,IVE (아이브),LOVE DIVE,,
15,2023,10,2023.03.05,2023.03.11,16,Candy,NCT DREAM,Candy - Winter Special Mini Album,,
16,2023,10,2023.03.05,2023.03.11,17,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY,H1-KEY 1st Mini Album [Rose Blossom],,
17,2023,10,2023.03.05,2023.03.11,18,사랑인가 봐,멜로망스(Melomance),사랑인가 봐 (사내맞선 OST 스페셜 트랙),,
18,2023,10,2023.03.05,2023.03.11,19,나비무덤,포맨 (4MEN),나비무덤,,
19,2023,10,2023.03.05,2023.03.11,20,Dangerously,Charlie Puth,Nine Track Mind (Deluxe),,
20,2023,10,2023.03.05,2023.03.11,21,너의 모든 순간,성시경,별에서 온 그대 OST Part 7,,
21,2023,10,2023.03.05,2023.03.11,22,Monologue,테이 (Tei),Monologue,,
22,2023,10,2023.03.05,2023.03.11,23,Nxde,(여자)아이들,I love,,
23,2023,10,2023.03.05,2023.03.11,24,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),,
24,2023,10,2023.03.05,2023.03.11,25,That`s Hilarious,Charlie Puth,That`s Hilarious,,
25,2023,10,2023.03.05,2023.03.11,26,Unholy,"Sam Smith, Kim Petras",Unholy,,
26,2023,10,2023.03.05,2023.03.11,27,Poppy (Korean Ver.),STAYC(스테이씨),Teddy Bear,,
27,2023,10,2023.03.05,2023.03.11,28,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,,
28,2023,10,2023.03.05,2023.03.11,29,Cookie,NewJeans,NewJeans 1st EP `New Jeans`,,
29,2023,10,2023.03.05,2023.03.11,30,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,쇼미더머니 11 Episode 3,,
30,2023,10,2023.03.05,2023.03.11,31,취중고백,김민석,취중고백,,
31,2023,10,2023.03.05,2023.03.11,32,Stay,"The Kid LAROI, Justin Bieber",Stay,,
32,2023,10,2023.03.05,2023.03.11,33,Rush Hour (Feat. j-hope of BTS),크러쉬 (CRUSH),Rush Hour,,
33,2023,10,2023.03.05,2023.03.11,34,해요 (2022),#안녕,해요 (2022),,
34,2023,10,2023.03.05,2023.03.11,35,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS,,
35,2023,10,2023.03.05,2023.03.11,36,오르트구름,윤하,YOUNHA 6th Album `END THEORY`,,
36,2023,10,2023.03.05,2023.03.11,37,Shut Down,BLACKPINK,BORN PINK,,
37,2023,10,2023.03.05,2023.03.11,38,Say I Love You,우디(Woody),Say I Love You (Re : WIND 4MEN Vol.04),,
38,2023,10,2023.03.05,2023.03.11,39,그라데이션,10cm,5.3,,
39,2023,10,2023.03.05,2023.03.11,40,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집,,
40,2023,10,2023.03.05,2023.03.11,41,NIGHT DANCER,imase,NIGHT DANCER,,
41,2023,10,2023.03.05,2023.03.11,42,on the street (with J. Cole),"j-hope, J. Cole",on the street (with J. Cole),,
42,2023,10,2023.03.05,2023.03.11,43,Pink Venom,BLACKPINK,Pink Venom,,
43,2023,10,2023.03.05,2023.03.11,44,내가 아니라도,주호,내가 아니라도,,
44,2023,10,2023.03.05,2023.03.11,45,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자,,
45,2023,10,2023.03.05,2023.03.11,46,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),,
46,2023,10,2023.03.05,2023.03.11,47,TOMBOY,(여자)아이들,I NEVER DIE,,
47,2023,10,2023.03.05,2023.03.11,48,나의 X에게,경서,나의 X에게,,
48,2023,10,2023.03.05,2023.03.11,49,Sugar Rush Ride,투모로우바이투게더,이름의 장: TEMPTATION,,
49,2023,10,2023.03.05,2023.03.11,50,마지막 사랑,신예영,마지막 사랑,,
50,2023,10,2023.03.05,2023.03.11,51,London Boy,임영웅,Polaroid,,
51,2023,10,2023.03.05,2023.03.11,52,사랑이라 믿었던 것들은 (Feat. 이수현),BIG Naughty (서동현),호프리스 로맨틱,,
52,2023,10,2023.03.05,2023.03.11,53,그댄 행복에 살텐데 (2022),최유리,그댄 행복에 살텐데 (2022),,
53,2023,10,2023.03.05,2023.03.11,54,너와 함께,김민석,너와 함께,,
54,2023,10,2023.03.05,2023.03.11,55,그대를 알고,송하예,그대를 알고,,
55,2023,10,2023.03.05,2023.03.11,56,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,`키스 먼저 할까요?` OST Part 3,,
56,2023,10,2023.03.05,2023.03.11,57,ELEVEN,IVE (아이브),ELEVEN,,
57,2023,10,2023.03.05,2023.03.11,58,Polaroid,임영웅,Polaroid,,
58,2023,10,2023.03.05,2023.03.11,59,CHRISTIAN,Zior Park,WHERE DOES SASQUATCH LIVE? PART 1,,
59,2023,10,2023.03.05,2023.03.11,60,딱 10CM만,"10cm, BIG Naughty (서동현)",딱 10CM만,,
60,2023,10,2023.03.05,2023.03.11,61,잘가요,주호,잘가요,,
61,2023,10,2023.03.05,2023.03.11,62,네가 보고 싶은 건 자연스러운 거겠지,신예영,혼잣말 獨白,,
62,2023,10,2023.03.05,2023.03.11,63,Dreamers (Feat. FIFA Sound),"정국, 방탄소년단",Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],,
63,2023,10,2023.03.05,2023.03.11,64,WHEN I MOVE,카라 (KARA),MOVE AGAIN,,
64,2023,10,2023.03.05,2023.03.11,65,LOVE me,BE`O (비오),LOVE me,,
65,2023,10,2023.03.05,2023.03.11,66,자격지심 (Feat. ZICO),BE`O (비오),FIVE SENSES,,
66,2023,10,2023.03.05,2023.03.11,67,우리들의 블루스,임영웅,IM HERO,,
