music,singer,release_date,category,music_like,movie_like,movie_views
자격지심,BE`O (비오),2022.09.29,랩/힙합,84255,766,71167
TOMBOY,(여자)아이들 (여자),2022.03.14,록/메탈,235197,3023,357031
그대를 알고,송하예,2022.12.13,발라드,36886,52,4839
Dreamers,"정국, 방탄소년단",2022.11.20,POP,113936,1600,52857
마이웨이,"저스디스, 던말릭, 허성현, KHAN, 맥대디, Los (JUSTHIS)",2022.12.03,랩/힙합,81684,,
미운오리새끼,허성현 (Huh),2022.12.24,랩/힙합,31368,,
그때 그 순간 그대로,WSG워너비 (가야G),2022.07.09,발라드,128488,737,119863
FEARLESS,LE SSERAFIM (르세라핌),2022.05.02,댄스,108437,2127,182676
Nostalgia,우디 (Woody),2023.03.06,일렉트로니카,37740,,
나비무덤,포맨 (4MEN),2023.03.01,발라드,18574,16,2568
꽃,지수 (JISOO),2023.03.31,댄스,91185,1591,128521
Love Me Like This,NMIXX,2023.03.20,댄스,43206,580,26015
Like Crazy,지민,2023.03.24,댄스,57916,3956,45745
Kitsch,IVE (아이브),2023.04.10,댄스,115188,2949,208641
사랑은 늘 도망가,임영웅,2021.10.11,"발라드, 국내드라마",193715,18528,252135
사랑하기 싫어,지아 (Zia),2023.02.24,발라드,31967,,
Set Me Free Pt.2,지민,2023.03.17,랩/힙합,50743,4688,34262
NIGHT DANCER,imase,2022.08.19,J-POP,78881,,
That`s Hilarious,Charlie Puth,2022.10.07,POP,159567,,
Dangerously,Charlie Puth,2016.11.11,POP,155599,1053,23934
CHRISTIAN,Zior Park,2023.02.16,록/메탈,67152,,
심(心),DK,2023.02.19,록/메탈,39911,,
I Don`t Think That I Like Her,Charlie Puth,2022.10.07,POP,157920,,
Monologue,테이 (Tei),2022.09.18,발라드,82844,,
ANTIFRAGILE,LE SSERAFIM (르세라핌),2022.10.17,댄스,158975,2257,187407
NOT SORRY,이영지,2022.12.17,랩/힙합,94129,,
Nxde,(여자)아이들,2022.10.17,댄스,157654,2383,268986
