music,singer,release_date,category,music_like,movie_like,movie_views
LOVE DIVE,IVE (아이브),2022.04.05,댄스,233762,4630,584371
봄여름가을겨울,BIGBANG (빅뱅),2022.04.05,록/메탈,295924,5102,239464
우리들의 블루스,임영웅,2022.05.02,발라드,91253,17647,144774
취중고백,김민석,2021.12.19,발라드,164313,,
GANADARA,박재범,2022.03.11,R&B/Soul,131869,1573,129568
Feel My Rhythm,레드벨벳(Red Velvet) (Red Velvet),2022.03.21,댄스,150053,1058,147702
TOMBOY,(여자)아이들 (여자),2022.03.14,록/메탈,235198,3023,357031
With you,"지민, 하성운",2022.04.24,"발라드, 국내드라마",72073,2300,22206
듣고 싶을까,MSG워너비(M.O.M) (M.O.M),2022.02.26,발라드,88397,794,48289
사랑은 늘 도망가,임영웅,2021.10.11,"발라드, 국내드라마",193715,18528,252135
INVU,태연 (TAEYEON),2022.02.14,댄스,137581,1869,213571
LOVE me,BE`O (비오),2022.04.12,랩/힙합,140615,1019,84759
사랑해 진짜,임영웅,2022.05.02,포크/블루스,47881,,
아버지,임영웅,2022.05.02,발라드,50984,,
다시 만날 수 있을까,임영웅,2022.05.02,발라드,73746,15009,126321
Dangerously,Charlie Puth,2016.11.11,POP,155602,1053,23934
약속 [約束],김호중,2022.07.27,"클래식, 크로스오버",17402,6772,176429
주마등,김호중,2022.07.27,발라드,17671,5164,156983
Bad Decisions,"benny blanco, 방탄소년단, Snoop Dogg",2022.08.05,POP,46029,,
Somebody!,"로꼬, 화사(Hwa Sa) (LOCO)",2022.07.25,댄스,24028,52,6389
I Ain`t Worried,OneRepublic,2022.05.13,"록/메탈, 국외영화",47570,,
사랑이야,케이시 (Kassy),2022.07.22,발라드,24501,,
Sparkling,청하,2022.07.11,댄스,26884,283,47916
BEAUTIFUL MONSTER,STAYC(스테이씨) (스테이씨),2022.07.19,댄스,48680,662,49880
눈을 감으면,WSG워너비,2022.08.06,발라드,19442,344,18420
바보에게 바보가,이석훈,2022.07.11,발라드,36585,,
CASE 143,Stray Kids (스트레이 키즈),2022.10.07,랩/힙합,41382,756,18170
질주,NCT 127,2022.09.16,댄스,59792,1711,34568
LAW,"윤미래, 비비(BIBI) (BIBI)",2022.09.06,랩/힙합,44034,,
NOT SORRY,이영지,2022.12.17,랩/힙합,94130,,
Ditto,NewJeans,2022.12.19,댄스,253156,2692,178001
Candy,NCT DREAM,2022.12.16,댄스,148032,596,22309
마이웨이,"저스디스, 던말릭, 허성현, KHAN, 맥대디, Los (JUSTHIS)",2022.12.03,랩/힙합,81688,,
Unholy,"Sam Smith, Kim Petras",2022.09.22,POP,50524,,
Made You Look,Meghan Trainor,2022.10.21,POP,32912,,
BINGO,잠비노 (Jambino),2022.12.17,랩/힙합,13661,,
고백연습,경서,2022.10.30,발라드,32625,234,16985
"Holiday, 기리보이",Blase (블라세),2022.12.17,랩/힙합,10101,,
입김,NCT DREAM,2022.12.16,R&B/Soul,38083,,
문,NCT DREAM,2022.12.16,발라드,41501,,
Christmas Without You,Ava Max,2020.10.15,POP,30173,,
발자국,NCT DREAM,2022.12.16,댄스,43525,,
Text Me Merry Christmas,Straight No Chaser,2014.11.17,POP,68487,333,87342
"Flick, 김하온",노윤하,2022.12.10,랩/힙합,19429,,
흩어지지 않게,엠씨더맥스 (M.C the MAX),2022.12.05,발라드,22365,166,5318
Tangerine Love,NCT DREAM,2022.12.16,댄스,41266,,
Must Have Love,"SG워너비, 브라운 아이드 걸스",2006.11.16,R&B/Soul,71750,624,70621
새벽에 걸려온 너의 전화는,한동근,2022.07.31,발라드,55688,45,11122
WE,"이영지, 토이고, 제이켠, 잠비노, XINSAYNE (toigo)",2022.12.03,랩/힙합,20996,,
Underneath The Tree,Kelly Clarkson,2013.10.29,POP,49463,157,75242
주저하는 연인들을 위해,잔나비,2019.03.13,"인디음악, 록/메탈",373702,3658,322752
으리으리,NSW yoon,2022.12.17,랩/힙합,13946,,
떠나보낼 준비해 둘걸 그랬어,임한별,2022.10.18,발라드,39964,,
스티커 사진,21학번,2022.07.12,"발라드, 인디음악",54266,215,38458
I Don`t Think That I Like Her,Charlie Puth,2022.10.07,POP,157922,,
오르트구름,윤하,2021.11.16,록/메탈,94212,,
London Boy,임영웅,2022.11.15,록/메탈,49096,8155,53695
Polaroid,임영웅,2022.11.15,록/메탈,44269,12823,56481
없었던 일로,헤이즈 (Heize),2022.06.30,R&B/Soul,20649,206,24483
참고사항,이무진,2022.06.23,록/메탈,21015,1202,52893
신사답게,영탁,2022.07.04,댄스,13303,5138,187330
사랑역,임영웅,2022.05.02,성인가요/트로트,42139,,
미친 것처럼,V.O.S,2022.05.15,발라드,32660,340,44770
그 하루,주호,2022.06.08,발라드,27742,,
