,year,week_num,start_date,end_date,rank,music,singer,album
0,2013,35,2013.08.25,2013.08.31,1,갖고놀래 (Feat. 다이나믹 듀오),범키,갖고놀래
1,2013,35,2013.08.25,2013.08.31,2,미치게 만들어,효린,주군의 태양 OST Part 3
2,2013,35,2013.08.25,2013.08.31,3,할말 있어요 (Gotta Talk To U),승리,Let`s Talk About Love
3,2013,35,2013.08.25,2013.08.31,4,넌 내꺼라는걸 (Feat. 스윙스),허각,넌 내꺼라는걸
4,2013,35,2013.08.25,2013.08.31,5,으르렁 (Growl),EXO,XOXO (Kiss & Hug) Repackage
5,2013,35,2013.08.25,2013.08.31,6,아는사람 얘기,산이 (San E),아는사람 얘기
6,2013,35,2013.08.25,2013.08.31,7,빠빠빠,크레용팝 (Crayon Pop),빠빠빠
7,2013,35,2013.08.25,2013.08.31,8,사랑해 사랑해 사랑해,포맨 (4Men),황금의 제국 OST Part 3
8,2013,35,2013.08.25,2013.08.31,9,둘 중에 하나 (Runaway),카라 (KARA),둘 중에 하나 (Runaway)
9,2013,35,2013.08.25,2013.08.31,10,Do You Love Me,2NE1 (투애니 원),Do You Love Me
10,2013,35,2013.08.25,2013.08.31,11,사랑하고 있습니다,투빅 (2BiC),굿닥터 OST Part 2
11,2013,35,2013.08.25,2013.08.31,12,첫 사랑니 (Rum Pum Pum Pum),f(x),2집 Pink Tape
12,2013,35,2013.08.25,2013.08.31,13,Luv is,임정희,Luv is
13,2013,35,2013.08.25,2013.08.31,14,낮과 밤,거미,주군의 태양 OST Part 1
14,2013,35,2013.08.25,2013.08.31,15,Let`s Talk About Love (Feat. G-Dragon & 태양),승리,Let`s Talk About Love
15,2013,35,2013.08.25,2013.08.31,16,"A Real Lady (Feat. Beenzino, Gray & Zion.T)",스윙스 (Swings),A Real Lady
16,2013,35,2013.08.25,2013.08.31,17,NoNoNo,에이핑크 (Apink),Secret Garden
17,2013,35,2013.08.25,2013.08.31,18,GG Be (지지베) (Feat. Jennie Kim),승리,Let`s Talk About Love
18,2013,35,2013.08.25,2013.08.31,19,U & I,에일리 (Ailee),A`s Doll House
19,2013,35,2013.08.25,2013.08.31,20,내 삶의 반,한경일,Travel ∞ Directions
20,2013,35,2013.08.25,2013.08.31,21,Kill Bill,브라운 아이드 걸스,5집 Black Box
21,2013,35,2013.08.25,2013.08.31,22,Shadow (그림자),비스트 (Beast),"2집 Hard To Love, How To Love"
22,2013,35,2013.08.25,2013.08.31,23,기억속의 먼 그대에게,송희진,슈퍼스타K5 - 송희진
23,2013,35,2013.08.25,2013.08.31,24,맘도둑,강승윤,맘도둑
24,2013,35,2013.08.25,2013.08.31,25,니가 오는 날,유승우,투윅스 OST Part 3
25,2013,35,2013.08.25,2013.08.31,26,잘 지내니 (Feat. 넋업샨),메이비 (Maybee),잘 지내니
26,2013,35,2013.08.25,2013.08.31,27,Be OK (Feat. 배치기),유성은,Be OK
27,2013,35,2013.08.25,2013.08.31,28,너와 나,홍대광,주군의 태양 OST Part 2
