,year,week_num,start_date,end_date,rank,music,singer,album
0,2018,18,2018.04.29,2018.05.05,1,주지마,"로꼬 (LOCO), 화사",건반 위의 하이에나 Part.4
1,2018,18,2018.04.29,2018.05.05,2,지나오다,닐로 (Nilo),About You
2,2018,18,2018.04.29,2018.05.05,3,What is Love?,TWICE,What is Love?
3,2018,18,2018.04.29,2018.05.05,4,You,멜로망스(Melomance),투유 프로젝트 - 슈가맨2 Part.2
4,2018,18,2018.04.29,2018.05.05,5,별 시 (別 時),박효신,별 시 (別 時)
5,2018,18,2018.04.29,2018.05.05,6,욕심,멜로망스(Melomance),욕심
6,2018,18,2018.04.29,2018.05.05,7,붕붕 (Feat. Sik-K) (Prod. GroovyRoom),김하온 (HAON),고등래퍼2 Final
7,2018,18,2018.04.29,2018.05.05,8,사랑을 했다 (LOVE SCENARIO),iKON,Return
8,2018,18,2018.04.29,2018.05.05,9,밤 (Time for the moon night),여자친구 (GFRIEND),여자친구 The 6th Mini Album `Time for the moon night`
9,2018,18,2018.04.29,2018.05.05,10,별이 빛나는 밤,마마무 (Mamamoo),Yellow Flower
10,2018,18,2018.04.29,2018.05.05,11,잊을만하면,크러쉬 (CRUSH),잊을만하면
11,2018,18,2018.04.29,2018.05.05,12,뿜뿜,모모랜드 (MOMOLAND),GREAT!
12,2018,18,2018.04.29,2018.05.05,13,꽃 길,BIGBANG (빅뱅),꽃 길
13,2018,18,2018.04.29,2018.05.05,14,My Way,이수,돈꽃 OST Part 1
14,2018,18,2018.04.29,2018.05.05,15,바코드 (Prod. GroovyRoom),"김하온 (HAON), 이병재 (Vinxen)",고등래퍼2 팀대항전 Part 3
15,2018,18,2018.04.29,2018.05.05,16,EVERYDAY,위너(WINNER),EVERYD4Y
16,2018,18,2018.04.29,2018.05.05,17,그날처럼,장덕철,그날처럼
17,2018,18,2018.04.29,2018.05.05,18,그때 헤어지면 돼,로이킴,그때 헤어지면 돼
18,2018,18,2018.04.29,2018.05.05,19,소나기 (Feat. 10cm),용준형,소나기
19,2018,18,2018.04.29,2018.05.05,20,선물,멜로망스(Melomance),Moonlight
20,2018,18,2018.04.29,2018.05.05,21,Roller Coaster,청하,Offset
21,2018,18,2018.04.29,2018.05.05,22,HandClap,Fitz & The Tantrums,Fitz and The Tantrums (Deluxe)
22,2018,18,2018.04.29,2018.05.05,23,전혀 (Feat. 우원재) (Prod. GroovyRoom),이병재 (Vinxen),고등래퍼2 Final
23,2018,18,2018.04.29,2018.05.05,24,북 (Prod.SLO),"배연서 (WEBSTER B), 오담률 (CHIN CHILLA)",고등래퍼2 팀대항전 Part 1
24,2018,18,2018.04.29,2018.05.05,25,Havana (Feat. Young Thug),Camila Cabello,Camila
25,2018,18,2018.04.29,2018.05.05,26,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,`키스 먼저 할까요?` OST Part 3
26,2018,18,2018.04.29,2018.05.05,27,Jenga (Feat. Gaeko),헤이즈 (Heize),바람
27,2018,18,2018.04.29,2018.05.05,28,비행운,문문 (MoonMoon),LIFE IS BEAUTY FULL
28,2018,18,2018.04.29,2018.05.05,29,어린 왕자 (Prod. Godic),"김하온(HAON), 박준호(PULLIK)",고등래퍼2 팀대항전 Part 2
29,2018,18,2018.04.29,2018.05.05,30,花요일 (Blooming Day),EXO-CBX (첸백시),Blooming Days - The 2nd Mini Album
30,2018,18,2018.04.29,2018.05.05,31,Bad Boy,레드벨벳(Red Velvet),The Perfect Red Velvet - The 2nd Album Repackage
31,2018,18,2018.04.29,2018.05.05,32,이 별,길구봉구,Star
32,2018,18,2018.04.29,2018.05.05,33,"이로한 (Feat. ELO, Jessi) (Prod. Padi)",배연서 (WEBSTER B),고등래퍼2 Final
33,2018,18,2018.04.29,2018.05.05,34,넋두리,닐로 (Nilo),넋두리
34,2018,18,2018.04.29,2018.05.05,35,가을 안부,먼데이 키즈 (Monday Kiz),가을 안부
35,2018,18,2018.04.29,2018.05.05,36,"My Paradise (Feat. 청하, VINXEN)",GroovyRoom (그루비룸),My Paradise
36,2018,18,2018.04.29,2018.05.05,37,BOOMERANG (부메랑),Wanna One (워너원),0+1=1 (I PROMISE YOU)
37,2018,18,2018.04.29,2018.05.05,38,instagram,DEAN,instagram
38,2018,18,2018.04.29,2018.05.05,39,밤이 되니까,펀치 (Punch),밤이 되니까
39,2018,18,2018.04.29,2018.05.05,40,밤편지,아이유 (IU),밤편지
