year,week_num,start_date,end_date,rank,music,singer,album
2015,45,2015.11.01,2015.11.07,12,청춘 (Feat. 김창완),김필,응답하라 1988 OST Part 1
2015,44,2015.10.25,2015.10.31,19,No Make Up,자이언티(Zion.T),No Make Up
2015,43,2015.10.18,2015.10.24,26,신세계,브라운 아이드 걸스,BASIC
2015,48,2015.11.22,2015.11.28,3,꿀잼,다이나믹 듀오 (Dynamic Duo),GRAND CARNIVAL
2015,46,2015.11.08,2015.11.14,9,Hello,Adele,Hello
2015,45,2015.11.01,2015.11.07,13,스물셋,아이유 (IU),CHAT-SHIRE
2015,44,2015.10.25,2015.10.31,20,널 생각해 (Prod. by 이찬혁 of 악동뮤지션),윤하,널 생각해 (Prod. by 이찬혁 of 악동뮤지션)
2015,43,2015.10.18,2015.10.24,27,함부로 해줘 (Feat. 한해),예지 (피에스타),언프리티 랩스타 2 FINAL X SEMI FINAL Part 2
2015,47,2015.11.15,2015.11.21,1,안아보자,포맨 (4Men),4MEN 1st Live Album
2015,48,2015.11.22,2015.11.28,4,스물셋,아이유 (IU),CHAT-SHIRE
2015,46,2015.11.08,2015.11.14,10,I (Feat. 버벌진트),태연 (TAEYEON),I - The 1st Mini Album
2015,45,2015.11.01,2015.11.07,14,신세계,브라운 아이드 걸스,BASIC
2015,44,2015.10.25,2015.10.31,21,가끔,지아 (Zia),그녀는 예뻤다 OST Part 2
2015,43,2015.10.18,2015.10.24,28,My Love (Feat. 베이식),효린,언프리티 랩스타 2 SEMI FINAL Part 1
2015,47,2015.11.15,2015.11.21,2,Boys And Girls (Feat. Babylon),지코 (ZICO),Boys And Girls
2015,48,2015.11.22,2015.11.28,5,또 다시 사랑,임창정,또 다시 사랑
2015,46,2015.11.08,2015.11.14,11,No Make Up,자이언티(Zion.T),No Make Up
2015,45,2015.11.01,2015.11.07,15,OOH-AHH하게,TWICE,THE STORY BEGINS
2015,44,2015.10.25,2015.10.31,22,바람이나 좀 쐐 (Feat. MIWOO),Gary (개리),2002
2015,43,2015.10.18,2015.10.24,29,겁 (Feat. 태양),MINO (송민호),쇼미더머니 4 Episode 5
2015,47,2015.11.15,2015.11.21,3,Hello,Adele,Hello
2015,48,2015.11.22,2015.11.28,6,걱정말아요 그대,이적,응답하라 1988 OST Part 2
2015,46,2015.11.08,2015.11.14,12,모르나봐,"소유 (SOYOU), 브라더수",그녀는 예뻤다 OST Part.4
2015,45,2015.11.01,2015.11.07,16,Zeze,아이유 (IU),CHAT-SHIRE
2015,44,2015.10.25,2015.10.31,23,어깨,"소유 (SOYOU), 권정열",어깨
2015,43,2015.10.18,2015.10.24,30,Break,빈지노 (Beenzino),Break
2015,47,2015.11.15,2015.11.21,4,스물셋,아이유 (IU),CHAT-SHIRE
2015,48,2015.11.22,2015.11.28,7,4 Walls,f(x),4 Walls - The 4th Album
2015,46,2015.11.08,2015.11.14,13,널 생각해 (Prod. by 이찬혁 of 악동뮤지션),윤하,널 생각해 (Prod. by 이찬혁 of 악동뮤지션)
2015,45,2015.11.01,2015.11.07,17,청춘 (Feat. 김창완),김필,응답하라 1988 OST Part 1
2015,44,2015.10.25,2015.10.31,24,날 (Feat. JTONG),지코 (ZICO),Boys And Girls
2015,43,2015.10.18,2015.10.24,31,새 신발,아이유 (IU),CHAT-SHIRE
2015,50,2015.12.06,2015.12.12,1,DADDY (Feat. CL of 2NE1),싸이 (Psy),칠집싸이다
2015,47,2015.11.15,2015.11.21,5,Dream (Feat. XIA of JYJ),싸이 (Psy),칠집싸이다
2015,48,2015.11.22,2015.11.28,8,RUN,방탄소년단,화양연화 pt.2
2015,46,2015.11.08,2015.11.14,14,이별밖에,노을,이별밖에
2015,45,2015.11.01,2015.11.07,18,Boys And Girls (Feat. Babylon),지코 (ZICO),Boys And Girls
2015,44,2015.10.25,2015.10.31,25,3인칭의 필요성,넬 (Nell),3인칭의 필요성
2015,43,2015.10.18,2015.10.24,32,그날을 내 등 뒤로,허각,겨울동화
2015,50,2015.12.06,2015.12.12,2,나팔바지,싸이 (Psy),칠집싸이다
2015,47,2015.11.15,2015.11.21,6,걱정말아요 그대,이적,응답하라 1988 OST Part 2
2015,48,2015.11.22,2015.11.28,9,Dear Santa,소녀시대-태티서 (Girls’ Generation-TTS),Dear Santa - X-Mas Special
2015,46,2015.11.08,2015.11.14,15,Butterfly,방탄소년단,화양연화 pt.2
2015,45,2015.11.01,2015.11.07,19,댄스쟈키,싸이 (Psy),칠집싸이다
2015,44,2015.10.25,2015.10.31,26,꿀잼,다이나믹 듀오 (Dynamic Duo),GRAND CARNIVAL
2015,43,2015.10.18,2015.10.24,33,I (Feat. 버벌진트),태연 (TAEYEON),I - The 1st Mini Album
2015,49,2015.11.29,2015.12.05,1,소녀,오혁,응답하라 1988 OST Part 3
2015,50,2015.12.06,2015.12.12,3,걱정말아요 그대,이적,응답하라 1988 OST Part 2
2015,47,2015.11.15,2015.11.21,7,꿀잼,다이나믹 듀오 (Dynamic Duo),GRAND CARNIVAL
2015,48,2015.11.22,2015.11.28,10,이별밖에,노을,이별밖에
2015,46,2015.11.08,2015.11.14,16,스물셋,아이유 (IU),CHAT-SHIRE
2015,45,2015.11.01,2015.11.07,20,No Make Up,자이언티(Zion.T),No Make Up
2015,44,2015.10.25,2015.10.31,27,오늘부터 우리는 (Me gustas tu),여자친구 (GFRIEND),2nd Mini Album `Flower Bud`
2015,43,2015.10.18,2015.10.24,34,고백송,GOT7,MAD Winter Edition
2015,49,2015.11.29,2015.12.05,2,못먹는 감 (Sour Grapes),"산이 (San E), 매드 클라운(Mad Clown)",못먹는 감
2015,51,2015.12.13,2015.12.19,1,유레카 (Feat. Zion.T),지코 (ZICO),GALLERY
2015,50,2015.12.06,2015.12.12,4,나팔바지,싸이 (Psy),칠집싸이다
2015,47,2015.11.15,2015.11.21,8,걱정말아요 그대,이적,응답하라 1988 OST Part 2
2015,48,2015.11.22,2015.11.28,11,HOME,브라운 아이드 소울 (Brown Eyed Soul),BROWN EYED SOUL 정규 4집 `SOUL COOKE`
2015,46,2015.11.08,2015.11.14,17,우주를 건너,백예린,FRANK
2015,45,2015.11.01,2015.11.07,21,Hello Bitches,CL,Hello Bitches
2015,44,2015.10.25,2015.10.31,28,OOH-AHH하게,TWICE,THE STORY BEGINS
2015,43,2015.10.18,2015.10.24,35,RUN,방탄소년단,화양연화 pt.2
2015,52,2015.12.20,2015.12.26,1,사랑이 맞을거야,윤미래 (T),사랑이 맞을거야
2015,49,2015.11.29,2015.12.05,3,DADDY (Feat. CL of 2NE1),싸이 (Psy),칠집싸이다
2015,51,2015.12.13,2015.12.19,2,소녀,오혁,응답하라 1988 OST Part 3
2015,50,2015.12.06,2015.12.12,5,나팔바지,싸이 (Psy),칠집싸이다
2015,47,2015.11.15,2015.11.21,9,혜화동 (혹은 쌍문동),박보람,응답하라 1988 OST Part 4
2015,48,2015.11.22,2015.11.28,12,Dear Santa,소녀시대-태티서 (Girls’ Generation-TTS),Dear Santa - X-Mas Special
2015,46,2015.11.08,2015.11.14,18,불공평해 (Unfair),EXO,"SING FOR YOU - 겨울 스페셜 앨범, 2015"
2015,45,2015.11.01,2015.11.07,22,넌 나의 크리스마스,"바이브, 신용재, 벤, 임세준, 미(MIIII)",넌 나의 크리스마스 (Made in THE VIBE)
2015,44,2015.10.25,2015.10.31,29,Dream (Feat. XIA of JYJ),싸이 (Psy),칠집싸이다
2015,43,2015.10.18,2015.10.24,36,I (Feat. 버벌진트),태연 (TAEYEON),I - The 1st Mini Album
2015,52,2015.12.20,2015.12.26,2,소녀,오혁,응답하라 1988 OST Part 3
2015,49,2015.11.29,2015.12.05,4,걱정말아요 그대,이적,응답하라 1988 OST Part 2
2015,51,2015.12.13,2015.12.19,3,DADDY (Feat. CL of 2NE1),싸이 (Psy),칠집싸이다
2015,50,2015.12.06,2015.12.12,6,유레카 (Feat. Zion.T),지코 (ZICO),GALLERY
2015,47,2015.11.15,2015.11.21,10,청춘 (Feat. 김창완),김필,응답하라 1988 OST Part 1
2015,48,2015.11.22,2015.11.28,13,우주를 건너,백예린,FRANK
2015,46,2015.11.08,2015.11.14,19,또 다시 사랑,임창정,또 다시 사랑
2015,45,2015.11.01,2015.11.07,23,HOT PINK,EXID,HOT PINK
