year,week_num,start_date,end_date,rank,music,singer,album
2022,36,2022.08.28,2022.09.03,1,After LIKE,IVE (아이브),After LIKE
2022,37,2022.09.04,2022.09.10,5,FOREVER 1,소녀시대,FOREVER 1 - The 7th Album
2022,38,2022.09.11,2022.09.17,4,Hype boy,NewJeans,NewJeans 1st EP `New Jeans`
2022,35,2022.08.21,2022.08.27,8,보고싶었어,WSG워너비 (4FIRE),WSG워너비 1집
2022,33,2022.08.07,2022.08.13,7,LOVE DIVE,IVE (아이브),LOVE DIVE
2022,34,2022.08.14,2022.08.20,10,Cookie,NewJeans,NewJeans 1st EP `New Jeans`
2022,31,2022.07.24,2022.07.30,12,그라데이션,10cm,5.3
2022,32,2022.07.31,2022.08.06,15,도깨비불 (Illusion),aespa,Girls - The 2nd Mini Album
2022,30,2022.07.17,2022.07.23,21,Talk that Talk,TWICE,BETWEEN 1&2
2022,29,2022.07.10,2022.07.16,28,That`s Hilarious,Charlie Puth,That`s Hilarious
2022,28,2022.07.03,2022.07.09,35,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
2022,40,2022.09.25,2022.10.01,1,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)
2022,39,2022.09.18,2022.09.24,3,Shut Down,BLACKPINK,BORN PINK
2022,36,2022.08.28,2022.09.03,2,After LIKE,IVE (아이브),After LIKE
2022,37,2022.09.04,2022.09.10,6,Pink Venom,BLACKPINK,Pink Venom
2022,38,2022.09.11,2022.09.17,5,Hype boy,NewJeans,NewJeans 1st EP `New Jeans`
2022,35,2022.08.21,2022.08.27,9,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집
2022,33,2022.08.07,2022.08.13,8,딱 10CM만,"10cm, BIG Naughty (서동현)",딱 10CM만
2022,34,2022.08.14,2022.08.20,11,Cookie,NewJeans,NewJeans 1st EP `New Jeans`
2022,31,2022.07.24,2022.07.30,13,그라데이션,10cm,5.3
2022,32,2022.07.31,2022.08.06,16,보고싶었어,WSG워너비 (4FIRE),WSG워너비 1집
2022,30,2022.07.17,2022.07.23,22,TOMBOY,(여자)아이들,I NEVER DIE
2022,29,2022.07.10,2022.07.16,29,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
2022,28,2022.07.03,2022.07.09,36,무지개,임영웅,IM HERO
2022,40,2022.09.25,2022.10.01,2,After LIKE,IVE (아이브),After LIKE
2022,41,2022.10.02,2022.10.08,1,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)
2022,39,2022.09.18,2022.09.24,4,Hype boy,NewJeans,NewJeans 1st EP `New Jeans`
2022,36,2022.08.28,2022.09.03,3,Shut Down,BLACKPINK,BORN PINK
2022,37,2022.09.04,2022.09.10,7,Rush Hour (Feat. j-hope of BTS),크러쉬 (CRUSH),Rush Hour
2022,38,2022.09.11,2022.09.17,6,Pink Venom,BLACKPINK,Pink Venom
2022,35,2022.08.21,2022.08.27,10,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집
2022,33,2022.08.07,2022.08.13,9,LOVE DIVE,IVE (아이브),LOVE DIVE
2022,34,2022.08.14,2022.08.20,12,우린 그렇게 사랑해서,"강민경, 잔나비",우린 그렇게 사랑해서
2022,31,2022.07.24,2022.07.30,14,Cookie,NewJeans,NewJeans 1st EP `New Jeans`
2022,32,2022.07.31,2022.08.06,17,보고싶었어,WSG워너비 (4FIRE),WSG워너비 1집
2022,30,2022.07.17,2022.07.23,23,자격지심 (Feat. ZICO),BE`O (비오),FIVE SENSES
2022,29,2022.07.10,2022.07.16,30,해요 (2022),#안녕,해요 (2022)
2022,28,2022.07.03,2022.07.09,37,너의 모든 순간,성시경,별에서 온 그대 OST Part 7
2022,42,2022.10.09,2022.10.15,1,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)
2022,40,2022.09.25,2022.10.01,3,Hype boy,NewJeans,NewJeans 1st EP `New Jeans`
2022,41,2022.10.02,2022.10.08,2,After LIKE,IVE (아이브),After LIKE
2022,39,2022.09.18,2022.09.24,5,Shut Down,BLACKPINK,BORN PINK
2022,36,2022.08.28,2022.09.03,4,Rush Hour (Feat. j-hope of BTS),크러쉬 (CRUSH),Rush Hour
2022,37,2022.09.04,2022.09.10,8,딱 10CM만,"10cm, BIG Naughty (서동현)",딱 10CM만
2022,38,2022.09.11,2022.09.17,7,Pink Venom,BLACKPINK,Pink Venom
2022,35,2022.08.21,2022.08.27,11,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집
2022,33,2022.08.07,2022.08.13,10,Monologue,테이 (Tei),Monologue
2022,34,2022.08.14,2022.08.20,13,그라데이션,10cm,5.3
2022,31,2022.07.24,2022.07.30,15,Cookie,NewJeans,NewJeans 1st EP `New Jeans`
2022,32,2022.07.31,2022.08.06,18,LAW (Prod. Czaer),"윤미래, 비비(BIBI)",스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)
2022,30,2022.07.17,2022.07.23,24,내가 아니라도,주호,내가 아니라도
2022,29,2022.07.10,2022.07.16,31,사건의 지평선,윤하,YOUNHA 6th Album Repackage `END THEORY : Final Edition`
2022,28,2022.07.03,2022.07.09,38,취중고백,김민석,취중고백
2022,42,2022.10.09,2022.10.15,2,After LIKE,IVE (아이브),After LIKE
2022,40,2022.09.25,2022.10.01,4,Rush Hour (Feat. j-hope of BTS),크러쉬 (CRUSH),Rush Hour
