,year,week_num,start_date,end_date,rank,music,singer,album
0,2022,1,2021.12.26,2022.01.01,1,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,쇼미더머니 10 Episode 2
1,2022,1,2021.12.26,2022.01.01,2,Counting Stars (Feat. Beenzino),BE`O (비오),Counting Stars
2,2022,1,2021.12.26,2022.01.01,3,리무진 (Feat. MINO) (Prod. GRAY),BE`O (비오),쇼미더머니 10 Episode 3
3,2022,1,2021.12.26,2022.01.01,4,ELEVEN,IVE (아이브),ELEVEN
4,2022,1,2021.12.26,2022.01.01,5,겨울잠,아이유 (IU),조각집
5,2022,1,2021.12.26,2022.01.01,6,눈이 오잖아 (Feat.헤이즈),이무진,눈이 오잖아
6,2022,1,2021.12.26,2022.01.01,7,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),베이식(Basick),쇼미더머니 10 Episode 3
7,2022,1,2021.12.26,2022.01.01,8,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
8,2022,1,2021.12.26,2022.01.01,9,불협화음 (Feat. AKMU) (Prod. GRAY),Mudd the student,쇼미더머니 10 Semi Final
9,2022,1,2021.12.26,2022.01.01,10,strawberry moon,아이유 (IU),strawberry moon
10,2022,1,2021.12.26,2022.01.01,11,취중고백,김민석,취중고백
11,2022,1,2021.12.26,2022.01.01,12,드라마,아이유 (IU),조각집
12,2022,1,2021.12.26,2022.01.01,13,신호등,이무진,신호등
13,2022,1,2021.12.26,2022.01.01,14,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호)
14,2022,1,2021.12.26,2022.01.01,15,Savage,aespa,Savage - The 1st Mini Album
15,2022,1,2021.12.26,2022.01.01,16,Stay,"The Kid LAROI, Justin Bieber",Stay
16,2022,1,2021.12.26,2022.01.01,17,Dreams Come True,aespa,Dreams Come True - SM STATION
17,2022,1,2021.12.26,2022.01.01,18,정거장,아이유 (IU),조각집
18,2022,1,2021.12.26,2022.01.01,19,쉬어 (Feat. MINO) (Prod. GRAY),"아넌딜라이트(Anandelight) , unofficialboyy , BE′O (비오) , 지구인 , Mudd the student",쇼미더머니 10 Episode 1
19,2022,1,2021.12.26,2022.01.01,20,Next Level,aespa,Next Level
20,2022,1,2021.12.26,2022.01.01,21,네가 없는 밤 (Feat. ASH ISLAND) (Prod. GRAY),BE`O (비오),쇼미더머니 10 Final
21,2022,1,2021.12.26,2022.01.01,22,흰눈,먼데이 키즈 (Monday Kiz),흰눈
22,2022,1,2021.12.26,2022.01.01,23,Wake Up (Prod. 코드 쿤스트),"개코 , Ourealgoat (아우릴고트) , SINCE , 안병웅 , Tabber , 조광일",쇼미더머니 10 Episode 1
