Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
1,1,"

롤린 (Rollin`)
브레이브걸스 (Brave Girls) | Rollin`","43,757,205","브레이브 엔터테인먼트
케미컬레코드",,
2,1,"

별빛 같은 나의 사랑아
임영웅 | 별빛 같은 나의 사랑아","30,886,223","티조컬처앤컨텐츠, 뉴에라프로젝트, 물고기뮤직
Kakao Entertainment",,
3,-,"

Celebrity
아이유 (IU) | Celebrity","29,030,961","EDAM엔터테인먼트
Kakao Entertainment",,
4,11,"

On The Ground
로제 (ROSE) | R","28,260,095","YG Entertainment
YG PLUS",,
5,1,"

LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)
양요섭, 정은지 | LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지) OST","21,859,470","TOON STUDIO, 느을
Kakao Entertainment",,
6,43,"

Gone
로제 (ROSE) | R","18,441,345","YG Entertainment
YG PLUS",,
7,-,"

Don`t Call Me
샤이니 (SHINee) | Don`t Call Me - The 7th Album","18,010,933","SM Entertainment
Dreamus",,
8,2,"

Dynamite
방탄소년단 | Dynamite","17,782,486","BIGHIT MUSIC / HYBE
Dreamus",,
9,4,"

밤하늘의 별을(2020)
경서 | 밤하늘의 별을(2020)","17,635,995","꿈의엔진
Kakao Entertainment",,
10,1,"

밝게 빛나는 별이 되어 비춰줄게
송이한 | 밝게 빛나는 별이 되어 비춰줄게","14,952,647","뮤직디자인
Kakao Entertainment",,
11,1,"

내 손을 잡아
아이유 (IU) | 최고의 사랑 OST Part 4","14,856,192","더그루브엔터테인먼트
Kakao Entertainment",,
12,4,"

잠이 오질 않네요
장범준 | 잠이 오질 않네요","14,338,323","버스커버스커
Kakao Entertainment",,
13,1,"

Lovesick Girls
BLACKPINK | THE ALBUM","13,715,635","YG Entertainment
YG PLUS",,
14,1,"

취기를 빌려 (취향저격 그녀 X 산들)
산들 | 취기를 빌려 (취향저격 그녀 X 산들) OST","13,544,262","TOON STUDIO
Kakao Entertainment",,
15,4,"

VVS (Feat. JUSTHIS) (Prod. GroovyRoom)
미란이 (Mirani), 먼치맨, Khundi Panda, 머쉬베놈 (MUSHVENOM) | 쇼미더머니 9 Episode 1","13,450,616","Stone Music Entertainment
지니뮤직",,
16,2,"

이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM)
10cm | 이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM) OST","13,230,511","TOON STUDIO, 느을
Kakao Entertainment",,
17,new,"

그 한마디 (바른연애 길잡이 X 이하이)
이하이 | 그 한마디 (바른연애 길잡이 X 이하이) OST","12,724,186","TOON STUDIO, 느을
Kakao Entertainment",,
18,2,"

나랑 같이 걸을래 (바른연애 길잡이 X 적재)
적재 | 나랑 같이 걸을래 (바른연애 길잡이 X 적재) OST","12,490,184","TOON STUDIO, 느을
Kakao Entertainment",,
19,-,"

Blueming
아이유 (IU) | Love poem","11,675,431","Kakao Entertainment
Kakao Entertainment",,
