Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
1,new,"

strawberry moon
아이유 (IU) | strawberry moon","38,557,001","EDAM엔터테인먼트
Kakao Entertainment",,
2,1,"

사랑은 늘 도망가
임영웅 | 신사와 아가씨 OST Part.2","31,677,801","모스트콘텐츠
NHN벅스",,
3,1,"

Savage
aespa | Savage - The 1st Mini Album","25,700,765","SM Entertainment
Dreamus",,
4,1,"

Stay
The Kid LAROI, Justin Bieber | Stay","22,142,277","Columbia
Sony Music",,
5,1,"

신호등
이무진 | 신호등","20,077,061","쇼플레이
Kakao Entertainment",,
6,1,"

My Universe
Coldplay, 방탄소년단 | My Universe","18,455,898","Parlophone UK
Warner Music",,
7,-,"

Next Level
aespa | Next Level","17,254,535","SM Entertainment
Dreamus",,
8,2,"

낙하 (with 아이유)
AKMU (악뮤) | NEXT EPISODE","16,937,532","YG Entertainment
YG PLUS",,
9,1,"

OHAYO MY NIGHT
디핵 (D-Hack), PATEKO(파테코) | OHAYO MY NIGHT","15,937,463","NEOKIDZ
YG PLUS",,
10,2,"

다정히 내 이름을 부르면
경서예지, 전건호 | 다정히 내 이름을 부르면 (경서예지 x 전건호)","15,168,145","에버그로우
Kakao Entertainment",,
11,2,"

바라만 본다
MSG워너비(M.O.M) | MSG워너비 1집","14,548,034","유야호
지니뮤직, Stone Music Entertainment",,
12,2,"

Weekend
태연 (TAEYEON) | Weekend","13,927,740","SM Entertainment
Dreamus",,
13,2,"

Permission to Dance
방탄소년단 | Butter / Permission to Dance","13,721,024","BIGHIT MUSIC / HYBE
YG PLUS",,
14,new,"

나의 첫사랑
다비치 | 나의 첫사랑","12,908,088","WAKEONE
지니뮤직",,
15,2,"

Butter
방탄소년단 | Butter","12,832,305","BIGHIT MUSIC / HYBE
YG PLUS",,
16,1,"

Bad Habits
Ed Sheeran | Bad Habits","12,328,384","Atlantic Records UK
Warner Music",,
17,3,"

Peaches (Feat. Daniel Caesar, Giveon)
Justin Bieber | Justice","12,322,910","RBMG/Def Jam
Universal Music",,
18,2,"

헤픈 우연
헤이즈 (Heize) | HAPPEN","11,670,124","피네이션
지니뮤직, Stone Music Entertainment",,
19,2,"

시간을 거슬러 (낮에 뜨는 달 X 케이윌)
케이윌 (K.Will) | 시간을 거슬러 (낮에 뜨는 달 X 케이윌) OST","11,311,343","TOON STUDIO
Kakao Entertainment",,
20,1,"

고백
멜로망스(Melomance) | 세 번째 `고백`","11,171,866","카카오엔터테인먼트, 민트페이퍼, 광합성
Kakao Entertainment",,
21,4,"

너를 생각해
주시크 (Joosiq) | 너를 생각해","11,124,665","뮤직레시피
Warner Music",,
22,-,"

Dynamite
방탄소년단 | Dynamite","10,658,393","BIGHIT MUSIC / HYBE
YG PLUS",,
23,5,"

좋아좋아
조정석 | 슬기로운 의사생활 시즌2 OST Part 5","10,637,827","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
24,4,"

Queendom
레드벨벳(Red Velvet) | Queendom - The 6th Mini Album","10,368,192","SM Entertainment
Dreamus",,
25,4,"

DUMB DUMB
전소미 | DUMB DUMB","10,334,542","The Black Label
YG PLUS",,
26,2,"

라일락
아이유 (IU) | 5th Album `LILAC`","10,329,604","EDAM엔터테인먼트
Kakao Entertainment",,
27,new,"

Rock with you
세븐틴 | SEVENTEEN 9th Mini Album `Attacca`","10,180,784","플레디스
YG PLUS",,
