Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
1,new,"

Counting Stars (Feat. Beenzino)
BE`O (비오) | Counting Stars","34,714,342","페임어스 엔터테인먼트
지니뮤직, Stone Music Entertainment",,
2,1,"

회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)
sokodomo | 쇼미더머니 10 Episode 2","29,210,516","Stone Music Entertainment
지니뮤직",,
3,1,"

리무진 (Feat. MINO) (Prod. GRAY)
BE`O (비오) | 쇼미더머니 10 Episode 3","28,451,978","Stone Music Entertainment
지니뮤직",,
4,1,"

만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL)
베이식(Basick) | 쇼미더머니 10 Episode 3","19,811,576","Stone Music Entertainment
지니뮤직",,
5,1,"

ELEVEN
IVE (아이브) | ELEVEN","19,367,318","스타쉽엔터테인먼트
Kakao Entertainment",,
6,2,"

불협화음 (Feat. AKMU) (Prod. GRAY)
Mudd the student | 쇼미더머니 10 Semi Final","18,829,955","Stone Music Entertainment
지니뮤직",,
7,2,"

strawberry moon
아이유 (IU) | strawberry moon","15,858,360","EDAM엔터테인먼트
Kakao Entertainment",,
8,2,"

사랑은 늘 도망가
임영웅 | 신사와 아가씨 OST Part.2","14,397,388","모스트콘텐츠
NHN벅스",,
9,2,"

쉬어 (Feat. MINO) (Prod. GRAY)
아넌딜라이트(Anandelight) , unofficialboyy , BE′O (비오) , 지구인 , Mudd the student | 쇼미더머니 10 Episode 1","14,369,222","Stone Music Entertainment
지니뮤직",,
10,6,"

매일 크리스마스 (Everyday Christmas)
다비치 | 매일 크리스마스 (Everyday Christmas)","14,080,397","WAKEONE
지니뮤직",,
11,2,"

네가 없는 밤 (Feat. ASH ISLAND) (Prod. GRAY)
BE`O (비오) | 쇼미더머니 10 Final","13,497,941","Stone Music Entertainment
지니뮤직",,
12,5,"

눈이 오잖아 (Feat.헤이즈)
이무진 | 눈이 오잖아","13,282,679","쇼플레이
Kakao Entertainment",,
13,2,"

신호등
이무진 | 신호등","13,236,851","쇼플레이
Kakao Entertainment",,
14,-,"

다정히 내 이름을 부르면
경서예지, 전건호 | 다정히 내 이름을 부르면 (경서예지 x 전건호)","13,053,835","에버그로우
Kakao Entertainment",,
15,7,"

Wake Up (Prod. 코드 쿤스트)
개코 , Ourealgoat (아우릴고트) , SINCE , 안병웅 , Tabber , 조광일 | 쇼미더머니 10 Episode 1","12,770,956","Stone Music Entertainment
지니뮤직",,
16,3,"

Santa Tell Me
Ariana Grande | Santa Tell Me","12,686,627","Republic Records, a division of UMG Recordings,Inc
Universal Music",,
17,4,"

All I Want For Christmas Is You
Mariah Carey | Merry Christmas (Deluxe Anniversary Edition)","12,558,456","Columbia/Legacy
Sony Music",,
18,6,"

Savage
aespa | Savage - The 1st Mini Album","12,536,186","SM Entertainment
Dreamus",,
19,6,"

Stay
The Kid LAROI, Justin Bieber | Stay","12,529,632","Columbia
Sony Music",,
20,2,"

Next Level
aespa | Next Level","10,937,329","SM Entertainment
Dreamus",,
21,6,"

MBTI (Feat. 쿠기 & 로꼬) (Prod. GRAY)
BE`O (비오) | 쇼미더머니 10 Semi Final","10,725,190","Stone Music Entertainment
지니뮤직",,
22,2,"

너를 생각해
주시크 (Joosiq) | 너를 생각해","10,400,080","뮤직레시피
Warner Music",,
23,1,"

낙하 (with 아이유)
AKMU (악뮤) | NEXT EPISODE","10,274,254","YG Entertainment
YG PLUS",,
24,1,"

문득
BE`O (비오) | Bipolar","10,099,962","페임어스 엔터테인먼트
지니뮤직, Stone Music Entertainment",,
25,1,"

OHAYO MY NIGHT
디핵 (D-Hack), PATEKO(파테코) | OHAYO MY NIGHT","9,597,592","NEOKIDZ
YG PLUS",,
26,new,"

흰눈
먼데이 키즈 (Monday Kiz) | 흰눈","9,346,410","프로젝트 리본
Warner Music",,
27,1,"

My Universe
Coldplay, 방탄소년단 | My Universe","8,984,273","Parlophone UK
Warner Music",,
28,1,"

바라만 본다
MSG워너비(M.O.M) | MSG워너비 1집","8,914,475","유야호
지니뮤직, Stone Music Entertainment",,
29,1,"

Butter
방탄소년단 | Butter","8,701,109","BIGHIT MUSIC / HYBE
YG PLUS",,
30,1,"

Permission to Dance
방탄소년단 | Butter / Permission to Dance","8,508,685","BIGHIT MUSIC / HYBE
YG PLUS",,
31,17,"

미리 메리 크리스마스 (Feat. 천둥)
아이유 (IU) | Real","8,438,359","Kakao Entertainment
Kakao Entertainment",,
32,9,"

호우주의 (Feat. 개코, 넉살 (Nucksal)) (Prod. 코드 쿤스트)
조광일 | 쇼미더머니 10 Semi Final","8,384,441","Stone Music Entertainment
지니뮤직",,
33,10,"

Snowman
Sia | Snowman","8,300,709","Monkey Puzzle, Atlantic
Warner Music",,
34,3,"

Peaches (Feat. Daniel Caesar, Giveon)
Justin Bieber | Justice","7,860,058","RBMG/Def Jam
Universal Music",,
35,1,"

헤픈 우연
헤이즈 (Heize) | HAPPEN","7,796,843","피네이션
지니뮤직, Stone Music Entertainment",,
36,3,"

Bad Habits
Ed Sheeran | Bad Habits","7,793,204","Atlantic Records UK
Warner Music",,
37,35,"

크리스마스니까
성시경, 박효신, 이석훈, 서인국, 빅스 (VIXX) | Jelly Christmas 2012 Heart Project","7,756,284","젤리피쉬 엔터테인먼트
지니뮤직, Stone Music Entertainment",,
38,6,"

Weekend
태연 (TAEYEON) | Weekend","7,752,175","SM Entertainment
Dreamus",,
39,4,"

Celebrity
아이유 (IU) | Celebrity","7,723,218","EDAM엔터테인먼트
Kakao Entertainment",,
40,3,"

밤하늘의 별을(2020)
경서 | 밤하늘의 별을(2020)","7,580,758","꿈의엔진
Kakao Entertainment",,
41,3,"

Dynamite
방탄소년단 | Dynamite","7,536,080","BIGHIT MUSIC / HYBE
YG PLUS",,
42,12,"

깐부 (Feat. 염따, ASH ISLAND) (Prod. TOIL)
쿤타 (Koonta) | 쇼미더머니 10 Episode 3","7,522,786","Stone Music Entertainment
지니뮤직",,
43,4,"

라일락
아이유 (IU) | 5th Album `LILAC`","7,424,527","EDAM엔터테인먼트
Kakao Entertainment",,
44,2,"

어떻게 이별까지 사랑하겠어, 널 사랑하는 거지
AKMU (악뮤) | 항해","7,404,903","YG Entertainment
YG PLUS",,
45,5,"

고백
멜로망스(Melomance) | 세 번째 `고백`","7,364,810","카카오엔터테인먼트, 민트페이퍼, 광합성
Kakao Entertainment",,
46,8,"

탕!♡
MINO (송민호) | ″TO INFINITY.″","7,119,592","YG Entertainment
YG PLUS",,
47,27,"

Last Christmas
Ariana Grande | Christmas Kisses","7,036,512","Universal Music
Universal Music",,
48,9,"

그게 더 편할 것 같아 (N번째 연애 X 멜로망스)
멜로망스(Melomance) | 그게 더 편할 것 같아 (N번째 연애 X 멜로망스) OST","7,001,990","TOON STUDIO
Kakao Entertainment",,
49,2,"

시간을 거슬러 (낮에 뜨는 달 X 케이윌)
케이윌 (K.Will) | 시간을 거슬러 (낮에 뜨는 달 X 케이윌) OST","6,433,642","TOON STUDIO
Kakao Entertainment",,
50,67,"

밤새 서로 미루다
존 박, 전미도 | 밤새 서로 미루다","6,321,720","뮤직팜
Kakao Entertainment",,
51,10,"

너와 나의 Memories
염따 (YumDDa), TOIL, 쿤타, 베이식 (Basick), 365LIT, 황지상 (HWANG JI SANG), 송민영 | 쇼미더머니 10 Episode 1","6,271,038","Stone Music Entertainment
지니뮤직",,
52,1,"

모든 날, 모든 순간 (Every day, Every Moment)
폴킴 | `키스 먼저 할까요?` OST Part 3","6,246,177","SM Entertainment
Dreamus",,
53,2,"

찰나가 영원이 될 때 (The Eternal Moment)
마크툽 (Maktub) | Red Moon : Beyond The Light","6,221,966","MAKTUB Company
Warner Music",,
54,10,"

SCIENTIST
TWICE | Formula of Love: O+T=<3","6,081,689","JYP Entertainment
Dreamus",,
55,new,"

너의 밤,너의 별,너의 달(Prod.로코베리)
기리보이(Giriboy), 김유정 | 너의 밤,너의 별,너의 달","6,051,917","하얀달 엔터테인먼트, 딩고뮤직
Kakao Entertainment",,
56,4,"

사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)
호미들 | 사이렌 Remix","6,049,862","영앤리치 레코즈
Kakao Entertainment",,
57,5,"

롤린 (Rollin`)
브레이브걸스 (Brave Girls) | Rollin`","6,019,089","브레이브 엔터테인먼트
음악형제들",,
58,5,"

이제 나만 믿어요
임영웅 | 내일은 미스터트롯 우승자 특전곡","5,999,486","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
59,-,"

비가 오는 날엔 (2021)
헤이즈 (Heize) | 비가 오는 날엔 (2021)","5,966,820","PLAYLIST
지니뮤직, Stone Music Entertainment",,
60,2,"

내 손을 잡아
아이유 (IU) | 최고의 사랑 OST Part 4","5,891,590","더그루브엔터테인먼트
Kakao Entertainment",,
61,6,"

DUMB DUMB
전소미 | DUMB DUMB","5,813,206","The Black Label
YG PLUS",,
62,1,"

Dun Dun Dance
오마이걸 (OH MY GIRL) | Dear OHMYGIRL","5,781,184","WM엔터테인먼트
Sony Music",,
63,2,"

추억은 만남보다 이별에 남아
정동하 | 추억은 만남보다 이별에 남아","5,756,724","뮤직원 컴퍼니
Kakao Entertainment",,
64,4,"

Blueming
아이유 (IU) | Love poem","5,617,701","Kakao Entertainment
Kakao Entertainment",,
