year,week_num,start_date,end_date,rank,music,singer,album
2019,42,2019.10.13,2019.10.19,71,I Don`t Care,"Ed Sheeran, Justin Bieber",I Don`t Care
2019,43,2019.10.20,2019.10.26,70,Uh-Oh,(여자)아이들,Uh-Oh
2019,41,2019.10.06,2019.10.12,73,BIRTHDAY,전소미,BIRTHDAY
2019,40,2019.09.29,2019.10.05,75,비오는 날 뭐해,하은 (라코스테남),비오는 날 뭐해
2019,39,2019.09.22,2019.09.28,77,비워 (Beer) (Prod. Way Ched),"CHANGMO, Hash Swan, ASH ISLAND, 김효은, Leellamarz & The Quiett",Dingo X Ambition Musik
2019,51,2019.12.15,2019.12.21,76,AH YEAH (아예),위너(WINNER),WE
2019,52,2019.12.22,2019.12.28,79,돈 Call Me (Prod. BRLLNT),염따 (YumDDa),Dingo X 염따
2019,49,2019.12.01,2019.12.07,81,Love Shot,EXO,LOVE SHOT - The 5th Album Repackage
2019,50,2019.12.08,2019.12.14,84,소우주 (Mikrokosmos),방탄소년단,MAP OF THE SOUL : PERSONA
2019,48,2019.11.24,2019.11.30,89,"파티피플 (Feat. 염따, Uneducated Kid)",기리보이(Giriboy),갑분기
2019,47,2019.11.17,2019.11.23,94,이뻐이뻐 (Pretty girl),크레파스,PRODUCE X 101 - 31 Boys 5 Concepts
2019,32,2019.08.04,2019.08.10,21,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz),사랑이 식었다고 말해도 돼
2019,31,2019.07.28,2019.08.03,56,누구 없소 (NO ONE) (Feat. B.I of iKON),이하이,24℃
2019,29,2019.07.14,2019.07.20,58,대충 입고 나와,우디(Woody),대충 입고 나와
2019,30,2019.07.21,2019.07.27,57,Dance The Night Away,TWICE,Summer Nights
2019,37,2019.09.08,2019.09.14,61,오늘 밤에,홍진영,Lots of Love
2019,38,2019.09.15,2019.09.21,60,별 보러 갈래?,볼빨간사춘기,사춘기집Ⅰ 꽃기운
2019,35,2019.08.25,2019.08.31,64,HIT,세븐틴,HIT
2019,36,2019.09.01,2019.09.07,63,비,폴킴,비
2019,33,2019.08.11,2019.08.17,67,180도,벤 (Ben),180˚
2019,34,2019.08.18,2019.08.24,66,UN Village,백현 (BAEKHYUN),City Lights - The 1st Mini Album
