year,week_num,start_date,end_date,rank,music,singer,album
2021,22,2021.05.23,2021.05.29,35,Lovesick Girls,BLACKPINK,THE ALBUM
2021,21,2021.05.16,2021.05.22,37,잠이 오질 않네요,장범준,잠이 오질 않네요
2021,20,2021.05.09,2021.05.15,40,Coin,아이유 (IU),5th Album `LILAC`
2021,19,2021.05.02,2021.05.08,42,에잇 (Prod.&Feat. SUGA of BTS),아이유 (IU),에잇
2021,18,2021.04.25,2021.05.01,44,Blueming,아이유 (IU),Love poem
2021,12,2021.03.14,2021.03.20,58,Life Goes On,방탄소년단,BE
2021,17,2021.04.18,2021.04.24,47,Off My Face,Justin Bieber,Justice
2021,14,2021.03.28,2021.04.03,51,허리춤,오반 (OVAN),허리춤
2021,16,2021.04.11,2021.04.17,51,허리춤,오반 (OVAN),허리춤
2021,15,2021.04.04,2021.04.10,53,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,`키스 먼저 할까요?` OST Part 3
2021,13,2021.03.21,2021.03.27,60,봄날,방탄소년단,YOU NEVER WALK ALONE
2021,11,2021.03.07,2021.03.13,66,12:45 (Stripped),Etham,12:45 (Stripped)
2021,10,2021.02.28,2021.03.06,71,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서
2021,09,2021.02.21,2021.02.27,78,힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다
2021,08,2021.02.14,2021.02.20,84,너의 발걸음에 빛을 비춰줄게 (Prod. 조영수),케이시 (Kassy),너의 발걸음에 빛을 비춰줄게 (Prod. 조영수)
2021,07,2021.02.07,2021.02.13,91,Ready to love,세븐틴,8th Mini Album `Your Choice`
2021,06,2021.01.31,2021.02.06,98,함께 했는데 이별은 나 혼자인 거야,소정,함께 했는데 이별은 나 혼자인 거야
2021,25,2021.06.13,2021.06.19,29,마.피.아. In the morning,ITZY (있지),GUESS WHO
2021,27,2021.06.27,2021.07.03,25,내 손을 잡아,아이유 (IU),최고의 사랑 OST Part 4
2021,26,2021.06.20,2021.06.26,28,라라라,SG 워너비,My Friend
2021,24,2021.06.06,2021.06.12,31,밝게 빛나는 별이 되어 비춰줄게,송이한,밝게 빛나는 별이 되어 비춰줄게
2021,23,2021.05.30,2021.06.05,34,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)","양요섭, 정은지","LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지) OST"
2021,22,2021.05.23,2021.05.29,36,Dolphin,오마이걸 (OH MY GIRL),NONSTOP
2021,21,2021.05.16,2021.05.22,38,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
2021,20,2021.05.09,2021.05.15,41,체념,"정상동기 (김정수, 정기석, 이동휘, 이상이)",MSG워너비 TOP 8 경연곡
2021,19,2021.05.02,2021.05.08,43,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들) OST
2021,18,2021.04.25,2021.05.01,45,추적이는 여름 비가 되어,장범준,장범준 싱글
2021,12,2021.03.14,2021.03.20,59,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호)
2021,17,2021.04.18,2021.04.24,48,어푸 (Ah puh),아이유 (IU),5th Album 'LILAC'
2021,14,2021.03.28,2021.04.03,52,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재) OST
2021,16,2021.04.11,2021.04.17,52,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재) OST
2021,15,2021.04.04,2021.04.10,54,2002,Anne-Marie,Speak Your Mind (Deluxe)
2021,13,2021.03.21,2021.03.27,61,내사람,SG 워너비,The Precious History
2021,11,2021.03.07,2021.03.13,67,오래된 노래,스탠딩 에그(Standing Egg),오래된 노래
2021,10,2021.02.28,2021.03.06,72,오늘따라 더 미운 그대가,전상근,오늘따라 더 미운 그대가
2021,09,2021.02.21,2021.02.27,79,다시 만나,한승우,Fade
2021,08,2021.02.14,2021.02.20,85,Bad Habits,Ed Sheeran,Bad Habits
2021,07,2021.02.07,2021.02.13,92,마음을 드려요,아이유 (IU),사랑의 불시착 OST Part 11
2021,06,2021.01.31,2021.02.06,99,우린 어쩌다 헤어진 걸까,허각,Hello
2021,25,2021.06.13,2021.06.19,30,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),비 오는 날 듣기 좋은 노래
2021,27,2021.06.27,2021.07.03,26,멜로디,ASH ISLAND,멜로디
2021,26,2021.06.20,2021.06.26,29,마.피.아. In the morning,ITZY (있지),GUESS WHO
2021,24,2021.06.06,2021.06.12,32,밤하늘의 별을(2020),경서,밤하늘의 별을(2020)
2021,23,2021.05.30,2021.06.05,35,Lovesick Girls,BLACKPINK,THE ALBUM
2021,22,2021.05.23,2021.05.29,37,잠이 오질 않네요,장범준,잠이 오질 않네요
2021,21,2021.05.16,2021.05.22,39,해야 해,2PM,MUST
2021,20,2021.05.09,2021.05.15,42,에잇 (Prod.&Feat. SUGA of BTS),아이유 (IU),에잇
2021,19,2021.05.02,2021.05.08,44,Blueming,아이유 (IU),Love poem
2021,18,2021.04.25,2021.05.01,46,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA
2021,12,2021.03.14,2021.03.20,60,봄날,방탄소년단,YOU NEVER WALK ALONE
2021,17,2021.04.18,2021.04.24,49,On The Ground,로제 (ROSE),R
2021,14,2021.03.28,2021.04.03,53,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,`키스 먼저 할까요?` OST Part 3
2021,16,2021.04.11,2021.04.17,53,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,`키스 먼저 할까요?` OST Part 3
