,year,week_num,start_date,end_date,rank,music,singer,album
106,2019,52,2019.12.22,2019.12.28,107,소우주 (Mikrokosmos),방탄소년단,MAP OF THE SOUL : PERSONA
107,2019,52,2019.12.22,2019.12.28,108,Memories,Maroon 5,Memories
108,2019,52,2019.12.22,2019.12.28,109,사월이 지나면 우리 헤어져요 (Beautiful goodbye),첸 (CHEN),"사월, 그리고 꽃 - The 1st Mini Album"
109,2019,52,2019.12.22,2019.12.28,110,ICY,ITZY (있지),IT`z ICY
110,2019,52,2019.12.22,2019.12.28,111,Done For Me,펀치 (Punch),호텔 델루나 OST Part.12
111,2019,52,2019.12.22,2019.12.28,112,사계 (하루살이),엠씨더맥스 (M.C The Max),Circular
112,2019,52,2019.12.22,2019.12.28,113,지킬 (Jekyll),EXO,OBSESSION - The 6th Album
113,2019,52,2019.12.22,2019.12.28,114,내 목소리 들리니,벤 (Ben),호텔 델루나 OST Part.9
114,2019,52,2019.12.22,2019.12.28,115,come out and play,Billie Eilish,come out and play
115,2019,52,2019.12.22,2019.12.28,116,Last Christmas,Ariana Grande,Last Christmas
116,2019,52,2019.12.22,2019.12.28,117,내 맘을 볼 수 있나요,헤이즈 (Heize),호텔 델루나 OST Part.5
117,2019,52,2019.12.22,2019.12.28,118,Santa`s Coming For Us,Sia,Santa`s Coming For Us
118,2019,52,2019.12.22,2019.12.28,119,달라달라,ITZY (있지),IT`z Different
119,2019,52,2019.12.22,2019.12.28,120,Ya Ya Ya,EXO,OBSESSION - The 6th Album
120,2019,52,2019.12.22,2019.12.28,121,인사,멜로망스(Melomance),인사
121,2019,52,2019.12.22,2019.12.28,122,Snapping,청하,Flourishing
122,2019,52,2019.12.22,2019.12.28,123,Way Back Home,숀 (SHAUN),Take
123,2019,52,2019.12.22,2019.12.28,124,ROXANNE,Arizona Zervas,ROXANNE
124,2019,52,2019.12.22,2019.12.28,125,5월의 밤,자이언티(Zion.T),5월의 밤
125,2019,52,2019.12.22,2019.12.28,126,Baby You Are,EXO,OBSESSION - The 6th Album
126,2019,52,2019.12.22,2019.12.28,127,내 안부,이우,내 안부
127,2019,52,2019.12.22,2019.12.28,128,Remember Forever,레드벨벳(Red Velvet),`The ReVe Festival` Finale
128,2019,52,2019.12.22,2019.12.28,129,오늘도 (Day After Day),EXO,OBSESSION - The 6th Album
129,2019,52,2019.12.22,2019.12.28,130,가끔 이러다,펀치 (Punch),가끔 이러다
130,2019,52,2019.12.22,2019.12.28,131,길에서 (Feat. 적재),소유 (SOYOU),길에서 (X-MAS Project Vol.1)
131,2019,52,2019.12.22,2019.12.28,132,comethru,Jeremy Zucker,"summer,"
132,2019,52,2019.12.22,2019.12.28,133,Non Stop,EXO,OBSESSION - The 6th Album
133,2019,52,2019.12.22,2019.12.28,134,안녕이라는 말,송이한,안녕이라는 말
134,2019,52,2019.12.22,2019.12.28,135,Someday at Christmas,Stevie Wonder & Andra Day,Merry Christmas from Andra Day
135,2019,52,2019.12.22,2019.12.28,136,"아퍼 (Feat. Kid Milli, Lil tachi, 김승민, NO:EL, C JAMM)",기리보이(Giriboy),100년제전문대학
136,2019,52,2019.12.22,2019.12.28,137,옥탑방,엔플라잉 (N.Flying),FLY HIGH PROJECT #2 `옥탑방`
137,2019,52,2019.12.22,2019.12.28,138,내 생애 가장 행복한 시간 Part.2 (Feat. 양다일),MC몽,CHANNEL 8
138,2019,52,2019.12.22,2019.12.28,139,REMEDY (Feat. 청하 (CHUNG HA)),창모 (CHANGMO),Boyhood
139,2019,52,2019.12.22,2019.12.28,140,Make It To Christmas,Alessia Cara,Make It To Christmas
