album,end_date,music,rank,singer,start_date,week_num,year
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2023.03.25,사건의 지평선,4,윤하,2023.03.19,9,2023
부석순 1st Single Album `SECOND WIND`,2023.03.18,파이팅 해야지 (Feat. 이영지),5,부석순 (SEVENTEEN),2023.03.12,9,2023
Teddy Bear,2023.03.11,Teddy Bear,6,STAYC(스테이씨),2023.03.05,9,2023
NewJeans 1st EP `New Jeans`,2023.03.04,Attention,7,NewJeans,2023.02.26,9,2023
ANTIFRAGILE,2023.02.25,ANTIFRAGILE,8,LE SSERAFIM (르세라핌),2023.02.19,9,2023
After LIKE,2023.02.18,After LIKE,9,IVE (아이브),2023.02.12,9,2023
NewJeans `OMG`,2023.04.15,Ditto,1,NewJeans,2023.04.09,8,2023
NewJeans `OMG`,2023.04.08,OMG,2,NewJeans,2023.04.02,8,2023
NewJeans 1st EP `New Jeans`,2023.04.01,Hype boy,3,NewJeans,2023.03.26,8,2023
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2023.03.25,사건의 지평선,4,윤하,2023.03.19,8,2023
부석순 1st Single Album `SECOND WIND`,2023.03.18,파이팅 해야지 (Feat. 이영지),5,부석순 (SEVENTEEN),2023.03.12,8,2023
THE BOYZ 8th MINI ALBUM [BE AWAKE],2023.03.11,ROAR,6,더보이즈(THE BOYZ),2023.03.05,8,2023
NewJeans 1st EP `New Jeans`,2023.03.04,Attention,7,NewJeans,2023.02.26,8,2023
ANTIFRAGILE,2023.02.25,ANTIFRAGILE,8,LE SSERAFIM (르세라핌),2023.02.19,8,2023
ONE,2023.02.18,풍등,9,이찬원,2023.02.12,8,2023
NewJeans `OMG`,2023.04.15,Ditto,1,NewJeans,2023.04.09,7,2023
NewJeans `OMG`,2023.04.08,OMG,2,NewJeans,2023.04.02,7,2023
NewJeans 1st EP `New Jeans`,2023.04.01,Hype boy,3,NewJeans,2023.03.26,7,2023
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2023.03.25,사건의 지평선,4,윤하,2023.03.19,7,2023
NewJeans 1st EP `New Jeans`,2023.03.18,Attention,5,NewJeans,2023.03.12,7,2023
부석순 1st Single Album `SECOND WIND`,2023.03.11,파이팅 해야지 (Feat. 이영지),6,부석순 (SEVENTEEN),2023.03.05,7,2023
ANTIFRAGILE,2023.03.04,ANTIFRAGILE,7,LE SSERAFIM (르세라핌),2023.02.26,7,2023
VIBE,2023.02.25,VIBE (feat. Jimin of BTS),8,태양,2023.02.19,7,2023
After LIKE,2023.02.18,After LIKE,9,IVE (아이브),2023.02.12,7,2023
NewJeans `OMG`,2023.04.15,Ditto,1,NewJeans,2023.04.09,6,2023
NewJeans `OMG`,2023.04.08,OMG,2,NewJeans,2023.04.02,6,2023
NewJeans 1st EP `New Jeans`,2023.04.01,Hype boy,3,NewJeans,2023.03.26,6,2023
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2023.03.25,사건의 지평선,4,윤하,2023.03.19,6,2023
부석순 1st Single Album `SECOND WIND`,2023.03.18,파이팅 해야지 (Feat. 이영지),5,부석순 (SEVENTEEN),2023.03.12,6,2023
VIBE,2023.03.11,VIBE (feat. Jimin of BTS),6,태양,2023.03.05,6,2023
NewJeans 1st EP `New Jeans`,2023.03.04,Attention,7,NewJeans,2023.02.26,6,2023
ANTIFRAGILE,2023.02.25,ANTIFRAGILE,8,LE SSERAFIM (르세라핌),2023.02.19,6,2023
After LIKE,2023.02.18,After LIKE,9,IVE (아이브),2023.02.12,6,2023
Ay-Yo - The 4th Album Repackage,2023.04.15,Ay-Yo,1,NCT 127,2023.04.09,5,2023
NewJeans `OMG`,2023.04.08,Ditto,2,NewJeans,2023.04.02,5,2023
NewJeans `OMG`,2023.04.01,OMG,3,NewJeans,2023.03.26,5,2023
NewJeans 1st EP `New Jeans`,2023.03.25,Hype boy,4,NewJeans,2023.03.19,5,2023
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2023.03.18,사건의 지평선,5,윤하,2023.03.12,5,2023
VIBE,2023.03.11,VIBE (feat. Jimin of BTS),6,태양,2023.03.05,5,2023
ANTIFRAGILE,2023.03.04,ANTIFRAGILE,7,LE SSERAFIM (르세라핌),2023.02.26,5,2023
NewJeans 1st EP `New Jeans`,2023.02.25,Attention,8,NewJeans,2023.02.19,5,2023
NewJeans `OMG`,2023.04.15,Ditto,1,NewJeans,2023.04.09,4,2023
After LIKE,2023.02.18,After LIKE,9,IVE (아이브),2023.02.12,5,2023
NewJeans `OMG`,2023.04.08,OMG,2,NewJeans,2023.04.02,4,2023
NewJeans 1st EP `New Jeans`,2023.04.01,Hype boy,3,NewJeans,2023.03.26,4,2023
