,year,week_num,start_date,end_date,rank,music,singer,album,production,distribution
0,2021,09,2021.02.21,2021.02.27,1,Celebrity,아이유 (IU),Celebrity,,
1,2021,09,2021.02.21,2021.02.27,2,밤하늘의 별을(2020),경서,밤하늘의 별을(2020),,
2,2021,09,2021.02.21,2021.02.27,3,Don`t Call Me,샤이니 (SHINee),Don`t Call Me - The 7th Album,,
3,2021,09,2021.02.21,2021.02.27,4,Dynamite,방탄소년단,Dynamite,,
4,2021,09,2021.02.21,2021.02.27,5,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),"미란이 (Mirani), 먼치맨, Khundi Panda, 머쉬베놈 (MUSHVENOM)",쇼미더머니 9 Episode 1,,
5,2021,09,2021.02.21,2021.02.27,6,잠이 오질 않네요,장범준,잠이 오질 않네요,,
6,2021,09,2021.02.21,2021.02.27,7,Lovesick Girls,BLACKPINK,THE ALBUM,,
7,2021,09,2021.02.21,2021.02.27,8,Beautiful Beautiful,온앤오프 (ONF),ONF: MY NAME,,
8,2021,09,2021.02.21,2021.02.27,9,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10cm,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM) OST,,
9,2021,09,2021.02.21,2021.02.27,10,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들) OST,,
10,2021,09,2021.02.21,2021.02.27,11,내 손을 잡아,아이유 (IU),최고의 사랑 OST Part 4,,
11,2021,09,2021.02.21,2021.02.27,12,PARANOIA,강다니엘,PARANOIA,,
12,2021,09,2021.02.21,2021.02.27,13,에잇 (Prod.&Feat. SUGA of BTS),아이유 (IU),에잇,,
13,2021,09,2021.02.21,2021.02.27,14,밝게 빛나는 별이 되어 비춰줄게,송이한,밝게 빛나는 별이 되어 비춰줄게,,
14,2021,09,2021.02.21,2021.02.27,15,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재) OST,,
15,2021,09,2021.02.21,2021.02.27,16,Blueming,아이유 (IU),Love poem,,
16,2021,09,2021.02.21,2021.02.27,17,힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다,,
17,2021,09,2021.02.21,2021.02.27,18,I`m Not Cool,현아 (HyunA),I`m Not Cool,,
18,2021,09,2021.02.21,2021.02.27,19,오래된 노래,스탠딩 에그(Standing Egg),오래된 노래,,
19,2021,09,2021.02.21,2021.02.27,20,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,,
20,2021,09,2021.02.21,2021.02.27,21,고백 (바른연애 길잡이 X 허각),허각,고백 (바른연애 길잡이 X 허각) OST,,
21,2021,09,2021.02.21,2021.02.27,22,Life Goes On,방탄소년단,BE,,
