,year,week_num,start_date,end_date,rank,music,singer,album,production,distribution
0,2021,37,2021.09.05,2021.09.11,1,Stay,"The Kid LAROI, Justin Bieber",Stay,,
1,2021,37,2021.09.05,2021.09.11,2,신호등,이무진,신호등,,
2,2021,37,2021.09.05,2021.09.11,3,Next Level,aespa,Next Level,,
3,2021,37,2021.09.05,2021.09.11,4,바라만 본다,MSG워너비(M.O.M),MSG워너비 1집,,
4,2021,37,2021.09.05,2021.09.11,5,Weekend,태연 (TAEYEON),Weekend,,
5,2021,37,2021.09.05,2021.09.11,6,Queendom,레드벨벳(Red Velvet),Queendom - The 6th Mini Album,,
6,2021,37,2021.09.05,2021.09.11,7,낙하 (with 아이유),AKMU (악뮤),NEXT EPISODE,,
7,2021,37,2021.09.05,2021.09.11,8,OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO(파테코)",OHAYO MY NIGHT,,
8,2021,37,2021.09.05,2021.09.11,9,DUMB DUMB,전소미,DUMB DUMB,,
9,2021,37,2021.09.05,2021.09.11,10,Permission to Dance,방탄소년단,Butter / Permission to Dance,,
10,2021,37,2021.09.05,2021.09.11,11,Butter,방탄소년단,Butter,,
11,2021,37,2021.09.05,2021.09.11,12,좋아좋아,조정석,슬기로운 의사생활 시즌2 OST Part 5,,
12,2021,37,2021.09.05,2021.09.11,13,Bad Habits,Ed Sheeran,Bad Habits,,
13,2021,37,2021.09.05,2021.09.11,14,헤픈 우연,헤이즈 (Heize),HAPPEN,,
14,2021,37,2021.09.05,2021.09.11,15,"Peaches (Feat. Daniel Caesar, Giveon)",Justin Bieber,Justice,,
15,2021,37,2021.09.05,2021.09.11,16,시간을 거슬러 (낮에 뜨는 달 X 케이윌),케이윌 (K.Will),시간을 거슬러 (낮에 뜨는 달 X 케이윌) OST,,
16,2021,37,2021.09.05,2021.09.11,17,비와 당신,이무진,슬기로운 의사생활 시즌2 OST Part 1,,
17,2021,37,2021.09.05,2021.09.11,18,비가 오는 날엔 (2021),헤이즈 (Heize),비가 오는 날엔 (2021),,
18,2021,37,2021.09.05,2021.09.11,19,Dun Dun Dance,오마이걸 (OH MY GIRL),Dear OHMYGIRL,,
19,2021,37,2021.09.05,2021.09.11,20,Dynamite,방탄소년단,Dynamite,,
20,2021,37,2021.09.05,2021.09.11,21,라일락,아이유 (IU),5th Album `LILAC`,,
21,2021,37,2021.09.05,2021.09.11,22,롤린 (Rollin`),브레이브걸스 (Brave Girls),Rollin`,,
22,2021,37,2021.09.05,2021.09.11,23,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),,
23,2021,37,2021.09.05,2021.09.11,24,고백,멜로망스(Melomance),세 번째 `고백`,,
24,2021,37,2021.09.05,2021.09.11,25,Celebrity,아이유 (IU),Celebrity,,
25,2021,37,2021.09.05,2021.09.11,26,ASAP,STAYC(스테이씨),STAYDOM,,
26,2021,37,2021.09.05,2021.09.11,27,색안경 (STEREOTYPE),STAYC(스테이씨),STEREOTYPE,,
27,2021,37,2021.09.05,2021.09.11,28,하루만 더,빅마마 (BigMama),하루만 더,,
28,2021,37,2021.09.05,2021.09.11,29,Alcohol-Free,TWICE,Taste of Love,,
29,2021,37,2021.09.05,2021.09.11,30,치맛바람 (Chi Mat Ba Ram),브레이브걸스 (Brave Girls),Summer Queen,,
30,2021,37,2021.09.05,2021.09.11,31,안녕 (Hello),조이 (JOY),안녕 (Hello) - Special Album,,
31,2021,37,2021.09.05,2021.09.11,32,가을 우체국 앞에서,김대명,슬기로운 의사생활 시즌2 OST Part 2,,
32,2021,37,2021.09.05,2021.09.11,33,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,사이렌 Remix,,
33,2021,37,2021.09.05,2021.09.11,34,운전만해 (We Ride),브레이브걸스 (Brave Girls),We Ride,,
34,2021,37,2021.09.05,2021.09.11,35,내 손을 잡아,아이유 (IU),최고의 사랑 OST Part 4,,
35,2021,37,2021.09.05,2021.09.11,36,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,,
36,2021,37,2021.09.05,2021.09.11,37,밤하늘의 별을(2020),경서,밤하늘의 별을(2020),,
37,2021,37,2021.09.05,2021.09.11,38,여전히 아름다운지,세븐틴,슬기로운 의사생활 시즌2 OST Part 8,,
38,2021,37,2021.09.05,2021.09.11,39,Lovesick Girls,BLACKPINK,THE ALBUM,,
39,2021,37,2021.09.05,2021.09.11,40,Timeless,SG 워너비,SG Wanna Be+,,
40,2021,37,2021.09.05,2021.09.11,41,Savage Love (Laxed - Siren Beat) (BTS Remix),"Jawsh 685, Jason Derulo, BTS",Savage Love (Laxed - Siren Beat) (BTS Remix),,
41,2021,37,2021.09.05,2021.09.11,42,상상더하기,라붐 (LABOUM),Fresh Adventure,,
42,2021,37,2021.09.05,2021.09.11,43,나를 아는 사람,MSG워너비(정상동기),MSG워너비 1집,,
43,2021,37,2021.09.05,2021.09.11,44,Off My Face,Justin Bieber,Justice,,
44,2021,37,2021.09.05,2021.09.11,45,밝게 빛나는 별이 되어 비춰줄게,송이한,밝게 빛나는 별이 되어 비춰줄게,,
45,2021,37,2021.09.05,2021.09.11,46,가까운 듯 먼 그대여,카더가든,가까운 듯 먼 그대여,,
46,2021,37,2021.09.05,2021.09.11,47,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,`키스 먼저 할까요?` OST Part 3,,
47,2021,37,2021.09.05,2021.09.11,48,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA,,
48,2021,37,2021.09.05,2021.09.11,49,Blueming,아이유 (IU),Love poem,,
49,2021,37,2021.09.05,2021.09.11,50,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),비 오는 날 듣기 좋은 노래,,
50,2021,37,2021.09.05,2021.09.11,51,멜로디,ASH ISLAND,멜로디,,
51,2021,37,2021.09.05,2021.09.11,52,어푸 (Ah puh),아이유 (IU),5th Album 'LILAC',,
52,2021,37,2021.09.05,2021.09.11,53,잠이 오질 않네요,장범준,잠이 오질 않네요,,
53,2021,37,2021.09.05,2021.09.11,54,이젠 잊기로 해요 (Drama Ver.),미도와 파라솔,슬기로운 의사생활 시즌2 OST Special,,
54,2021,37,2021.09.05,2021.09.11,55,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들) OST,,
55,2021,37,2021.09.05,2021.09.11,56,상상더하기,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인 (Wonstein))",MSG워너비 TOP 8 경연곡,,
56,2021,37,2021.09.05,2021.09.11,57,추억은 만남보다 이별에 남아,정동하,추억은 만남보다 이별에 남아,,
57,2021,37,2021.09.05,2021.09.11,58,에잇 (Prod.&Feat. SUGA of BTS),아이유 (IU),에잇,,
58,2021,37,2021.09.05,2021.09.11,59,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,,
59,2021,37,2021.09.05,2021.09.11,60,Dolphin,오마이걸 (OH MY GIRL),NONSTOP,,
60,2021,37,2021.09.05,2021.09.11,61,고백,10cm,두 번째 `고백`,,
61,2021,37,2021.09.05,2021.09.11,62,아로하,조정석,슬기로운 의사생활 OST Part 3,,
62,2021,37,2021.09.05,2021.09.11,63,2002,Anne-Marie,Speak Your Mind (Deluxe),,
63,2021,37,2021.09.05,2021.09.11,64,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,,
64,2021,37,2021.09.05,2021.09.11,65,슈퍼스타,미도와 파라솔,슬기로운 의사생활 시즌2 OST Part 6,,
65,2021,37,2021.09.05,2021.09.11,66,봄날,방탄소년단,YOU NEVER WALK ALONE,,
66,2021,37,2021.09.05,2021.09.11,67,그날에 나는 맘이 편했을까,이예준,그날에 나는 맘이 편했을까,,
67,2021,37,2021.09.05,2021.09.11,68,회상,정경호,슬기로운 의사생활 시즌2 OST Part 9,,
68,2021,37,2021.09.05,2021.09.11,69,오래된 노래,스탠딩 에그(Standing Egg),오래된 노래,,
69,2021,37,2021.09.05,2021.09.11,70,고백,장범준,첫 번째 `고백`,,
70,2021,37,2021.09.05,2021.09.11,71,라라라,SG 워너비,My Friend,,
71,2021,37,2021.09.05,2021.09.11,72,METEOR,창모 (CHANGMO),Boyhood,,
72,2021,37,2021.09.05,2021.09.11,73,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재) OST,,
73,2021,37,2021.09.05,2021.09.11,74,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)","양요섭, 정은지","LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지) OST",,
74,2021,37,2021.09.05,2021.09.11,75,Life Goes On,방탄소년단,BE,,
75,2021,37,2021.09.05,2021.09.11,76,Memories,Maroon 5,Memories,,
76,2021,37,2021.09.05,2021.09.11,77,너의 번호를 누르고 (Prod. 영화처럼),#안녕,너의 번호를 누르고,,
77,2021,37,2021.09.05,2021.09.11,78,12:45 (Stripped),Etham,12:45 (Stripped),,
78,2021,37,2021.09.05,2021.09.11,79,사실 나는 (Feat.전건호),경서예지,사실 나는,,
79,2021,37,2021.09.05,2021.09.11,80,Coin,아이유 (IU),5th Album `LILAC`,,
80,2021,37,2021.09.05,2021.09.11,81,오늘은 가지마 (2021),환희,오늘은 가지마 (2021),,
81,2021,37,2021.09.05,2021.09.11,82,넌 좋은 사람,SG 워너비,넌 좋은 사람,,
82,2021,37,2021.09.05,2021.09.11,83,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),"미란이 (Mirani), 먼치맨, Khundi Panda, 머쉬베놈 (MUSHVENOM)",쇼미더머니 9 Episode 1,,
83,2021,37,2021.09.05,2021.09.11,84,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub),Red Moon : To You My Light,,
84,2021,37,2021.09.05,2021.09.11,85,빨간 립스틱 (Feat. 윤미래),이하이,4 ONLY,,
85,2021,37,2021.09.05,2021.09.11,86,허리춤,오반 (OVAN),허리춤,,
86,2021,37,2021.09.05,2021.09.11,87,어떻게 지내,오반 (OVAN),어떻게 지내,,
87,2021,37,2021.09.05,2021.09.11,88,On The Ground,로제 (ROSE),R,,
88,2021,37,2021.09.05,2021.09.11,89,사진을 보다가,다비치,사진을 보다가 (REVIBE Vol.2),,
89,2021,37,2021.09.05,2021.09.11,90,LALISA,리사 (LISA),LALISA,,
90,2021,37,2021.09.05,2021.09.11,91,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서,,
91,2021,37,2021.09.05,2021.09.11,92,담아 갈게,이무진,담아 갈게,,
92,2021,37,2021.09.05,2021.09.11,93,벌써 일년 (Drama Ver.),미도와 파라솔,슬기로운 의사생활 시즌2 OST Special,,
93,2021,37,2021.09.05,2021.09.11,94,별빛 같은 나의 사랑아,임영웅,별빛 같은 나의 사랑아,,
94,2021,37,2021.09.05,2021.09.11,95,나는 너 좋아,장범준,슬기로운 의사생활 시즌2 OST Part 3,,
95,2021,37,2021.09.05,2021.09.11,96,산책,백예린,선물,,
96,2021,37,2021.09.05,2021.09.11,97,로맨틱 선데이,카더가든,갯마을 차차차 OST Part 1,,
97,2021,37,2021.09.05,2021.09.11,98,How You Like That,BLACKPINK,How You Like That,,
98,2021,37,2021.09.05,2021.09.11,99,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),NONSTOP,,
99,2021,37,2021.09.05,2021.09.11,100,Hey Mama (Feat. Nicki Minaj & Afrojack),David Guetta,Listen (Deluxe),,
100,2021,37,2021.09.05,2021.09.11,101,Love poem,아이유 (IU),Love poem,,
101,2021,37,2021.09.05,2021.09.11,102,도망가자 (Run With Me),선우정아,Serenade,,
102,2021,37,2021.09.05,2021.09.11,103,그대라는 사치,임영웅,사랑의 콜센타 PART62,,
103,2021,37,2021.09.05,2021.09.11,104,Dance Monkey,Tones And I,Dance Monkey,,
104,2021,37,2021.09.05,2021.09.11,105,밤편지,아이유 (IU),밤편지,,
105,2021,37,2021.09.05,2021.09.11,106,Tiny Riot,Sam Ryder,Tiny Riot,,
106,2021,37,2021.09.05,2021.09.11,107,HERO,임영웅,HERO,,
107,2021,37,2021.09.05,2021.09.11,108,다시 사랑한다면 (김필 Ver.),임영웅,사랑의 콜센타 PART56,,
108,2021,37,2021.09.05,2021.09.11,109,Kiss Me More (Feat. SZA),Doja Cat,Kiss Me More,,
109,2021,37,2021.09.05,2021.09.11,110,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10cm,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM) OST,,
110,2021,37,2021.09.05,2021.09.11,111,Paris In The Rain,Lauv,I met you when I was 18. (the playlist),,
111,2021,37,2021.09.05,2021.09.11,112,ONLY,이하이,ONLY,,
112,2021,37,2021.09.05,2021.09.11,113,아무것도 하기 싫으면 어떡해,백아연,Observe,,
113,2021,37,2021.09.05,2021.09.11,114,Black Mamba,aespa,Black Mamba,,
114,2021,37,2021.09.05,2021.09.11,115,It`s My Life,윤미래,슬기로운 의사생활 시즌2 OST Part 10,,
115,2021,37,2021.09.05,2021.09.11,116,마.피.아. In the morning,ITZY (있지),GUESS WHO,,
116,2021,37,2021.09.05,2021.09.11,117,마음을 드려요,아이유 (IU),사랑의 불시착 OST Part 11,,
117,2021,37,2021.09.05,2021.09.11,118,너를 만나,폴킴,너를 만나,,
118,2021,37,2021.09.05,2021.09.11,119,힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다,,
119,2021,37,2021.09.05,2021.09.11,120,너에게,유연석,슬기로운 의사생활 시즌2 OST Part 7,,
120,2021,37,2021.09.05,2021.09.11,121,제자리 걸음,V.O.S,제자리 걸음,,
121,2021,37,2021.09.05,2021.09.11,122,비도 오고 그래서 (Feat. 신용재),헤이즈 (Heize),/// (너 먹구름 비),,
122,2021,37,2021.09.05,2021.09.11,123,살았소,김호중,살았소,,
123,2021,37,2021.09.05,2021.09.11,124,별이 빛나는 밤에,규현 (KYUHYUN),별이 빛나는 밤에 (REVIBE Vol.3),,
124,2021,37,2021.09.05,2021.09.11,125,끝사랑,임영웅,사랑의 콜센타 PART61,,
125,2021,37,2021.09.05,2021.09.11,126,추적이는 여름 비가 되어,장범준,장범준 싱글,,
126,2021,37,2021.09.05,2021.09.11,127,나인가요,백현 (BAEKHYUN),홍천기 OST Part.1,,
127,2021,37,2021.09.05,2021.09.11,128,잊었니,임영웅,사랑의 콜센타 PART60,,
128,2021,37,2021.09.05,2021.09.11,129,내사람,SG 워너비,The Precious History,,
129,2021,37,2021.09.05,2021.09.11,130,그냥 안아달란 말야,다비치,그냥 안아달란 말야,,
130,2021,37,2021.09.05,2021.09.11,131,왜? 날,백예린,선물,,
131,2021,37,2021.09.05,2021.09.11,132,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,,
132,2021,37,2021.09.05,2021.09.11,133,Don`t Start Now,Dua Lipa,Don`t Start Now,,
133,2021,37,2021.09.05,2021.09.11,134,Bk Love,임영웅,뽕숭아학당 PART23,,
134,2021,37,2021.09.05,2021.09.11,135,눈물을 훔친다 (금혼령 X 김종국),김종국,눈물을 훔친다 (금혼령 X 김종국) OST,,
135,2021,37,2021.09.05,2021.09.11,136,넌 내게 반했어 (Drama Ver.),미도와 파라솔,슬기로운 의사생활 시즌2 OST Special 2,,
136,2021,37,2021.09.05,2021.09.11,137,parachute,John K,love + everything else,,
137,2021,37,2021.09.05,2021.09.11,138,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현) OST,,
138,2021,37,2021.09.05,2021.09.11,139,전쟁터 (with 이선희),AKMU (악뮤),NEXT EPISODE,,
139,2021,37,2021.09.05,2021.09.11,140,"Rainy day (Feat. ASH ISLAND, Skinny Brown)",PATEKO (파테코),Rainy day,,
140,2021,37,2021.09.05,2021.09.11,141,Leave Before You Love Me,"Marshmello, Jonas Brothers",Leave Before You Love Me,,
141,2021,37,2021.09.05,2021.09.11,142,Bad,Christopher,Bad,,
142,2021,37,2021.09.05,2021.09.11,143,PING PONG,현아 & 던,1+1=1,,
143,2021,37,2021.09.05,2021.09.11,144,You can`t sit with us,선미,6분의1,,
144,2021,37,2021.09.05,2021.09.11,145,Hate that... (Feat. 태연),키 (KEY),Hate that...,,
145,2021,37,2021.09.05,2021.09.11,146,그럴때마다,백예린,선물,,
146,2021,37,2021.09.05,2021.09.11,147,이렇게 좋아해 본 적이 없어요,CHEEZE (치즈),이렇게 좋아해 본 적이 없어요 (소녀의 세계 X CHEEZE(치즈)) OST,,
147,2021,37,2021.09.05,2021.09.11,148,살다가,SG 워너비,살다가,,
148,2021,37,2021.09.05,2021.09.11,149,만개 (Prod. 신지후),김호중,우리家,,
149,2021,37,2021.09.05,2021.09.11,150,이대로만 (Feat. 죠지),로꼬 (LOCO),이대로만,,
150,2021,37,2021.09.05,2021.09.11,151,Maniac,Conan Gray,Maniac,,
151,2021,37,2021.09.05,2021.09.11,152,Outsider,비투비 (BTOB),4U : OUTSIDE,,
152,2021,37,2021.09.05,2021.09.11,153,나는 그대고 그대는 나였다,솔라,홍천기 OST Part.2,,
153,2021,37,2021.09.05,2021.09.11,154,사계 (Four Seasons),태연 (TAEYEON),사계 (Four Seasons),,
154,2021,37,2021.09.05,2021.09.11,155,은근히 낯가려요 (Feat. RAVI),부끄뚱,은근히 낯가려요,,
155,2021,37,2021.09.05,2021.09.11,156,사랑하게 될 줄 알았어,전미도,슬기로운 의사생활 OST Part 11,,
156,2021,37,2021.09.05,2021.09.11,157,난 너를 사랑해,MSG워너비,난 너를 사랑해,,
157,2021,37,2021.09.05,2021.09.11,158,주저하는 연인들을 위해,잔나비,전설,,
158,2021,37,2021.09.05,2021.09.11,159,다시 사랑할 수 있을까,"백지영, 이홍기",다시 사랑할 수 있을까,,
