,year,week_num,start_date,end_date,rank,music,singer,album,production,distribution
0,2021,44,2021.10.24,2021.10.30,1,strawberry moon,아이유 (IU),strawberry moon,,
1,2021,44,2021.10.24,2021.10.30,2,Favorite (Vampire),NCT 127,Favorite - The 3rd Album Repackage,,
2,2021,44,2021.10.24,2021.10.30,3,Savage,aespa,Savage - The 1st Mini Album,,
3,2021,44,2021.10.24,2021.10.30,4,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,,
4,2021,44,2021.10.24,2021.10.30,5,Stay,"The Kid LAROI, Justin Bieber",Stay,,
5,2021,44,2021.10.24,2021.10.30,6,Rock with you,세븐틴,SEVENTEEN 9th Mini Album `Attacca`,,
6,2021,44,2021.10.24,2021.10.30,7,신호등,이무진,신호등,,
7,2021,44,2021.10.24,2021.10.30,8,My Universe,"Coldplay, 방탄소년단",My Universe,,
8,2021,44,2021.10.24,2021.10.30,9,Next Level,aespa,Next Level,,
9,2021,44,2021.10.24,2021.10.30,10,낙하 (with 아이유),AKMU (악뮤),NEXT EPISODE,,
10,2021,44,2021.10.24,2021.10.30,11,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),,
11,2021,44,2021.10.24,2021.10.30,12,OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO(파테코)",OHAYO MY NIGHT,,
12,2021,44,2021.10.24,2021.10.30,13,바라만 본다,MSG워너비(M.O.M),MSG워너비 1집,,
13,2021,44,2021.10.24,2021.10.30,14,Weekend,태연 (TAEYEON),Weekend,,
14,2021,44,2021.10.24,2021.10.30,15,너를 생각해,주시크 (Joosiq),너를 생각해,,
15,2021,44,2021.10.24,2021.10.30,16,Permission to Dance,방탄소년단,Butter / Permission to Dance,,
16,2021,44,2021.10.24,2021.10.30,17,Butter,방탄소년단,Butter,,
17,2021,44,2021.10.24,2021.10.30,18,Bad Habits,Ed Sheeran,Bad Habits,,
18,2021,44,2021.10.24,2021.10.30,19,"Peaches (Feat. Daniel Caesar, Giveon)",Justin Bieber,Justice,,
19,2021,44,2021.10.24,2021.10.30,20,고백,멜로망스(Melomance),세 번째 `고백`,,
20,2021,44,2021.10.24,2021.10.30,21,헤픈 우연,헤이즈 (Heize),HAPPEN,,
21,2021,44,2021.10.24,2021.10.30,22,시간을 거슬러 (낮에 뜨는 달 X 케이윌),케이윌 (K.Will),시간을 거슬러 (낮에 뜨는 달 X 케이윌) OST,,
22,2021,44,2021.10.24,2021.10.30,23,나비효과,볼빨간사춘기,Butterfly Effect,,
23,2021,44,2021.10.24,2021.10.30,24,Dynamite,방탄소년단,Dynamite,,
24,2021,44,2021.10.24,2021.10.30,25,라일락,아이유 (IU),5th Album `LILAC`,,
25,2021,44,2021.10.24,2021.10.30,26,좋아좋아,조정석,슬기로운 의사생활 시즌2 OST Part 5,,
26,2021,44,2021.10.24,2021.10.30,27,Celebrity,아이유 (IU),Celebrity,,
27,2021,44,2021.10.24,2021.10.30,28,DUMB DUMB,전소미,DUMB DUMB,,
28,2021,44,2021.10.24,2021.10.30,29,Queendom,레드벨벳(Red Velvet),Queendom - The 6th Mini Album,,
29,2021,44,2021.10.24,2021.10.30,30,나의 첫사랑,다비치,나의 첫사랑,,
30,2021,44,2021.10.24,2021.10.30,31,가을 타나 봐,이무진,가을 타나 봐 (REVIBE Vol.4),,
31,2021,44,2021.10.24,2021.10.30,32,롤린 (Rollin`),브레이브걸스 (Brave Girls),Rollin`,,
32,2021,44,2021.10.24,2021.10.30,33,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (Maktub),Red Moon : Beyond The Light,,
33,2021,44,2021.10.24,2021.10.30,34,Cold Blooded,제시(Jessi),Cold Blooded,,
34,2021,44,2021.10.24,2021.10.30,35,Dun Dun Dance,오마이걸 (OH MY GIRL),Dear OHMYGIRL,,
35,2021,44,2021.10.24,2021.10.30,36,비와 당신,이무진,슬기로운 의사생활 시즌2 OST Part 1,,
36,2021,44,2021.10.24,2021.10.30,37,비가 오는 날엔 (2021),헤이즈 (Heize),비가 오는 날엔 (2021),,
37,2021,44,2021.10.24,2021.10.30,38,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,,
38,2021,44,2021.10.24,2021.10.30,39,색안경 (STEREOTYPE),STAYC(스테이씨),STEREOTYPE,,
39,2021,44,2021.10.24,2021.10.30,40,내 손을 잡아,아이유 (IU),최고의 사랑 OST Part 4,,
40,2021,44,2021.10.24,2021.10.30,41,LOCO,ITZY (있지),CRAZY IN LOVE,,
41,2021,44,2021.10.24,2021.10.30,42,너는 내 세상이었어,볼빨간사춘기,Butterfly Effect,,
42,2021,44,2021.10.24,2021.10.30,43,ASAP,STAYC(스테이씨),STAYDOM,,
43,2021,44,2021.10.24,2021.10.30,44,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,사이렌 Remix,,
44,2021,44,2021.10.24,2021.10.30,45,Hey Mama (Feat. Nicki Minaj & Afrojack),David Guetta,Listen (Deluxe),,
45,2021,44,2021.10.24,2021.10.30,46,고백,신용재,마지막 `고백`,,
46,2021,44,2021.10.24,2021.10.30,47,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,,
47,2021,44,2021.10.24,2021.10.30,48,Off My Face,Justin Bieber,Justice,,
48,2021,44,2021.10.24,2021.10.30,49,하루만 더,빅마마 (BigMama),하루만 더,,
49,2021,44,2021.10.24,2021.10.30,50,Blueming,아이유 (IU),Love poem,,
50,2021,44,2021.10.24,2021.10.30,51,밤하늘의 별을(2020),경서,밤하늘의 별을(2020),,
51,2021,44,2021.10.24,2021.10.30,52,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,`키스 먼저 할까요?` OST Part 3,,
52,2021,44,2021.10.24,2021.10.30,53,밝게 빛나는 별이 되어 비춰줄게,송이한,밝게 빛나는 별이 되어 비춰줄게,,
53,2021,44,2021.10.24,2021.10.30,54,Lovesick Girls,BLACKPINK,THE ALBUM,,
54,2021,44,2021.10.24,2021.10.30,55,Savage Love (Laxed - Siren Beat) (BTS Remix),"Jawsh 685, Jason Derulo, BTS",Savage Love (Laxed - Siren Beat) (BTS Remix),,
55,2021,44,2021.10.24,2021.10.30,56,추억은 만남보다 이별에 남아,정동하,추억은 만남보다 이별에 남아,,
56,2021,44,2021.10.24,2021.10.30,57,에잇 (Prod.&Feat. SUGA of BTS),아이유 (IU),에잇,,
57,2021,44,2021.10.24,2021.10.30,58,가을 우체국 앞에서,김대명,슬기로운 의사생활 시즌2 OST Part 2,,
58,2021,44,2021.10.24,2021.10.30,59,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들) OST,,
59,2021,44,2021.10.24,2021.10.30,60,여전히 아름다운지,세븐틴,슬기로운 의사생활 시즌2 OST Part 8,,
60,2021,44,2021.10.24,2021.10.30,61,잠이 오질 않네요,장범준,잠이 오질 않네요,,
61,2021,44,2021.10.24,2021.10.30,62,Timeless,SG 워너비,SG Wanna Be+,,
62,2021,44,2021.10.24,2021.10.30,63,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA,,
63,2021,44,2021.10.24,2021.10.30,64,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,,
64,2021,44,2021.10.24,2021.10.30,65,어푸 (Ah puh),아이유 (IU),5th Album 'LILAC',,
65,2021,44,2021.10.24,2021.10.30,66,그날에 나는 맘이 편했을까,이예준,그날에 나는 맘이 편했을까,,
66,2021,44,2021.10.24,2021.10.30,67,멜로디,ASH ISLAND,멜로디,,
67,2021,44,2021.10.24,2021.10.30,68,운전만해 (We Ride),브레이브걸스 (Brave Girls),We Ride,,
68,2021,44,2021.10.24,2021.10.30,69,2002,Anne-Marie,Speak Your Mind (Deluxe),,
69,2021,44,2021.10.24,2021.10.30,70,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub),Red Moon : To You My Light,,
70,2021,44,2021.10.24,2021.10.30,71,오래된 노래,스탠딩 에그(Standing Egg),오래된 노래,,
71,2021,44,2021.10.24,2021.10.30,72,봄날,방탄소년단,YOU NEVER WALK ALONE,,
72,2021,44,2021.10.24,2021.10.30,73,아로하,조정석,슬기로운 의사생활 OST Part 3,,
73,2021,44,2021.10.24,2021.10.30,74,역겹겠지만 (Remember me),B.I,WATERFALL,,
74,2021,44,2021.10.24,2021.10.30,75,안녕 (Hello),조이 (JOY),안녕 (Hello) - Special Album,,
75,2021,44,2021.10.24,2021.10.30,76,그래도 사랑이었잖아,거미,그래도 사랑이었잖아 (감정공유 : 거미),,
76,2021,44,2021.10.24,2021.10.30,77,Alcohol-Free,TWICE,Taste of Love,,
77,2021,44,2021.10.24,2021.10.30,78,METEOR,창모 (CHANGMO),Boyhood,,
78,2021,44,2021.10.24,2021.10.30,79,사랑은 언제나 목마르다 (N번째 연애 X 이해리 (다비치)),이해리,사랑은 언제나 목마르다 (N번째 연애 X 이해리 (다비치)) OST,,
79,2021,44,2021.10.24,2021.10.30,80,치맛바람 (Chi Mat Ba Ram),브레이브걸스 (Brave Girls),Summer Queen,,
80,2021,44,2021.10.24,2021.10.30,81,사실 나는 (Feat.전건호),경서예지,사실 나는,,
81,2021,44,2021.10.24,2021.10.30,82,너의 번호를 누르고 (Prod. 영화처럼),#안녕,너의 번호를 누르고,,
82,2021,44,2021.10.24,2021.10.30,83,Life Goes On,방탄소년단,BE,,
83,2021,44,2021.10.24,2021.10.30,84,그대라는 사치,임영웅,사랑의 콜센타 PART62,,
84,2021,44,2021.10.24,2021.10.30,85,상상더하기,라붐 (LABOUM),Fresh Adventure,,
85,2021,44,2021.10.24,2021.10.30,86,고백,10cm,두 번째 `고백`,,
86,2021,44,2021.10.24,2021.10.30,87,별빛 같은 나의 사랑아,임영웅,별빛 같은 나의 사랑아,,
87,2021,44,2021.10.24,2021.10.30,88,그리워 그리워,이예준,그리워 그리워,,
88,2021,44,2021.10.24,2021.10.30,89,다시 사랑한다면 (김필 Ver.),임영웅,사랑의 콜센타 PART56,,
89,2021,44,2021.10.24,2021.10.30,90,12:45 (Stripped),Etham,12:45 (Stripped),,
90,2021,44,2021.10.24,2021.10.30,91,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)","양요섭, 정은지","LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지) OST",,
91,2021,44,2021.10.24,2021.10.30,92,너의 모습,정동하,너의 모습,,
92,2021,44,2021.10.24,2021.10.30,93,소용돌이,세븐틴,SEVENTEEN 9th Mini Album `Attacca`,,
93,2021,44,2021.10.24,2021.10.30,94,Love poem,아이유 (IU),Love poem,,
94,2021,44,2021.10.24,2021.10.30,95,사랑했던 우리가 어떻게 친구가 되니,송하예,사랑했던 우리가 어떻게 친구가 되니,,
95,2021,44,2021.10.24,2021.10.30,96,HERO,임영웅,HERO,,
96,2021,44,2021.10.24,2021.10.30,97,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),비 오는 날 듣기 좋은 노래,,
97,2021,44,2021.10.24,2021.10.30,98,잊었니,임영웅,사랑의 콜센타 PART60,,
98,2021,44,2021.10.24,2021.10.30,99,Crush,세븐틴,SEVENTEEN 9th Mini Album `Attacca`,,
99,2021,44,2021.10.24,2021.10.30,100,Sticker,NCT 127,Sticker - The 3rd Album,,
100,2021,44,2021.10.24,2021.10.30,101,Dolphin,오마이걸 (OH MY GIRL),NONSTOP,,
101,2021,44,2021.10.24,2021.10.30,102,밤편지,아이유 (IU),밤편지,,
102,2021,44,2021.10.24,2021.10.30,103,끝사랑,임영웅,사랑의 콜센타 PART61,,
103,2021,44,2021.10.24,2021.10.30,104,매일 그대라서 행복하다,세븐틴,SEVENTEEN 9th Mini Album `Attacca`,,
104,2021,44,2021.10.24,2021.10.30,105,빨간 립스틱 (Feat. 윤미래),이하이,4 ONLY,,
105,2021,44,2021.10.24,2021.10.30,106,찬란한 계절,폴킴,찬란한 계절,,
