,year,week_num,start_date,end_date,rank,music,singer,album
0,2017,09,2017.02.26,2017.03.04,1,Fine,태연 (TAEYEON),My Voice - The 1st Album
1,2017,09,2017.02.26,2017.03.04,2,KNOCK KNOCK,TWICE,TWICEcoaster : LANE 2
2,2017,09,2017.02.26,2017.03.04,3,첫눈처럼 너에게 가겠다,에일리 (Ailee),도깨비 OST Part 9
3,2017,09,2017.02.26,2017.03.04,4,Rookie,레드벨벳(Red Velvet),Rookie - The 4th Mini Album
4,2017,09,2017.02.26,2017.03.04,5,봄날,방탄소년단,YOU NEVER WALK ALONE
5,2017,09,2017.02.26,2017.03.04,6,YESTERDAY,블락비 (Block B),YESTERDAY
6,2017,09,2017.02.26,2017.03.04,7,비가와 (Rain),"소유 (SOYOU), 백현 (BAEKHYUN)",비가와
7,2017,09,2017.02.26,2017.03.04,8,오랜 날 오랜 밤,AKMU (악뮤),사춘기 하 (思春記 下)
8,2017,09,2017.02.26,2017.03.04,9,좋다고 말해,볼빨간사춘기,Full Album RED PLANET (Hidden Track)
9,2017,09,2017.02.26,2017.03.04,10,날개 (Feel So Fine),태연 (TAEYEON),My Voice - The 1st Album
10,2017,09,2017.02.26,2017.03.04,11,노래,자이언티(Zion.T),OO
11,2017,09,2017.02.26,2017.03.04,12,WoW!,러블리즈,2nd Album 'R U Ready?'
12,2017,09,2017.02.26,2017.03.04,13,Cover Up,태연 (TAEYEON),My Voice - The 1st Album
13,2017,09,2017.02.26,2017.03.04,14,Beautiful,크러쉬 (CRUSH),도깨비 OST Part 4
14,2017,09,2017.02.26,2017.03.04,15,오빠야,신현희와김루트,신현희와김루트
15,2017,09,2017.02.26,2017.03.04,16,기다리지 말아요,"박원, 수지",기다리지 말아요
16,2017,09,2017.02.26,2017.03.04,17,넘어와 (Feat. 백예린),DEAN,limbo
17,2017,09,2017.02.26,2017.03.04,18,Stay With Me,"찬열 (CHANYEOL), 펀치 (Punch)",도깨비 OST Part 1
18,2017,09,2017.02.26,2017.03.04,19,우리집을 못 찾겠군요 (Feat. 볼빨간사춘기),매드 클라운 (Mad Clown),우리집을 못 찾겠군요
19,2017,09,2017.02.26,2017.03.04,20,I Got Love,태연 (TAEYEON),My Voice - The 1st Album
20,2017,09,2017.02.26,2017.03.04,21,Time Lapse,태연 (TAEYEON),My Voice - The 1st Album
21,2017,09,2017.02.26,2017.03.04,22,에라 모르겠다,BIGBANG (빅뱅),MADE
22,2017,09,2017.02.26,2017.03.04,23,I Miss You,소유 (SOYOU),도깨비 OST Part 7
23,2017,09,2017.02.26,2017.03.04,24,우주를 줄게,볼빨간사춘기,Full Album RED PLANET
24,2017,09,2017.02.26,2017.03.04,25,Marry Me,"마크툽 (MAKTUB), 구윤회",마크툽 프로젝트 Vol.03
25,2017,09,2017.02.26,2017.03.04,26,TT,TWICE,TWICEcoaster : LANE 1
26,2017,09,2017.02.26,2017.03.04,27,When I Was Young,태연 (TAEYEON),My Voice - The 1st Album
27,2017,09,2017.02.26,2017.03.04,28,수채화 (Love in Color),태연 (TAEYEON),My Voice - The 1st Album
28,2017,09,2017.02.26,2017.03.04,29,Fire,태연 (TAEYEON),My Voice - The 1st Album
29,2017,09,2017.02.26,2017.03.04,30,낡은 그리움,에일리 (Ailee),낡은 그리움
30,2017,09,2017.02.26,2017.03.04,31,언젠가 (SOMEDAY),비투비 (BTOB),언젠가 (SOMEDAY)
31,2017,09,2017.02.26,2017.03.04,32,Complex (Feat. G-DRAGON),자이언티(Zion.T),OO
32,2017,09,2017.02.26,2017.03.04,33,I`m OK,태연 (TAEYEON),My Voice - The 1st Album
33,2017,09,2017.02.26,2017.03.04,34,Lonely Night,태연 (TAEYEON),My Voice - The 1st Album
34,2017,09,2017.02.26,2017.03.04,35,Sweet Love,태연 (TAEYEON),My Voice - The 1st Album
35,2017,09,2017.02.26,2017.03.04,36,Decalcomanie (데칼코마니),마마무 (Mamamoo),MEMORY
36,2017,09,2017.02.26,2017.03.04,37,이쁘다니까,에디킴,도깨비 OST Part 5
