,year,week_num,start_date,end_date,rank,music,singer,album
0,2017,20,2017.05.14,2017.05.20,1,SIGNAL,TWICE,SIGNAL
1,2017,20,2017.05.14,2017.05.20,2,맞지?,언니쓰,언니들의 슬램덩크 시즌 2
2,2017,20,2017.05.14,2017.05.20,3,I LUV IT,싸이 (Psy),PSY 8th 4X2=8
3,2017,20,2017.05.14,2017.05.20,4,New Face,싸이 (Psy),PSY 8th 4X2=8
4,2017,20,2017.05.14,2017.05.20,5,오늘 취하면 (Feat.창모) (Prod. SUGA),수란 (SURAN),WINE
5,2017,20,2017.05.14,2017.05.20,6,팔레트 (Feat. G-DRAGON),아이유 (IU),Palette
6,2017,20,2017.05.14,2017.05.20,7,REALLY REALLY,위너(WINNER),FATE NUMBER FOR
7,2017,20,2017.05.14,2017.05.20,8,Shape of You,Ed Sheeran,÷ (Deluxe)
8,2017,20,2017.05.14,2017.05.20,9,BLUE MOON (Prod. GroovyRoom),"효린, 창모 (CHANGMO)",BLUE MOON
9,2017,20,2017.05.14,2017.05.20,10,TOMBOY,혁오 (hyukoh),23
10,2017,20,2017.05.14,2017.05.20,11,처음부터 너와 나,볼빨간사춘기,군주 - 가면의 주인 OST Part 2
11,2017,20,2017.05.14,2017.05.20,12,사랑이 잘 (With 오혁),아이유 (IU),사랑이 잘
12,2017,20,2017.05.14,2017.05.20,13,도원경 (桃源境),빅스 (VIXX),桃源境 (도원경)
13,2017,20,2017.05.14,2017.05.20,14,미치고 싶다,한동근,한동근 1ST ALBUM ‘Your Diary’
14,2017,20,2017.05.14,2017.05.20,15,아프지 마요,젝스키스,THE 20TH ANNIVERSARY
15,2017,20,2017.05.14,2017.05.20,16,마지막 장면 (Feat. 이성경),싸이 (Psy),PSY 8th 4X2=8
16,2017,20,2017.05.14,2017.05.20,17,문득,로이킴,開花期 (개화기)
17,2017,20,2017.05.14,2017.05.20,18,밤편지,아이유 (IU),밤편지
18,2017,20,2017.05.14,2017.05.20,19,혼자,어반 자카파 (Urban Zakapa),혼자
19,2017,20,2017.05.14,2017.05.20,20,LOVE (Feat. 태양),싸이 (Psy),PSY 8th 4X2=8
20,2017,20,2017.05.14,2017.05.20,21,Marry Me,"마크툽 (MAKTUB), 구윤회",마크툽 프로젝트 Vol.03
21,2017,20,2017.05.14,2017.05.20,22,첫눈처럼 너에게 가겠다,에일리 (Ailee),도깨비 OST Part 9
22,2017,20,2017.05.14,2017.05.20,23,"BOMB (Feat. B.I, BOBBY)",싸이 (Psy),PSY 8th 4X2=8
23,2017,20,2017.05.14,2017.05.20,24,KNOCK KNOCK,TWICE,TWICEcoaster : LANE 2
